,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Dustin Johnson,5,3178.542
1,2,2,Brooks Koepka,5,2921.292
2,3,3,Tiger Woods,5,2347.063
3,4,4,Matt Kuchar,5,1115.483
4,5,5,Xander Schauffele,5,1106.423
5,6,6,Kevin Kisner,5,1085.4560000000001
6,7,7,Patrick Cantlay,5,1057.49
7,8,8,Jordan Spieth,5,752.862
8,9,9,Jim Furyk,3,729.2139999999999
9,10,10,Webb Simpson,5,627.563
10,11,11,Tony Finau,5,564.513
11,12,12,Gary Woodland,5,483.214
12,13,13,Luke List,3,424.875
13,14,14,Rickie Fowler,4,411.894
14,15,15,Brandt Snedeker,4,411.881
15,16,16,Justin Thomas,4,396.713
16,17,17,Keegan Bradley,5,318.725
17,18,18,Bubba Watson,5,312.775
18,19,19,Aaron Wise,5,303.161
19,20,20,Phil Mickelson,5,246.75
20,21,21,Kevin Na,5,244.45
21,22,22,Chez Reavie,4,242.97799999999998
22,23,23,Charles Howell III,5,238.89
23,24,24,Billy Horschel,5,238.25400000000002
24,25,25,Bryson DeChambeau,5,215.325
25,26,26,Patton Kizzire,4,214.813
26,27,27,Patrick Reed,5,175.83900000000003
27,28,28,Kyle Stanley,5,175.362
28,29,29,Brian Harman,2,175.0
29,30,30,Jimmy Walker,3,159.238
30,31,31,Joel Dahmen,2,145.813
31,32,32,Lucas Glover,2,143.1
32,33,33,Jason Kokrak,2,106.694
33,34,34,Charley Hoffman,3,101.05
34,35,35,Ollie Schniederjans,1,96.875
35,36,36,Keith Mitchell,4,91.794
36,37,37,J.T. Poston,2,83.8
37,38,38,J.B. Holmes,4,79.62899999999999
38,39,39,Ryan Moore,2,78.125
39,40,40,Kevin Tway,3,74.388
40,41,41,Sam Burns,1,65.0
41,42,42,Andrew Landry,2,53.644
42,43,43,Andrew Putnam,3,50.0
43,44,44,Scott Piercy,2,49.661
44,45,45,Zach Johnson,3,49.185
45,T46,T46,Beau Hossler,2,48.2
46,T46,T46,Harold Varner III,2,48.2
47,48,48,Adam Long,3,47.348
48,49,49,Kelly Kraft,2,41.943999999999996
49,50,50,Tom Hoge,1,38.813
50,51,51,Daniel Berger,2,32.0
51,52,52,Brice Garnett,1,30.156
52,53,53,Bronson Burgoon,2,26.25
53,T54,T54,Cameron Champ,2,22.85
54,T54,T54,J.J. Spaun,2,22.85
55,T56,T56,Denny McCarthy,1,22.5
56,T56,T56,Vaughn Taylor,1,22.5
57,T56,T56,Martin Trainer,2,22.5
58,59,59,Max Homa,1,20.2
59,60,60,Pat Perez,1,18.75
60,T61,T61,Rich Beem,1,18.55
61,T61,T61,Ryan Vermeer,1,18.55
62,T63,T63,Bud Cauley,1,15.694
63,T63,T63,Richy Werenski,2,15.694
64,T65,T65,Brian Gay,2,13.625
65,T65,T65,Chris Kirk,1,13.625
66,67,67,Scott Langley,1,12.75
67,68,68,Michael Thompson,2,12.5
68,T69,T69,Jason Dufner,2,11.875
69,T69,T69,Tyler Duncan,1,11.875
70,71,71,Patrick Rodgers,1,11.625
