,Short_Game_Rating_RANK THIS WEEK,Short_Game_Rating_RANK LAST WEEK,Short_Game_Rating_PLAYER NAME,Short_Game_Rating_EVENTS,Short_Game_Rating_RATING
0,1,1.0,Ricky Barnes,1,9.0
1,1,1.0,Davis Riley,1,9.0
2,3,3.0,Michael Lorenzo-Vera,1,8.7
3,4,4.0,Marty Jertson,1,8.5
4,5,5.0,George Coetzee,1,8.3
5,6,6.0,Dawson Armstrong,1,8.1
6,7,7.0,Maverick McNealy,1,7.9
7,8,8.0,Stewart Cink,2,7.8
8,8,8.0,Luke Donald,3,7.8
9,8,8.0,Whee Kim,2,7.8
10,8,8.0,Matt Wallace,3,7.8
11,12,12.0,Charl Schwartzel,1,7.7
12,12,12.0,Ryan Vermeer,1,7.7
13,14,14.0,Billy Hurley III,2,7.6
14,14,14.0,Patrick Rodgers,7,7.6
15,14,14.0,Brendon Todd,2,7.6
16,17,18.0,Fred Couples,1,7.5
17,17,18.0,Brendon de Jonge,1,7.5
18,17,18.0,Lucas Glover,9,7.5
19,17,18.0,Andres Romero,1,7.5
20,21,22.0,Bud Cauley,7,7.4
21,21,14.0,Ben Silverman,6,7.4
22,21,44.0,D.J. Trahan,2,7.4
23,21,22.0,Chase Wright,4,7.4
24,25,,Jake Knapp,1,7.3
25,25,27.0,Shane Lowry,4,7.3
26,25,24.0,Kevin Na,6,7.3
27,25,24.0,Brady Schnell,3,7.3
28,25,24.0,Cameron Smith,7,7.3
29,25,27.0,Danny Willett,6,7.3
30,31,27.0,Derek Fathauer,1,7.2
31,31,27.0,Chesson Hadley,6,7.2
32,31,44.0,Sebastián Muñoz,8,7.2
33,31,27.0,Seamus Power,5,7.2
34,31,27.0,Webb Simpson,11,7.2
35,31,27.0,Brandt Snedeker,10,7.2
36,37,34.0,Byeong Hun An,6,7.1
37,37,34.0,Patrick Cantlay,5,7.1
38,37,34.0,Zack Fischer,1,7.1
39,37,34.0,Talor Gooch,5,7.1
40,37,34.0,Si Woo Kim,8,7.1
41,37,34.0,Matt Kuchar,11,7.1
42,37,34.0,David Lipsky,3,7.1
43,37,34.0,Dylan Meyer,1,7.1
44,37,263.0,Rod Pampling,2,7.1
45,37,34.0,Chad Ramey,1,7.1
46,37,34.0,Jhonattan Vegas,9,7.1
47,48,44.0,Austin Cook,4,7.0
48,48,117.0,Ben Crane,3,7.0
49,48,44.0,Roberto Díaz,5,7.0
50,48,44.0,Rickie Fowler,10,7.0
51,48,44.0,Brian Harman,7,7.0
52,48,44.0,Kyle Jones,4,7.0
53,48,44.0,Marc Leishman,7,7.0
54,48,44.0,Nicholas Lindheim,3,7.0
55,48,44.0,Patrick Reed,9,7.0
56,48,44.0,Justin Rose,8,7.0
57,48,44.0,Sam Saunders,8,7.0
58,48,44.0,Brian Stuard,13,7.0
59,48,44.0,Lee Westwood,1,7.0
60,61,44.0,Jonathan Byrd,5,6.9
61,61,62.0,John Catlin,2,6.9
62,61,62.0,Tommy Fleetwood,6,6.9
63,61,62.0,Tom Lovelady,2,6.9
64,61,62.0,Parker McLachlin,1,6.9
65,61,62.0,Andrew Putnam,7,6.9
66,61,44.0,Kevin Tway,8,6.9
67,61,62.0,Mike Weir,1,6.9
68,61,62.0,Tiger Woods,5,6.9
69,70,71.0,Rafa Cabrera Bello,9,6.8
70,70,71.0,Bill Haas,9,6.8
71,70,71.0,Tim Herron,2,6.8
72,70,71.0,Charley Hoffman,6,6.8
73,70,71.0,Sam Horsfield,1,6.8
74,70,71.0,Zach Johnson,9,6.8
75,70,71.0,Adam Long,6,6.8
76,70,71.0,Hideki Matsuyama,9,6.8
77,70,,Collin Morikawa,1,6.8
78,70,71.0,Louis Oosthuizen,5,6.8
79,70,71.0,Martin Piller,2,6.8
80,70,71.0,Rory Sabbatini,12,6.8
81,70,71.0,Xander Schauffele,6,6.8
82,70,71.0,Matthew Short,1,6.8
83,70,44.0,Roger Sloan,8,6.8
84,70,71.0,Hudson Swafford,8,6.8
85,86,85.0,Ryan Armour,8,6.7
86,86,85.0,James Hahn,2,6.7
87,86,85.0,Brandon Harkins,9,6.7
88,86,85.0,Padraig Harrington,1,6.7
89,86,85.0,Morgan Hoffmann,4,6.7
90,86,85.0,Max Homa,8,6.7
91,86,85.0,David Lingmerth,2,6.7
92,86,85.0,Davis Love III,3,6.7
93,86,85.0,Hunter Mahan,3,6.7
94,86,85.0,J.T. Poston,14,6.7
95,86,117.0,José de Jesús Rodríguez,6,6.7
96,86,85.0,Scott Stallings,8,6.7
97,86,85.0,Steve Stricker,2,6.7
98,86,182.0,Chris Thompson,3,6.7
99,86,85.0,David Toms,1,6.7
100,86,117.0,Harold Varner III,9,6.7
101,86,85.0,Jimmy Walker,9,6.7
102,103,100.0,Wyndham Clark,9,6.6
103,103,100.0,Jason Dufner,3,6.6
104,103,157.0,Joey Garber,2,6.6
105,103,100.0,J.B. Holmes,3,6.6
106,103,100.0,Viktor Hovland,1,6.6
107,103,44.0,Mackenzie Hughes,7,6.6
108,103,117.0,Sungjae Im,14,6.6
109,103,100.0,Russell Knox,11,6.6
110,103,100.0,Scott Langley,6,6.6
111,103,100.0,Francesco Molinari,6,6.6
112,103,100.0,Thomas Pieters,2,6.6
113,103,100.0,D.A. Points,2,6.6
114,103,100.0,Wes Roach,5,6.6
115,103,100.0,Sam Ryder,8,6.6
116,103,100.0,Michael Thompson,10,6.6
117,103,100.0,Tyrone Van Aswegen,2,6.6
118,119,117.0,Lucas Bjerregaard,4,6.5
119,119,117.0,Jason Day,5,6.5
120,119,138.0,Adam Hadwin,10,6.5
121,119,117.0,Beau Hossler,10,6.5
122,119,117.0,John Huh,3,6.5
123,119,62.0,Dustin Johnson,8,6.5
124,119,117.0,Martin Kaymer,7,6.5
125,119,100.0,Martin Laird,10,6.5
126,119,117.0,Kyoung-Hoon Lee,8,6.5
127,119,117.0,Troy Merritt,7,6.5
128,119,117.0,Keith Mitchell,8,6.5
129,119,117.0,Vijay Singh,1,6.5
130,119,117.0,Kyle Stanley,3,6.5
131,119,117.0,Shawn Stefani,3,6.5
132,119,117.0,Adam Svensson,7,6.5
133,119,100.0,Justin Thomas,7,6.5
134,119,138.0,Peter Uihlein,7,6.5
135,119,117.0,Richy Werenski,6,6.5
136,119,117.0,Y.E. Yang,1,6.5
137,138,138.0,Cameron Davis,5,6.4
138,138,138.0,Ernie Els,5,6.4
139,138,138.0,Branden Grace,7,6.4
