,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,4,Rory McIlroy,13,30.39,2112,6950,2.0,10.0
1,2,1,Brooks Koepka,13,27.19,1863,6850,2.0,5.0
2,3,2,Matt Kuchar,16,26.58,2232,8400,2.0,8.0
3,4,3,Dustin Johnson,12,24.97,1611,6450,1.0,7.0
4,5,5,Tiger Woods,8,21.82,960,4400,1.0,4.0
5,6,6,Patrick Cantlay,14,21.29,1565,7350,1.0,8.0
6,7,7,Xander Schauffele,15,21.01,1670,7950,2.0,4.0
7,8,8,Justin Rose,11,19.67,1161,5900,1.0,5.0
8,9,9,Paul Casey,15,17.59,1398,7950,1.0,5.0
9,10,10,Rickie Fowler,14,17.31,1272,7350,1.0,5.0
10,11,11,Francesco Molinari,10,16.97,925,5450,1.0,3.0
11,12,12,Justin Thomas,13,16.22,1103,6800,,5.0
12,13,13,Adam Scott,12,16.17,1010,6250,,5.0
13,14,14,Marc Leishman,14,15.67,1160,7400,1.0,6.0
14,15,15,Jon Rahm,14,15.45,1136,7350,1.0,8.0
15,16,16,Gary Woodland,17,13.36,1189,8900,,7.0
16,17,18,Phil Mickelson,13,12.88,889,6900,1.0,2.0
17,18,32,Webb Simpson,14,12.41,919,7400,,4.0
18,19,19,Bryson DeChambeau,13,12.36,853,6900,1.0,3.0
19,20,17,Ryan Palmer,16,12.32,998,8100,1.0,5.0
20,21,20,Tommy Fleetwood,11,11.64,681,5850,,4.0
21,22,T22,Tony Finau,17,11.41,1010,8850,,3.0
22,23,24,Charles Howell III,19,11.11,1100,9900,1.0,4.0
23,24,25,Kevin Kisner,17,11.02,970,8800,1.0,3.0
24,25,21,Sergio Garcia,11,10.49,609,5800,,5.0
25,26,T22,Matt Every,12,10.34,548,5300,,2.0
26,27,27,Kevin Na,15,10.09,802,7950,1.0,3.0
27,28,29,Jason Day,14,9.96,727,7300,,5.0
28,29,26,Scott Piercy,19,9.9,951,9600,,6.0
29,30,28,Jim Furyk,16,9.82,800,8150,,3.0
30,31,30,Hideki Matsuyama,15,9.81,780,7950,,4.0
31,32,33,Sung Kang,20,9.68,978,10100,1.0,4.0
32,33,72,Shane Lowry,10,9.53,505,5300,,3.0
33,34,31,Corey Conners,20,9.28,891,9600,1.0,3.0
34,35,34,Andrew Putnam,17,9.1,792,8700,,3.0
35,36,35,Lucas Glover,17,9.06,761,8400,,4.0
36,37,36,C.T. Pan,19,9.04,873,9650,1.0,2.0
37,38,42,Graeme McDowell,16,8.8,669,7600,1.0,3.0
38,39,37,Ian Poulter,13,8.78,601,6850,,4.0
39,40,39,Louis Oosthuizen,12,8.75,551,6300,,3.0
40,41,40,Keith Mitchell,19,8.74,861,9850,1.0,3.0
41,42,41,Jason Kokrak,17,8.43,725,8600,,4.0
42,43,47,Brandt Snedeker,18,8.4,790,9400,,3.0
43,44,38,J.B. Holmes,18,8.3,768,9250,1.0,2.0
44,45,44,Rafa Cabrera Bello,15,7.96,633,7950,,2.0
45,46,45,Max Homa,19,7.94,722,9100,1.0,2.0
46,47,43,Kevin Tway,19,7.82,758,9700,1.0,1.0
47,48,T54,Adam Hadwin,18,7.4,677,9150,,4.0
48,49,T48,Ryan Moore,16,7.28,597,8200,,2.0
49,50,50,Kevin Chappell,3,7.15,107,1500,,1.0
50,51,51,Emiliano Grillo,17,7.11,636,8950,,2.0
51,52,52,Si Woo Kim,20,7.04,722,10250,,4.0
52,53,46,Bubba Watson,13,7.03,478,6800,,2.0
53,54,T48,Talor Gooch,12,6.95,410,5900,,2.0
54,55,61,Sungjae Im,26,6.82,866,12700,,6.0
55,56,53,Cameron Champ,19,6.71,631,9400,1.0,3.0
56,57,T54,Kiradech Aphibarnrat,15,6.67,531,7950,,3.0
57,58,56,Adam Long,19,6.62,636,9600,1.0,2.0
58,59,57,Patrick Rodgers,14,6.58,454,6900,,1.0
59,60,58,Joel Dahmen,22,6.42,700,10900,,2.0
60,T61,T59,Chez Reavie,19,6.41,625,9750,,3.0
61,T61,T59,Rory Sabbatini,19,6.41,583,9100,,4.0
62,63,62,Aaron Baddeley,15,6.11,428,7000,,3.0
63,64,63,Billy Horschel,19,6.09,599,9850,,2.0
64,65,64,Charley Hoffman,18,6.05,559,9250,,2.0
65,66,65,Luke List,16,6.03,497,8250,,4.0
66,67,66,Jhonattan Vegas,18,5.99,521,8700,,3.0
67,68,67,Jordan Spieth,16,5.93,498,8400,,3.0
68,69,77,Henrik Stenson,12,5.88,371,6300,,2.0
69,70,68,Michael Thompson,17,5.84,508,8700,,4.0
70,71,70,Danny Lee,20,5.83,588,10100,,3.0
71,72,69,Tyrrell Hatton,13,5.78,402,6950,,2.0
72,73,71,Patrick Reed,15,5.44,427,7850,,1.0
73,74,73,Troy Merritt,12,5.32,324,6100,,2.0
74,75,74,Abraham Ancer,20,5.27,538,10200,,2.0
75,76,75,Kevin Streelman,20,5.26,515,9800,,4.0
76,77,76,Branden Grace,18,5.12,479,9350,,2.0
77,78,78,Cameron Smith,16,5.0,417,8350,,3.0
78,79,79,Byeong Hun An,15,4.92,386,7850,,2.0
79,80,80,Keegan Bradley,18,4.71,441,9350,,2.0
80,81,81,Sam Ryder,16,4.68,379,8100,,2.0
81,82,82,Chesson Hadley,20,4.4,444,10100,,2.0
82,83,83,Pat Perez,16,4.37,352,8050,,3.0
83,84,84,Martin Kaymer,11,4.36,253,5800,,1.0
84,85,105,Jonathan Byrd,13,4.32,251,5800,,1.0
85,T86,T87,Russell Knox,18,4.27,395,9250,,2.0
86,T86,T87,David Toms,1,4.27,21,500,,
87,88,T99,Mackenzie Hughes,19,4.18,384,9200,,2.0
88,89,90,Harold Varner III,20,4.16,412,9900,,2.0
89,90,85,Aaron Wise,16,4.06,341,8400,,1.0
90,T91,92,Brian Stuard,22,4.05,429,10600,,2.0
91,T91,114,Cameron Tringale,15,4.05,275,6800,,1.0
92,93,89,Bud Cauley,19,3.99,383,9600,,2.0
93,94,94,J.T. Poston,22,3.96,432,10900,,2.0
94,95,95,Matt Jones,19,3.95,348,8800,,1.0
95,96,86,Nate Lashley,13,3.91,227,5800,,1.0
96,T97,T99,Peter Malnati,19,3.88,357,9200,,1.0
97,T97,91,Scott Stallings,20,3.88,381,9800,,2.0
98,99,98,Vaughn Taylor,21,3.84,395,10300,,2.0
99,100,96,J.J. Spaun,20,3.82,385,10100,,2.0
100,T101,97,Jonas Blixt,20,3.8,361,9500,,1.0
101,T101,93,Martin Trainer,19,3.8,354,9300,1.0,1.0
102,103,T99,Daniel Berger,14,3.79,265,7000,,1.0
103,104,106,Sam Burns,22,3.71,393,10600,,2.0
104,105,T99,Brian Gay,22,3.69,409,11100,,2.0
105,106,108,Kyoung-Hoon Lee,22,3.68,379,10300,,2.0
106,107,110,Scott Brown,21,3.65,376,10300,,4.0
107,T108,111,Patton Kizzire,18,3.58,333,9300,,1.0
108,T108,T128,Hank Lebioda,16,3.58,261,7300,,1.0
109,110,104,Chris Stroud,19,3.56,320,9000,,3.0
110,111,107,Ryan Armour,21,3.52,370,10500,,1.0
111,112,109,Adam Schenk,24,3.49,395,11300,,2.0
112,113,103,D.J. Trahan,11,3.48,167,4800,,2.0
113,114,T112,Nick Watney,20,3.39,339,10000,,2.0
114,115,T112,Austin Cook,17,3.36,286,8500,,1.0
115,116,140,Sebastián Muñoz,18,3.34,277,8300,,2.0
116,117,156,Danny Willett,15,3.28,257,7850,,1.0
117,T118,120,Zach Johnson,15,3.21,250,7800,,1.0
118,T118,131,Nick Taylor,20,3.21,315,9800,,1.0
119,T120,121,Bronson Burgoon,14,3.17,228,7200,,1.0
120,T120,122,Roberto Castro,16,3.17,238,7500,,2.0
121,122,115,Alex Noren,14,3.16,235,7450,,
122,123,123,Kyle Stanley,18,3.14,294,9350,,1.0
123,124,124,Vijay Singh,6,3.13,100,3200,,1.0
124,125,T116,Richy Werenski,20,3.12,309,9900,,1.0
125,T126,119,Dominic Bozzelli,17,3.07,249,8100,,1.0
126,T126,118,Denny McCarthy,20,3.07,295,9600,,2.0
127,T128,130,Peter Uihlein,22,3.03,321,10600,,2.0
128,T128,T116,Johnson Wagner,14,3.03,191,6300,,1.0
129,130,T128,Roger Sloan,20,2.97,280,9400,,1.0
130,131,125,Carlos Ortiz,21,2.96,296,10000,,2.0
131,132,T126,Wyndham Clark,20,2.94,283,9600,,2.0
132,133,136,Jason Dufner,19,2.88,276,9600,,2.0
133,T134,T126,David Hearn,14,2.86,180,6300,,1.0
134,T134,132,Jim Knous,17,2.86,223,7800,,1.0
135,136,134,Shawn Stefani,19,2.73,241,8800,,2.0
136,137,137,Trey Mullinax,20,2.71,260,9600,,
137,138,138,Seamus Power,21,2.7,272,10100,,2.0
138,T139,T144,Jason Gore,4,2.67,48,1800,,
139,T139,139,Martin Laird,18,2.67,235,8800,,2.0
140,141,141,Scott Langley,20,2.63,258,9800,,1.0
141,142,148,Ryan Blaum,21,2.62,265,10100,,1.0
142,T143,T144,Dylan Frittelli,16,2.56,195,7600,,
143,T143,T142,Brice Garnett,21,2.56,264,10300,,1.0
144,145,T142,Hudson Swafford,20,2.55,242,9500,,1.0
145,146,T151,Davis Love III,9,2.53,106,4200,,1.0
146,147,135,Luke Donald,8,2.52,98,3900,,1.0
147,148,172,Stephan Jaeger,19,2.51,226,9000,,
148,T149,133,Brendon Todd,7,2.49,77,3100,,
149,T149,155,Jimmy Walker,17,2.49,219,8800,,
150,151,T163,Harris English,21,2.42,245,10100,,
151,152,149,Julián Etulain,17,2.39,186,7800,,
152,T153,153,Kramer Hickok,19,2.38,211,8900,,1.0
153,T153,150,Curtis Luck,17,2.38,186,7800,,1.0
154,155,157,Beau Hossler,20,2.37,241,10200,,
155,156,154,Bill Haas,18,2.34,203,8700,,1.0
156,157,T160,Joaquin Niemann,20,2.32,227,9800,,1.0
157,158,T158,Robert Streb,21,2.3,225,9800,,1.0
158,159,147,George McNeill,6,2.28,55,2400,,1.0
159,160,146,Billy Hurley III,8,2.24,74,3300,,1.0
160,161,T158,Brian Harman,22,2.21,246,11150,,1.0
161,162,T160,Boo Weekley,5,2.18,48,2200,,
162,163,169,Sean O'Hair,9,2.06,88,4300,,1.0
163,164,T170,K.J. Choi,7,2.05,70,3400,,1.0
164,T165,T166,Sepp Straka,16,2.04,149,7300,,
165,T165,162,Chase Wright,19,2.04,183,9000,,2.0
166,167,168,Kelly Kraft,23,2.02,230,11400,,2.0
167,168,T163,Cameron Davis,18,2.01,167,8300,,
168,169,T166,Russell Henley,18,2.0,180,9000,,
169,T170,T170,Anders Albertson,18,1.92,164,8500,,1.0
170,T170,174,"Ted Potter, Jr.",18,1.92,173,9000,,
171,172,175,Hunter Mahan,15,1.91,136,7100,,
172,173,T163,Nicholas Lindheim,10,1.9,86,4500,,
173,174,176,Jamie Lovemark,7,1.89,66,3500,,
174,175,201,José de Jesús Rodríguez,17,1.88,149,7900,,
175,176,178,Charl Schwartzel,13,1.83,113,6200,,1.0
176,177,179,Stewart Cink,12,1.79,111,6200,,
177,178,177,Brandon Harkins,21,1.75,177,10100,,1.0
178,T179,T180,Tyler Duncan,22,1.73,180,10400,,1.0
179,T179,182,Ernie Els,14,1.73,120,6900,,
180,T179,173,Padraig Harrington,7,1.73,61,3500,,
181,T182,T183,Andres Romero,6,1.71,39,2300,,
182,T182,T183,Brendan Steele,17,1.71,145,8500,,
183,184,T202,Ben Silverman,17,1.7,134,7900,,
184,185,185,Y.E. Yang,2,1.69,19,1100,,
185,186,T151,Zack Sucher,3,1.68,25,1500,,
186,187,T180,Roberto Díaz,16,1.65,120,7300,,1.0
187,188,189,Ben Crane,13,1.61,95,5900,,1.0
188,189,T229,Wes Roach,14,1.6,101,6300,,
189,190,187,Anirban Lahiri,17,1.59,135,8500,,1.0
190,191,188,Satoshi Kodaira,16,1.57,133,8450,,
191,192,186,Brady Schnell,14,1.55,99,6400,,
192,193,190,Daniel Chopra,3,1.54,17,1100,,
193,T194,208,Joey Garber,15,1.52,104,6800,,1.0
194,T194,191,Andrew Landry,18,1.52,138,9100,,
195,196,194,Stuart Appleby,3,1.42,16,1100,,
196,197,195,James Hahn,10,1.41,70,5000,,
