,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Aaron Baddeley,51,8.12,414,51
1,2,2,Justin Rose,42,8.08,307,38
2,3,3,Si Woo Kim,65,8.07,484,60
3,T4,T4,Jordan Spieth,57,8.0,432,54
4,T4,T4,Vaughn Taylor,69,8.0,536,67
5,6,11,Dominic Bozzelli,53,7.92,404,51
6,7,T9,Wyndham Clark,61,7.88,465,59
7,8,6,Peter Malnati,64,7.87,472,60
8,T9,8,Kiradech Aphibarnrat,49,7.85,361,46
9,T9,7,Bud Cauley,61,7.85,479,61
10,11,T9,Anirban Lahiri,54,7.84,392,50
11,12,12,Curtis Luck,51,7.79,366,47
12,T13,13,Patrick Cantlay,49,7.77,342,44
13,T13,999,Martin Piller,30,7.77,233,30
14,15,15,Martin Trainer,51,7.75,395,51
15,16,18,José de Jesús Rodríguez,51,7.73,394,51
16,17,17,Cameron Smith,55,7.68,384,50
17,18,16,Scott Langley,60,7.66,444,58
18,19,19,Francesco Molinari,41,7.65,260,34
19,20,14,Denny McCarthy,63,7.64,451,59
20,T21,22,Brian Gay,79,7.63,572,75
21,T21,21,Andrew Putnam,57,7.63,397,52
22,23,20,Brandt Snedeker,68,7.62,495,65
23,24,T45,Jonathan Byrd,43,7.61,312,41
24,T25,T23,Jason Day,45,7.6,304,40
25,T25,T23,Bryson DeChambeau,45,7.6,319,42
26,T27,36,Ben Crane,41,7.59,311,41
27,T27,25,Michael Thompson,56,7.59,425,56
28,29,T28,Webb Simpson,53,7.58,379,50
29,T30,T26,Sam Ryder,52,7.56,393,52
30,T30,T26,Charl Schwartzel,34,7.56,242,32
31,T32,T28,Patton Kizzire,58,7.54,422,56
32,T32,T28,Rory Sabbatini,71,7.54,505,67
33,T34,31,Sam Burns,66,7.52,481,64
34,T34,T48,Adam Hadwin,66,7.52,466,62
35,T36,T32,Ryan Blaum,67,7.51,473,63
36,T36,T32,Brian Stuard,76,7.51,541,72
37,T38,T34,Haotong Li,32,7.5,210,28
38,T38,T34,Matt Wallace,31,7.5,210,28
39,T40,T51,Graeme McDowell,61,7.47,426,57
40,T40,T40,Roger Sloan,62,7.47,463,62
41,T40,T40,Nick Taylor,70,7.47,493,66
42,T43,T37,Rafa Cabrera Bello,57,7.46,403,54
43,T43,T37,Freddie Jacobson,37,7.46,261,35
44,T43,T37,Marc Leishman,52,7.46,358,48
45,T46,T43,Kevin Kisner,65,7.44,402,54
46,T46,999,Shane Lowry,30,7.44,186,25
47,48,T45,J.T. Poston,76,7.43,535,72
48,T49,T53,Daniel Berger,48,7.42,356,48
49,T49,47,Justin Harding,31,7.42,178,24
50,51,T48,Matt Jones,67,7.41,467,63
51,T52,T48,Brandon Harkins,67,7.4,466,63
52,T52,T53,Stephan Jaeger,59,7.4,407,55
53,T52,T64,Zach Johnson,50,7.4,370,50
54,T55,T53,Beau Hossler,66,7.39,488,66
55,T55,T51,Dustin Johnson,47,7.39,325,44
56,T55,71,Danny Lee,66,7.39,473,64
57,T58,T62,Matt Every,38,7.38,251,34
58,T58,T82,Cameron Tringale,52,7.38,354,48
59,60,T58,Rickie Fowler,54,7.37,398,54
60,61,T43,Ollie Schniederjans,63,7.36,449,61
61,T62,T40,Julián Etulain,55,7.35,375,51
62,T62,T56,Mackenzie Hughes,58,7.35,397,54
63,T62,61,Patrick Reed,53,7.35,353,48
64,65,T62,Abraham Ancer,69,7.34,470,64
65,66,T66,Peter Uihlein,65,7.33,462,63
