,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,3,Wyndham Clark,61,1.41,15,1062
1,2,2,Ollie Schniederjans,63,1.55,17,1098
2,3,5,Hudson Swafford,59,1.66,17,1026
3,4,4,Scott Langley,60,1.72,18,1044
4,T5,7,Jonas Blixt,66,1.74,20,1152
5,T5,6,Sam Burns,66,1.74,20,1152
6,7,T11,Peter Malnati,64,1.76,19,1080
7,T8,8,Daniel Berger,48,1.85,16,864
8,T8,14,Dominic Bozzelli,53,1.85,17,918
9,T8,9,Sergio Garcia,39,1.85,10,540
10,T8,10,Tyrrell Hatton,46,1.85,14,756
11,12,T11,Tony Finau,61,1.88,19,1008
12,13,1,Dustin Johnson,47,1.89,15,792
13,T14,T19,Harris English,72,1.9,24,1260
14,T14,15,Justin Rose,42,1.9,13,684
15,16,16,Charl Schwartzel,34,1.91,11,576
16,17,17,Aaron Baddeley,51,1.96,18,918
17,18,18,Vaughn Taylor,69,1.99,24,1206
18,19,T19,Patrick Cantlay,49,2.02,16,792
19,20,23,Rory McIlroy,50,2.05,17,828
20,21,21,Rickie Fowler,54,2.06,20,972
21,22,26,Cody Gribble,52,2.08,18,864
22,23,22,Brice Garnett,63,2.09,23,1098
23,24,24,Si Woo Kim,65,2.13,23,1080
24,25,29,Brian Gay,79,2.15,29,1350
25,26,27,Kevin Kisner,65,2.16,21,972
26,27,30,Ben Crane,41,2.17,16,738
27,T28,28,Patton Kizzire,58,2.18,22,1008
28,T28,25,Sebastián Muñoz,58,2.18,22,1008
29,30,31,Patrick Rodgers,44,2.27,18,792
30,31,T11,Richy Werenski,63,2.28,25,1098
31,T32,32,Wes Roach,45,2.33,18,774
32,T32,T54,Webb Simpson,53,2.33,21,900
33,34,T48,Brady Schnell,38,2.34,16,684
34,35,T35,Hunter Mahan,45,2.35,19,810
35,36,33,Nick Taylor,70,2.36,28,1188
36,37,T38,Freddie Jacobson,37,2.38,15,630
37,T38,37,Brian Harman,67,2.39,28,1170
38,T38,T38,Carlos Ortiz,60,2.39,25,1044
39,T38,T46,Brandt Snedeker,68,2.39,28,1170
40,41,50,José de Jesús Rodríguez,51,2.4,22,918
41,42,41,Sam Saunders,53,2.41,23,954
42,43,T42,Chris Stroud,54,2.44,22,900
43,T44,T42,Matt Every,38,2.45,15,612
44,T44,T44,Max Homa,61,2.45,26,1062
45,T44,34,Denny McCarthy,63,2.45,26,1062
46,T44,T44,Francesco Molinari,41,2.45,15,612
47,T48,T35,Bill Haas,58,2.47,24,972
48,T48,T48,Matt Jones,67,2.47,28,1134
49,50,T46,Robert Streb,60,2.48,25,1008
50,51,51,Martin Kaymer,38,2.49,17,684
51,T52,T65,Graeme McDowell,61,2.53,26,1026
52,T52,53,Jon Rahm,51,2.53,20,792
53,T54,T54,Bud Cauley,61,2.55,28,1098
54,T54,T71,Jim Furyk,53,2.55,22,864
55,T56,T56,Andrew Putnam,57,2.56,24,936
56,T56,T56,Cameron Smith,55,2.56,23,900
57,T58,T58,Ernie Els,43,2.57,19,738
58,T58,T58,Charley Hoffman,58,2.57,25,972
59,60,T74,Harold Varner III,62,2.59,28,1080
60,61,60,C.T. Pan,64,2.6,29,1116
61,T62,T61,James Hahn,34,2.61,16,612
62,T62,T61,Billy Horschel,73,2.61,31,1188
63,T62,T61,Kevin Na,54,2.61,23,882
64,65,T65,Louis Oosthuizen,43,2.62,17,648
65,T66,77,Stephan Jaeger,59,2.63,26,990
66,T66,T67,Troy Merritt,42,2.63,18,684
67,T66,T67,Phil Mickelson,41,2.63,18,684
68,T69,T69,Jason Day,45,2.64,19,720
69,T69,T69,Kevin Streelman,63,2.64,29,1098
70,T71,T71,Ryan Blaum,67,2.65,30,1134
71,T71,78,Kelly Kraft,67,2.65,30,1134
72,T71,52,Nate Lashley,44,2.65,20,756
73,74,73,Kiradech Aphibarnrat,49,2.66,22,828
74,75,T79,Zach Johnson,50,2.67,24,900
75,T76,T74,Michael Thompson,56,2.68,27,1008
