,3-Putt_Avoidance_-_15-20_RANK THIS WEEK,3-Putt_Avoidance_-_15-20_RANK LAST WEEK,3-Putt_Avoidance_-_15-20_PLAYER NAME,3-Putt_Avoidance_-_15-20_ROUNDS,3-Putt_Avoidance_-_15-20_%,3-Putt_Avoidance_-_15-20_TOTAL 3 PUTTS,3-Putt_Avoidance_-_15-20_ATTEMPTS,3-Putt_Avoidance_-_15-20_2 PUTT OR BETTER %
0,T1,T1,Anders Albertson,48,0.0,,66,10.0
1,T1,T1,Daniel Berger,48,0.0,,80,10.0
2,T1,T1,Lucas Bjerregaard,37,0.0,,49,10.0
3,T1,T1,Ryan Blaum,67,0.0,,97,10.0
4,T1,T1,Jonas Blixt,66,0.0,,108,10.0
5,T1,T1,Dominic Bozzelli,53,0.0,,74,10.0
6,T1,T1,Sam Burns,66,0.0,,90,10.0
7,T1,T1,Rafa Cabrera Bello,57,0.0,,55,10.0
8,T1,T1,Patrick Cantlay,49,0.0,,73,10.0
9,T1,T1,Paul Casey,51,0.0,,49,10.0
10,T1,T1,Bud Cauley,61,0.0,,80,10.0
11,T1,T1,Cameron Champ,58,0.0,,86,10.0
12,T1,T1,Wyndham Clark,61,0.0,,96,10.0
13,T1,T1,Corey Conners,62,0.0,,97,10.0
14,T1,T1,Austin Cook,50,0.0,,68,10.0
15,T1,T1,Jason Day,45,0.0,,46,10.0
16,T1,T1,Tyler Duncan,66,0.0,,77,10.0
17,T1,T1,Ernie Els,43,0.0,,53,10.0
18,T1,T1,Julián Etulain,55,0.0,,71,10.0
19,T1,T1,Matthew Fitzpatrick,42,0.0,,43,10.0
20,T1,T1,Tommy Fleetwood,43,0.0,,52,10.0
21,T1,T1,Joey Garber,44,0.0,,56,10.0
22,T1,T1,Brian Gay,79,0.0,,118,10.0
23,T1,T1,Cody Gribble,52,0.0,,80,10.0
24,T1,T1,Bill Haas,58,0.0,,80,10.0
25,T1,T1,Chesson Hadley,58,0.0,,99,10.0
26,T1,T1,James Hahn,34,0.0,,32,10.0
27,T1,T1,Justin Harding,31,0.0,,30,10.0
28,T1,T1,Tyrrell Hatton,46,0.0,,61,10.0
29,T1,T1,Russell Henley,56,0.0,,99,10.0
30,T1,T1,J.J. Henry,42,0.0,,45,10.0
31,T1,T1,Billy Horschel,73,0.0,,80,10.0
32,T1,T1,Stephan Jaeger,59,0.0,,65,10.0
33,T1,T1,Dustin Johnson,47,0.0,,59,10.0
34,T1,T1,Matt Jones,67,0.0,,84,10.0
35,T1,T1,Whee Kim,57,0.0,,70,10.0
36,T1,T1,Satoshi Kodaira,51,0.0,,60,10.0
37,T1,T1,Brooks Koepka,49,0.0,,57,10.0
38,T1,T1,Matt Kuchar,65,0.0,,88,10.0
39,T1,T1,Martin Laird,60,0.0,,105,10.0
40,T1,T1,Scott Langley,60,0.0,,85,10.0
41,T1,T1,Kyoung-Hoon Lee,72,0.0,,90,10.0
42,T1,T1,Haotong Li,32,0.0,,34,10.0
43,T1,T1,Luke List,52,0.0,,86,10.0
44,T1,T1,Adam Long,52,0.0,,82,10.0
45,T1,999,Shane Lowry,30,0.0,,35,10.0
46,T1,T1,Hunter Mahan,45,0.0,,61,10.0
47,T1,T1,Peter Malnati,64,0.0,,96,10.0
48,T1,T1,Phil Mickelson,41,0.0,,50,10.0
49,T1,T1,Francesco Molinari,41,0.0,,42,10.0
50,T1,T1,Ryan Moore,54,0.0,,78,10.0
51,T1,T1,Ryan Palmer,56,0.0,,75,10.0
52,T1,T1,Rod Pampling,40,0.0,,53,10.0
53,T1,999,Martin Piller,30,0.0,,27,10.0
54,T1,T1,D.A. Points,33,0.0,,38,10.0
55,T1,T1,Alex Prugh,54,0.0,,60,10.0
56,T1,T1,Andrew Putnam,57,0.0,,70,10.0
57,T1,T1,Chez Reavie,67,0.0,,76,10.0
58,T1,T1,Patrick Reed,53,0.0,,61,10.0
59,T1,T1,Patrick Rodgers,44,0.0,,84,10.0
60,T1,T1,Xander Schauffele,55,0.0,,63,10.0
61,T1,T1,Brady Schnell,38,0.0,,52,10.0
62,T1,T1,Charl Schwartzel,34,0.0,,25,10.0
63,T1,T1,Adam Scott,41,0.0,,39,10.0
64,T1,T1,Ben Silverman,54,0.0,,78,10.0
65,T1,T1,Cameron Smith,55,0.0,,48,10.0
66,T1,T1,Brandt Snedeker,68,0.0,,76,10.0
67,T1,T1,Brendan Steele,50,0.0,,79,10.0
68,T1,T1,Henrik Stenson,46,0.0,,61,10.0
69,T1,T1,Kevin Streelman,63,0.0,,79,10.0
70,T1,T1,Hudson Swafford,59,0.0,,103,10.0
71,T1,T1,Josh Teater,47,0.0,,74,10.0
72,T1,T1,Justin Thomas,49,0.0,,62,10.0
73,T1,T1,Chris Thompson,34,0.0,,43,10.0
74,T1,T1,D.J. Trahan,33,0.0,,32,10.0
75,T1,T1,Martin Trainer,51,0.0,,75,10.0
76,T1,999,Tyrone Van Aswegen,30,0.0,,38,10.0
77,T1,T1,Bubba Watson,47,0.0,,73,10.0
78,T1,T1,Aaron Wise,52,0.0,,73,10.0
79,80,81,Nick Taylor,70,0.81,1.0,123,9.91
80,81,83,Harris English,72,0.9,1.0,111,9.91
81,82,T84,Richy Werenski,63,0.91,1.0,110,9.9
82,83,82,Sung Kang,67,0.93,1.0,107,9.9
83,84,T87,Scott Brown,66,0.95,1.0,105,9.9
84,85,T84,Brian Stuard,76,0.98,1.0,102,9.9
85,86,86,Joel Dahmen,78,1.0,1.0,100,9.9
86,87,T87,Rickie Fowler,54,1.04,1.0,96,9.89
87,T88,98,Keegan Bradley,65,1.09,1.0,92,9.89
88,T88,T91,Denny McCarthy,63,1.09,1.0,92,9.89
89,T88,89,Scott Piercy,70,1.09,1.0,92,9.89
90,91,90,Kevin Kisner,65,1.12,1.0,89,9.88
91,92,T91,Andrew Landry,56,1.14,1.0,88,9.88
92,T93,T93,Jason Kokrak,68,1.15,1.0,87,9.88
93,T93,97,Carlos Ortiz,60,1.15,1.0,87,9.88
94,T93,T93,C.T. Pan,64,1.15,1.0,87,9.88
95,T93,T93,"Ted Potter, Jr.",56,1.15,1.0,87,9.88
96,T93,T1,Ollie Schniederjans,63,1.15,1.0,87,9.88
97,98,100,Adam Hadwin,66,1.16,1.0,86,9.88
98,T99,96,Jordan Spieth,57,1.18,1.0,85,9.88
99,T99,T103,Peter Uihlein,65,1.18,1.0,85,9.88
100,101,T101,Dylan Frittelli,55,1.19,1.0,84,9.88
101,102,T1,Brice Garnett,63,1.22,1.0,82,9.87
102,103,T103,Zach Johnson,50,1.23,1.0,81,9.87
103,T104,99,Chris Kirk,47,1.25,1.0,80,9.87
104,T104,T103,Roger Sloan,62,1.25,1.0,80,9.87
105,T104,T109,Robert Streb,60,1.25,1.0,80,9.87
106,107,T114,Sepp Straka,48,1.27,1.0,79,9.87
107,108,108,Chase Wright,53,1.28,1.0,78,9.87
108,109,T112,Chris Stroud,54,1.3,1.0,77,9.87
109,T110,126,Roberto Castro,54,1.32,1.0,76,9.86
110,T110,T121,Hank Lebioda,55,1.32,1.0,76,9.86
111,T110,107,Graeme McDowell,61,1.32,1.0,76,9.86
112,T110,T101,Gary Woodland,63,1.32,1.0,76,9.86
113,T114,T112,Jim Furyk,53,1.33,1.0,75,9.86
114,T114,T103,Keith Mitchell,64,1.33,1.0,75,9.86
115,116,111,Adam Svensson,51,1.35,1.0,74,9.86
116,117,T117,Fabián Gómez,44,1.37,1.0,73,9.86
117,118,T109,Kevin Na,54,1.39,1.0,72,9.86
118,119,T117,Cameron Tringale,52,1.43,1.0,70,9.85
119,T120,T114,Kiradech Aphibarnrat,49,1.45,1.0,69,9.85
120,T120,T1,Ben Crane,41,1.45,1.0,69,9.85
121,T120,T114,Michael Kim,51,1.45,1.0,69,9.85
122,T120,T131,Rory McIlroy,50,1.45,1.0,69,9.85
123,124,125,Sungjae Im,88,1.48,2.0,135,9.85
124,T125,T121,Kyle Jones,49,1.52,1.0,66,9.84
125,T125,119,Troy Merritt,42,1.52,1.0,66,9.84
126,T127,T129,Talor Gooch,37,1.54,1.0,65,9.84
127,T127,120,Kyle Stanley,53,1.54,1.0,65,9.84
128,T129,T121,Aaron Baddeley,51,1.56,1.0,64,9.84
129,T129,T121,Tony Finau,61,1.56,1.0,64,9.84
130,131,T1,José de Jesús Rodríguez,51,1.59,1.0,63,9.84
131,132,135,Joaquin Niemann,68,1.65,2.0,121,9.83
132,T133,127,Byeong Hun An,54,1.67,1.0,60,9.83
133,T133,T133,Nate Lashley,44,1.67,1.0,60,9.83
134,135,128,Pat Perez,52,1.69,1.0,59,9.83
135,136,T129,Branden Grace,62,1.72,1.0,58,9.82
136,137,T133,Adam Schenk,80,1.74,2.0,115,9.82
137,T138,T137,Sergio Garcia,39,1.75,1.0,57,9.82
138,T138,T131,Martin Kaymer,38,1.75,1.0,57,9.82
139,T140,T137,Danny Lee,66,1.89,2.0,106,9.81
140,T140,136,Jon Rahm,51,1.89,1.0,53,9.81
141,T142,140,Brian Harman,67,1.9,2.0,105,9.81
142,T142,T137,Scott Stallings,63,1.9,2.0,105,9.81
143,T144,T141,Jim Herman,37,2.0,1.0,50,9.8
144,T144,T141,J.B. Holmes,54,2.0,1.0,50,9.8
145,146,146,Brandon Harkins,67,2.06,2.0,97,9.79
146,147,T141,Marc Leishman,52,2.08,1.0,48,9.79
147,T148,T144,Beau Hossler,66,2.13,2.0,94,9.78
148,T148,T144,Jhonattan Vegas,60,2.13,2.0,94,9.78
149,150,T158,John Chin,38,2.17,1.0,46,9.78
150,T151,T150,Tom Hoge,70,2.22,2.0,90,9.77
151,T151,153,Nick Watney,67,2.22,2.0,90,9.77
152,T153,T158,Mackenzie Hughes,58,2.27,2.0,88,9.77
153,T153,148,Shawn Stefani,57,2.27,2.0,88,9.77
154,T153,147,Matt Wallace,31,2.27,1.0,44,9.77
155,T156,T154,Matt Every,38,2.33,1.0,43,9.76
156,T156,149,Freddie Jacobson,37,2.33,1.0,43,9.76
157,T156,T163,Harold Varner III,62,2.33,2.0,86,9.76
158,159,T150,Max Homa,61,2.35,2.0,85,9.76
159,160,152,Emiliano Grillo,65,2.38,2.0,84,9.76
160,T161,T171,Jonathan Byrd,43,2.44,1.0,41,9.75
161,T161,T154,Louis Oosthuizen,43,2.44,1.0,41,9.75
162,T161,T158,Kevin Tway,62,2.44,2.0,82,9.75
163,T161,T163,Jimmy Walker,61,2.44,2.0,82,9.75
164,165,166,Webb Simpson,53,2.5,2.0,80,9.75
165,166,157,Si Woo Kim,65,2.53,2.0,79,9.74
166,T167,T158,Ian Poulter,49,2.56,1.0,39,9.74
167,T167,T158,John Senden,39,2.56,1.0,39,9.74
168,169,T163,Charles Howell III,64,2.6,2.0,77,9.74
169,170,T169,Sam Saunders,53,2.63,2.0,76,9.73
170,T171,T167,J.T. Poston,76,2.73,3.0,110,9.72
171,T171,T167,Vaughn Taylor,69,2.73,3.0,110,9.72
172,T173,T169,Patton Kizzire,58,2.74,2.0,73,9.72
173,T173,T174,Johnson Wagner,45,2.74,2.0,73,9.72
174,T175,T171,Anirban Lahiri,54,2.78,2.0,72,9.72
175,T175,T171,Rory Sabbatini,71,2.78,3.0,108,9.72
176,T177,T183,David Hearn,41,2.86,1.0,35,9.71
177,T177,T174,Grayson Murray,36,2.86,1.0,35,9.71
178,179,T183,Wes Roach,45,2.94,2.0,68,9.7
179,180,T180,Jim Knous,55,2.99,2.0,67,9.7
180,181,T180,Kelly Kraft,67,3.03,3.0,99,9.69
181,182,177,Bronson Burgoon,37,3.17,2.0,63,9.68
182,183,T180,Trey Mullinax,67,3.19,3.0,94,9.68
