,3-Putt_Avoidance_-_Round_2_RANK THIS WEEK,3-Putt_Avoidance_-_Round_2_RANK LAST WEEK,3-Putt_Avoidance_-_Round_2_PLAYER NAME,3-Putt_Avoidance_-_Round_2_%,3-Putt_Avoidance_-_Round_2_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_2_TOTAL HOLES
0,1,1,Justin Rose,0.56,1,180
1,2,2,Kyle Jones,0.62,2,324
2,3,T3,Dominic Bozzelli,0.69,2,288
3,4,5,Justin Harding,0.79,1,126
4,5,6,Sam Burns,0.88,3,342
5,6,7,Wyndham Clark,0.93,3,324
6,7,8,Jimmy Walker,0.98,3,306
7,8,T3,Bill Haas,1.04,3,288
8,T9,T9,Harris English,1.11,4,360
9,T9,T9,Brice Garnett,1.11,4,360
10,11,11,Jonas Blixt,1.17,4,342
11,12,T15,Sergio Garcia,1.23,2,162
12,T13,T15,Anders Albertson,1.31,4,306
13,T13,T12,Charley Hoffman,1.31,4,306
14,T13,T12,Patton Kizzire,1.31,4,306
15,T13,T12,Michael Thompson,1.31,4,306
16,17,T15,Ernie Els,1.39,3,216
17,T18,T18,Tony Finau,1.48,4,270
18,T18,T18,Hunter Mahan,1.48,4,270
19,T18,T18,Jordan Spieth,1.48,4,270
20,21,21,Jason Day,1.52,3,198
21,22,T23,Peter Malnati,1.54,5,324
22,T23,T26,Daniel Berger,1.59,4,252
23,T23,22,Patrick Rodgers,1.59,4,252
24,T25,T28,Sebastián Muñoz,1.63,5,306
25,T25,T23,Chez Reavie,1.63,5,306
26,T27,T30,Brian Gay,1.67,6,360
27,T27,25,Beau Hossler,1.67,6,360
28,T27,T30,Carlos Ortiz,1.67,6,360
29,30,T26,Patrick Reed,1.71,4,234
30,31,T28,Lucas Glover,1.74,5,288
31,32,T33,Nick Taylor,1.75,6,342
32,T33,T33,Max Homa,1.85,6,324
33,T33,T33,Matt Jones,1.85,6,324
34,T33,T43,Rory McIlroy,1.85,4,216
35,T33,T33,Phil Mickelson,1.85,4,216
36,T37,T39,Ryan Blaum,1.94,7,360
37,T37,T39,Kyoung-Hoon Lee,1.94,7,360
38,T37,47,Roger Sloan,1.94,7,360
39,T40,T41,Andrew Landry,1.96,6,306
40,T40,T48,Alex Prugh,1.96,6,306
41,T42,T51,Alex Cejka,1.98,5,252
42,T42,T51,J.J. Henry,1.98,5,252
43,T44,T43,Martin Kaymer,2.02,4,198
44,T44,T43,Troy Merritt,2.02,4,198
45,T44,T43,Charl Schwartzel,2.02,4,198
46,T47,T33,Scott Langley,2.05,7,342
47,T47,54,Hudson Swafford,2.05,7,342
48,T49,T33,Austin Cook,2.08,6,288
49,T49,T48,Jason Kokrak,2.08,6,288
50,T49,T48,Kyle Stanley,2.08,6,288
51,T49,T55,Josh Teater,2.08,6,288
52,53,T51,Freddie Jacobson,2.14,5,234
53,T54,T41,Scott Piercy,2.16,7,324
54,T54,T57,Kevin Tway,2.16,7,324
55,T56,T63,Scott Brown,2.22,8,360
56,T56,T55,Kevin Kisner,2.22,6,270
57,T56,T66,Ryan Palmer,2.22,6,270
58,T56,T30,Ollie Schniederjans,2.22,8,360
59,T56,T72,Henrik Stenson,2.22,4,180
60,T56,T63,Robert Streb,2.22,8,360
61,T62,T59,Patrick Cantlay,2.31,5,216
