,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,3,James Hahn,34,4.71,4,85,9.52
1,2,4,Lucas Glover,62,4.72,12,254,9.52
2,3,2,Rory McIlroy,50,4.79,8,167,9.52
3,4,5,Charley Hoffman,58,5.3,7,132,9.47
4,5,T9,Dominic Bozzelli,53,5.34,7,131,9.46
5,6,T9,Wyndham Clark,61,5.58,11,197,9.44
6,7,T11,Sam Burns,66,5.91,14,237,9.4
7,8,1,Dustin Johnson,47,5.96,9,151,9.4
8,T9,13,Martin Kaymer,38,6.0,9,150,9.4
9,T9,T11,Ollie Schniederjans,63,6.0,12,200,9.4
10,11,20,Harris English,72,6.14,18,293,9.38
11,T12,7,Scott Langley,60,6.16,13,211,9.38
12,T12,17,Brandt Snedeker,68,6.16,13,211,9.38
13,14,19,Rickie Fowler,54,6.31,13,206,9.36
14,15,8,Sebastián Muñoz,58,6.43,11,171,9.35
15,16,21,Tony Finau,61,6.49,12,185,9.35
16,17,15,Robert Streb,60,6.57,14,213,9.34
17,18,26,Graeme McDowell,61,6.63,11,166,9.33
18,T19,22,Justin Rose,42,6.67,8,120,9.33
19,T19,48,Webb Simpson,53,6.67,13,195,9.33
20,21,14,Denny McCarthy,63,6.7,14,209,9.33
21,22,23,Hunter Mahan,45,6.71,10,149,9.32
22,23,T43,Peter Malnati,64,6.73,14,208,9.32
23,24,33,Brice Garnett,63,6.74,13,193,9.32
24,25,T38,Cameron Davis,54,6.76,10,148,9.32
25,26,T50,Ben Crane,41,6.78,8,118,9.32
26,T27,T24,Max Homa,61,6.8,14,206,9.32
27,T27,T24,Matt Jones,67,6.8,14,206,9.32
28,29,16,Sergio Garcia,39,6.86,7,102,9.31
29,30,28,Aaron Baddeley,51,6.92,11,159,9.3
30,31,41,Hudson Swafford,59,6.93,14,202,9.3
31,32,30,Louis Oosthuizen,43,6.98,6,86,9.3
32,33,31,Stewart Cink,33,7.0,7,100,9.3
33,34,32,Andrew Putnam,57,7.04,10,142,9.29
34,35,18,Chase Wright,53,7.1,13,183,9.29
35,T36,T35,Tommy Fleetwood,43,7.14,8,112,9.28
36,T36,46,Kyle Jones,49,7.14,12,168,9.28
37,T36,T35,C.T. Pan,64,7.14,13,182,9.28
38,T36,29,Sam Saunders,53,7.14,14,196,9.28
39,40,34,Cody Gribble,52,7.18,13,181,9.28
40,41,T38,Xander Schauffele,55,7.19,11,153,9.28
41,42,40,Ernie Els,43,7.21,8,111,9.27
42,43,57,Brady Schnell,38,7.27,8,110,9.27
43,44,T43,Kevin Kisner,65,7.29,14,192,9.27
44,45,6,David Hearn,41,7.37,7,95,9.26
45,46,42,Nick Watney,67,7.49,17,227,9.25
46,47,47,Michael Thompson,56,7.5,15,200,9.25
47,48,45,Carlos Ortiz,60,7.53,18,239,9.24
48,49,64,Alex Cejka,41,7.55,8,106,9.24
49,50,T35,Brian Harman,67,7.58,16,211,9.24
50,51,54,Brian Gay,79,7.63,19,249,9.23
51,T52,63,Matt Every,38,7.69,8,104,9.23
52,T52,T50,Justin Harding,31,7.69,4,52,9.23
53,T52,T50,Jon Rahm,51,7.69,11,143,9.23
54,55,49,Adam Schenk,80,7.72,22,285,9.22
55,56,53,Vaughn Taylor,69,7.76,17,219,9.22
56,57,74,D.J. Trahan,33,7.78,7,90,9.22
57,58,56,Cameron Tringale,52,7.97,11,138,9.2
58,59,61,Jonas Blixt,66,8.0,18,225,9.2
59,60,59,Charles Howell III,64,8.13,17,209,9.18
60,61,73,Alex Prugh,54,8.15,15,184,9.18
61,T62,55,J.J. Spaun,68,8.18,18,220,9.18
62,T62,66,Henrik Stenson,46,8.18,13,159,9.18
63,64,67,Jim Furyk,53,8.25,16,194,9.17
64,65,65,"Ted Potter, Jr.",56,8.43,14,166,9.15
65,66,85,Kevin Tway,62,8.46,17,201,9.15
66,67,97,Josh Teater,47,8.51,12,141,9.14
67,T68,60,Daniel Berger,48,8.52,15,176,9.14
68,T68,68,Ryan Moore,54,8.52,15,176,9.14
69,70,80,Alex Noren,49,8.54,14,164,9.14
70,71,69,Kevin Streelman,63,8.56,22,257,9.14
71,72,62,Chris Stroud,54,8.59,14,163,9.14
72,73,83,Nick Taylor,70,8.65,23,266,9.13
73,T74,T70,John Huh,35,8.66,11,127,9.13
74,T74,T70,Cameron Smith,55,8.66,11,127,9.13
75,T76,T75,Byeong Hun An,54,8.72,13,149,9.12
76,T76,T75,Tyrrell Hatton,46,8.72,13,149,9.12
77,T76,T75,Si Woo Kim,65,8.72,13,149,9.12
78,79,79,Patton Kizzire,58,8.75,14,160,9.12
79,80,27,Richy Werenski,63,8.77,20,228,9.12
80,T81,T81,Abraham Ancer,69,8.81,17,193,9.11
81,T81,T81,Jason Kokrak,68,8.81,20,227,9.11
82,83,78,Jim Herman,37,8.85,10,113,9.11
83,84,58,Wes Roach,45,8.87,11,124,9.11
84,85,999,Shane Lowry,30,8.89,8,90,9.11
85,86,84,Bill Haas,58,8.93,20,224,9.1
86,87,86,Beau Hossler,66,9.0,19,211,9.1
87,88,96,Scott Brown,66,9.05,19,210,9.09
88,89,123,José de Jesús Rodríguez,51,9.09,13,143,9.09
89,90,87,Johnson Wagner,45,9.15,15,164,9.08
90,91,99,J.J. Henry,42,9.22,13,141,9.07
91,T92,T89,Anirban Lahiri,54,9.26,15,162,9.07
92,T92,T89,Charl Schwartzel,34,9.26,5,54,9.07
93,94,T91,D.A. Points,33,9.3,8,86,9.07
94,T95,T93,Matthew Fitzpatrick,42,9.35,13,139,9.06
95,T95,T93,Billy Horschel,73,9.35,20,214,9.06
96,97,98,Jason Day,45,9.43,10,106,9.05
97,98,T70,Nate Lashley,44,9.49,13,137,9.05
98,99,100,Matt Wallace,31,9.52,10,105,9.04
99,100,T119,Joey Garber,44,9.57,11,115,9.04
100,101,101,Patrick Rodgers,44,9.58,16,167,9.04
101,102,T93,Bud Cauley,61,9.59,21,219,9.04
102,103,102,Ryan Blaum,67,9.61,22,229,9.03
103,104,103,Keith Mitchell,64,9.66,17,176,9.03
104,T105,T106,Ian Poulter,49,9.7,13,134,9.03
105,T105,T106,Patrick Reed,53,9.7,16,165,9.03
106,107,108,Rory Sabbatini,71,9.72,21,216,9.02
