,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,1,T1,Ernie Els,43,"1' 10""",269,502.0
1,T2,T3,James Hahn,34,"1' 11""",210,410.417
2,T2,T3,Matt Jones,67,"1' 11""",475,907.4169999999999
3,T2,T1,Rod Pampling,40,"1' 11""",310,604.6669999999999
4,T2,T3,Vaughn Taylor,69,"1' 11""",565,1105.0
5,T6,T6,Byeong Hun An,54,"2' 0""",413,834.75
6,T6,T6,Corey Conners,62,"2' 0""",491,987.25
7,T6,T6,Ben Crane,41,"2' 0""",292,578.0
8,T6,T6,Tony Finau,61,"2' 0""",444,894.1669999999999
9,T6,T6,Jim Furyk,53,"2' 0""",445,896.5830000000001
10,T6,T6,Sergio Garcia,39,"2' 0""",294,588.75
11,T6,T6,Brian Gay,79,"2' 0""",594,1193.833
12,T6,T21,Cody Gribble,52,"2' 0""",433,883.1669999999999
13,T6,T6,Charley Hoffman,58,"2' 0""",366,735.75
14,T6,T21,Tom Hoge,70,"2' 0""",515,1047.0
15,T6,T6,Zach Johnson,50,"2' 0""",410,822.0830000000001
16,T6,T6,Matt Kuchar,65,"2' 0""",515,1041.333
17,T6,T6,Kevin Na,54,"2' 0""",352,711.0
18,T6,T21,Alex Noren,49,"2' 0""",371,742.4169999999999
19,T6,T6,Charl Schwartzel,34,"2' 0""",146,295.33299999999997
20,T6,T6,Cameron Smith,55,"2' 0""",332,661.8330000000001
21,T6,T21,D.J. Trahan,33,"2' 0""",221,442.0
22,T6,T21,Kevin Tway,62,"2' 0""",494,1001.6669999999999
23,T6,T21,Peter Uihlein,65,"2' 0""",440,890.4169999999999
24,T6,T6,Jhonattan Vegas,60,"2' 0""",522,1064.0
25,T26,T21,Ryan Armour,66,"2' 1""",512,1045.917
26,T26,T52,Dominic Bozzelli,53,"2' 1""",331,683.5
27,T26,T6,Keegan Bradley,65,"2' 1""",516,1065.583
28,T26,T21,Patrick Cantlay,49,"2' 1""",334,696.0830000000001
29,T26,T52,Bud Cauley,61,"2' 1""",531,1121.417
30,T26,T52,Alex Cejka,41,"2' 1""",290,609.5
31,T26,T21,Stewart Cink,33,"2' 1""",218,460.583
32,T26,T21,Matt Every,38,"2' 1""",261,543.4169999999999
