,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Brady Schnell,38,"68' 4""",68.333,1,,68
1,2,2,Lucas Glover,62,"63' 10""",127.667,2,,46
2,3,3,Roger Sloan,62,"49' 9""",99.5,2,,49
3,4,,Jim Herman,37,"49' 7""",49.583,1,,50
4,5,5,Harold Varner III,62,"45' 2""",45.167,1,,45
5,6,6,Brendan Steele,50,"43' 0""",43.0,1,,43
6,7,,Hank Lebioda,55,"42' 6""",42.5,1,,43
7,8,50,Scott Brown,66,"41' 7""",83.083,2,,23
8,9,7,John Senden,39,"41' 3""",82.5,2,,4
9,T10,T8,Julián Etulain,55,"40' 5""",121.167,3,,21
10,T10,T8,J.B. Holmes,54,"40' 5""",40.417,1,,40
11,12,10,Ryan Blaum,67,"38' 1""",114.167,3,,3
12,13,11,Francesco Molinari,41,"37' 5""",37.417,1,,37
13,14,12,Nick Watney,67,"37' 0""",74.0,2,,19
14,15,13,Sebastián Muñoz,58,"36' 9""",110.25,3,,32
15,16,14,Chesson Hadley,58,"36' 5""",109.167,3,,6
16,17,15,Jason Day,45,"36' 2""",72.333,2,,33
17,18,16,Jordan Spieth,57,"35' 7""",35.583,1,,36
18,19,17,Michael Thompson,56,"34' 6""",103.583,3,,18
19,20,4,Brandt Snedeker,68,"32' 11""",65.75,2,,20
20,21,18,Emiliano Grillo,65,"32' 7""",163.0,5,,2
21,22,19,Charley Hoffman,58,"32' 6""",64.917,2,,10
22,23,20,Andrew Landry,56,"31' 4""",31.333000000000002,1,,31
23,24,999,Martin Piller,30,"31' 1""",31.083000000000002,1,,31
24,25,21,David Hearn,41,"30' 2""",30.166999999999998,1,,30
25,26,22,Lucas Bjerregaard,37,"29' 4""",58.583,2,,18
26,27,23,Talor Gooch,37,"29' 3""",58.417,2,,28
27,28,151,Peter Uihlein,65,"29' 1""",87.167,3,,8
28,29,24,Mackenzie Hughes,58,"29' 0""",87.0,3,,5
29,30,26,Seamus Power,58,"28' 5""",85.333,3,,9
30,31,27,Satoshi Kodaira,51,"27' 10""",27.833000000000002,1,,28
31,32,28,Chris Kirk,47,"27' 5""",82.333,3,,6
32,33,29,Andrew Putnam,57,"27' 4""",27.333000000000002,1,,27
33,34,30,Corey Conners,62,"27' 1""",27.083000000000002,1,,27
34,35,31,Branden Grace,62,"26' 6""",79.583,3,,24
35,36,32,Brian Harman,67,"26' 5""",52.833,2,,6
36,37,33,Bill Haas,58,"26' 4""",52.667,2,,2
37,38,34,Chase Wright,53,"25' 11""",25.916999999999998,1,,26
38,39,36,Russell Henley,56,"25' 8""",25.666999999999998,1,,26
39,40,37,Brooks Koepka,49,"25' 7""",51.083,2,,15
40,41,38,Henrik Stenson,46,"25' 4""",25.333000000000002,1,,25
41,42,39,Ryan Moore,54,"25' 2""",75.5,3,,22
42,43,40,Tony Finau,61,"25' 1""",150.25,6,,5
43,44,41,Keith Mitchell,64,"25' 0""",149.75,6,,11
44,45,42,Rickie Fowler,54,"24' 5""",122.25,5,,4
45,46,43,Daniel Berger,48,"24' 4""",24.333000000000002,1,,24
46,47,44,Fabián Gómez,44,"24' 3""",96.917,4,,8
47,48,45,Matt Wallace,31,"24' 2""",48.333,2,,17
48,49,46,Webb Simpson,53,"24' 0""",72.0,3,,14
49,50,47,Ernie Els,43,"23' 10""",47.667,2,,9
50,51,48,Justin Harding,31,"23' 8""",23.666999999999998,1,,24
51,52,49,Tiger Woods,31,"23' 6""",93.833,4,,9
52,53,53,Luke List,52,"22' 10""",68.583,3,,18
53,54,54,John Chin,38,"22' 6""",22.5,1,,23
54,55,55,Stewart Cink,33,"22' 2""",44.333,2,,5
55,56,35,Martin Laird,60,"22' 0""",66.083,3,,7
56,57,56,Harris English,72,"21' 5""",128.5,6,,5
57,58,T57,Jonas Blixt,66,"20' 5""",40.75,2,,5
58,T59,59,Joel Dahmen,78,"20' 4""",60.917,3,,11
59,T59,T72,Joaquin Niemann,68,"20' 4""",101.667,5,,10
60,61,60,Sam Burns,66,"20' 3""",162.25,8,,6
61,T62,T61,Max Homa,61,"20' 0""",100.167,5,,2
62,T62,T61,Johnson Wagner,45,"20' 0""",59.917,3,,8
63,64,63,Zach Johnson,50,"19' 11""",59.75,3,,14
64,65,T64,Sung Kang,67,"19' 9""",79.0,4,,13
65,T66,,Dominic Bozzelli,53,"19' 8""",19.667,1,,20
66,T66,T66,Jason Dufner,56,"19' 8""",39.333,2,,17
67,T66,T66,Billy Horschel,73,"19' 8""",58.917,3,,13
68,69,68,Alex Noren,49,"19' 6""",58.5,3,,5
69,70,69,Carlos Ortiz,60,"19' 5""",58.25,3,,10
70,71,70,Seth Reeves,52,"19' 2""",38.333,2,,18
71,72,71,Gary Woodland,63,"19' 1""",114.583,6,,3
72,73,T51,Adam Hadwin,66,"18' 8""",56.083,3,,10
73,74,T72,Phil Mickelson,41,"18' 7""",37.083,2,,3
74,75,74,James Hahn,34,"18' 4""",55.083,3,,10
75,76,75,Paul Casey,51,"18' 3""",73.083,4,,11
76,77,76,Brian Gay,79,"18' 2""",18.167,1,,18
77,78,T51,J.J. Henry,42,"17' 11""",35.833,2,,13
78,79,78,Justin Rose,42,"17' 2""",34.25,2,,2
79,T80,T57,Wyndham Clark,61,"17' 1""",51.167,3,,10
80,T80,79,Patrick Reed,53,"17' 1""",34.167,2,,11
81,T82,T80,Sam Saunders,53,"16' 11""",16.917,1,,17
82,T82,T80,Kyle Stanley,53,"16' 11""",33.833,2,,12
83,84,82,Kiradech Aphibarnrat,49,"16' 9""",16.75,1,,17
84,T85,T83,Alex Prugh,54,"16' 8""",50.083,3,,9
85,T85,T83,Kevin Tway,62,"16' 8""",33.25,2,,6
86,87,77,Nick Taylor,70,"16' 7""",82.75,5,,1
87,T88,T85,Aaron Baddeley,51,"16' 5""",16.417,1,,16
88,T88,T85,Rafa Cabrera Bello,57,"16' 5""",49.25,3,,6
89,T90,T88,Cameron Champ,58,"16' 3""",65.0,4,,6
90,T90,T88,Cody Gribble,52,"16' 3""",64.917,4,,2
91,T92,T90,Graeme McDowell,61,"16' 2""",48.583,3,,13
92,T92,T90,Kevin Na,54,"16' 2""",80.917,5,,3
93,T92,T90,Ryan Palmer,56,"16' 2""",32.25,2,,14
94,95,93,Abraham Ancer,69,"15' 10""",15.833,1,,16
95,96,94,Si Woo Kim,65,"15' 9""",15.75,1,,16
96,97,164,Bubba Watson,47,"15' 8""",46.917,3,,4
97,98,25,Joey Garber,44,"15' 4""",30.666999999999998,2,,2
98,99,T64,Tom Hoge,70,"15' 2""",45.5,3,,5
99,T100,T95,Keegan Bradley,65,"15' 1""",45.25,3,,12
100,T100,T95,Scott Piercy,70,"15' 1""",45.167,3,,11
101,102,97,Haotong Li,32,"15' 0""",30.0,2,,7
102,103,98,Matt Kuchar,65,"14' 11""",44.75,3,,13
103,T104,T99,Kevin Kisner,65,"14' 10""",14.833,1,,15
104,T104,T99,Hudson Swafford,59,"14' 10""",44.5,3,,4
105,T104,T99,Martin Trainer,51,"14' 10""",59.333,4,,9
106,107,102,Jhonattan Vegas,60,"14' 7""",72.75,5,,10
107,108,104,Chez Reavie,67,"14' 4""",28.583000000000002,2,,7
108,109,105,Dylan Frittelli,55,"14' 2""",70.667,5,,7
109,110,T106,Grayson Murray,36,"14' 1""",42.333,3,,6
110,T111,149,Sungjae Im,88,"14' 0""",83.917,6,,6
111,T111,108,Aaron Wise,52,"14' 0""",28.0,2,,4
112,113,87,Sangmoon Bae,42,"13' 10""",27.666999999999998,2,,11
113,114,109,Bud Cauley,61,"13' 6""",54.083,4,,4
114,115,110,Adam Schenk,80,"13' 5""",40.25,3,,3
115,116,111,Scott Stallings,63,"13' 3""",26.416999999999998,2,,10
116,117,999,Tyrone Van Aswegen,30,"12' 9""",38.167,3,,5
117,118,112,Adam Scott,41,"12' 8""",12.667,1,,13
118,119,103,Rory McIlroy,50,"12' 6""",74.917,6,,3
119,T120,T113,Scott Langley,60,"12' 5""",24.833000000000002,2,,11
120,T120,T113,Cameron Smith,55,"12' 5""",12.417,1,,12
121,122,T115,Richy Werenski,63,"12' 4""",12.333,1,,12
122,123,T115,Justin Thomas,49,"12' 2""",36.5,3,,12
123,124,117,Anders Albertson,48,"12' 1""",24.166999999999998,2,,11
124,125,118,Kelly Kraft,67,"12' 0""",23.916999999999998,2,,10
125,T126,T119,Jim Knous,55,"11' 11""",23.833000000000002,2,,4
126,T126,T119,J.T. Poston,76,"11' 11""",71.667,6,,2
127,T126,T119,Patrick Rodgers,44,"11' 11""",71.667,6,,4
128,T129,T122,Matt Jones,67,"11' 8""",35.083,3,,2
129,T129,T122,Adam Svensson,51,"11' 8""",46.5,4,,5
130,T131,T124,Charles Howell III,64,"11' 7""",46.25,4,,8
131,T131,T124,Trey Mullinax,67,"11' 7""",34.75,3,,3
132,T133,T126,Vaughn Taylor,69,"11' 5""",45.5,4,,6
133,T133,T126,Cameron Tringale,52,"11' 5""",11.417,1,,11
134,135,128,Troy Merritt,42,"11' 1""",33.25,3,,4
135,136,129,Roberto Castro,54,"11' 0""",11.0,1,,11
136,137,130,Ollie Schniederjans,63,"10' 10""",32.417,3,,5
137,138,131,Bronson Burgoon,37,"10' 7""",10.583,1,,11
138,139,132,Brian Stuard,76,"10' 6""",10.5,1,,11
139,140,133,Kyle Jones,49,"10' 5""",10.417,1,,10
140,T141,T134,Jim Furyk,53,"10' 2""",10.167,1,,10
141,T141,T134,Denny McCarthy,63,"10' 2""",30.583000000000002,3,,5
142,143,136,Pat Perez,52,"10' 1""",40.25,4,,6
143,144,138,Rory Sabbatini,71,"9' 11""",49.583,5,,3
144,T145,T139,Tommy Fleetwood,43,"9' 10""",58.917,6,,3
145,T145,,Shane Lowry,30,"9' 10""",9.833,1,,10
146,147,141,Matthew Fitzpatrick,42,"9' 8""",19.333,2,,6
147,T148,T142,Kramer Hickok,59,"9' 6""",9.5,1,,10
