,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,2,Curtis Luck,51,"84' 10""",32591,32,"4' 9""","172' 6"""
1,2,1,Stewart Cink,33,"84' 9""",21365,21,"4' 9""","132' 2"""
2,T3,T3,Justin Harding,31,"84' 7""",12178,12,"4' 9""","151' 5"""
3,T3,T3,Jordan Spieth,57,"84' 7""",45691,45,"4' 10""","154' 3"""
4,5,6,Andrew Putnam,57,"83' 10""",36233,36,"4' 8""","174' 3"""
5,6,8,Sam Ryder,52,"81' 0""",38885,40,"4' 7""","144' 5"""
6,7,5,Sepp Straka,48,"80' 6""",30916,32,"4' 6""","146' 11"""
7,8,9,Charl Schwartzel,34,"80' 4""",14463,15,"4' 6""","117' 2"""
8,9,7,Denny McCarthy,63,"80' 2""",45196,47,"4' 6""","146' 11"""
9,10,999,Martin Piller,30,"79' 4""",16182,17,"4' 6""","135' 3"""
10,11,T11,Graeme McDowell,61,"79' 3""",38042,40,"4' 6""","123' 8"""
11,T12,T13,Rickie Fowler,54,"78' 7""",42434,45,"4' 5""","132' 5"""
12,T12,T13,Justin Rose,42,"78' 7""",27338,29,"4' 5""","120' 11"""
13,14,999,Shane Lowry,30,"78' 6""",19790,21,"4' 5""","127' 7"""
14,15,16,Cameron Champ,58,"78' 4""",45103,48,"4' 5""","147' 6"""
15,16,15,Peter Uihlein,65,"78' 3""",40384,43,"4' 4""","128' 1"""
16,17,17,Vaughn Taylor,69,"78' 1""",54371,58,"4' 4""","141' 1"""
17,T18,T19,Jason Day,45,"77' 10""",23355,25,"4' 4""","108' 6"""
18,T18,10,Johnson Wagner,45,"77' 10""",29873,32,"4' 4""","126' 5"""
19,T18,T19,Tiger Woods,31,"77' 10""",19623,21,"4' 5""","118' 11"""
20,T21,T21,Joel Dahmen,78,"77' 7""",52136,56,"4' 4""","153' 5"""
21,T21,T21,Bryson DeChambeau,45,"77' 7""",35391,38,"4' 4""","138' 7"""
22,T21,T35,Danny Lee,66,"77' 7""",51181,55,"4' 4""","139' 0"""
23,T21,T21,Patrick Rodgers,44,"77' 7""",35381,38,"4' 5""","199' 8"""
24,T25,T26,Beau Hossler,66,"77' 5""",47358,51,"4' 4""","140' 11"""
25,T25,T11,Dustin Johnson,47,"77' 5""",31589,34,"4' 4""","159' 9"""
26,27,28,Adam Scott,41,"77' 4""",22274,24,"4' 4""","165' 2"""
27,28,T33,Cameron Tringale,52,"77' 3""",31516,34,"4' 4""","147' 11"""
28,29,30,John Senden,39,"77' 2""",22212,24,"4' 4""","168' 1"""
29,T30,T31,Sam Burns,66,"77' 0""",49881,54,"4' 4""","122' 6"""
30,T30,T31,Kevin Na,54,"77' 0""",30480,33,"4' 4""","164' 1"""
31,T32,T33,Rory Sabbatini,71,"76' 11""",49867,54,"4' 4""","152' 11"""
32,T32,25,Ben Silverman,54,"76' 11""",38747,42,"4' 3""","154' 4"""
33,T34,T35,Aaron Baddeley,51,"76' 7""",34924,38,"4' 4""","135' 9"""
34,T34,T35,Lucas Glover,62,"76' 7""",48728,53,"4' 4""","155' 11"""
35,T36,T40,Chesson Hadley,58,"76' 4""",38471,42,"4' 3""","149' 6"""
36,T36,T40,Sung Kang,67,"76' 4""",48532,53,"4' 4""","114' 10"""
37,T36,T40,"Ted Potter, Jr.",56,"76' 4""",39401,43,"4' 3""","153' 0"""
38,39,29,Dominic Bozzelli,53,"76' 3""",30191,33,"4' 3""","111' 7"""
39,T40,T62,Roberto Díaz,51,"76' 2""",30175,33,"4' 3""","175' 2"""
40,T40,T21,Nate Lashley,44,"76' 2""",28335,31,"4' 3""","116' 8"""
41,T40,T44,Matt Wallace,31,"76' 2""",20109,22,"4' 4""","154' 1"""
42,43,18,Talor Gooch,37,"75' 11""",28228,31,"4' 3""","143' 7"""
43,44,49,Michael Thompson,56,"75' 10""",45499,50,"4' 3""","147' 2"""
44,45,39,Kelly Kraft,67,"75' 8""",42687,47,"4' 3""","123' 7"""
45,46,T35,Chase Wright,53,"75' 6""",35347,39,"4' 3""","134' 5"""
46,47,50,Nick Taylor,70,"75' 4""",53345,59,"4' 3""","132' 1"""
47,T48,T53,Kiradech Aphibarnrat,49,"75' 3""",29809,33,"4' 3""","123' 3"""
48,T48,48,Whee Kim,57,"75' 3""",28006,31,"4' 3""","117' 4"""
49,50,56,Billy Horschel,73,"75' 2""",40597,45,"4' 3""","139' 6"""
50,51,T40,John Chin,38,"75' 1""",19822,22,"4' 3""","129' 11"""
51,T52,T26,Lucas Bjerregaard,37,"75' 0""",19800,22,"4' 3""","179' 7"""
52,T52,T46,Cameron Davis,54,"75' 0""",33301,37,"4' 2""","131' 2"""
53,T52,T57,Kevin Kisner,65,"75' 0""",38707,43,"4' 3""","117' 0"""
54,T52,T44,Adam Schenk,80,"75' 0""",54005,60,"4' 3""","151' 4"""
55,T56,T80,Hank Lebioda,55,"74' 11""",35045,39,"4' 3""","143' 4"""
56,T56,T80,Brandt Snedeker,68,"74' 11""",43129,48,"4' 3""","136' 0"""
57,T58,T59,Charley Hoffman,58,"74' 10""",31423,35,"4' 2""","138' 11"""
58,T58,T59,Ryan Moore,54,"74' 10""",38611,43,"4' 3""","133' 10"""
59,T58,T46,Roger Sloan,62,"74' 10""",43118,48,"4' 2""","128' 2"""
60,61,T62,Ian Poulter,49,"74' 9""",26912,30,"4' 3""","133' 5"""
61,62,T51,Chris Stroud,54,"74' 7""",35816,40,"4' 3""","136' 4"""
62,T63,67,Wyndham Clark,61,"74' 4""",41916,47,"4' 2""","124' 10"""
63,T63,T69,Anirban Lahiri,54,"74' 4""",35695,40,"4' 2""","155' 8"""
64,T63,T62,Peter Malnati,64,"74' 4""",47267,53,"4' 2""","156' 1"""
65,T63,T69,Keith Mitchell,64,"74' 4""",36571,41,"4' 2""","147' 5"""
66,T67,87,Sangmoon Bae,42,"74' 3""",23178,26,"4' 2""","114' 4"""
67,T67,T51,Matt Every,38,"74' 3""",22282,25,"4' 2""","109' 1"""
68,T67,T57,Brian Gay,79,"74' 3""",51696,58,"4' 2""","167' 5"""
69,T67,T73,Martin Laird,60,"74' 3""",43635,49,"4' 2""","146' 1"""
70,71,71,Xander Schauffele,55,"74' 2""",31160,35,"4' 2""","110' 1"""
71,T72,T59,Austin Cook,50,"74' 1""",31127,35,"4' 2""","144' 5"""
72,T72,72,Pat Perez,52,"74' 1""",25778,29,"4' 2""","143' 9"""
73,T72,T53,Shawn Stefani,57,"74' 1""",34680,39,"4' 2""","128' 9"""
74,75,T73,Charles Howell III,64,"73' 11""",38137,43,"4' 2""","173' 0"""
75,T76,T53,Julián Etulain,55,"73' 10""",32777,37,"4' 2""","131' 1"""
76,T76,T62,Joey Garber,44,"73' 10""",23036,26,"4' 2""","118' 10"""
77,T78,T76,Ryan Blaum,67,"73' 9""",46893,53,"4' 2""","134' 5"""
78,T78,T62,Ben Crane,41,"73' 9""",23895,27,"4' 1""","99' 0"""
79,T78,68,Richy Werenski,63,"73' 9""",45115,51,"4' 2""","126' 6"""
80,T81,T78,Patton Kizzire,58,"73' 8""",32700,37,"4' 1""","142' 3"""
81,T81,T78,Haotong Li,32,"73' 8""",17674,20,"4' 2""","115' 10"""
82,T83,97,Sungjae Im,88,"73' 6""",59949,68,"4' 2""","139' 7"""
83,T83,T80,Kyoung-Hoon Lee,72,"73' 6""",40594,46,"4' 1""","123' 6"""
84,T83,T90,Sebastián Muñoz,58,"73' 6""",35270,40,"4' 2""","151' 7"""
85,86,T84,Jonas Blixt,66,"73' 4""",45736,52,"4' 2""","146' 11"""
86,87,T84,Gary Woodland,63,"73' 3""",37801,43,"4' 2""","132' 8"""
87,88,T76,Jim Knous,55,"72' 11""",32357,37,"4' 1""","132' 7"""
88,89,T73,Brooks Koepka,49,"72' 10""",26233,30,"4' 1""","145' 7"""
89,90,T102,Webb Simpson,53,"72' 9""",39274,45,"4' 1""","132' 5"""
90,91,T88,Jason Kokrak,68,"72' 8""",46190,53,"4' 1""","119' 1"""
91,T92,T94,Kyle Jones,49,"72' 6""",30433,35,"4' 1""","153' 11"""
92,T92,T90,J.T. Poston,76,"72' 6""",55688,64,"4' 1""","150' 9"""
93,T92,T90,Cameron Smith,55,"72' 6""",28708,33,"4' 1""","124' 10"""
94,T95,T104,Rory McIlroy,50,"72' 5""",32157,37,"4' 1""","124' 5"""
95,T95,93,Phil Mickelson,41,"72' 5""",26084,30,"4' 1""","147' 1"""
96,T97,T94,Abraham Ancer,69,"72' 4""",42509,49,"4' 1""","175' 1"""
97,T97,T94,Si Woo Kim,65,"72' 4""",33846,39,"4' 1""","150' 3"""
98,T97,T84,Scott Piercy,70,"72' 4""",43386,50,"4' 1""","152' 9"""
99,100,98,Freddie Jacobson,37,"72' 2""",20794,24,"4' 0""","122' 11"""
100,T101,99,D.A. Points,33,"72' 1""",16434,19,"4' 0""","121' 0"""
101,T101,116,Ollie Schniederjans,63,"72' 1""",40641,47,"4' 1""","155' 0"""
102,103,119,José de Jesús Rodríguez,51,"72' 0""",30246,35,"4' 0""","120' 9"""
103,T104,T100,Max Homa,61,"71' 11""",41437,48,"4' 1""","138' 7"""
104,T104,T100,Jhonattan Vegas,60,"71' 11""",40565,47,"4' 1""","153' 0"""
105,106,T88,Ryan Armour,66,"71' 9""",42209,49,"4' 0""","139' 4"""
106,T107,106,Patrick Cantlay,49,"71' 8""",28383,33,"4' 0""","149' 7"""
107,T107,T102,Brady Schnell,38,"71' 8""",22364,26,"4' 0""","121' 7"""
108,T109,T107,Matt Jones,67,"71' 6""",38616,45,"4' 0""","125' 7"""
109,T109,T107,Patrick Reed,53,"71' 6""",31758,37,"4' 0""","139' 8"""
110,T111,T126,Scott Brown,66,"71' 5""",41128,48,"4' 1""","138' 2"""
111,T111,T104,Ryan Palmer,56,"71' 5""",33440,39,"4' 0""","114' 5"""
112,113,111,Rafa Cabrera Bello,57,"71' 4""",30825,36,"4' 0""","115' 6"""
113,114,T112,Hunter Mahan,45,"71' 3""",28201,33,"3' 12""","122' 7"""
114,T115,115,Bronson Burgoon,37,"71' 2""",24773,29,"4' 0""","135' 6"""
115,T115,141,Wes Roach,45,"71' 2""",24766,29,"3' 12""","165' 8"""
116,T117,T112,Harris English,72,"71' 0""",49389,58,"4' 0""","159' 0"""
117,T117,T107,J.J. Spaun,68,"71' 0""",39194,46,"3' 12""","112' 0"""
118,119,136,Seamus Power,58,"70' 11""",37429,44,"4' 0""","123' 0"""
