,Average_Putting_Distance_-_All_2_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_2_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_2_putts_PLAYER NAME,Average_Putting_Distance_-_All_2_putts_ROUNDS,Average_Putting_Distance_-_All_2_putts_AVG,Average_Putting_Distance_-_All_2_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_2_putts_TOTAL PUTTS
0,1,1,Justin Harding,31,"25' 10""",3205.667,124
1,2,2,Harris English,72,"25' 7""",14973.417,586
2,3,3,Cameron Champ,58,"25' 2""",12361.667,491
3,4,T5,Graeme McDowell,61,"24' 10""",9471.583,381
4,5,4,Sangmoon Bae,42,"24' 9""",6455.8330000000005,261
5,6,9,Matt Wallace,31,"24' 7""",5131.5,209
6,T7,8,Kyle Jones,49,"24' 6""",8907.833,363
7,T7,T10,Marc Leishman,52,"24' 6""",8374.0,342
8,T7,T10,Pat Perez,52,"24' 6""",6941.1669999999995,283
9,T7,T5,Chase Wright,53,"24' 6""",9807.917,401
10,T11,T13,Stewart Cink,33,"24' 5""",5052.25,207
11,T11,T13,Rickie Fowler,54,"24' 5""",11001.5,450
12,T11,T13,Patton Kizzire,58,"24' 5""",8999.417,369
13,T14,7,Alex Noren,49,"24' 4""",8595.0,353
14,T14,T16,Brandt Snedeker,68,"24' 4""",11073.25,455
15,T16,19,Aaron Baddeley,51,"24' 3""",8498.75,351
16,T16,T16,Bill Haas,58,"24' 3""",11702.417,483
17,T16,T10,Johnson Wagner,45,"24' 3""",8111.4169999999995,334
18,T19,T20,Martin Kaymer,38,"24' 2""",8178.25,338
19,T19,T20,Kevin Kisner,65,"24' 2""",10483.667,434
20,T19,T31,José de Jesús Rodríguez,51,"24' 2""",7781.0,322
21,T22,T31,Wyndham Clark,61,"24' 1""",10996.083,456
22,T22,T25,Billy Horschel,73,"24' 1""",11060.167,460
23,T22,T20,Sungjae Im,88,"24' 1""",16136.333,670
24,T22,T25,Sung Kang,67,"24' 1""",12534.75,521
25,T22,T25,Denny McCarthy,63,"24' 1""",11269.167,468
26,T22,T20,Carlos Ortiz,60,"24' 1""",12434.75,517
27,T22,T31,J.J. Spaun,68,"24' 1""",11540.417,480
28,T29,T20,Dominic Bozzelli,53,"24' 0""",7718.4169999999995,322
29,T29,T25,John Chin,38,"24' 0""",5697.1669999999995,237
30,T29,T31,James Hahn,34,"24' 0""",4935.583,206
31,T29,T35,Matt Kuchar,65,"24' 0""",11658.75,486
32,T29,T35,Adam Schenk,80,"24' 0""",14664.917,612
33,T29,T25,Robert Streb,60,"24' 0""",11340.667,472
34,T35,T35,Kiradech Aphibarnrat,49,"23' 11""",7553.0,316
35,T35,T35,Charles Howell III,64,"23' 11""",10658.833,445
36,T35,T25,Martin Laird,60,"23' 11""",11952.833,499
