,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Si Woo Kim,65,37.28,258,692
1,2,3,Bryson DeChambeau,45,36.79,181,492
2,3,4,Gary Woodland,63,36.5,277,759
3,4,2,Justin Thomas,49,36.49,216,592
4,T5,5,Wyndham Clark,61,35.92,245,682
5,T5,6,Jason Day,45,35.92,176,490
6,7,7,Jordan Spieth,57,35.48,220,620
7,8,9,Patrick Cantlay,49,35.3,191,541
8,9,18,Rory McIlroy,50,35.27,206,584
9,10,10,Justin Rose,42,35.2,157,446
10,11,8,Matt Every,38,35.05,143,408
11,12,12,Dominic Bozzelli,53,34.67,207,597
12,13,13,Rickie Fowler,54,34.56,225,651
13,14,11,Brooks Koepka,49,34.53,183,530
14,15,15,Adam Scott,41,34.39,163,474
15,16,16,Cameron Champ,58,34.38,242,704
16,17,17,Phil Mickelson,41,34.37,155,451
17,18,19,Jon Rahm,51,34.2,184,538
18,T19,T20,Marc Leishman,52,34.12,202,592
19,T19,T20,Andrew Putnam,57,34.12,216,633
20,21,14,Aaron Wise,52,34.1,208,610
21,22,22,Xander Schauffele,55,34.0,220,647
22,23,T23,Justin Harding,31,33.95,92,271
23,24,25,Tiger Woods,31,33.72,115,341
24,25,26,Brandon Harkins,67,33.69,249,739
25,26,T23,Bud Cauley,61,33.56,242,721
26,27,27,Ryan Palmer,56,33.54,219,653
27,28,29,Rafa Cabrera Bello,57,33.33,208,624
28,29,30,Hideki Matsuyama,59,33.24,231,695
29,30,31,Byeong Hun An,54,33.17,202,609
30,31,33,Dustin Johnson,47,33.15,184,555
31,32,32,Sam Ryder,52,33.12,205,619
32,33,28,Denny McCarthy,63,33.0,228,691
33,34,37,Sungjae Im,88,32.97,335,1016
