,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Justin Harding,31,103.14,159,9,155
1,2,2,Andrew Putnam,57,102.79,502,24,492
2,3,3,Stewart Cink,33,102.67,300,18,290
3,4,4,Beau Hossler,66,102.41,705,30,692
4,5,999,Shane Lowry,30,102.4,292,17,282
5,6,5,Denny McCarthy,63,102.19,639,25,628
6,7,7,Graeme McDowell,61,102.04,539,21,529
7,8,8,Justin Rose,42,101.81,387,13,381
8,T9,9,Rickie Fowler,54,101.79,615,24,602
9,T9,6,Talor Gooch,37,101.79,448,21,435
10,11,10,Patrick Rodgers,44,101.69,534,26,517
11,12,11,Jordan Spieth,57,101.65,605,32,583
12,13,12,Cameron Smith,55,101.47,477,18,466
13,14,13,Harold Varner III,62,101.34,749,27,732
14,15,15,Jon Rahm,51,101.23,486,15,477
15,16,17,Peter Malnati,64,101.21,743,23,729
16,17,T18,Bryson DeChambeau,45,101.15,521,20,507
17,18,20,Sam Burns,66,101.07,751,25,734
18,19,T18,Sebastián Muñoz,58,101.04,575,21,560
19,20,16,Scott Piercy,70,100.99,709,25,691
20,T21,14,Nate Lashley,44,100.94,426,15,415
21,T21,T23,Charl Schwartzel,34,100.94,213,9,206
22,23,T41,Rory McIlroy,50,100.93,537,21,521
23,24,999,Martin Piller,30,100.9,223,10,215
24,25,T23,Brian Gay,79,100.87,803,27,783
25,T26,25,Daniel Berger,48,100.84,598,17,586
26,T26,29,Harris English,72,100.84,833,23,817
27,28,T26,Webb Simpson,53,100.78,643,19,629
28,T29,22,Julián Etulain,55,100.77,517,13,508
29,T29,T26,Adam Hadwin,66,100.77,651,18,638
30,31,T34,Brendan Steele,50,100.72,559,19,544
31,T32,T36,Abraham Ancer,69,100.71,708,29,684
32,T32,T30,Nick Taylor,70,100.71,842,30,818
33,T34,21,Dominic Bozzelli,53,100.67,446,11,438
34,T34,38,Ryan Moore,54,100.67,598,20,582
35,36,39,Charles Howell III,64,100.65,615,19,600
36,37,40,Hunter Mahan,45,100.64,471,14,460
37,38,T41,Billy Horschel,73,100.62,646,25,625
38,T39,45,Ernie Els,43,100.52,383,10,375
39,T39,T32,Chris Stroud,54,100.52,577,23,557
40,41,46,Joel Dahmen,78,100.5,801,34,771
41,42,47,C.T. Pan,64,100.49,607,19,591
42,T43,T34,Curtis Luck,51,100.45,442,21,423
43,T43,T66,Brandt Snedeker,68,100.45,664,21,646
44,45,28,Scott Langley,60,100.43,697,19,681
45,T46,T30,Brian Harman,67,100.42,716,19,700
46,T46,49,Nick Watney,67,100.42,719,23,699
47,T48,T36,Justin Thomas,49,100.41,486,11,477
48,T48,T83,Cameron Tringale,52,100.41,491,21,472
49,50,50,Brian Stuard,76,100.38,788,27,764
50,51,52,Tony Finau,61,100.33,602,19,585
51,52,53,Tiger Woods,31,100.32,309,14,296
52,53,T54,Matt Jones,67,100.31,649,23,628
53,54,T54,Roger Sloan,62,100.29,696,23,675
54,55,56,Ryan Blaum,67,100.27,749,21,730
55,56,57,Lucas Glover,62,100.26,766,32,736
56,57,58,Pat Perez,52,100.24,409,13,397
57,58,59,Tyrrell Hatton,46,100.23,443,14,430
58,59,60,Patrick Cantlay,49,100.22,465,13,453
59,60,48,Dustin Johnson,47,100.21,480,19,462
60,T61,61,Sam Ryder,52,100.18,543,18,526
61,T61,44,Chase Wright,53,100.18,542,14,529
62,63,T78,Dylan Frittelli,55,100.16,639,19,621
63,64,T62,Ollie Schniederjans,63,100.15,667,20,648
64,65,43,Carlos Ortiz,60,100.14,698,17,682
65,T66,64,Jonas Blixt,66,100.0,744,21,723
66,T66,T66,Matt Every,38,100.0,356,11,345
67,T66,T66,Charley Hoffman,58,100.0,484,16,468
68,T66,T66,Kevin Kisner,65,100.0,598,18,580
69,T66,T83,José de Jesús Rodríguez,51,100.0,494,9,485
70,T66,T66,Rory Sabbatini,71,100.0,760,27,733
71,T66,65,Adam Schenk,80,100.0,850,26,824
72,T66,51,Robert Streb,60,100.0,647,16,631
73,T66,85,Johnson Wagner,45,100.0,451,16,435
74,75,75,Michael Thompson,56,99.86,706,23,682
75,76,76,Max Homa,61,99.85,682,16,665
76,T77,T66,Wyndham Clark,61,99.84,642,13,628
77,T77,T62,Corey Conners,62,99.84,645,22,622
78,79,T78,Chesson Hadley,58,99.83,593,17,575
79,80,T66,Ryan Palmer,56,99.82,552,12,539
80,81,T80,Austin Cook,50,99.8,497,16,480
81,82,82,Paul Casey,51,99.78,464,14,449
82,83,86,John Huh,35,99.75,394,11,382
83,T84,88,Kelly Kraft,67,99.7,662,21,639
84,T84,77,J.J. Spaun,68,99.7,669,22,645
85,86,T89,John Chin,38,99.69,324,12,311
86,87,T32,Peter Uihlein,65,99.67,614,26,586
87,88,T89,Chez Reavie,67,99.66,588,17,569
88,89,T91,Anirban Lahiri,54,99.65,567,19,546
89,90,93,Patrick Reed,53,99.63,536,18,516
90,91,T102,Bud Cauley,61,99.62,785,24,758
91,T92,T95,James Hahn,34,99.6,253,7,245
92,T92,T95,Martin Kaymer,38,99.6,504,21,481
93,T94,T98,Kiradech Aphibarnrat,49,99.56,456,13,441
94,T94,T98,Kyle Stanley,53,99.56,458,11,445
95,96,119,Wes Roach,45,99.53,422,12,408
96,97,100,Gary Woodland,63,99.52,621,22,596
97,T98,T91,Brice Garnett,63,99.5,597,16,578
98,T98,101,Vaughn Taylor,69,99.5,803,25,774
99,100,104,Danny Lee,66,99.48,774,24,746
100,101,T102,Keith Mitchell,64,99.47,569,17,549
101,102,106,Jim Knous,55,99.46,552,16,533
