,GIR_Putting_-_20-25_RANK THIS WEEK,GIR_Putting_-_20-25_RANK LAST WEEK,GIR_Putting_-_20-25_PLAYER NAME,GIR_Putting_-_20-25_ROUNDS,GIR_Putting_-_20-25_%,GIR_Putting_-_20-25_ATTEMPTS,GIR_Putting_-_20-25_PUTTS MADE
0,1,999,Martin Piller,30,30.43,23,7.0
1,2,2,Tiger Woods,31,28.57,28,8.0
2,3,1,Curtis Luck,51,27.78,36,10.0
3,4,3,Bryson DeChambeau,45,25.45,55,14.0
4,5,4,Justin Harding,31,25.0,20,5.0
5,6,5,Charley Hoffman,58,24.44,45,11.0
6,7,999,Shane Lowry,30,23.81,42,10.0
7,8,7,Tommy Fleetwood,43,23.08,26,6.0
8,9,8,Johnson Wagner,45,22.58,31,7.0
9,10,9,Nick Watney,67,21.43,70,15.0
10,11,10,Sung Kang,67,21.31,61,13.0
11,12,35,Roberto Castro,54,21.28,47,10.0
12,T13,T12,James Hahn,34,20.83,24,5.0
13,T13,6,Sebastián Muñoz,58,20.83,48,10.0
14,T13,T12,Andrew Putnam,57,20.83,48,10.0
15,16,14,Rory McIlroy,50,20.37,54,11.0
16,17,T15,Anirban Lahiri,54,20.0,45,9.0
17,T18,T17,Billy Horschel,73,19.72,71,14.0
18,T18,T17,Beau Hossler,66,19.72,71,14.0
19,20,19,Vaughn Taylor,69,19.7,66,13.0
20,21,20,Kevin Kisner,65,19.61,51,10.0
21,22,11,Austin Cook,50,19.44,36,7.0
22,23,23,Freddie Jacobson,37,19.23,26,5.0
23,24,24,Patton Kizzire,58,19.15,47,9.0
24,25,25,Pat Perez,52,18.92,37,7.0
25,26,22,Anders Albertson,48,18.6,43,8.0
26,27,26,Patrick Rodgers,44,18.52,54,10.0
27,28,28,Bud Cauley,61,18.46,65,12.0
28,29,21,Peter Uihlein,65,18.37,49,9.0
29,30,29,Aaron Baddeley,51,17.95,39,7.0
30,31,30,Peter Malnati,64,17.91,67,12.0
31,32,T38,Sangmoon Bae,42,17.65,34,6.0
32,33,T15,Dustin Johnson,47,17.5,40,7.0
33,T34,31,J.T. Poston,76,17.39,92,16.0
34,T34,T48,Cameron Tringale,52,17.39,46,8.0
35,36,T32,Matt Jones,67,17.31,52,9.0
36,37,T36,Charles Howell III,64,17.02,47,8.0
37,38,34,Scott Piercy,70,16.92,65,11.0
38,39,47,Martin Laird,60,16.67,60,10.0
39,40,41,Troy Merritt,42,16.28,43,7.0
40,T41,T32,Webb Simpson,53,16.07,56,9.0
41,T41,42,Gary Woodland,63,16.07,56,9.0
42,43,43,Branden Grace,62,15.91,44,7.0
43,44,T36,Daniel Berger,48,15.69,51,8.0
44,45,T38,Jim Herman,37,15.63,32,5.0
45,T46,T45,Abraham Ancer,69,15.58,77,12.0
46,T46,T45,Jason Kokrak,68,15.58,77,12.0
47,T48,27,Lucas Bjerregaard,37,15.38,26,4.0
48,T48,T48,Martin Kaymer,38,15.38,52,8.0
49,50,40,Harold Varner III,62,15.29,85,13.0
50,51,52,Jon Rahm,51,15.22,46,7.0
51,52,44,Denny McCarthy,63,14.75,61,9.0
52,53,53,Graeme McDowell,61,14.71,68,10.0
