,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,T1,T1,Dominic Bozzelli,53,100.0,19,19
1,T1,T1,David Hearn,41,100.0,18,18
2,T1,T1,José de Jesús Rodríguez,51,100.0,17,17
3,T1,T1,Sam Saunders,53,100.0,25,25
4,T1,T1,Adam Scott,41,100.0,19,19
5,T1,T1,Adam Svensson,51,100.0,21,21
6,T1,T1,Matt Wallace,31,100.0,13,13
7,8,9,Peter Malnati,64,97.37,38,37
8,9,14,Justin Thomas,49,96.43,28,27
9,T10,T10,Beau Hossler,66,96.15,26,25
10,T10,T10,Cameron Smith,55,96.15,26,25
11,12,12,Adam Hadwin,66,96.0,25,24
12,13,13,Jon Rahm,51,95.65,23,22
13,14,T1,Graeme McDowell,61,95.45,22,21
14,T15,15,Patrick Cantlay,49,95.24,21,20
15,T15,T19,Ryan Palmer,56,95.24,21,20
16,17,T23,Kyle Jones,49,95.0,20,19
17,T18,T16,Justin Rose,42,94.74,19,18
18,T18,T16,Brendan Steele,50,94.74,19,18
19,20,22,Nick Taylor,70,94.59,37,35
20,T21,T23,Bronson Burgoon,37,94.12,17,16
21,T21,T23,Pat Perez,52,94.12,17,16
22,T23,T26,Cameron Champ,58,93.33,30,28
23,T23,T26,Freddie Jacobson,37,93.33,15,14
24,25,T29,Denny McCarthy,63,92.59,27,25
25,T26,T34,Jim Herman,37,92.31,13,12
26,T26,28,Marc Leishman,52,92.31,26,24
27,T28,T29,Troy Merritt,42,92.0,25,23
28,T28,T31,Sebastián Muñoz,58,92.0,25,23
29,30,T31,Seth Reeves,52,91.67,24,22
30,T31,T34,Stewart Cink,33,90.91,11,10
31,T31,T34,Si Woo Kim,65,90.91,33,30
32,T31,T34,Andrew Landry,56,90.91,22,20
33,T31,T34,Louis Oosthuizen,43,90.91,11,10
34,T31,T34,Chez Reavie,67,90.91,22,20
35,T36,41,Seamus Power,58,90.63,32,29
36,T36,T44,Roger Sloan,62,90.63,32,29
37,T38,T42,Aaron Baddeley,51,90.48,21,19
38,T38,T44,Bill Haas,58,90.48,21,19
39,T38,T49,Brian Harman,67,90.48,21,19
40,T38,T42,Patrick Reed,53,90.48,21,19
41,T42,T44,Nate Lashley,44,90.0,10,9
42,T42,T16,Carlos Ortiz,60,90.0,20,18
43,T44,48,Sam Burns,66,89.66,29,26
44,T44,T61,Webb Simpson,53,89.66,29,26
45,46,T54,Brandon Harkins,67,89.58,48,43
46,47,T19,Jim Knous,55,89.47,19,17
47,T48,T51,Ryan Blaum,67,89.29,28,25
48,T48,T34,Alex Noren,49,89.29,28,25
49,T48,T51,Gary Woodland,63,89.29,28,25
50,51,53,Abraham Ancer,69,89.19,37,33
51,T52,T54,Matt Jones,67,88.89,27,24
52,T52,T54,Chris Kirk,47,88.89,18,16
53,T52,T54,Ollie Schniederjans,63,88.89,27,24
54,T52,T54,Brandt Snedeker,68,88.89,27,24
55,56,59,Nick Watney,67,88.46,26,23
56,T57,T64,Sungjae Im,88,88.24,51,45
57,T57,60,Grayson Murray,36,88.24,17,15
58,59,T67,Daniel Berger,48,88.0,25,22
59,60,T44,Wyndham Clark,61,87.88,33,29
60,T61,T67,Russell Henley,56,87.5,24,21
61,T61,T71,Matt Kuchar,65,87.5,32,28
62,T61,T64,Kyoung-Hoon Lee,72,87.5,24,21
63,T64,T77,Matt Every,38,86.96,23,20
64,T64,T67,Michael Kim,51,86.96,23,20
65,T64,T67,Sam Ryder,52,86.96,23,20
66,T64,T93,Henrik Stenson,46,86.96,23,20
67,T68,T71,Jason Day,45,86.67,15,13
68,T68,T85,Talor Gooch,37,86.67,15,13
69,T68,T71,J.J. Henry,42,86.67,15,13
70,T68,T71,J.T. Poston,76,86.67,30,26
71,T72,T93,Scott Langley,60,86.36,22,19
72,T72,T82,Aaron Wise,52,86.36,22,19
73,74,76,Charles Howell III,64,86.21,29,25
74,T75,T82,Sergio Garcia,39,85.71,21,18
75,T75,T77,Kevin Kisner,65,85.71,14,12
76,T75,T61,Danny Lee,66,85.71,28,24
77,T75,T19,Peter Uihlein,65,85.71,21,18
78,T75,T77,Tiger Woods,31,85.71,14,12
79,T80,80,Byeong Hun An,54,85.29,34,29
80,T80,63,Scott Piercy,70,85.29,34,29
81,T82,T85,Roberto Castro,54,85.19,27,23
82,T82,T85,Brian Gay,79,85.19,27,23
83,T82,T99,Brooks Koepka,49,85.19,27,23
84,T82,81,Ryan Moore,54,85.19,27,23
85,T82,T103,Harold Varner III,62,85.19,27,23
86,87,T82,Andrew Putnam,57,85.0,20,17
87,T88,T85,Julián Etulain,55,84.62,26,22
88,T88,T85,Chesson Hadley,58,84.62,26,22
89,T88,T85,Martin Kaymer,38,84.62,26,22
90,T88,T31,Chase Wright,53,84.62,13,11
91,92,92,Corey Conners,62,84.38,32,27
92,T93,T93,Kiradech Aphibarnrat,49,84.21,19,16
93,T93,T93,Joel Dahmen,78,84.21,38,32
94,T93,T103,Stephan Jaeger,59,84.21,19,16
95,96,98,Rory Sabbatini,71,84.09,44,37
96,97,102,Hideki Matsuyama,59,83.87,31,26
97,T98,T116,Lucas Bjerregaard,37,83.33,12,10
98,T98,T112,John Chin,38,83.33,18,15
99,T98,T112,Tyler Duncan,66,83.33,18,15
100,T98,T103,Rickie Fowler,54,83.33,18,15
101,T98,T135,Jim Furyk,53,83.33,24,20
102,T98,T116,Brice Garnett,63,83.33,12,10
103,T98,T103,Fabián Gómez,44,83.33,12,10
104,T98,T103,Satoshi Kodaira,51,83.33,12,10
105,T98,T116,Sepp Straka,48,83.33,12,10
106,T98,999,Chris Thompson,34,83.33,12,10
107,108,108,Rafa Cabrera Bello,57,82.76,29,24
108,T109,T125,Zach Johnson,50,82.61,23,19
109,T109,T109,Patrick Rodgers,44,82.61,23,19
110,T109,T109,Jordan Spieth,57,82.61,23,19
111,T109,T109,Shawn Stefani,57,82.61,23,19
112,T113,T112,Jason Kokrak,68,82.35,34,28
113,T113,T112,Ian Poulter,49,82.35,17,14
114,115,T135,Rory McIlroy,50,82.14,28,23
115,T116,66,Martin Laird,60,81.82,33,27
116,T116,T116,Ben Silverman,54,81.82,22,18
117,118,T131,Adam Schenk,80,81.58,38,31
118,T119,T120,Emiliano Grillo,65,81.48,27,22
119,T119,T120,Max Homa,61,81.48,27,22
120,T119,T99,Mackenzie Hughes,58,81.48,27,22
121,T119,T120,Luke List,52,81.48,27,22
122,T123,T160,Harris English,72,81.25,32,26
123,T123,T123,Chris Stroud,54,81.25,16,13
124,T125,T135,Roberto Díaz,51,80.95,21,17
125,T125,T125,Dylan Frittelli,55,80.95,21,17
126,T125,T148,Whee Kim,57,80.95,21,17
127,T125,T125,Phil Mickelson,41,80.95,21,17
128,T125,T155,J.J. Spaun,68,80.95,21,17
129,T125,T125,Kyle Stanley,53,80.95,21,17
130,T125,T49,Josh Teater,47,80.95,21,17
131,T125,T135,Bubba Watson,47,80.95,21,17
132,T133,T99,Scott Brown,66,80.77,26,21
133,T133,T129,Jason Dufner,56,80.77,26,21
134,T133,T129,"Ted Potter, Jr.",56,80.77,26,21
135,T136,T131,Bud Cauley,61,80.56,36,29
136,T136,T131,Kevin Streelman,63,80.56,36,29
137,T136,T131,Michael Thompson,56,80.56,36,29
138,T139,154,Ryan Armour,66,80.0,25,20
139,T139,T135,Bryson DeChambeau,45,80.0,25,20
140,T139,T123,Cody Gribble,52,80.0,20,16
141,T139,T135,John Huh,35,80.0,15,12
142,T139,T93,Kelly Kraft,67,80.0,20,16
143,T139,T135,Anirban Lahiri,54,80.0,25,20
144,T139,T135,Adam Long,52,80.0,20,16
145,T139,T135,Hunter Mahan,45,80.0,20,16
146,T139,999,Martin Piller,30,80.0,10,8
147,T139,T85,Brady Schnell,38,80.0,15,12
148,T139,T155,Cameron Tringale,52,80.0,20,16
149,T139,T135,Jhonattan Vegas,60,80.0,35,28
150,T151,T146,Scott Stallings,63,79.41,34,27
151,T151,T146,Brian Stuard,76,79.41,34,27
152,T153,T148,Matthew Fitzpatrick,42,78.95,19,15
153,T153,T148,Patton Kizzire,58,78.95,19,15
154,T153,T148,Kevin Na,54,78.95,19,15
155,T153,T148,Vaughn Taylor,69,78.95,38,30
156,T157,159,Curtis Luck,51,78.26,23,18
157,T157,T135,Robert Streb,60,78.26,23,18
158,159,T155,Billy Horschel,73,77.78,18,14
159,T160,T155,Kramer Hickok,59,77.27,22,17
160,T160,T178,Danny Willett,47,77.27,22,17
161,162,T167,Jimmy Walker,61,77.14,35,27
162,T163,T160,Tony Finau,61,76.92,26,20
163,T163,T160,Francesco Molinari,41,76.92,13,10
164,165,165,Cameron Davis,54,76.67,30,23
165,166,T171,Hank Lebioda,55,75.86,29,22
