,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,2,Jordan Spieth,57,11.43,175,20
1,2,1,Talor Gooch,37,10.32,126,13
2,T3,T3,Andrew Putnam,57,10.0,130,13
3,T3,T3,Charl Schwartzel,34,10.0,50,5
4,5,5,Stewart Cink,33,9.89,91,9
5,6,10,Kevin Na,54,8.94,123,11
6,7,6,Sepp Straka,48,8.8,125,11
7,8,T8,Whee Kim,57,8.62,116,10
8,9,7,Cameron Tringale,52,8.53,129,11
9,10,14,"Ted Potter, Jr.",56,8.5,153,13
10,11,15,Phil Mickelson,41,8.4,119,10
11,12,12,Chris Stroud,54,8.39,155,13
12,13,16,Rickie Fowler,54,8.38,191,16
13,14,13,Dustin Johnson,47,8.33,144,12
14,15,17,Cameron Smith,55,8.26,121,10
15,16,18,Adam Scott,41,8.08,99,8
16,17,20,Patrick Rodgers,44,7.84,153,12
17,18,T8,Justin Thomas,49,7.81,128,10
18,19,11,Joey Garber,44,7.62,105,8
19,20,T47,Roberto Díaz,51,7.56,119,9
20,21,19,Nick Taylor,70,7.48,254,19
21,22,21,Cameron Davis,54,7.41,135,10
22,23,24,Rory Sabbatini,71,7.32,205,15
23,T24,T27,Si Woo Kim,65,7.25,138,10
24,T24,T27,Sam Ryder,52,7.25,138,10
25,26,30,Matt Wallace,31,7.14,98,7
26,27,32,Tyrrell Hatton,46,7.09,141,10
27,28,22,Kelly Kraft,67,7.03,185,13
28,29,29,Corey Conners,62,7.02,171,12
29,30,T33,Jim Knous,55,7.01,157,11
30,31,35,Cameron Champ,58,7.0,243,17
31,32,26,Shawn Stefani,57,6.95,187,13
32,33,31,Brandt Snedeker,68,6.9,203,14
33,34,23,Nate Lashley,44,6.82,132,9
34,T35,25,Roger Sloan,62,6.81,191,13
35,T35,38,Michael Thompson,56,6.81,191,13
36,37,51,Peter Uihlein,65,6.78,177,12
37,38,39,Gary Woodland,63,6.74,193,13
38,39,T33,Richy Werenski,63,6.7,209,14
39,T40,T49,John Chin,38,6.67,105,7
40,T40,T41,Joel Dahmen,78,6.67,225,15
41,T40,T41,C.T. Pan,64,6.67,165,11
42,T40,T41,Chez Reavie,67,6.67,150,10
43,44,44,Brian Stuard,76,6.63,196,13
44,45,45,Lucas Glover,62,6.58,243,16
45,46,36,Denny McCarthy,63,6.5,200,13
46,47,46,Jason Day,45,6.38,94,6
47,48,40,Fabián Gómez,44,6.36,110,7
48,T49,37,Matt Every,38,6.32,95,6
49,T49,T49,Mackenzie Hughes,58,6.32,190,12
50,51,T47,Scott Langley,60,6.28,191,12
51,T52,999,Shane Lowry,30,6.25,80,5
52,T52,T61,Adam Svensson,51,6.25,144,9
53,54,105,J.J. Henry,42,6.2,129,8
54,T55,T103,Danny Lee,66,6.17,227,14
55,T55,53,Ryan Moore,54,6.17,162,10
56,57,54,John Senden,39,6.14,114,7
57,58,T61,Harold Varner III,62,6.13,212,13
58,T59,T55,Justin Harding,31,6.12,49,3
59,T59,T55,Beau Hossler,66,6.12,196,12
60,T59,T55,Francesco Molinari,41,6.12,98,6
61,T62,T59,Abraham Ancer,69,6.11,180,11
62,T62,T59,Branden Grace,62,6.11,131,8
63,64,T61,Tiger Woods,31,6.06,99,6
64,65,66,Xander Schauffele,55,6.04,149,9
65,66,T67,Haotong Li,32,6.02,83,5
66,67,69,Andrew Landry,56,6.0,150,9
67,68,71,Ernie Els,43,5.94,101,6
68,T69,T72,Sam Burns,66,5.91,220,13
69,T69,T72,Matt Jones,67,5.91,203,12
70,T69,T72,Kyoung-Hoon Lee,72,5.91,186,11
71,T69,52,Scott Piercy,70,5.91,220,13
72,T73,T75,Patrick Reed,53,5.88,153,9
73,T73,T61,D.J. Trahan,33,5.88,85,5
74,75,70,Kevin Tway,62,5.85,188,11
75,76,110,Henrik Stenson,46,5.84,154,9
76,77,81,John Huh,35,5.74,122,7
77,78,T116,Sebastián Muñoz,58,5.7,158,9
78,79,83,Ryan Blaum,67,5.69,211,12
79,80,84,Martin Kaymer,38,5.67,141,8
80,81,114,Curtis Luck,51,5.65,124,7
81,82,T55,Jonas Blixt,66,5.63,213,12
82,83,T67,Adam Hadwin,66,5.62,178,10
83,84,77,Austin Cook,50,5.6,125,7
84,85,T87,Rory McIlroy,50,5.59,161,9
85,T86,T85,Rafa Cabrera Bello,57,5.56,144,8
86,T86,T85,Anirban Lahiri,54,5.56,144,8
87,88,T87,Keith Mitchell,64,5.52,163,9
88,T89,T111,Dylan Frittelli,55,5.49,182,10
89,T89,78,Sergio Garcia,39,5.49,91,5
90,91,T61,Alex Noren,49,5.48,146,8
91,92,90,Chesson Hadley,58,5.47,128,7
92,93,79,Ben Silverman,54,5.45,165,9
93,T94,96,Bronson Burgoon,37,5.36,112,6
94,T94,T156,Hank Lebioda,55,5.36,168,9
95,T96,98,Justin Rose,42,5.31,113,6
96,T96,82,J.J. Spaun,68,5.31,207,11
97,98,T75,Stephan Jaeger,59,5.26,171,9
98,99,101,Tony Finau,61,5.23,172,9
99,100,T103,Freddie Jacobson,37,5.21,96,5
100,101,93,Seamus Power,58,5.2,173,9
101,102,106,Kevin Streelman,63,5.16,252,13
102,103,80,Alex Cejka,41,5.15,97,5
103,104,99,Trey Mullinax,67,5.14,214,11
104,T105,T94,Ryan Armour,66,5.1,196,10
105,T105,91,Lucas Bjerregaard,37,5.1,98,5
106,107,97,Anders Albertson,48,5.07,138,7
107,T108,T94,Brady Schnell,38,5.05,99,5
108,T108,113,Vaughn Taylor,69,5.05,198,10
109,T110,92,Cody Gribble,52,5.03,159,8
110,T110,115,Charles Howell III,64,5.03,199,10
111,112,100,Wyndham Clark,61,4.97,181,9
112,113,T116,Byeong Hun An,54,4.96,141,7
113,114,118,Hideki Matsuyama,59,4.95,182,9
114,T115,102,Julián Etulain,55,4.93,142,7
115,T115,122,Matt Kuchar,65,4.93,203,10
116,117,119,Adam Schenk,80,4.89,266,13
117,T118,T152,Sungjae Im,88,4.84,310,15
118,T118,89,Webb Simpson,53,4.84,186,9
119,120,155,Ollie Schniederjans,63,4.81,187,9
