,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
0,1,1,Sepp Straka,48,3.1,29,9.0
1,2,2,Andrew Putnam,57,2.65,34,9.0
2,3,3,Talor Gooch,37,1.94,31,6.0
3,4,4,Jordan Spieth,57,1.82,44,8.0
4,5,T8,Graeme McDowell,61,1.74,23,4.0
5,6,5,Keith Mitchell,64,1.71,41,7.0
6,7,7,Adam Scott,41,1.6,25,4.0
7,T8,T8,Tyrrell Hatton,46,1.58,38,6.0
8,T8,T12,Scott Langley,60,1.58,57,9.0
9,T8,T8,Haotong Li,32,1.58,19,3.0
10,11,T12,Rickie Fowler,54,1.57,51,8.0
11,12,16,Dustin Johnson,47,1.54,39,6.0
12,T13,6,J.J. Henry,42,1.52,33,5.0
13,T13,T14,Nick Taylor,70,1.52,66,10.0
14,T15,T17,Brian Stuard,76,1.46,48,7.0
15,T15,T14,Kevin Tway,62,1.46,48,7.0
16,T17,T17,Wyndham Clark,61,1.43,49,7.0
17,T17,T8,Zach Johnson,50,1.43,42,6.0
18,T17,T19,Patrick Rodgers,44,1.43,28,4.0
19,T20,T21,Corey Conners,62,1.4,57,8.0
20,T20,26,Henrik Stenson,46,1.4,43,6.0
21,T20,T21,Gary Woodland,63,1.4,57,8.0
22,23,T23,John Huh,35,1.39,36,5.0
23,24,25,Lucas Bjerregaard,37,1.36,22,3.0
24,T25,T23,Whee Kim,57,1.35,37,5.0
25,T25,T19,Shawn Stefani,57,1.35,52,7.0
26,27,T28,Si Woo Kim,65,1.32,38,5.0
27,28,30,Curtis Luck,51,1.3,23,3.0
28,T29,T59,John Chin,38,1.29,31,4.0
29,T29,31,John Senden,39,1.29,31,4.0
