,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Stewart Cink,33,1.2,50,6.0
1,2,2,Jordan Spieth,57,1.16,95,11.0
2,3,4,Cameron Smith,55,0.83,72,6.0
3,T4,T6,Ernie Els,43,0.78,51,4.0
4,T4,T6,Charley Hoffman,58,0.78,64,5.0
5,T6,5,Alex Cejka,41,0.75,40,3.0
6,T6,T13,Roberto Díaz,51,0.75,67,5.0
7,T6,8,Phil Mickelson,41,0.75,67,5.0
8,9,9,Rory Sabbatini,71,0.73,110,8.0
9,T10,11,Patrick Cantlay,49,0.68,59,4.0
10,T10,10,Shawn Stefani,57,0.68,88,6.0
11,12,12,Charl Schwartzel,34,0.67,30,2.0
12,13,T15,C.T. Pan,64,0.64,78,5.0
13,T14,T17,Francesco Molinari,41,0.63,48,3.0
14,T14,26,Peter Uihlein,65,0.63,96,6.0
15,T16,T13,Scott Piercy,70,0.62,113,7.0
16,T16,T24,Brandt Snedeker,68,0.62,113,7.0
17,18,22,Chez Reavie,67,0.61,82,5.0
18,T19,T15,Jonas Blixt,66,0.6,117,7.0
19,T19,T27,Sebastián Muñoz,58,0.6,83,5.0
20,T19,T17,Cameron Tringale,52,0.6,67,4.0
21,22,23,Kevin Na,54,0.59,68,4.0
22,23,21,Roger Sloan,62,0.58,103,6.0
23,24,T17,Talor Gooch,37,0.57,70,4.0
24,T25,T27,Joel Dahmen,78,0.56,107,6.0
25,T25,T27,Rickie Fowler,54,0.56,107,6.0
26,T25,T27,Patrick Rodgers,44,0.56,90,5.0
27,T25,T27,Sam Ryder,52,0.56,71,4.0
28,T25,T24,Chris Stroud,54,0.56,72,4.0
29,T30,T34,Cameron Champ,58,0.55,146,8.0
30,T30,T34,Bryson DeChambeau,45,0.55,73,4.0
31,32,39,Emiliano Grillo,65,0.54,93,5.0
32,33,T27,Adam Svensson,51,0.53,76,4.0
33,34,T34,Fabián Gómez,44,0.52,58,3.0
34,T35,T34,Jim Knous,55,0.51,78,4.0
35,T35,41,"Ted Potter, Jr.",56,0.51,79,4.0
36,T37,T42,Abraham Ancer,69,0.5,80,4.0
37,T37,T55,Harold Varner III,62,0.5,119,6.0
38,T39,T44,Jason Dufner,56,0.49,81,4.0
39,T39,T27,Dustin Johnson,47,0.49,81,4.0
40,T39,T44,Russell Knox,65,0.49,123,6.0
41,T42,T46,Byeong Hun An,54,0.48,63,3.0
42,T42,T46,Beau Hossler,66,0.48,104,5.0
43,T42,40,Kelly Kraft,67,0.48,104,5.0
44,T45,T49,Justin Rose,42,0.47,64,3.0
45,T45,T49,Michael Thompson,56,0.47,107,5.0
46,T45,T17,D.J. Trahan,33,0.47,43,2.0
47,T48,T53,Brendan Steele,50,0.46,87,4.0
48,T48,T53,Vaughn Taylor,69,0.46,108,5.0
49,T48,T34,Justin Thomas,49,0.46,65,3.0
50,T51,T55,Bronson Burgoon,37,0.45,66,3.0
51,T51,T46,Cameron Davis,54,0.45,67,3.0
52,T51,T55,Matt Jones,67,0.45,112,5.0
53,T51,999,Shane Lowry,30,0.45,44,2.0
54,T51,T55,John Senden,39,0.45,66,3.0
55,T56,T42,Ben Crane,41,0.44,68,3.0
56,T56,T49,Denny McCarthy,63,0.44,114,5.0
57,T56,T59,Andrew Putnam,57,0.44,68,3.0
58,T56,T59,Jhonattan Vegas,60,0.44,113,5.0
59,T56,T49,Johnson Wagner,45,0.44,90,4.0
60,T56,T59,Tiger Woods,31,0.44,45,2.0
61,T62,T63,Rafa Cabrera Bello,57,0.43,70,3.0
62,T62,T63,Chesson Hadley,58,0.43,70,3.0
63,T62,T63,Charles Howell III,64,0.43,117,5.0
64,T62,T103,Sungjae Im,88,0.43,161,7.0
65,T62,T63,Ryan Moore,54,0.43,70,3.0
66,T62,T63,D.A. Points,33,0.43,46,2.0
67,T62,T63,Seamus Power,58,0.43,94,4.0
68,T69,T63,Austin Cook,50,0.42,71,3.0
69,T69,T59,Brooks Koepka,49,0.42,72,3.0
70,T69,T86,Danny Lee,66,0.42,118,5.0
71,T72,T63,Brian Harman,67,0.4,99,4.0
72,T72,T63,Whee Kim,57,0.4,50,2.0
73,T74,T122,Curtis Luck,51,0.39,77,3.0
74,T74,T122,Joaquin Niemann,68,0.39,77,3.0
75,T76,T74,Ryan Armour,66,0.38,105,4.0
76,T76,T77,Ryan Blaum,67,0.38,106,4.0
77,T76,T77,Sam Burns,66,0.38,131,5.0
78,T76,T63,John Chin,38,0.38,53,2.0
79,T76,T77,Haotong Li,32,0.38,53,2.0
80,T76,T63,Webb Simpson,53,0.38,105,4.0
81,T76,T103,Kevin Tway,62,0.38,105,4.0
82,T76,T77,Matt Wallace,31,0.38,52,2.0
83,T76,T119,Bubba Watson,47,0.38,78,3.0
84,T85,T74,Mackenzie Hughes,58,0.37,107,4.0
