,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1.0,Mackenzie Hughes,58,"85' 8""",AT&T Byron Nelson,1,2
1,2,2.0,Patrick Rodgers,44,"85' 5""",The RSM Classic,4,12
2,3,3.0,Kyle Jones,49,"82' 2""",Safeway Open,2,1
3,4,4.0,Lucas Glover,62,"81' 11""",Waste Management Phoenix Open,2,17
4,5,5.0,Chesson Hadley,58,"80' 9""",Waste Management Phoenix Open,2,17
5,6,6.0,Padraig Harrington,17,"80' 4""",AT&T Byron Nelson,3,2
6,7,7.0,John Senden,39,"78' 5""",AT&T Byron Nelson,2,7
7,8,8.0,Sanghyun Park,15,"77' 7""",World Golf Championships-Mexico Championship,1,16
8,9,9.0,Dylan Frittelli,55,"75' 3""",Farmers Insurance Open,2,12
9,10,10.0,Emiliano Grillo,65,"74' 2""",the Memorial Tournament presented by Nationwide,1,7
10,11,11.0,Vaughn Taylor,69,"73' 11""",THE PLAYERS Championship,3,3
11,12,12.0,Charles Howell III,64,"73' 9""",World Golf Championships-Mexico Championship,1,16
12,13,13.0,Russell Knox,65,"72' 5""",Valspar Championship,3,16
13,14,14.0,Billy Horschel,73,"71' 10""",Farmers Insurance Open,2,7
14,15,15.0,Brice Garnett,63,"71' 4""",Sentry Tournament of Champions,2,13
15,16,16.0,Kevin Dougherty,4,"70' 9""",Shriners Hospitals for Children Open,1,2
16,17,17.0,Jhonattan Vegas,60,"69' 7""",THE PLAYERS Championship,4,17
17,18,18.0,Seamus Power,58,"69' 3""",Wells Fargo Championship,2,1
18,19,19.0,Charley Hoffman,58,"68' 7""",PGA Championship,2,17
19,20,20.0,Brady Schnell,38,"68' 4""",AT&T Byron Nelson,3,7
20,21,146.0,Peter Uihlein,65,"68' 1""",RBC Canadian Open,1,5
21,22,21.0,Ryan Blaum,67,"68' 0""",Waste Management Phoenix Open,2,13
22,23,22.0,Abraham Ancer,69,"67' 5""",Charles Schwab Challenge,4,10
23,24,23.0,Jason Dufner,56,"65' 11""",Safeway Open,1,6
24,25,24.0,Hayden Buckley,4,"65' 9""",Sanderson Farms Championship,2,18
25,26,149.0,Ollie Schniederjans,63,"65' 8""",RBC Canadian Open,2,12
26,27,25.0,Alvaro Ortiz,10,"65' 7""",AT&T Byron Nelson,2,1
27,28,18.0,Seamus Power,58,"65' 5""",Safeway Open,1,5
28,29,26.0,Adam Svensson,51,"64' 1""",Safeway Open,4,6
29,30,27.0,Gary Woodland,63,"63' 11""",Sentry Tournament of Champions,3,15
30,31,28.0,Shawn Stefani,57,"63' 9""",Wells Fargo Championship,4,17
31,32,29.0,Cameron Tringale,52,"63' 1""",Farmers Insurance Open,1,2
32,33,30.0,Jon Rahm,51,"62' 10""",Sentry Tournament of Champions,3,13
33,34,31.0,Justin Rose,42,"62' 6""",PGA Championship,3,12
34,35,32.0,Michael Thompson,56,"61' 10""",the Memorial Tournament presented by Nationwide,4,15
35,36,33.0,Sam Burns,66,"60' 10""",RBC Heritage,3,4
36,37,34.0,Rory Sabbatini,71,"60' 7""",the Memorial Tournament presented by Nationwide,3,6
37,38,12.0,Charles Howell III,64,"60' 6""",Arnold Palmer Invitational presented by Mastercard,4,17
38,39,17.0,Jhonattan Vegas,60,"60' 5""",Shriners Hospitals for Children Open,2,2
39,40,269.0,Scott Brown,66,"60' 0""",RBC Canadian Open,2,17
40,41,35.0,Bronson Burgoon,37,"59' 11""",PGA Championship,2,14
41,42,36.0,Adam Schenk,80,"59' 7""",The RSM Classic,4,3
42,43,37.0,Cameron Champ,58,"59' 6""",Waste Management Phoenix Open,4,8
43,44,38.0,Davis Riley,4,"59' 3""",AT&T Byron Nelson,1,9
44,45,34.0,Rory Sabbatini,71,"59' 2""",Valspar Championship,2,18
45,T46,23.0,Jason Dufner,56,"58' 7""",The Honda Classic,2,16
46,T46,79.0,Sungjae Im,88,"58' 7""",RBC Canadian Open,2,13
47,48,39.0,Steve Stricker,20,"58' 6""",PGA Championship,2,14
48,49,40.0,Lucas Bjerregaard,37,"58' 1""",PGA Championship,3,18
