,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Aaron Baddeley,51,45.1,414,918
1,2,2,Justin Rose,42,44.88,307,684
2,3,3,Si Woo Kim,65,44.81,484,1080
3,T4,T4,Jordan Spieth,57,44.44,432,972
4,T4,T4,Vaughn Taylor,69,44.44,536,1206
5,6,11,Dominic Bozzelli,53,44.01,404,918
6,7,9,Wyndham Clark,61,43.79,465,1062
7,8,6,Peter Malnati,64,43.7,472,1080
8,9,7,Bud Cauley,61,43.62,479,1098
9,10,8,Kiradech Aphibarnrat,49,43.6,361,828
10,11,10,Anirban Lahiri,54,43.56,392,900
11,12,12,Curtis Luck,51,43.26,366,846
12,13,13,Patrick Cantlay,49,43.18,342,792
13,14,999,Martin Piller,30,43.15,233,540
14,15,15,Martin Trainer,51,43.03,395,918
15,16,18,José de Jesús Rodríguez,51,42.92,394,918
16,17,17,Cameron Smith,55,42.67,384,900
17,18,16,Scott Langley,60,42.53,444,1044
18,19,19,Francesco Molinari,41,42.48,260,612
19,20,14,Denny McCarthy,63,42.47,451,1062
20,21,21,Andrew Putnam,57,42.41,397,936
21,22,22,Brian Gay,79,42.37,572,1350
22,23,20,Brandt Snedeker,68,42.31,495,1170
23,24,45,Jonathan Byrd,43,42.28,312,738
24,25,23,Jason Day,45,42.22,304,720
25,26,24,Bryson DeChambeau,45,42.2,319,756
26,27,25,Michael Thompson,56,42.16,425,1008
27,28,36,Ben Crane,41,42.14,311,738
28,29,28,Webb Simpson,53,42.11,379,900
29,30,26,Charl Schwartzel,34,42.01,242,576
30,31,27,Sam Ryder,52,41.99,393,936
31,T32,T29,Patton Kizzire,58,41.87,422,1008
32,T32,T29,Rory Sabbatini,71,41.87,505,1206
33,34,48,Adam Hadwin,66,41.76,466,1116
34,35,31,Sam Burns,66,41.75,481,1152
35,36,32,Brian Stuard,76,41.74,541,1296
36,37,33,Ryan Blaum,67,41.71,473,1134
37,T38,T34,Haotong Li,32,41.67,210,504
38,T38,T34,Matt Wallace,31,41.67,210,504
39,40,52,Graeme McDowell,61,41.52,426,1026
40,41,40,Nick Taylor,70,41.5,493,1188
41,42,T41,Roger Sloan,62,41.49,463,1116
42,43,37,Rafa Cabrera Bello,57,41.46,403,972
43,44,38,Marc Leishman,52,41.44,358,864
44,45,39,Freddie Jacobson,37,41.43,261,630
45,46,43,Kevin Kisner,65,41.36,402,972
46,47,999,Shane Lowry,30,41.33,186,450
47,48,46,J.T. Poston,76,41.28,535,1296
48,T49,55,Daniel Berger,48,41.2,356,864
49,T49,47,Justin Harding,31,41.2,178,432
50,51,49,Matt Jones,67,41.18,467,1134
51,T52,54,Stephan Jaeger,59,41.11,407,990
52,T52,65,Zach Johnson,50,41.11,370,900
53,54,50,Brandon Harkins,67,41.09,466,1134
54,55,53,Beau Hossler,66,41.08,488,1188
55,56,71,Danny Lee,66,41.06,473,1152
56,57,51,Dustin Johnson,47,41.04,325,792
57,58,T62,Matt Every,38,41.01,251,612
