,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,T1,Dominic Bozzelli,53,46.53,134,288
1,T2,T1,Andrew Putnam,57,45.93,124,270
2,T2,T1,Jordan Spieth,57,45.93,124,270
3,4,999,Martin Piller,30,45.56,82,180
4,5,4,Aaron Baddeley,51,45.19,122,270
5,6,5,Patrick Reed,53,44.87,105,234
6,7,T6,Bud Cauley,61,44.44,152,342
7,8,9,Kevin Kisner,65,44.07,119,270
8,9,T6,Ben Crane,41,44.02,103,234
9,10,10,Justin Rose,42,43.89,79,180
10,T11,T14,Abraham Ancer,69,43.52,141,324
11,T11,T14,Rory Sabbatini,71,43.52,141,324
12,T11,16,Chris Stroud,54,43.52,141,324
13,14,11,Curtis Luck,51,43.4,125,288
14,T15,19,Roberto Díaz,51,43.33,117,270
15,T15,32,Graeme McDowell,61,43.33,117,270
16,T15,T17,Pat Perez,52,43.33,117,270
17,T15,T17,Sam Ryder,52,43.33,117,270
18,19,20,Si Woo Kim,65,43.21,140,324
19,T20,T21,Patrick Cantlay,49,43.06,93,216
20,T20,T21,Anirban Lahiri,54,43.06,124,288
21,T20,T6,Nate Lashley,44,43.06,93,216
22,T20,999,Shane Lowry,30,43.06,62,144
23,T20,T21,Matt Wallace,31,43.06,62,144
24,25,T40,Danny Lee,66,42.98,147,342
25,T26,13,Fabián Gómez,44,42.86,108,252
26,T26,12,Peter Uihlein,65,42.86,162,378
27,28,28,D.A. Points,33,42.74,100,234
28,29,T29,Bryson DeChambeau,45,42.59,92,216
29,T30,T29,Scott Langley,60,42.4,145,342
30,T30,T29,Denny McCarthy,63,42.4,145,342
31,T32,33,Phil Mickelson,41,42.13,91,216
32,T32,24,Justin Thomas,49,42.13,91,216
33,T34,T34,Rafa Cabrera Bello,57,42.06,106,252
34,T34,T34,J.T. Poston,76,42.06,159,378
35,T34,T26,Ollie Schniederjans,63,42.06,159,378
36,T37,25,Stephan Jaeger,59,41.98,136,324
37,T37,T47,Peter Malnati,64,41.98,136,324
38,39,36,Vaughn Taylor,69,41.94,151,360
39,40,37,Marc Leishman,52,41.88,98,234
40,41,38,Michael Thompson,56,41.83,128,306
41,T42,T40,Kiradech Aphibarnrat,49,41.67,105,252
42,T42,39,Brandon Harkins,67,41.67,150,360
43,T42,T40,Beau Hossler,66,41.67,150,360
44,T42,T40,Charl Schwartzel,34,41.67,90,216
45,46,46,Joel Dahmen,78,41.53,157,378
46,47,50,Ernie Els,43,41.45,97,234
47,T48,T26,Matt Every,38,41.41,82,198
48,T48,51,Martin Kaymer,38,41.41,82,198
