,One-Putt_Percentage_-_Round_3_RANK THIS WEEK,One-Putt_Percentage_-_Round_3_RANK LAST WEEK,One-Putt_Percentage_-_Round_3_PLAYER NAME,One-Putt_Percentage_-_Round_3_%,One-Putt_Percentage_-_Round_3_# OF 1 PUTTS,One-Putt_Percentage_-_Round_3_# OF HOLES
0,1,1,Aaron Baddeley,53.54,106,198
1,2,3,Sergio Garcia,49.07,53,108
2,3,4,Seamus Power,48.61,70,144
3,4,5,Patrick Cantlay,48.33,87,180
4,T5,T6,Kiradech Aphibarnrat,48.15,78,162
5,T5,T6,Patrick Rodgers,48.15,78,162
6,T7,2,Dustin Johnson,47.98,95,198
7,T7,8,Cameron Smith,47.98,95,198
8,9,9,Chez Reavie,47.86,112,234
9,10,11,Si Woo Kim,46.76,101,216
10,11,12,Freddie Jacobson,46.67,42,90
11,T12,999,Martin Piller,46.3,50,108
12,T12,13,Brady Schnell,46.3,50,108
13,14,14,Sam Burns,46.15,108,234
14,15,15,Brandon Harkins,45.83,99,216
15,T16,T16,Jason Day,45.68,74,162
16,T16,T16,Nate Lashley,45.68,74,162
17,T18,T18,John Huh,45.56,41,90
18,T18,T24,Scott Langley,45.56,82,180
19,T18,T18,Vaughn Taylor,45.56,123,270
20,21,20,Andrew Putnam,45.45,90,198
21,22,21,Tony Finau,45.3,106,234
22,T23,10,Mackenzie Hughes,45.0,81,180
23,T23,T37,Zach Johnson,45.0,81,180
24,T25,T65,Jonathan Byrd,44.44,72,162
25,T25,27,Adam Hadwin,44.44,112,252
26,T25,T24,Justin Rose,44.44,72,162
27,T25,22,Robert Streb,44.44,64,144
28,29,26,Matt Jones,44.05,111,252
29,30,28,Kramer Hickok,43.94,87,198
30,T31,T29,Chesson Hadley,43.89,79,180
31,T31,T29,Ian Poulter,43.89,79,180
32,T33,T44,Ben Crane,43.83,71,162
33,T33,31,Adam Scott,43.83,71,162
34,T33,T54,Bubba Watson,43.83,71,162
35,36,32,Ryan Armour,43.59,102,234
36,T37,23,Dominic Bozzelli,43.33,78,180
37,T37,T35,Bronson Burgoon,43.33,39,90
38,T37,T74,Roberto Castro,43.33,78,180
39,T37,T35,Julián Etulain,43.33,78,180
40,T41,T37,Cameron Davis,43.21,70,162
41,T41,T37,Bryson DeChambeau,43.21,70,162
42,T41,34,Brian Gay,43.21,140,324
43,T44,T41,Rafa Cabrera Bello,43.16,101,234
44,T44,T41,Russell Knox,43.16,101,234
45,46,T44,Martin Trainer,43.06,62,144
46,T47,T46,Kyoung-Hoon Lee,42.96,116,270
47,T47,T46,J.T. Poston,42.96,116,270
48,49,48,Sung Kang,42.86,108,252
49,T50,T37,Daniel Berger,42.78,77,180
50,T50,T74,Alex Noren,42.78,77,180
51,52,49,Jason Kokrak,42.71,123,288
52,T53,T50,Wyndham Clark,42.59,92,216
53,T53,T50,Haotong Li,42.59,46,108
54,T55,T52,Denny McCarthy,42.42,84,198
55,T55,T52,Kevin Na,42.42,84,198
56,T57,T54,Troy Merritt,42.36,61,144
57,T57,T57,Brandt Snedeker,42.36,122,288
58,T57,T54,Kyle Stanley,42.36,61,144
59,T60,T57,Paul Casey,42.22,76,180
60,T60,T57,Matthew Fitzpatrick,42.22,76,180
61,T60,999,Shane Lowry,42.22,38,90
62,T60,T57,Aaron Wise,42.22,76,180
63,T64,T61,Bud Cauley,42.13,91,216
64,T64,T61,Patton Kizzire,42.13,91,216
65,T66,63,Chris Kirk,42.06,53,126
66,T66,T41,Jimmy Walker,42.06,106,252
67,68,64,Brian Stuard,41.85,113,270
68,T69,T65,Martin Kaymer,41.67,60,144
69,T69,T65,Curtis Luck,41.67,60,144
70,T69,T65,Brendan Steele,41.67,60,144
71,T69,T65,Hudson Swafford,41.67,75,180
72,T69,T65,Matt Wallace,41.67,45,108
73,74,73,Charley Hoffman,41.41,82,198
74,75,T74,Hunter Mahan,41.36,67,162
75,76,33,Talor Gooch,41.27,52,126
76,T77,77,Xander Schauffele,41.2,89,216
77,T77,T95,Peter Uihlein,41.2,89,216
78,T79,T78,Alex Cejka,41.11,37,90
79,T79,94,Harris English,41.11,111,270
80,T79,T78,Scott Piercy,41.11,111,270
81,82,80,C.T. Pan,41.03,96,234
82,T83,T81,Whee Kim,40.97,59,144
83,T83,T81,Adam Long,40.97,59,144
84,T83,T81,Rory Sabbatini,40.97,118,288
85,86,T84,Scott Stallings,40.91,81,198
86,T87,87,Hideki Matsuyama,40.87,103,252
87,T87,T99,J.J. Spaun,40.87,103,252
88,T89,T103,Sangmoon Bae,40.74,44,108
89,T89,T88,Roberto Díaz,40.74,66,162
90,T89,T84,Webb Simpson,40.74,88,216
91,92,92,Joel Dahmen,40.63,117,288
92,T93,T107,Danny Lee,40.6,95,234
93,T93,93,Nick Watney,40.6,95,234
94,95,T101,Cameron Tringale,40.56,73,180
95,T96,T88,Joey Garber,40.48,51,126
96,T96,T125,Matt Kuchar,40.48,102,252
97,T96,72,Nick Taylor,40.48,102,252
98,T99,T95,Bill Haas,40.4,80,198
99,T99,T95,Patrick Reed,40.4,80,198
100,101,T84,Scott Brown,40.28,87,216
101,T102,98,Peter Malnati,40.17,94,234
102,T102,T99,Keith Mitchell,40.17,94,234
103,104,T101,Tyrrell Hatton,40.12,65,162
104,T105,T88,Jim Furyk,40.0,72,180
105,T105,T103,Anirban Lahiri,40.0,72,180
106,T105,T140,Wes Roach,40.0,72,180
107,108,106,Corey Conners,39.9,79,198
108,T109,T107,John Chin,39.81,43,108
109,T109,T125,Roger Sloan,39.81,86,216
110,T109,T107,Jordan Spieth,39.81,86,216
111,T112,T120,Keegan Bradley,39.74,93,234
112,T112,T111,Rickie Fowler,39.74,93,234
113,T112,T111,Trey Mullinax,39.74,93,234
114,T115,T113,David Hearn,39.68,50,126
115,T115,T113,Grayson Murray,39.68,50,126
116,T115,T65,D.J. Trahan,39.68,50,126
