,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Si Woo Kim,65,1.54,1663,1080
1,2,2,Justin Rose,42,1.541,1054,684
2,3,3,Aaron Baddeley,51,1.544,1417,918
3,4,4,Jordan Spieth,57,1.5490000000000002,1506,972
4,5,5,Peter Malnati,64,1.5530000000000002,1677,1080
5,6,6,Wyndham Clark,61,1.557,1654,1062
6,7,10,Dominic Bozzelli,53,1.561,1433,918
7,8,7,Vaughn Taylor,69,1.5619999999999998,1884,1206
8,T9,T8,Kiradech Aphibarnrat,49,1.5630000000000002,1294,828
9,T9,T8,Patrick Cantlay,49,1.5630000000000002,1238,792
10,T9,999,Martin Piller,30,1.5630000000000002,844,540
11,12,T11,Brian Gay,79,1.5719999999999998,2122,1350
12,13,T18,José de Jesús Rodríguez,51,1.5730000000000002,1444,918
13,14,T15,Brandt Snedeker,68,1.574,1841,1170
14,T15,T15,Sam Burns,66,1.575,1814,1152
15,T15,T41,Jonathan Byrd,43,1.575,1162,738
16,T15,T11,Scott Langley,60,1.575,1644,1044
17,T15,T15,Michael Thompson,56,1.575,1588,1008
18,T19,14,Bud Cauley,61,1.5759999999999998,1730,1098
19,T19,T11,Ollie Schniederjans,63,1.5759999999999998,1730,1098
20,T19,T18,Brian Stuard,76,1.5759999999999998,2043,1296
21,22,T21,Francesco Molinari,41,1.577,965,612
22,T23,T23,Rickie Fowler,54,1.578,1534,972
23,T23,38,Zach Johnson,50,1.578,1420,900
24,T23,T28,Curtis Luck,51,1.578,1335,846
25,T23,T23,Rory Sabbatini,71,1.578,1903,1206
26,27,T25,Kevin Kisner,65,1.579,1535,972
27,28,27,Cameron Smith,55,1.58,1422,900
28,T29,T30,Jason Day,45,1.5819999999999999,1139,720
29,T29,T21,Denny McCarthy,63,1.5819999999999999,1680,1062
30,T29,T30,Andrew Putnam,57,1.5819999999999999,1481,936
31,T29,T32,Martin Trainer,51,1.5819999999999999,1452,918
32,T33,T32,Ryan Blaum,67,1.5830000000000002,1795,1134
33,T33,T32,Justin Harding,31,1.5830000000000002,684,432
34,T33,T39,Stephan Jaeger,59,1.5830000000000002,1567,990
35,T33,T32,Sam Ryder,52,1.5830000000000002,1482,936
36,T33,T32,Charl Schwartzel,34,1.5830000000000002,912,576
37,T38,T18,Julián Etulain,55,1.584,1454,918
38,T38,46,Webb Simpson,53,1.584,1426,900
39,40,T47,Graeme McDowell,61,1.585,1626,1026
40,T41,T39,Anirban Lahiri,54,1.5859999999999999,1427,900
41,T41,T32,Chris Stroud,54,1.5859999999999999,1427,900
42,T43,50,Jonas Blixt,66,1.587,1828,1152
43,T43,T41,Bryson DeChambeau,45,1.587,1200,756
44,T43,T61,Harris English,72,1.587,2000,1260
45,T43,T41,Matt Wallace,31,1.587,800,504
46,T47,T63,Adam Hadwin,66,1.588,1772,1116
47,T47,T28,Dustin Johnson,47,1.588,1258,792
48,T47,T44,Brady Schnell,38,1.588,1086,684
49,T47,T25,Richy Werenski,63,1.588,1744,1098
50,T51,T47,Tony Finau,61,1.59,1603,1008
51,T51,T47,Patton Kizzire,58,1.59,1603,1008
52,T53,67,Ben Crane,41,1.5919999999999999,1175,738
53,T53,T51,Matt Jones,67,1.5919999999999999,1805,1134
54,T53,T44,Kelly Kraft,67,1.5919999999999999,1805,1134
