,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,3,Harris English,72,91.27,1031,941
1,2,1,Wyndham Clark,61,90.93,838,762
2,3,2,Justin Harding,31,90.87,208,189
3,4,T4,Jim Furyk,53,90.55,751,680
4,5,6,Graeme McDowell,61,90.3,701,633
5,6,9,Beau Hossler,66,90.07,906,816
6,7,T4,Dominic Bozzelli,53,89.91,585,526
7,8,7,Denny McCarthy,63,89.89,831,747
8,9,12,Scott Langley,60,89.86,868,780
9,10,8,José de Jesús Rodríguez,51,89.78,636,571
10,T11,10,Brian Harman,67,89.76,908,815
11,T11,14,Brandt Snedeker,68,89.76,859,771
12,13,11,Pat Perez,52,89.75,517,464
13,14,13,Scott Piercy,70,89.59,903,809
14,15,15,Michael Thompson,56,89.46,892,798
15,16,16,Kevin Kisner,65,89.32,768,686
16,17,21,Sam Saunders,53,89.12,855,762
17,18,20,Ernie Els,43,89.05,484,431
18,19,T27,Nick Taylor,70,89.04,1068,951
19,T20,22,Kiradech Aphibarnrat,49,88.93,587,522
20,T20,18,Ben Crane,41,88.93,488,434
21,22,23,Wes Roach,45,88.87,530,471
22,23,24,Billy Horschel,73,88.86,817,726
23,24,25,Martin Kaymer,38,88.84,627,557
24,25,26,Brian Stuard,76,88.83,994,883
25,26,T27,Matt Wallace,31,88.8,393,349
26,27,29,Sam Burns,66,88.78,980,870
27,28,30,Vaughn Taylor,69,88.76,1041,924
28,T29,33,Lucas Glover,62,88.71,948,841
29,T29,31,Seamus Power,58,88.71,815,723
30,31,T43,Rory McIlroy,50,88.68,680,603
31,32,34,C.T. Pan,64,88.66,776,688
32,T33,32,Fabián Gómez,44,88.61,553,490
33,T33,39,Ryan Palmer,56,88.61,711,630
34,T33,35,Jon Rahm,51,88.61,606,537
35,36,T37,Aaron Baddeley,51,88.58,683,605
36,37,45,Whee Kim,57,88.56,568,503
37,T38,T37,Kyle Jones,49,88.46,641,567
38,T38,42,Andrew Landry,56,88.46,797,705
39,40,36,Robert Streb,60,88.43,821,726
40,T41,40,Peter Malnati,64,88.41,966,854
41,T41,19,Chase Wright,53,88.41,699,618
42,43,48,Daniel Berger,48,88.4,767,678
43,44,17,Brady Schnell,38,88.38,482,426
44,45,58,Brian Gay,79,88.31,1052,929
45,46,49,Rickie Fowler,54,88.29,811,716
46,47,T67,Nick Watney,67,88.21,916,808
47,T48,T52,Stewart Cink,33,88.17,372,328
48,T48,T52,John Huh,35,88.17,507,447
49,T48,T100,Henrik Stenson,46,88.17,634,559
50,T51,T71,Danny Lee,66,88.16,997,879
51,T51,54,Andrew Putnam,57,88.16,642,566
52,T53,55,Marc Leishman,52,88.15,650,573
53,T53,50,Jimmy Walker,61,88.15,861,759
54,55,59,Sebastián Muñoz,58,88.13,733,646
55,T56,T60,Charl Schwartzel,34,88.09,277,244
56,T56,66,Martin Trainer,51,88.09,747,658
57,58,62,Si Woo Kim,65,88.08,713,628
58,T59,T56,Jonas Blixt,66,88.07,947,834
59,T59,47,Carlos Ortiz,60,88.07,880,775
60,61,T119,Matt Kuchar,65,88.04,886,780
61,T62,64,Cameron Smith,55,88.03,610,537
62,T62,65,Harold Varner III,62,88.03,961,846
63,64,T84,Webb Simpson,53,88.02,835,735
64,65,51,Adam Schenk,80,88.0,1083,953
