,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Wyndham Clark,61,1.696,1157,682,35.92,159
1,2,2,Si Woo Kim,65,1.7,1180,694,37.28,T156
2,T3,5,Dominic Bozzelli,53,1.7009999999999998,1017,598,34.67,128
3,T3,3,Justin Rose,42,1.7009999999999998,762,448,35.2,118
4,5,4,Jordan Spieth,57,1.703,1059,622,35.48,T161
5,6,6,Andrew Putnam,57,1.7080000000000002,1081,633,34.12,60
6,7,7,Matt Every,38,1.712,702,410,35.05,T72
7,8,T8,Vaughn Taylor,69,1.714,1337,780,32.86,T139
8,9,10,Jason Day,45,1.7169999999999999,845,492,35.92,40
9,10,T12,Aaron Baddeley,51,1.72,1015,590,31.92,155
10,T11,T12,Scott Langley,60,1.722,1109,644,30.53,194
11,T11,T8,Justin Thomas,49,1.722,1028,597,36.49,4
12,T13,14,Patrick Cantlay,49,1.723,934,542,35.3,37
13,T13,11,Bud Cauley,61,1.723,1242,721,33.56,113
14,15,15,Rickie Fowler,54,1.724,1131,656,34.56,63
15,16,T21,Rory McIlroy,50,1.725,1009,585,35.27,9
16,17,16,Patton Kizzire,58,1.7309999999999999,1106,639,31.34,174
17,T18,T17,Bryson DeChambeau,45,1.732,859,496,36.79,114
18,T18,T17,Peter Malnati,64,1.732,1169,675,32.1,182
19,20,T21,Brandon Harkins,67,1.734,1285,741,33.69,121
20,21,24,Sam Ryder,52,1.735,1079,622,33.12,T88
21,T22,T21,Brian Gay,79,1.7380000000000002,1479,851,30.62,178
22,T22,27,Justin Harding,31,1.7380000000000002,471,271,33.95,180
23,T24,T17,Dustin Johnson,47,1.739,965,555,33.15,13
24,T24,T28,Curtis Luck,51,1.739,908,522,31.99,193
25,T24,T28,Troy Merritt,42,1.739,819,471,32.62,30
26,T24,T28,Michael Thompson,56,1.739,1137,654,31.49,135
27,28,31,Ryan Blaum,67,1.74,1225,704,31.62,186
28,T29,T32,Phil Mickelson,41,1.7409999999999999,785,451,34.37,102
