,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
0,1,999,Martin Piller,30,26.92,26,7.0
1,T2,999,Shane Lowry,30,25.0,44,11.0
2,T2,T1,Tiger Woods,31,25.0,28,7.0
3,4,3,Justin Harding,31,24.0,25,6.0
4,5,T1,Curtis Luck,51,23.4,47,11.0
5,6,4,James Hahn,34,23.08,26,6.0
6,7,6,Bryson DeChambeau,45,22.22,63,14.0
7,8,30,Roberto Castro,54,21.57,51,11.0
8,9,5,Nick Watney,67,21.52,79,17.0
9,10,8,Johnson Wagner,45,21.05,38,8.0
10,11,9,Beau Hossler,66,20.99,81,17.0
11,12,10,Patrick Rodgers,44,20.97,62,13.0
12,13,11,Charley Hoffman,58,20.83,48,10.0
13,14,12,Sung Kang,67,20.78,77,16.0
14,15,13,Rory McIlroy,50,20.69,58,12.0
15,16,14,Pat Perez,52,20.45,44,9.0
16,17,T15,Stewart Cink,33,20.0,40,8.0
17,18,17,Vaughn Taylor,69,19.72,71,14.0
18,19,T19,Sangmoon Bae,42,19.51,41,8.0
19,20,T19,Justin Rose,42,19.44,36,7.0
20,21,22,Billy Horschel,73,18.99,79,15.0
21,22,23,Patton Kizzire,58,18.97,58,11.0
22,23,18,Anders Albertson,48,18.87,53,10.0
23,24,24,Tommy Fleetwood,43,18.75,32,6.0
24,T25,7,Sebastián Muñoz,58,18.52,54,10.0
25,T25,25,Andrew Putnam,57,18.52,54,10.0
26,27,26,Anirban Lahiri,54,18.37,49,9.0
27,28,27,Matt Jones,67,18.33,60,11.0
28,29,T28,Abraham Ancer,69,18.18,88,16.0
29,30,21,Peter Uihlein,65,18.03,61,11.0
30,31,34,Martin Laird,60,17.91,67,12.0
31,32,31,Martin Kaymer,38,17.74,62,11.0
32,33,33,Kevin Kisner,65,17.24,58,10.0
33,T34,T28,Austin Cook,50,17.02,47,8.0
34,T34,35,Troy Merritt,42,17.02,47,8.0
35,36,T78,Cameron Tringale,52,16.98,53,9.0
36,37,42,Bud Cauley,61,16.9,71,12.0
37,T38,T37,Joel Dahmen,78,16.67,96,16.0
38,T38,41,Brian Gay,79,16.67,90,15.0
39,T38,T37,Freddie Jacobson,37,16.67,30,5.0
40,T38,T15,Dustin Johnson,47,16.67,42,7.0
41,42,36,Graeme McDowell,61,16.46,79,13.0
42,43,T45,Cameron Davis,54,16.28,43,7.0
43,44,T43,Hank Lebioda,55,16.13,62,10.0
44,45,32,Daniel Berger,48,16.07,56,9.0
45,46,48,J.T. Poston,76,16.04,106,17.0
46,47,T49,Charles Howell III,64,16.0,50,8.0
47,48,T37,Shawn Stefani,57,15.91,44,7.0
48,49,51,Lucas Glover,62,15.85,82,13.0
49,50,47,Scott Piercy,70,15.79,76,12.0
50,51,T37,Denny McCarthy,63,15.71,70,11.0
51,52,52,Jordan Spieth,57,15.63,64,10.0
52,53,T49,Chase Wright,53,15.38,52,8.0
53,T54,T57,J.J. Spaun,68,15.25,59,9.0
54,T54,53,Gary Woodland,63,15.25,59,9.0
55,56,61,Peter Malnati,64,15.19,79,12.0
56,57,T54,Tony Finau,61,15.15,66,10.0
57,58,56,Jason Kokrak,68,15.12,86,13.0
58,T59,T57,Aaron Baddeley,51,15.09,53,8.0
59,T59,T57,Jon Rahm,51,15.09,53,8.0
60,T59,T57,Cameron Smith,55,15.09,53,8.0
61,62,T45,Harold Varner III,62,15.05,93,14.0
62,63,T43,Webb Simpson,53,15.0,60,9.0
63,64,62,Patrick Cantlay,49,14.89,47,7.0
64,T65,T63,Hunter Mahan,45,14.81,54,8.0
65,T65,T63,Patrick Reed,53,14.81,54,8.0
66,67,66,Branden Grace,62,14.58,48,7.0
67,68,T67,Jim Herman,37,13.95,43,6.0
68,69,T67,Joey Garber,44,13.89,36,5.0
69,70,T73,Paul Casey,51,13.73,51,7.0
70,T71,T54,Danny Lee,66,13.7,73,10.0
71,T71,70,Ollie Schniederjans,63,13.7,73,10.0
72,T73,T75,Kevin Na,54,13.64,44,6.0
73,T73,T75,Charl Schwartzel,34,13.64,22,3.0
74,75,77,Brian Stuard,76,13.54,96,13.0
75,76,T67,Adam Schenk,80,13.51,74,10.0
76,77,105,Brice Garnett,63,13.46,52,7.0
77,T78,T92,Ben Silverman,54,13.43,67,9.0
78,T78,T71,Chris Stroud,54,13.43,67,9.0
79,80,T78,Luke List,52,13.33,60,8.0
80,81,87,Sungjae Im,88,13.1,84,11.0
81,82,80,Emiliano Grillo,65,13.04,69,9.0
82,83,81,Sam Burns,66,12.99,77,10.0
83,84,82,Grayson Murray,36,12.96,54,7.0
84,T85,T63,Lucas Bjerregaard,37,12.9,31,4.0
85,T85,T83,Brandon Harkins,67,12.9,62,8.0
86,T85,T83,Ryan Moore,54,12.9,62,8.0
87,T85,T83,Sam Ryder,52,12.9,62,8.0
88,89,T71,Brian Harman,67,12.86,70,9.0
89,90,T73,Whee Kim,57,12.73,55,7.0
90,T91,T88,Bronson Burgoon,37,12.5,40,5.0
91,T91,T88,Adam Long,52,12.5,64,8.0
92,T91,T88,Phil Mickelson,41,12.5,40,5.0
93,T91,T154,Chris Thompson,34,12.5,24,3.0
94,95,91,Nick Taylor,70,12.35,81,10.0
95,96,T99,Dylan Frittelli,55,12.33,73,9.0
96,97,T92,Chez Reavie,67,12.28,57,7.0
97,T98,T95,Jason Day,45,12.2,41,5.0
98,T98,T130,Brooks Koepka,49,12.2,41,5.0
99,T100,174,Brandt Snedeker,68,12.07,58,7.0
100,T100,101,Brendan Steele,50,12.07,58,7.0
101,102,94,Julián Etulain,55,12.0,50,6.0
102,103,103,Max Homa,61,11.94,67,8.0
103,104,T95,David Hearn,41,11.9,42,5.0
104,T105,T99,Corey Conners,62,11.76,68,8.0
105,T105,T158,Brady Schnell,38,11.76,34,4.0
106,T107,98,Harris English,72,11.69,77,9.0
107,T107,T106,Kevin Streelman,63,11.69,77,9.0
108,T107,T106,Michael Thompson,56,11.69,77,9.0
109,110,T130,Wes Roach,45,11.63,43,5.0
110,111,T110,Chesson Hadley,58,11.59,69,8.0
111,T112,T112,Jason Dufner,56,11.48,61,7.0
112,T112,T112,Xander Schauffele,55,11.48,61,7.0
113,T114,T114,John Huh,35,11.43,35,4.0
114,T114,T114,Jhonattan Vegas,60,11.43,70,8.0
115,116,140,Seth Reeves,52,11.36,44,5.0
116,117,118,C.T. Pan,64,11.29,62,7.0
117,T118,T110,Ryan Armour,66,11.27,71,8.0
118,T118,119,Cameron Champ,58,11.27,71,8.0
119,T120,T143,Jonas Blixt,66,11.11,72,8.0
120,T120,104,Scott Brown,66,11.11,63,7.0
121,T120,T83,John Chin,38,11.11,36,4.0
122,T120,T120,Si Woo Kim,65,11.11,54,6.0
123,T120,T120,Chris Kirk,47,11.11,63,7.0
124,T120,T120,"Ted Potter, Jr.",56,11.11,72,8.0
125,T120,T120,Rory Sabbatini,71,11.11,81,9.0
126,T120,T120,Kyle Stanley,53,11.11,54,6.0
127,T120,T150,Kevin Tway,62,11.11,72,8.0
128,129,149,Kramer Hickok,59,10.96,73,8.0
129,T130,172,Talor Gooch,37,10.94,64,7.0
130,T130,108,Robert Streb,60,10.94,64,7.0
131,T132,T128,Matthew Fitzpatrick,42,10.91,55,6.0
132,T132,T168,Kelly Kraft,67,10.91,55,6.0
133,T132,T128,Hideki Matsuyama,59,10.91,55,6.0
134,T132,T120,Aaron Wise,52,10.91,55,6.0
135,T136,T120,Sergio Garcia,39,10.87,46,5.0
136,T136,T95,Zach Johnson,50,10.87,46,5.0
