,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,2,Charl Schwartzel,34,11.11,54,6
1,2,3,Jordan Spieth,57,11.05,190,21
2,3,1,Talor Gooch,37,10.37,135,14
3,4,4,Stewart Cink,33,10.0,100,10
4,5,5,Andrew Putnam,57,9.86,142,14
5,6,T6,Sepp Straka,48,8.89,135,12
6,7,T6,Cameron Tringale,52,8.7,138,12
7,8,T10,Kevin Na,54,8.4,131,11
8,9,12,"Ted Potter, Jr.",56,8.38,167,14
9,10,15,Phil Mickelson,41,8.26,121,10
10,11,16,Rickie Fowler,54,8.25,206,17
11,T12,17,Chris Stroud,54,7.98,163,13
12,T12,23,Peter Uihlein,65,7.98,188,15
13,14,9,Nate Lashley,44,7.97,138,11
14,15,19,Dustin Johnson,47,7.95,151,12
15,T16,T21,Rory Sabbatini,71,7.87,216,17
16,T16,T21,Cameron Smith,55,7.87,127,10
17,18,8,Joey Garber,44,7.76,116,9
18,19,18,Whee Kim,57,7.75,129,10
19,20,T13,Roger Sloan,62,7.69,208,16
20,21,T13,Kelly Kraft,67,7.58,198,15
21,22,24,John Senden,39,7.56,119,9
22,23,25,Adam Scott,41,7.55,106,8
23,24,20,Nick Taylor,70,7.52,266,20
24,25,26,Joel Dahmen,78,7.41,243,18
25,26,T10,Justin Thomas,49,7.35,136,10
26,27,75,Roberto Díaz,51,7.2,125,9
27,28,29,Patrick Rodgers,44,7.19,167,12
28,29,27,Corey Conners,62,7.1,183,13
29,30,31,Lucas Glover,62,7.09,254,18
30,31,34,Haotong Li,32,6.98,86,6
31,32,33,Mackenzie Hughes,58,6.97,201,14
32,33,T48,John Chin,38,6.9,116,8
33,34,37,Brian Stuard,76,6.86,204,14
34,35,38,Cameron Champ,58,6.82,264,18
35,36,40,Tiger Woods,31,6.8,103,7
36,37,41,Ryan Moore,54,6.78,177,12
37,38,42,Jim Knous,55,6.75,163,11
38,39,28,Matt Every,38,6.73,104,7
39,T40,30,Cameron Davis,54,6.71,149,10
40,T40,T43,Tyrrell Hatton,46,6.71,149,10
41,T40,T43,Si Woo Kim,65,6.71,149,10
42,43,32,Denny McCarthy,63,6.7,209,14
43,T44,999,Shane Lowry,30,6.67,90,6
44,T44,46,Matt Wallace,31,6.67,105,7
45,46,39,Brandt Snedeker,68,6.64,211,14
46,47,47,Brendan Steele,50,6.63,181,12
47,48,T48,Jason Day,45,6.6,106,7
48,49,50,C.T. Pan,64,6.59,182,12
49,T50,51,Sam Ryder,52,6.58,152,10
50,T50,T35,Richy Werenski,63,6.58,228,15
51,T52,T69,Curtis Luck,51,6.57,137,9
52,T52,T35,Shawn Stefani,57,6.57,198,13
53,54,52,Branden Grace,62,6.52,138,9
54,55,53,Michael Thompson,56,6.5,200,13
55,56,60,Adam Svensson,51,6.45,155,10
56,57,T81,Sebastián Muñoz,58,6.43,171,11
57,58,55,Bronson Burgoon,37,6.35,126,8
58,59,56,Chez Reavie,67,6.33,158,10
