,Putting_from_4-8_RANK THIS WEEK,Putting_from_4-8_RANK LAST WEEK,Putting_from_4-8_PLAYER NAME,Putting_from_4-8_ROUNDS,Putting_from_4-8_% MADE,Putting_from_4-8_ATTEMPTS,Putting_from_4-8_PUTTS MADE
0,1,1,Justin Harding,31,80.43,46,37
1,2,2,Pat Perez,52,79.65,113,90
2,3,999,Martin Piller,30,78.67,75,59
3,4,3,José de Jesús Rodríguez,51,78.1,137,107
4,5,4,Graeme McDowell,61,77.19,171,132
5,6,5,Dominic Bozzelli,53,76.87,134,103
6,7,6,Wyndham Clark,61,76.29,194,148
7,8,9,Harris English,72,76.26,219,167
8,9,7,Denny McCarthy,63,75.41,183,138
9,10,8,Kevin Kisner,65,75.0,192,144
10,11,11,Matt Wallace,31,74.73,91,68
11,12,15,Scott Langley,60,74.72,178,133
12,13,12,Kiradech Aphibarnrat,49,74.64,138,103
13,14,14,Martin Kaymer,38,74.29,140,104
14,15,18,Ryan Palmer,56,74.21,159,118
15,16,16,Anirban Lahiri,54,74.12,170,126
16,17,17,Brian Harman,67,73.91,207,153
17,18,19,Beau Hossler,66,73.47,196,144
18,19,23,Roberto Díaz,51,73.38,139,102
19,20,20,Charl Schwartzel,34,73.24,71,52
20,21,21,Seamus Power,58,73.16,190,139
21,22,30,Anders Albertson,48,72.99,137,100
22,23,22,Brian Gay,79,72.92,240,175
23,24,25,Aaron Baddeley,51,72.85,151,110
24,25,26,Jason Day,45,72.73,110,80
25,26,28,Peter Malnati,64,72.69,216,157
26,T27,13,Julián Etulain,55,72.46,138,100
27,T27,29,Nick Taylor,70,72.46,236,171
28,29,37,Danny Lee,66,72.4,221,160
29,30,10,Brooks Koepka,49,72.31,130,94
30,31,31,Xander Schauffele,55,72.26,155,112
31,32,33,Brian Stuard,76,72.02,218,157
32,33,24,Sebastián Muñoz,58,71.97,157,113
33,34,41,Andrew Landry,56,71.69,166,119
34,35,38,Sam Saunders,53,71.57,197,141
35,36,42,Grayson Murray,36,71.3,108,77
36,37,44,John Huh,35,71.22,139,99
37,38,32,Wes Roach,45,71.19,118,84
38,39,45,Billy Horschel,73,71.13,194,138
39,40,36,Rory McIlroy,50,71.11,135,96
40,41,47,Sung Kang,67,71.1,218,155
41,42,T48,Sam Burns,66,71.09,211,150
42,43,40,Ollie Schniederjans,63,71.04,183,130
43,44,51,Abraham Ancer,69,71.01,207,147
44,45,55,David Hearn,41,70.8,113,80
45,46,35,Ben Silverman,54,70.79,178,126
46,47,72,Kyle Jones,49,70.71,140,99
47,48,53,Kevin Streelman,63,70.64,218,154
48,49,54,Rickie Fowler,54,70.59,187,132
49,50,43,Bud Cauley,61,70.56,214,151
50,51,56,Bryson DeChambeau,45,70.44,159,112
51,52,57,D.A. Points,33,70.42,71,50
52,T53,61,Roberto Castro,54,70.35,172,121
53,T53,62,Scott Piercy,70,70.35,199,140
54,55,59,Sam Ryder,52,70.33,182,128
55,56,60,Troy Merritt,42,70.27,148,104
56,T57,71,Whee Kim,57,70.23,131,92
57,T57,52,Harold Varner III,62,70.23,215,151
58,59,50,Joey Garber,44,70.1,97,68
59,T60,46,Hudson Swafford,59,70.0,190,133
60,T60,34,Peter Uihlein,65,70.0,170,119
61,62,63,Vaughn Taylor,69,69.95,213,149
62,63,67,Sungjae Im,88,69.85,272,190
63,64,64,Patrick Rodgers,44,69.78,139,97
64,65,39,Lucas Bjerregaard,37,69.77,86,60
65,66,86,Henrik Stenson,46,69.72,142,99
66,67,65,Chesson Hadley,58,69.71,175,122
67,68,69,Tiger Woods,31,69.51,82,57
68,69,73,Martin Trainer,51,69.44,180,125
69,70,66,Daniel Berger,48,69.35,186,129
70,T71,78,Brandt Snedeker,68,69.19,198,137
71,T71,76,Michael Thompson,56,69.19,185,128
72,T73,96,Cody Gribble,52,69.1,178,123
73,T73,133,Matt Kuchar,65,69.1,178,123
74,75,T48,Nate Lashley,44,69.06,139,96
75,76,77,Keith Mitchell,64,69.0,200,138
76,77,90,Kevin Tway,62,68.97,174,120
77,78,79,Jordan Spieth,57,68.95,190,131
78,79,80,C.T. Pan,64,68.94,161,111
79,80,81,Patrick Reed,53,68.87,151,104
80,T81,T83,Jim Furyk,53,68.83,154,106
81,T81,82,Rory Sabbatini,71,68.83,231,159
82,83,T83,Hunter Mahan,45,68.79,141,97
83,84,85,Lucas Glover,62,68.72,211,145
84,85,100,Jonathan Byrd,43,68.7,131,90
85,T86,58,Sangmoon Bae,42,68.69,99,68
86,T86,T87,Cameron Champ,58,68.69,198,136
87,T86,T87,Adam Long,52,68.69,198,136
88,89,68,Adam Schenk,80,68.55,248,170
89,90,91,Chez Reavie,67,68.46,149,102
90,91,92,Jason Kokrak,68,68.45,206,141
91,92,125,Webb Simpson,53,68.37,196,134
92,93,70,Scott Brown,66,68.29,205,140
93,94,T97,Patrick Cantlay,49,68.25,126,86
94,95,110,Johnson Wagner,45,68.14,113,77
95,96,99,Ryan Moore,54,68.13,182,124
96,97,89,Sergio Garcia,39,68.1,116,79
97,98,101,Freddie Jacobson,37,68.04,97,66
98,99,102,Tommy Fleetwood,43,68.0,100,68
99,100,103,Joel Dahmen,78,67.9,243,165
100,101,106,Andrew Putnam,57,67.81,146,99
101,102,T135,Bubba Watson,47,67.76,152,103
102,103,115,Shawn Stefani,57,67.74,186,126
103,104,107,Michael Kim,51,67.68,164,111
104,T105,109,Justin Rose,42,67.65,136,92
105,T105,147,D.J. Trahan,33,67.65,68,46
106,107,75,Ben Crane,41,67.62,105,71
107,108,114,Roger Sloan,62,67.57,222,150
108,T109,T112,Si Woo Kim,65,67.5,160,108
109,T109,74,Seth Reeves,52,67.5,160,108
110,T109,T112,Cameron Smith,55,67.5,120,81
111,112,T135,Zach Johnson,50,67.47,166,112
112,113,117,Kyoung-Hoon Lee,72,67.37,190,128
113,114,126,Adam Hadwin,66,67.35,196,132
114,T115,T123,Russell Henley,56,67.3,159,107
115,T115,118,Chris Kirk,47,67.3,159,107
116,117,93,Brady Schnell,38,67.29,107,72
117,118,141,Jim Herman,37,67.27,110,74
118,119,119,Rafa Cabrera Bello,57,67.24,174,117
119,T120,T120,Francesco Molinari,41,67.21,122,82
120,T120,T120,Kyle Stanley,53,67.21,122,82
121,122,122,Ian Poulter,49,67.18,131,88
122,123,T97,Kelly Kraft,67,67.16,204,137
123,124,T123,Stewart Cink,33,67.11,76,51
124,125,999,Shane Lowry,30,67.02,94,63
125,T126,T127,Emiliano Grillo,65,67.01,197,132
126,T126,149,Jimmy Walker,61,67.01,194,130
127,128,142,Matt Every,38,66.97,109,73
128,129,130,Jon Rahm,51,66.94,121,81
129,130,156,Curtis Luck,51,66.92,130,87
130,131,131,Marc Leishman,52,66.9,142,95
131,132,94,Chase Wright,53,66.89,151,101
132,133,95,Bill Haas,58,66.86,169,113
133,134,146,Cameron Davis,54,66.85,184,123
134,T135,116,Ryan Armour,66,66.84,190,127
135,T135,134,Jhonattan Vegas,60,66.84,187,125
136,T137,T135,Bronson Burgoon,37,66.67,105,70
137,T137,143,Fabián Gómez,44,66.67,99,66
138,T137,T172,Chris Thompson,34,66.67,105,70
139,T137,144,Nick Watney,67,66.67,180,120
140,141,140,Charles Howell III,64,66.48,176,117
141,142,132,Robert Streb,60,66.47,170,113
142,143,108,J.B. Holmes,54,66.43,143,95
143,144,T127,J.J. Henry,42,66.36,107,71
144,145,T135,Mackenzie Hughes,58,66.3,181,120
145,146,105,Brice Garnett,63,66.29,175,116
146,147,167,Stephan Jaeger,59,66.27,169,112
147,148,145,Charley Hoffman,58,66.21,145,96
148,149,129,Talor Gooch,37,66.12,121,80
149,150,104,Richy Werenski,63,66.0,200,132
150,151,148,Kevin Na,54,65.96,141,93
151,152,T135,Carlos Ortiz,60,65.87,167,110
152,153,150,Tyrrell Hatton,46,65.81,117,77
153,154,153,James Hahn,34,65.71,70,46
154,155,154,Russell Knox,65,65.7,207,136
155,156,163,Hank Lebioda,55,65.68,169,111
156,157,152,Austin Cook,50,65.56,151,99
157,158,158,Patton Kizzire,58,65.41,133,87
158,159,160,Trey Mullinax,67,65.38,234,153
159,160,169,Josh Teater,47,65.32,124,81
160,161,151,Tom Hoge,70,65.1,192,125
161,162,161,Ryan Blaum,67,65.09,212,138
162,163,162,Byeong Hun An,54,65.06,166,108
163,164,164,Kramer Hickok,59,65.05,186,121
164,165,T174,Cameron Tringale,52,64.93,134,87
165,166,166,Chris Stroud,54,64.83,145,94
166,167,168,Hideki Matsuyama,59,64.5,169,109
167,168,T170,Max Homa,61,64.47,197,127
168,169,T172,Ernie Els,43,64.44,90,58
169,170,T174,Luke List,52,64.41,177,114
170,171,T170,Martin Laird,60,64.38,219,141
171,172,159,Jonas Blixt,66,64.32,185,119
172,173,157,Adam Svensson,51,64.14,145,93
173,174,111,Alex Noren,49,64.06,128,82
174,175,179,Gary Woodland,63,63.78,196,125
175,T176,180,Haotong Li,32,63.74,91,58
176,T176,177,Aaron Wise,52,63.74,171,109
177,178,155,Dustin Johnson,47,63.7,146,93
178,T179,T185,Dylan Frittelli,55,63.64,176,112
179,T179,176,Scott Stallings,63,63.64,209,133
180,181,181,Satoshi Kodaira,51,63.58,162,103
181,182,196,Justin Thomas,49,63.36,131,83
182,183,T185,Tyler Duncan,66,63.13,179,113
183,184,182,Adam Scott,41,63.11,103,65
184,185,999,Tyrone Van Aswegen,30,62.96,81,51
185,186,184,Matthew Fitzpatrick,42,62.93,116,73
186,187,187,Jason Dufner,56,62.84,148,93
187,188,178,Danny Willett,47,62.82,156,98
188,189,189,Phil Mickelson,41,62.6,131,82
189,T190,190,Tony Finau,61,62.5,168,105
190,T190,188,Alex Prugh,54,62.5,152,95
191,192,191,J.T. Poston,76,62.45,229,143
192,193,193,"Ted Potter, Jr.",56,62.33,215,134
193,194,165,Sepp Straka,48,62.3,122,76
194,195,183,Corey Conners,62,62.28,167,104
195,196,194,Matt Jones,67,62.11,161,100
196,197,195,Brendan Steele,50,61.97,142,88
197,198,192,Joaquin Niemann,68,61.93,218,135
198,199,197,J.J. Spaun,68,61.69,201,124
199,200,198,Louis Oosthuizen,43,60.82,97,59
200,201,203,Keegan Bradley,65,60.7,201,122
201,202,199,John Senden,39,60.55,109,66
202,203,204,Rod Pampling,40,60.47,129,78
203,204,201,Brandon Harkins,67,60.1,203,122
204,205,200,Branden Grace,62,59.86,147,88
205,206,202,Jim Knous,55,59.46,148,88
206,207,207,John Chin,38,56.0,75,42
207,208,205,Alex Cejka,41,55.56,117,65
208,209,206,Paul Casey,51,54.4,125,68
