,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Justin Harding,31,69.39,49,34
1,2,2,Wyndham Clark,61,68.37,196,134
2,3,4,Jim Furyk,53,65.36,153,100
3,4,7,Ben Crane,41,64.29,112,72
4,5,6,Graeme McDowell,61,64.2,162,104
5,6,8,Brandt Snedeker,68,64.1,195,125
6,7,3,Dominic Bozzelli,53,63.31,139,88
7,8,9,Aaron Baddeley,51,63.23,155,98
8,9,11,Whee Kim,57,63.11,122,77
9,10,13,Vaughn Taylor,69,63.03,238,150
10,11,19,Harris English,72,62.63,198,124
11,12,14,Seamus Power,58,62.43,181,113
12,13,15,Michael Thompson,56,62.37,186,116
13,14,16,Kevin Kisner,65,62.35,170,106
14,T15,T17,Pat Perez,52,62.04,108,67
15,T15,5,Brady Schnell,38,62.04,108,67
16,17,10,Denny McCarthy,63,61.98,192,119
17,18,20,Kiradech Aphibarnrat,49,61.83,131,81
18,19,21,Martin Kaymer,38,61.79,123,76
19,20,22,Beau Hossler,66,61.69,201,124
20,21,23,Scott Brown,66,61.11,198,121
21,22,24,Scott Piercy,70,60.82,194,118
22,23,25,Anirban Lahiri,54,60.67,178,108
23,24,26,Jordan Spieth,57,60.62,193,117
24,25,12,José de Jesús Rodríguez,51,60.56,142,86
25,26,28,Rafa Cabrera Bello,57,60.38,159,96
26,27,29,Xander Schauffele,55,60.14,138,83
27,T28,27,Sangmoon Bae,42,60.0,105,63
28,T28,999,Martin Piller,30,60.0,80,48
29,30,33,Brian Harman,67,59.9,192,115
30,31,31,Marc Leishman,52,59.7,134,80
31,32,53,Danny Lee,66,59.64,223,133
32,33,32,Henrik Stenson,46,59.59,146,87
33,34,T34,Martin Trainer,51,59.54,173,103
34,35,T34,Sam Burns,66,59.39,229,136
35,36,36,Charl Schwartzel,34,59.38,64,38
36,37,38,Sungjae Im,88,59.18,267,158
37,T38,42,Jonathan Byrd,43,59.06,127,75
38,T38,T39,Billy Horschel,73,59.06,171,101
39,40,T17,Brooks Koepka,49,58.91,129,76
40,41,43,Nick Taylor,70,58.85,226,133
41,42,T55,Sam Saunders,53,58.66,179,105
42,43,48,Brian Gay,79,58.63,249,146
43,44,999,Shane Lowry,30,58.59,99,58
44,45,45,Ian Poulter,49,58.46,130,76
45,46,46,Rory Sabbatini,71,58.45,219,128
46,T47,T49,Si Woo Kim,65,58.33,156,91
47,T47,30,Nate Lashley,44,58.33,144,84
