,Putting_from_6_RANK THIS WEEK,Putting_from_6_RANK LAST WEEK,Putting_from_6_PLAYER NAME,Putting_from_6_ROUNDS,Putting_from_6_% MADE,Putting_from_6_ATTEMPTS,Putting_from_6_PUTTS MADE
0,1,999,Martin Piller,30,87.5,24,21
1,2,5,Jonathan Byrd,43,86.67,30,26
2,3,1,Michael Kim,51,86.49,37,32
3,T4,3,Denny McCarthy,63,85.71,49,42
4,T4,6,Ryan Palmer,56,85.71,35,30
5,6,2,Roberto Castro,54,85.19,27,23
6,7,4,Charley Hoffman,58,84.09,44,37
7,8,7,Kevin Kisner,65,83.72,43,36
8,9,14,Henrik Stenson,46,83.33,42,35
9,10,T12,José de Jesús Rodríguez,51,82.86,35,29
10,11,11,Kyoung-Hoon Lee,72,82.22,45,37
11,12,9,Brandt Snedeker,68,82.14,56,46
12,13,T12,Brooks Koepka,49,82.05,39,32
13,14,T19,Fabián Gómez,44,81.48,27,22
14,15,16,Phil Mickelson,41,80.65,31,25
15,16,17,Anirban Lahiri,54,80.56,36,29
16,T17,8,Dominic Bozzelli,53,80.0,30,24
17,T17,T19,Sam Burns,66,80.0,45,36
18,T17,T19,Chris Thompson,34,80.0,30,24
19,T17,10,Aaron Wise,52,80.0,35,28
20,21,15,Joey Garber,44,79.17,24,19
21,22,T24,Grayson Murray,36,78.79,33,26
22,T23,T34,Roberto Díaz,51,78.57,42,33
23,T23,23,Wes Roach,45,78.57,28,22
24,T25,26,Kiradech Aphibarnrat,49,78.38,37,29
25,T25,22,Martin Trainer,51,78.38,37,29
26,27,T40,Whee Kim,57,78.13,32,25
27,28,47,Seamus Power,58,78.0,50,39
28,T29,18,Wyndham Clark,61,77.55,49,38
29,T29,33,Peter Uihlein,65,77.55,49,38
30,31,28,Xander Schauffele,55,77.5,40,31
31,32,29,Beau Hossler,66,77.46,71,55
32,33,31,Jordan Spieth,57,77.36,53,41
33,34,32,Haotong Li,32,77.27,22,17
34,T35,46,Sungjae Im,88,76.92,78,60
35,T35,T34,Andrew Landry,56,76.92,52,40
36,T35,27,Scott Langley,60,76.92,39,30
