,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Justin Rose,42,98.45,387,381
1,2,5,Denny McCarthy,63,98.28,639,628
2,3,3,Julián Etulain,55,98.26,517,508
3,4,2,Dominic Bozzelli,53,98.21,446,438
4,5,6,José de Jesús Rodríguez,51,98.18,494,485
5,6,7,Beau Hossler,66,98.16,705,692
6,T7,8,Jon Rahm,51,98.15,486,477
7,T7,9,Justin Thomas,49,98.15,486,477
8,9,4,Graeme McDowell,61,98.14,539,529
9,10,10,Peter Malnati,64,98.12,743,729
10,11,14,Harris English,72,98.08,833,817
11,12,12,Andrew Putnam,57,98.01,502,492
12,13,20,Adam Hadwin,66,98.0,651,638
13,14,T21,Daniel Berger,48,97.99,598,586
14,15,15,Ernie Els,43,97.91,383,375
15,16,16,Rickie Fowler,54,97.89,615,602
16,T17,17,Wyndham Clark,61,97.82,642,628
17,T17,27,Webb Simpson,53,97.82,643,629
18,19,18,Brian Harman,67,97.77,716,700
19,20,24,Sam Burns,66,97.74,751,734
20,21,29,Harold Varner III,62,97.73,749,732
21,22,11,Carlos Ortiz,60,97.71,698,682
22,23,13,Scott Langley,60,97.7,697,681
23,24,25,Cameron Smith,55,97.69,477,466
24,25,26,Hunter Mahan,45,97.66,471,460
25,26,T21,Ryan Palmer,56,97.64,552,539
26,27,19,Chase Wright,53,97.6,542,529
27,28,28,Charles Howell III,64,97.56,615,600
28,29,23,Robert Streb,60,97.53,647,631
29,T30,36,Brian Gay,79,97.51,803,783
30,T30,30,Max Homa,61,97.51,682,665
31,32,T33,Justin Harding,31,97.48,159,155
32,T33,35,Ryan Blaum,67,97.46,749,730
33,T33,32,Scott Piercy,70,97.46,709,691
34,T35,37,Patrick Cantlay,49,97.42,465,453
35,T35,T33,Nate Lashley,44,97.42,426,415
36,37,31,Sebastián Muñoz,58,97.39,575,560
37,38,39,C.T. Pan,64,97.36,607,591
38,T39,T41,Ryan Moore,54,97.32,598,582
39,T39,T41,Brendan Steele,50,97.32,559,544
40,41,43,Bryson DeChambeau,45,97.31,521,507
41,42,T44,Brandt Snedeker,68,97.29,664,646
42,43,49,Nick Watney,67,97.22,719,699
43,44,46,Sam Saunders,53,97.19,676,657
44,T45,T44,Jonas Blixt,66,97.18,744,723
45,T45,47,Tony Finau,61,97.18,602,585
46,T45,50,Dylan Frittelli,55,97.18,639,621
47,48,48,Kyle Stanley,53,97.16,458,445
48,T49,40,Ollie Schniederjans,63,97.15,667,648
49,T49,T51,Nick Taylor,70,97.15,842,818
50,51,38,Talor Gooch,37,97.1,448,435
51,T52,T51,Tyrrell Hatton,46,97.07,443,430
52,T52,T51,Pat Perez,52,97.07,409,397
53,T54,T51,J.J. Henry,42,97.02,403,391
54,T54,T83,Rory McIlroy,50,97.02,537,521
55,T54,63,Hudson Swafford,59,97.02,672,652
56,57,T55,Adam Long,52,97.01,635,616
57,T58,T69,Jim Furyk,53,96.99,598,580
58,T58,57,Kevin Kisner,65,96.99,598,580
59,60,T79,Roger Sloan,62,96.98,696,675
60,T61,59,Chesson Hadley,58,96.96,593,575
61,T61,78,Matt Kuchar,65,96.96,690,669
62,T63,T60,John Huh,35,96.95,394,382
63,T63,T60,Brian Stuard,76,96.95,788,764
64,65,T60,Adam Schenk,80,96.94,850,824
65,66,89,Matt Every,38,96.91,356,345
66,67,58,Josh Teater,47,96.88,449,435
67,68,64,Sam Ryder,52,96.87,543,526
68,69,101,Chris Thompson,34,96.86,318,308
69,T70,T67,James Hahn,34,96.84,253,245
70,T70,T67,Andrew Landry,56,96.84,632,612
71,T72,T55,Brice Garnett,63,96.82,597,578
72,T72,T65,Kyle Jones,49,96.82,503,487
73,T72,T69,Patrick Rodgers,44,96.82,534,517
74,T75,T71,Michael Kim,51,96.81,502,486
75,T75,T71,Seth Reeves,52,96.81,533,516
76,T77,T73,Paul Casey,51,96.77,464,449
77,T77,T73,Francesco Molinari,41,96.77,372,360
78,T77,T73,Chez Reavie,67,96.77,588,569
79,80,76,Matt Jones,67,96.76,649,628
80,81,77,Billy Horschel,73,96.75,646,625
81,82,T123,Henrik Stenson,46,96.72,488,472
82,T83,T79,Kiradech Aphibarnrat,49,96.71,456,441
83,T83,T79,Charl Schwartzel,34,96.71,213,206
84,T85,T83,Charley Hoffman,58,96.69,484,468
85,T85,T83,Martin Trainer,51,96.69,574,555
86,87,106,Wes Roach,45,96.68,422,408
87,88,88,Stewart Cink,33,96.67,300,290
88,89,T86,Sergio Garcia,39,96.66,419,405
89,90,90,D.A. Points,33,96.64,268,259
90,91,T91,Abraham Ancer,69,96.61,708,684
91,T92,T93,Troy Merritt,42,96.6,471,455
92,T92,T93,Michael Thompson,56,96.6,706,682
93,T94,T96,Alex Cejka,41,96.59,411,397
94,T94,95,Fabián Gómez,44,96.59,440,425
95,T94,T127,Zach Johnson,50,96.59,587,567
96,T97,T117,Austin Cook,50,96.58,497,480
97,T97,999,Shane Lowry,30,96.58,292,282
98,T99,111,Bud Cauley,61,96.56,785,758
99,T99,T120,Jim Knous,55,96.56,552,533
100,T101,T86,Tom Hoge,70,96.54,693,669
101,T101,999,Tyrone Van Aswegen,30,96.54,289,279
102,T103,104,Kelly Kraft,67,96.53,662,639
103,T103,102,Chris Stroud,54,96.53,577,557
104,105,T143,Brooks Koepka,49,96.5,428,413
105,106,105,Keith Mitchell,64,96.49,569,549
106,T107,T107,Haotong Li,32,96.45,282,272
107,T107,T107,Rory Sabbatini,71,96.45,760,733
108,T107,132,Johnson Wagner,45,96.45,451,435
109,T110,T91,Alex Prugh,54,96.44,534,515
110,T110,T65,Bubba Watson,47,96.44,533,514
111,T112,T96,Corey Conners,62,96.43,645,622
112,T112,T109,Ian Poulter,49,96.43,420,405
113,T114,T112,Si Woo Kim,65,96.41,557,537
114,T114,999,Martin Piller,30,96.41,223,215
115,T114,T98,J.J. Spaun,68,96.41,669,645
116,T117,100,Martin Laird,60,96.39,692,667
117,T117,114,Vaughn Taylor,69,96.39,803,774
118,119,103,Danny Lee,66,96.38,774,746
119,120,T115,Russell Henley,56,96.37,634,611
120,T121,T117,Freddie Jacobson,37,96.36,357,344
121,T121,T117,Jordan Spieth,57,96.36,605,583
122,123,T140,Jimmy Walker,61,96.33,682,657
123,124,122,Anirban Lahiri,54,96.3,567,546
124,125,T123,Chris Kirk,47,96.29,512,493
125,T126,T98,Ben Crane,41,96.28,376,362
126,T126,T109,Adam Svensson,51,96.28,538,518
127,T128,T125,Bronson Burgoon,37,96.27,429,413
128,T128,T125,Patrick Reed,53,96.27,536,516
129,T130,T127,Joel Dahmen,78,96.25,801,771
130,T130,T112,Dustin Johnson,47,96.25,480,462
131,T130,T127,Matt Wallace,31,96.25,320,308
132,133,130,Louis Oosthuizen,43,96.23,345,332
133,134,139,Mackenzie Hughes,58,96.22,661,636
134,135,131,Seamus Power,58,96.21,634,610
135,136,167,Cameron Tringale,52,96.13,491,472
136,T137,T160,Tyler Duncan,66,96.08,688,661
137,T137,134,Lucas Glover,62,96.08,766,736
138,139,135,Kyoung-Hoon Lee,72,96.07,661,635
139,140,T115,Kramer Hickok,59,96.06,609,585
140,T141,137,Matthew Fitzpatrick,42,96.05,430,413
141,T141,133,Cody Gribble,52,96.05,582,559
142,143,156,Joaquin Niemann,68,96.03,755,725
143,144,138,Aaron Baddeley,51,96.02,528,507
144,145,T140,Roberto Díaz,51,96.0,475,456
145,T146,T148,John Chin,38,95.99,324,311
146,T146,146,Brady Schnell,38,95.99,374,359
147,T148,T148,Bill Haas,58,95.97,695,667
148,T148,T143,Gary Woodland,63,95.97,621,596
149,150,136,Danny Willett,47,95.96,570,547
150,151,147,Jason Day,45,95.94,345,331
151,152,T148,Sung Kang,67,95.93,737,707
152,153,177,Roberto Castro,54,95.92,588,564
153,154,82,Richy Werenski,63,95.91,734,704
154,155,153,Patton Kizzire,58,95.9,536,514
155,T156,168,Sungjae Im,88,95.89,974,934
156,T156,T173,Kevin Tway,62,95.89,682,654
157,T158,184,Stephan Jaeger,59,95.85,602,577
158,T158,154,Jason Kokrak,68,95.85,772,740
159,160,T179,Jim Herman,37,95.8,405,388
160,161,157,Tiger Woods,31,95.79,309,296
161,162,T160,Trey Mullinax,67,95.78,782,749
162,T163,T158,Jason Dufner,56,95.76,590,565
163,T163,T158,Tommy Fleetwood,43,95.76,377,361
164,165,T160,J.T. Poston,76,95.73,937,897
165,166,T151,Curtis Luck,51,95.7,442,423
166,167,165,"Ted Potter, Jr.",56,95.69,626,599
167,168,T169,Brandon Harkins,67,95.63,733,701
168,169,166,Scott Brown,66,95.6,682,652
169,170,164,Aaron Wise,52,95.59,567,542
170,171,T169,Luke List,52,95.58,633,605
171,172,171,Cameron Champ,58,95.55,696,665
172,T173,172,Marc Leishman,52,95.54,516,493
173,T173,155,Shawn Stefani,57,95.54,561,536
174,175,188,Whee Kim,57,95.52,446,426
175,176,T173,Russell Knox,65,95.51,713,681
176,177,T175,Satoshi Kodaira,51,95.5,511,488
177,T178,145,Joey Garber,44,95.48,376,359
178,T178,T160,Alex Noren,49,95.48,509,486
179,T178,189,Ben Silverman,54,95.48,598,571
180,181,178,Phil Mickelson,41,95.46,441,421
181,T182,T151,David Hearn,41,95.44,351,335
182,T182,T181,Martin Kaymer,38,95.44,504,481
183,T182,T181,Xander Schauffele,55,95.44,504,481
184,T182,T120,Peter Uihlein,65,95.44,614,586
185,T186,T175,Scott Stallings,63,95.42,721,688
186,T186,183,Kevin Streelman,63,95.42,786,750
187,188,T179,Ryan Armour,66,95.37,713,680
188,189,185,Kevin Na,54,95.34,472,450
189,190,192,Rod Pampling,40,95.32,406,387
190,191,186,Jhonattan Vegas,60,95.29,680,648
191,192,187,Byeong Hun An,54,95.26,591,563
192,193,142,Anders Albertson,48,95.25,505,481
193,194,T190,Lucas Bjerregaard,37,95.02,321,305
194,195,T190,J.B. Holmes,54,95.01,421,400
195,196,193,Hideki Matsuyama,59,94.98,638,606
196,197,203,D.J. Trahan,33,94.96,278,264
197,198,194,John Senden,39,94.93,355,337
198,199,T195,Grayson Murray,36,94.87,390,370
199,200,197,Emiliano Grillo,65,94.86,603,572
200,201,198,Rafa Cabrera Bello,57,94.82,521,494
201,202,200,Keegan Bradley,65,94.8,692,656
202,203,199,Adam Scott,41,94.75,343,325
203,204,201,Sepp Straka,48,94.49,454,429
204,205,205,Cameron Davis,54,94.23,537,506
205,206,206,Sangmoon Bae,42,94.2,379,357
206,207,202,Hank Lebioda,55,94.18,567,534
207,208,204,Branden Grace,62,93.94,528,496
208,209,207,Jonathan Byrd,43,93.9,410,385
