,Putts_Made_Per_Event_Over_20_RANK THIS WEEK,Putts_Made_Per_Event_Over_20_RANK LAST WEEK,Putts_Made_Per_Event_Over_20_PLAYER NAME,Putts_Made_Per_Event_Over_20_ROUNDS,Putts_Made_Per_Event_Over_20_PUTTS MADE
0,T1,999,Shane Lowry,30,2.4
1,T1,1,Jordan Spieth,57,2.4
2,T3,T2,Justin Harding,31,2.3
3,T3,T2,Tiger Woods,31,2.3
4,T5,T4,Dustin Johnson,47,2.1
5,T5,T4,Rory McIlroy,50,2.1
6,T7,T6,Stewart Cink,33,2.0
7,T7,T6,Joel Dahmen,78,2.0
8,T7,T6,Rickie Fowler,54,2.0
9,T7,T6,Billy Horschel,73,2.0
10,T7,T6,Martin Kaymer,38,2.0
11,T7,T6,Andrew Putnam,57,2.0
12,T13,T12,Abraham Ancer,69,1.9
13,T13,T12,Lucas Glover,62,1.9
14,T13,T12,Jason Kokrak,68,1.9
15,T13,T21,Graeme McDowell,61,1.9
16,T13,T12,Patrick Rodgers,44,1.9
17,T18,T16,Bryson DeChambeau,45,1.8
18,T18,T26,Talor Gooch,37,1.8
19,T18,T16,Beau Hossler,66,1.8
20,T18,T16,Cameron Smith,55,1.8
21,T18,T26,Cameron Tringale,52,1.8
22,T18,T16,Gary Woodland,63,1.8
23,T24,T21,Kevin Na,54,1.7
24,T24,T16,Scott Piercy,70,1.7
25,T24,T21,Nick Taylor,70,1.7
26,T27,T26,Tony Finau,61,1.6
27,T27,T26,Matthew Fitzpatrick,42,1.6
28,T27,T26,Tyrrell Hatton,46,1.6
29,T27,T26,Patrick Reed,53,1.6
30,T27,T26,Justin Rose,42,1.6
31,T27,T26,Rory Sabbatini,71,1.6
32,T27,T26,Xander Schauffele,55,1.6
33,T27,T21,Webb Simpson,53,1.6
34,T27,T54,Brandt Snedeker,68,1.6
35,T27,T26,Brian Stuard,76,1.6
36,T37,T38,Cameron Champ,58,1.5
37,T37,T38,Jason Day,45,1.5
38,T37,T38,Emiliano Grillo,65,1.5
39,T37,T38,Matt Jones,67,1.5
40,T37,T21,Nate Lashley,44,1.5
41,T37,T75,Hank Lebioda,55,1.5
42,T37,T26,Curtis Luck,51,1.5
43,T37,T26,Denny McCarthy,63,1.5
44,T37,T38,Ryan Moore,54,1.5
45,T37,T38,Sebastián Muñoz,58,1.5
46,T37,T38,J.T. Poston,76,1.5
47,T37,T38,"Ted Potter, Jr.",56,1.5
