,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Si Woo Kim,65,27.72,1663,60,22
1,2,2,Justin Rose,42,27.74,1054,38,21
2,3,3,Aaron Baddeley,51,27.78,1417,51,22
3,4,4,Jordan Spieth,57,27.89,1506,54,21
4,5,5,Peter Malnati,64,27.95,1677,60,23
5,6,6,Wyndham Clark,61,28.03,1654,59,24
6,7,10,Dominic Bozzelli,53,28.1,1433,51,23
7,8,7,Vaughn Taylor,69,28.12,1884,67,24
8,T9,8,Kiradech Aphibarnrat,49,28.13,1294,46,21
9,T9,999,Martin Piller,30,28.13,844,30,24
10,11,9,Patrick Cantlay,49,28.14,1238,44,24
11,12,T12,Brian Gay,79,28.29,2122,75,21
12,13,T17,José de Jesús Rodríguez,51,28.31,1444,51,22
13,14,T15,Brandt Snedeker,68,28.32,1841,65,22
14,T15,T15,Sam Burns,66,28.34,1814,64,21
15,T15,T41,Jonathan Byrd,43,28.34,1162,41,23
16,T15,T12,Scott Langley,60,28.34,1644,58,23
17,T18,14,Bud Cauley,61,28.36,1730,61,24
18,T18,11,Ollie Schniederjans,63,28.36,1730,61,21
19,T18,T17,Michael Thompson,56,28.36,1588,56,22
20,T21,T20,Francesco Molinari,41,28.38,965,34,24
21,T21,T20,Brian Stuard,76,28.38,2043,72,22
22,T23,38,Zach Johnson,50,28.4,1420,50,21
23,T23,29,Curtis Luck,51,28.4,1335,47,23
24,T23,23,Rory Sabbatini,71,28.4,1903,67,23
25,26,24,Rickie Fowler,54,28.41,1534,54,23
26,27,26,Kevin Kisner,65,28.43,1535,54,22
27,28,27,Cameron Smith,55,28.44,1422,50,22
28,T29,22,Denny McCarthy,63,28.47,1680,59,22
29,T29,T32,Martin Trainer,51,28.47,1452,51,23
30,T31,T30,Jason Day,45,28.48,1139,40,23
31,T31,T30,Andrew Putnam,57,28.48,1481,52,22
32,T33,T32,Ryan Blaum,67,28.49,1795,63,24
33,T33,40,Stephan Jaeger,59,28.49,1567,55,22
34,T35,T34,Justin Harding,31,28.5,684,24,25
35,T35,T34,Sam Ryder,52,28.5,1482,52,24
36,T35,T34,Charl Schwartzel,34,28.5,912,32,24
37,38,19,Julián Etulain,55,28.51,1454,51,22
38,39,46,Webb Simpson,53,28.52,1426,50,24
39,40,47,Graeme McDowell,61,28.53,1626,57,20
40,T41,39,Anirban Lahiri,54,28.54,1427,50,23
41,T41,T34,Chris Stroud,54,28.54,1427,50,23
42,43,T48,Jonas Blixt,66,28.56,1828,64,22
43,T44,T41,Bryson DeChambeau,45,28.57,1200,42,24
44,T44,T61,Harris English,72,28.57,2000,70,25
45,T44,T41,Matt Wallace,31,28.57,800,28,25
46,T47,T63,Adam Hadwin,66,28.58,1772,62,24
47,T47,T44,Brady Schnell,38,28.58,1086,38,22
48,T49,28,Dustin Johnson,47,28.59,1258,44,23
49,T49,25,Richy Werenski,63,28.59,1744,61,23
50,T51,T48,Tony Finau,61,28.63,1603,56,21
51,T51,T48,Patton Kizzire,58,28.63,1603,56,23
52,T53,51,Matt Jones,67,28.65,1805,63,24
53,T53,T44,Kelly Kraft,67,28.65,1805,63,24
54,55,67,Ben Crane,41,28.66,1175,41,24
55,T56,52,Daniel Berger,48,28.67,1376,48,23
56,T56,53,J.T. Poston,76,28.67,2064,72,24
57,58,54,Nick Taylor,70,28.68,1893,66,24
58,T59,T55,Freddie Jacobson,37,28.69,1004,35,23
59,T59,T55,C.T. Pan,64,28.69,1779,62,23
60,T61,T57,Rafa Cabrera Bello,57,28.7,1550,54,24
61,T61,59,Sam Saunders,53,28.7,1521,53,24
62,63,60,Matt Every,38,28.71,976,34,23
63,T64,T57,Mackenzie Hughes,58,28.72,1551,54,24
64,T64,999,Shane Lowry,30,28.72,718,25,24
65,66,T61,Patrick Reed,53,28.73,1379,48,23
66,67,T69,Seamus Power,58,28.74,1552,54,23
