,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
0,1,1,Jordan Spieth,16,58
1,T2,T2,Stewart Cink,12,57
2,T2,T2,Justin Harding,9,57
3,T2,T2,Curtis Luck,17,57
4,5,6,Andrew Putnam,17,56
5,6,T7,Sam Ryder,16,55
6,T7,T7,Denny McCarthy,20,54
7,T7,T10,Graeme McDowell,16,54
8,T7,999,Martin Piller,10,54
9,T7,9,Charl Schwartzel,13,54
10,T7,T2,Sepp Straka,16,54
11,T12,T10,Cameron Champ,19,53
12,T12,T10,Jason Day,14,53
13,T12,T10,Rickie Fowler,14,53
14,T12,999,Shane Lowry,10,53
15,T12,T10,Patrick Rodgers,14,53
16,T12,T10,Justin Rose,11,53
17,T12,T10,Tiger Woods,8,53
18,T19,T20,Aaron Baddeley,15,52
19,T19,T20,Dominic Bozzelli,17,52
20,T19,T20,Sam Burns,22,52
21,T19,T20,Joel Dahmen,22,52
22,T19,T20,Bryson DeChambeau,13,52
23,T19,T20,Lucas Glover,17,52
24,T19,T20,Beau Hossler,20,52
25,T19,T10,Dustin Johnson,12,52
26,T19,T20,Sung Kang,20,52
27,T19,T20,Danny Lee,20,52
28,T19,T20,Kevin Na,15,52
29,T19,T20,Rory Sabbatini,19,52
30,T19,T20,Adam Scott,12,52
31,T19,T20,John Senden,13,52
32,T19,T20,Ben Silverman,17,52
33,T19,T20,Vaughn Taylor,21,52
34,T19,T20,Cameron Tringale,15,52
35,T19,T10,Peter Uihlein,22,52
36,T19,T10,Johnson Wagner,14,52
37,T19,T20,Matt Wallace,9,52
38,T39,T43,Kiradech Aphibarnrat,15,51
39,T39,T20,Lucas Bjerregaard,10,51
40,T39,T20,John Chin,14,51
41,T39,T63,Roberto Díaz,16,51
42,T39,T20,Talor Gooch,12,51
43,T39,T43,Chesson Hadley,20,51
44,T39,T43,Billy Horschel,19,51
45,T39,T43,Whee Kim,21,51
46,T39,T43,Kevin Kisner,17,51
47,T39,T20,Kelly Kraft,23,51
48,T39,T20,Nate Lashley,13,51
49,T39,T63,Hank Lebioda,16,51
50,T39,T43,Ryan Moore,16,51
51,T39,T43,"Ted Potter, Jr.",18,51
52,T39,T43,Adam Schenk,24,51
53,T39,T63,Brandt Snedeker,18,51
54,T39,T43,Chris Stroud,19,51
55,T39,T43,Nick Taylor,20,51
56,T39,T43,Michael Thompson,17,51
57,T39,T20,Chase Wright,19,51
58,T59,T84,Sangmoon Bae,16,50
59,T59,T63,Ryan Blaum,21,50
60,T59,T84,Jonas Blixt,20,50
61,T59,T63,Wyndham Clark,20,50
62,T59,T43,Austin Cook,17,50
63,T59,T43,Cameron Davis,18,50
64,T59,T43,Julián Etulain,17,50
65,T59,T43,Matt Every,12,50
66,T59,T43,Joey Garber,15,50
67,T59,T43,Brian Gay,22,50
68,T59,T63,Charley Hoffman,18,50
69,T59,T63,Charles Howell III,19,50
70,T59,T84,Sungjae Im,26,50
71,T59,T63,Anirban Lahiri,17,50
72,T59,T63,Martin Laird,18,50
73,T59,T63,Haotong Li,9,50
74,T59,T63,Peter Malnati,19,50
75,T59,T63,Keith Mitchell,19,50
76,T59,T84,Sebastián Muñoz,18,50
77,T59,T63,Pat Perez,16,50
78,T59,T63,Ian Poulter,13,50
79,T59,T63,Xander Schauffele,15,50
80,T59,T43,Roger Sloan,20,50
81,T59,T43,Shawn Stefani,19,50
82,T59,T43,Richy Werenski,20,50
83,T59,T63,Gary Woodland,17,50
84,T85,T84,Abraham Ancer,20,49
85,T85,T84,Ryan Armour,21,49
86,T85,T101,Scott Brown,21,49
87,T85,T63,Ben Crane,13,49
88,T85,T84,Max Homa,19,49
89,T85,T84,Kyle Jones,19,49
90,T85,T84,Si Woo Kim,20,49
91,T85,T84,Patton Kizzire,18,49
92,T85,T63,Jim Knous,17,49
93,T85,T63,Brooks Koepka,13,49
94,T85,T84,Jason Kokrak,17,49
95,T85,T84,Kyoung-Hoon Lee,22,49
96,T85,T101,Rory McIlroy,13,49
97,T85,T84,Phil Mickelson,13,49
98,T85,T63,Scott Piercy,19,49
99,T85,T84,J.T. Poston,22,49
100,T85,T101,Ollie Schniederjans,22,49
101,T85,T101,Webb Simpson,14,49
102,T85,T84,Cameron Smith,16,49
103,T85,T84,Jhonattan Vegas,18,49
104,T105,T101,Anders Albertson,18,48
105,T105,T101,Bronson Burgoon,14,48
106,T105,T101,Rafa Cabrera Bello,15,48
107,T105,T101,Patrick Cantlay,14,48
108,T105,T101,Harris English,21,48
109,T105,T101,Emiliano Grillo,17,48
110,T105,T101,Freddie Jacobson,14,48
111,T105,T101,Matt Jones,19,48
112,T105,T101,Martin Kaymer,11,48
113,T105,T131,Matt Kuchar,16,48
114,T105,T101,Marc Leishman,14,48
115,T105,T101,Luke List,16,48
116,T105,T101,Hunter Mahan,15,48
117,T105,T101,Troy Merritt,12,48
118,T105,T101,Ryan Palmer,16,48
119,T105,T101,D.A. Points,13,48
