,Putts_per_Round_-_Round_3_RANK THIS WEEK,Putts_per_Round_-_Round_3_RANK LAST WEEK,Putts_per_Round_-_Round_3_PLAYER NAME,Putts_per_Round_-_Round_3_AVG,Putts_per_Round_-_Round_3_TOTAL PUTTS,Putts_per_Round_-_Round_3_TOTAL ROUNDS
0,1,1,Aaron Baddeley,26.55,292,11
1,2,2,Seamus Power,26.75,214,8
2,3,3,Patrick Cantlay,26.8,268,10
3,4,4,Brady Schnell,26.83,161,6
4,5,5,Kiradech Aphibarnrat,27.0,243,9
5,6,999,Martin Piller,27.17,163,6
6,7,6,Cameron Smith,27.18,299,11
7,8,7,Patrick Rodgers,27.22,245,9
8,9,8,Chez Reavie,27.31,355,13
9,T10,T10,Sam Burns,27.38,356,13
10,T10,T10,Tony Finau,27.38,356,13
11,12,999,Shane Lowry,27.4,137,5
12,13,13,Justin Rose,27.44,247,9
13,14,14,Nate Lashley,27.56,248,9
14,15,15,Kyle Stanley,27.63,221,8
15,T16,T16,Sergio Garcia,27.67,166,6
16,T16,T16,Si Woo Kim,27.67,332,12
17,T18,9,Dominic Bozzelli,27.7,277,10
18,T18,23,Zach Johnson,27.7,277,10
19,20,25,Adam Hadwin,27.71,388,14
20,21,12,Dustin Johnson,27.73,305,11
21,22,T38,Jonathan Byrd,27.78,250,9
22,23,19,Julián Etulain,27.8,278,10
23,24,20,Brandon Harkins,27.83,334,12
24,25,21,Sung Kang,27.86,390,14
25,26,22,Adam Long,27.88,223,8
26,27,24,Andrew Putnam,27.91,307,11
27,28,26,Vaughn Taylor,27.93,419,15
28,T29,T27,John Huh,28.0,140,5
29,T29,T27,Freddie Jacobson,28.0,140,5
30,T29,36,Scott Langley,28.0,280,10
31,T29,T27,Grayson Murray,28.0,196,7
32,33,T27,Brandt Snedeker,28.06,449,16
33,T34,T66,Roberto Castro,28.1,281,10
34,T34,18,Mackenzie Hughes,28.1,281,10
35,36,33,Brian Stuard,28.13,422,15
36,37,T48,Danny Lee,28.15,366,13
37,38,35,Kramer Hickok,28.18,310,11
38,39,T44,Harris English,28.2,423,15
39,T40,T58,Ben Crane,28.22,254,9
40,T40,T38,José de Jesús Rodríguez,28.22,254,9
41,42,37,Richy Werenski,28.23,367,13
42,T43,T38,Martin Kaymer,28.25,226,8
43,T43,T38,Jason Kokrak,28.25,452,16
44,T43,T38,Rory Sabbatini,28.25,452,16
45,T43,34,Robert Streb,28.25,226,8
46,47,43,J.T. Poston,28.27,424,15
47,48,T44,Matt Jones,28.29,396,14
48,T49,T46,Paul Casey,28.3,283,10
49,T49,T46,Ollie Schniederjans,28.3,283,10
50,T51,T48,Cameron Davis,28.33,255,9
51,T51,T48,Jason Day,28.33,255,9
52,T51,T48,Matt Wallace,28.33,170,6
53,T54,T55,Bill Haas,28.36,312,11
54,T54,T55,Scott Stallings,28.36,312,11
55,T56,T58,Rickie Fowler,28.38,369,13
56,T56,T58,Russell Knox,28.38,369,13
57,T56,T58,C.T. Pan,28.38,369,13
58,T56,T58,Martin Trainer,28.38,227,8
59,T60,T48,Daniel Berger,28.4,284,10
60,T60,T64,Alex Cejka,28.4,142,5
61,T62,T27,Talor Gooch,28.43,199,7
62,T62,T27,D.J. Trahan,28.43,199,7
63,64,T66,Adam Scott,28.44,256,9
64,65,68,Charley Hoffman,28.45,313,11
65,66,69,Scott Piercy,28.47,427,15
66,T67,70,Matthew Fitzpatrick,28.5,285,10
67,T67,T119,Alex Noren,28.5,285,10
68,69,T71,Kyoung-Hoon Lee,28.53,428,15
69,70,T64,Harold Varner III,28.55,314,11
70,T71,T71,Brian Gay,28.56,514,18
71,T71,T74,Tyrrell Hatton,28.56,257,9
72,T71,T74,Shawn Stefani,28.56,257,9
73,T74,76,Chris Kirk,28.57,200,7
74,T74,T58,Nick Taylor,28.57,400,14
75,T76,T55,Scott Brown,28.58,343,12
76,T76,77,Wyndham Clark,28.58,343,12
77,T76,73,Webb Simpson,28.58,343,12
78,T79,T78,Bronson Burgoon,28.6,143,5
79,T79,T78,Hudson Swafford,28.6,286,10
80,T81,T80,Austin Cook,28.63,229,8
81,T81,T80,Brendan Steele,28.63,229,8
82,T81,T80,Chris Stroud,28.63,229,8
83,T84,T83,Hideki Matsuyama,28.64,401,14
84,T84,T83,Denny McCarthy,28.64,315,11
85,T86,T85,Haotong Li,28.67,172,6
86,T86,T105,Peter Uihlein,28.67,344,12
87,T88,T88,Rafa Cabrera Bello,28.69,373,13
88,T88,T85,Peter Malnati,28.69,373,13
89,T88,T88,Nick Watney,28.69,373,13
90,T91,91,Chesson Hadley,28.7,287,10
91,T91,T110,Brooks Koepka,28.7,287,10
92,T91,T110,Wes Roach,28.7,287,10
93,T91,T99,Cameron Tringale,28.7,287,10
94,T95,T85,Joey Garber,28.71,201,7
95,T95,T92,David Hearn,28.71,201,7
96,T95,T92,Kyle Jones,28.71,201,7
97,98,94,Kevin Na,28.73,316,11
98,T99,T95,Bud Cauley,28.75,345,12
99,T99,T95,Whee Kim,28.75,230,8
100,T99,T95,Troy Merritt,28.75,230,8
101,T99,T95,Louis Oosthuizen,28.75,230,8
102,103,109,Danny Willett,28.78,259,9
103,104,T88,Jimmy Walker,28.79,403,14
104,T105,T101,Justin Harding,28.8,144,5
105,T105,T101,Ian Poulter,28.8,288,10
106,107,T105,Ryan Moore,28.82,317,11
107,108,T101,Sangmoon Bae,28.83,173,6
108,T109,T107,Ryan Armour,28.85,375,13
109,T109,T107,Keith Mitchell,28.85,375,13
