,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Justin Harding,31,1.216,14.589,12
1,2,2,Andrew Putnam,57,0.852,30.677,36
2,3,5,Jordan Spieth,57,0.836,37.623000000000005,45
3,4,4,Dominic Bozzelli,53,0.821,27.104,33
4,5,7,Graeme McDowell,61,0.78,31.197,40
5,6,3,Denny McCarthy,63,0.769,36.123000000000005,47
6,7,8,Vaughn Taylor,69,0.7190000000000001,41.674,58
7,T8,9,Jason Day,45,0.684,17.096,25
8,T8,15,Brandt Snedeker,68,0.684,32.833,48
9,10,10,Aaron Baddeley,51,0.68,25.843000000000004,38
10,11,11,Justin Rose,42,0.6709999999999999,19.451,29
11,12,12,Kiradech Aphibarnrat,49,0.665,21.936,33
12,13,13,Wyndham Clark,61,0.653,30.706999999999997,47
13,14,6,Dustin Johnson,47,0.65,22.107,34
14,15,14,Rickie Fowler,54,0.609,27.401,45
15,16,21,Curtis Luck,51,0.59,18.873,32
16,17,16,Beau Hossler,66,0.5770000000000001,29.405,51
17,18,17,Pat Perez,52,0.575,16.677,29
18,19,18,Brian Gay,79,0.5670000000000001,32.887,58
19,20,19,Peter Malnati,64,0.541,28.662,53
20,21,22,Adam Scott,41,0.532,12.758,24
21,22,24,Harris English,72,0.522,30.29,58
22,23,23,Stewart Cink,33,0.508,10.671,21
23,24,999,Shane Lowry,30,0.498,10.45,21
24,25,999,Martin Piller,30,0.489,8.316,17
25,26,26,Kevin Kisner,65,0.45399999999999996,19.527,43
26,27,25,Ben Crane,41,0.449,12.117,27
27,28,27,Michael Thompson,56,0.44799999999999995,22.397,50
28,29,29,Patrick Cantlay,49,0.426,14.067,33
29,30,30,Sam Burns,66,0.42200000000000004,22.787,54
30,31,31,Patrick Rodgers,44,0.42100000000000004,16.003,38
31,32,34,Nick Taylor,70,0.42,24.791999999999998,59
32,T33,33,Charl Schwartzel,34,0.40700000000000003,6.107,15
33,T33,20,Chase Wright,53,0.40700000000000003,15.860999999999999,39
34,35,44,José de Jesús Rodríguez,51,0.39399999999999996,13.776,35
35,36,32,Scott Langley,60,0.379,18.208,48
36,37,38,Patton Kizzire,58,0.375,13.86,37
37,38,62,Matt Kuchar,65,0.36200000000000004,17.396,48
38,39,28,Peter Uihlein,65,0.359,15.424000000000001,43
39,40,59,Rory McIlroy,50,0.35600000000000004,13.165,37
40,41,39,Si Woo Kim,65,0.337,13.135,39
41,42,35,Johnson Wagner,45,0.33299999999999996,10.642999999999999,32
42,43,40,Billy Horschel,73,0.33,14.839,45
43,T44,41,Sam Ryder,52,0.32799999999999996,13.109000000000002,40
44,T44,76,Webb Simpson,53,0.32799999999999996,14.761,45
45,46,37,Adam Schenk,80,0.32299999999999995,19.372,60
46,47,45,Cameron Smith,55,0.302,9.951,33
47,48,51,Jonas Blixt,66,0.301,15.645999999999999,52
48,49,46,Xander Schauffele,55,0.294,10.294,35
49,50,48,Matt Wallace,31,0.287,6.305,22
50,51,43,Martin Laird,60,0.28600000000000003,14.034,49
51,52,36,Nate Lashley,44,0.284,8.812999999999999,31
52,53,50,Ollie Schniederjans,63,0.261,12.255999999999998,47
53,54,52,Bryson DeChambeau,45,0.254,9.648,38
54,55,53,Jon Rahm,51,0.248,8.196,33
55,T56,T54,Charles Howell III,64,0.245,10.546,43
56,T56,T54,Ryan Moore,54,0.245,10.540999999999999,43
57,58,56,Cameron Champ,58,0.24100000000000002,11.56,48
58,T59,49,Jim Furyk,53,0.23600000000000002,9.684,41
59,T59,57,Lucas Glover,62,0.23600000000000002,12.529000000000002,53
60,61,75,Cameron Tringale,52,0.231,7.851,34
61,62,60,Patrick Reed,53,0.221,8.166,37
62,63,42,Julián Etulain,55,0.21100000000000002,7.7989999999999995,37
63,T64,T64,Ernie Els,43,0.20199999999999999,5.263999999999999,26
64,T64,T64,Ian Poulter,49,0.20199999999999999,6.06,30
65,66,T66,Ryan Palmer,56,0.19699999999999998,7.685,39
66,67,58,Scott Piercy,70,0.19,9.49,50
67,68,T66,Chesson Hadley,58,0.184,7.724,42
68,T69,T68,Max Homa,61,0.183,8.792,48
69,T69,T68,Sung Kang,67,0.183,9.711,53
70,71,71,Matt Jones,67,0.165,7.402,45
71,72,72,Charley Hoffman,58,0.161,5.643,35
72,73,73,Tiger Woods,31,0.157,3.299,21
73,74,95,Sungjae Im,88,0.15,10.193,68
74,75,74,Brian Stuard,76,0.147,8.107999999999999,55
75,76,85,Roberto Díaz,51,0.14,4.61,33
76,77,94,Adam Hadwin,66,0.13699999999999998,6.28,46
77,78,77,Anirban Lahiri,54,0.134,5.3660000000000005,40
78,79,78,Rory Sabbatini,71,0.132,7.108,54
79,80,70,Brady Schnell,38,0.131,3.403,26
80,81,79,Ryan Blaum,67,0.13,6.877999999999999,53
81,82,80,Chez Reavie,67,0.129,5.175,40
82,83,83,Rafa Cabrera Bello,57,0.125,4.493,36
83,84,84,Martin Kaymer,38,0.12300000000000001,4.177,34
