,Total_1_Putts_-_15-20_RANK THIS WEEK,Total_1_Putts_-_15-20_RANK LAST WEEK,Total_1_Putts_-_15-20_PLAYER NAME,Total_1_Putts_-_15-20_ROUNDS,Total_1_Putts_-_15-20_TOTAL,Total_1_Putts_-_15-20_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_15-20_PCT OF ALL 1-PUTTS
0,1,3,Sungjae Im,88,31,495,6.3
1,T2,T1,J.T. Poston,76,30,474,6.3
2,T2,T1,Vaughn Taylor,69,30,473,6.3
3,4,4,Adam Schenk,80,29,427,6.8
4,5,5,Sung Kang,67,27,381,7.1
5,6,T7,Jonas Blixt,66,26,375,6.9
6,T7,6,Lucas Glover,62,25,376,6.6
7,T7,T7,Denny McCarthy,63,25,352,7.1
8,T9,T11,Brian Gay,79,24,436,5.5
9,T9,T11,Nick Taylor,70,24,440,5.5
10,T11,T11,Ryan Armour,66,23,358,6.4
11,T11,T9,Danny Lee,66,23,405,5.7
12,T11,T9,Kyoung-Hoon Lee,72,23,326,7.1
13,T14,T22,Scott Brown,66,22,333,6.6
14,T14,T11,Chesson Hadley,58,22,308,7.1
15,T14,T11,Max Homa,61,22,336,6.5
16,T14,T29,Hudson Swafford,59,22,312,7.1
17,T14,T11,Michael Thompson,56,22,383,5.7
18,T19,T29,Russell Henley,56,21,293,7.2
19,T19,T17,Joaquin Niemann,68,21,351,6.0
20,T19,T17,Jhonattan Vegas,60,21,309,6.8
21,T19,T22,Richy Werenski,63,21,350,6.0
22,T23,T19,Wyndham Clark,61,20,369,5.4
23,T23,T44,Martin Laird,60,20,346,5.8
24,T23,T19,Luke List,52,20,296,6.8
25,T23,T19,Peter Malnati,64,20,421,4.8
26,T23,T22,Ollie Schniederjans,63,20,345,5.8
27,T28,T22,Rickie Fowler,54,19,330,5.8
28,T28,T22,Ryan Moore,54,19,320,5.9
29,T28,T29,Ryan Palmer,56,19,282,6.7
30,T28,T29,Sepp Straka,48,19,221,8.6
31,T28,T22,Brian Stuard,76,19,414,4.6
32,T28,T22,Johnson Wagner,45,19,220,8.6
33,T34,T29,Aaron Baddeley,51,18,308,5.8
34,T34,T38,Ben Crane,41,18,192,9.4
35,T34,T29,Joel Dahmen,78,18,392,4.6
36,T34,T29,Beau Hossler,66,18,387,4.7
37,T34,T38,Kelly Kraft,67,18,331,5.4
38,T34,T29,Jordan Spieth,57,18,354,5.1
39,T34,T29,Scott Stallings,63,18,352,5.1
40,T34,T38,Peter Uihlein,65,18,330,5.5
41,T42,T38,Austin Cook,50,17,256,6.6
42,T42,T55,Tom Hoge,70,17,335,5.1
43,T42,T38,Anirban Lahiri,54,17,312,5.4
44,T42,T38,Kevin Na,54,17,236,7.2
45,T42,T44,Carlos Ortiz,60,17,314,5.4
46,T42,T44,Ben Silverman,54,17,296,5.7
47,T42,T44,Chris Stroud,54,17,291,5.8
48,T49,T44,Ryan Blaum,67,16,384,4.2
49,T49,T94,Dominic Bozzelli,53,16,255,6.3
50,T49,T44,Cameron Champ,58,16,327,4.9
51,T49,T66,Cody Gribble,52,16,277,5.8
52,T49,T44,Billy Horschel,73,16,320,5.0
53,T49,T44,Kevin Kisner,65,16,309,5.2
54,T49,T44,Jason Kokrak,68,16,387,4.1
55,T49,T55,Matt Kuchar,65,16,342,4.7
56,T49,T66,Hank Lebioda,55,16,262,6.1
57,T49,T44,Andrew Putnam,57,16,284,5.6
58,T49,T44,Patrick Rodgers,44,16,268,6.0
59,T60,T55,Abraham Ancer,69,15,355,4.2
