,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,J.T. Poston,76,254,474,53.6
1,2,3,Sungjae Im,88,252,495,50.9
2,3,2,Bud Cauley,61,245,416,58.9
3,T4,9,Harris English,72,234,423,55.3
4,T4,6,Nick Taylor,70,234,440,53.2
5,6,8,Peter Malnati,64,229,421,54.4
6,7,4,Brian Stuard,76,225,414,54.3
7,8,5,Vaughn Taylor,69,221,473,46.7
8,T9,7,Rory Sabbatini,71,217,411,52.8
9,T9,T10,Adam Schenk,80,217,427,50.8
10,11,T17,Brian Gay,79,212,436,48.6
11,12,T10,Brandon Harkins,67,209,366,57.1
12,13,24,Scott Langley,60,208,363,57.3
13,14,T25,Danny Lee,66,203,405,50.1
14,15,T19,Brandt Snedeker,68,202,379,53.3
15,16,T10,Jason Kokrak,68,201,387,51.9
16,17,13,Michael Thompson,56,200,383,52.2
17,T18,T14,Ryan Blaum,67,199,384,51.8
18,T18,T14,Sam Burns,66,199,400,49.8
19,T18,21,Sam Saunders,53,199,340,58.5
20,21,31,Brian Harman,67,198,349,56.7
21,22,32,Jonas Blixt,66,197,375,52.5
22,23,16,Kevin Streelman,63,196,363,54.0
23,T24,T25,Wyndham Clark,61,195,369,52.8
24,T24,T34,Jimmy Walker,61,195,332,58.7
25,T26,T17,Abraham Ancer,69,194,355,54.6
26,T26,T34,Roger Sloan,62,194,354,54.8
27,28,T19,Lucas Glover,62,193,376,51.3
28,T29,T22,Joel Dahmen,78,191,392,48.7
29,T29,T22,Beau Hossler,66,191,387,49.4
30,31,T29,Trey Mullinax,67,190,365,52.1
31,32,T25,Ollie Schniederjans,63,189,345,54.8
32,33,33,Scott Stallings,63,187,352,53.1
33,34,T43,Harold Varner III,62,186,350,53.1
34,T35,T46,Mackenzie Hughes,58,184,316,58.2
35,T35,28,Si Woo Kim,65,184,322,57.1
36,37,T29,Sung Kang,67,183,381,48.0
37,T38,T36,Ryan Armour,66,182,358,50.8
38,T38,T57,Joaquin Niemann,68,182,351,51.9
39,40,T46,Webb Simpson,53,180,336,53.6
40,41,T38,Nick Watney,67,179,340,52.6
41,42,T36,Richy Werenski,63,176,350,50.3
42,43,56,Kevin Tway,62,175,309,56.6
43,T44,T43,Bill Haas,58,174,309,56.3
44,T44,T67,Adam Hadwin,66,174,337,51.6
45,T44,T46,Tom Hoge,70,174,335,51.9
46,T44,T52,Scott Piercy,70,174,353,49.3
47,48,T43,Seamus Power,58,173,320,54.1
48,49,T57,Martin Trainer,51,172,309,55.7
49,50,T38,Hideki Matsuyama,59,171,314,54.5
50,T51,T40,Max Homa,61,170,336,50.6
51,T51,T74,Zach Johnson,50,170,311,54.7
52,T51,T40,Matt Jones,67,170,324,52.5
53,T51,71,Matt Kuchar,65,170,342,49.7
54,55,42,Russell Knox,65,169,334,50.6
