,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Jordan Spieth,57,21,354,5.9
1,2,2,Nick Taylor,70,20,440,4.5
2,T3,T3,Cameron Champ,58,18,327,5.5
3,T3,T3,Joel Dahmen,78,18,392,4.6
4,T3,T3,Lucas Glover,62,18,376,4.8
5,T6,T6,Rickie Fowler,54,17,330,5.2
6,T6,T6,Rory Sabbatini,71,17,411,4.1
7,8,8,Roger Sloan,62,16,354,4.5
8,T9,T9,Sam Burns,66,15,400,3.8
9,T9,T33,Sungjae Im,88,15,495,3.0
10,T9,T9,Kelly Kraft,67,15,331,4.5
11,T9,T12,Adam Schenk,80,15,427,3.5
12,T9,T20,Peter Uihlein,65,15,330,4.5
13,T9,T9,Richy Werenski,63,15,350,4.3
14,T15,T12,Ryan Blaum,67,14,384,3.6
15,T15,T12,Talor Gooch,37,14,219,6.4
16,T15,T20,Mackenzie Hughes,58,14,316,4.4
17,T15,T46,Danny Lee,66,14,405,3.5
18,T15,T12,Denny McCarthy,63,14,352,4.0
19,T15,T12,Trey Mullinax,67,14,365,3.8
20,T15,T12,"Ted Potter, Jr.",56,14,299,4.7
21,T15,T12,Andrew Putnam,57,14,284,4.9
22,T15,T20,Brandt Snedeker,68,14,379,3.7
23,T15,T12,Brian Stuard,76,14,414,3.4
24,T25,T20,Jonas Blixt,66,13,375,3.5
25,T25,T20,Corey Conners,62,13,276,4.7
26,T25,T33,Harris English,72,13,423,3.1
27,T25,T20,Beau Hossler,66,13,387,3.4
28,T25,T20,Jason Kokrak,68,13,387,3.4
29,T25,T33,Scott Langley,60,13,363,3.6
30,T25,T20,Scott Piercy,70,13,353,3.7
31,T25,T20,Shawn Stefani,57,13,257,5.1
32,T25,T20,Kevin Streelman,63,13,363,3.6
33,T25,T20,Chris Stroud,54,13,291,4.5
34,T25,T20,Michael Thompson,56,13,383,3.4
35,T25,T33,Harold Varner III,62,13,350,3.7
36,T25,T20,Gary Woodland,63,13,293,4.4
37,T38,T33,Abraham Ancer,69,12,355,3.4
38,T38,T46,Dustin Johnson,47,12,256,4.7
39,T38,T33,Matt Jones,67,12,324,3.7
40,T38,T33,Kyoung-Hoon Lee,72,12,326,3.7
41,T38,T33,C.T. Pan,64,12,302,4.0
42,T38,T33,J.T. Poston,76,12,474,2.5
43,T38,T33,Patrick Rodgers,44,12,268,4.5
44,T38,T33,Brendan Steele,50,12,236,5.1
45,T38,T33,Sepp Straka,48,12,221,5.4
46,T38,T33,Cameron Tringale,52,12,253,4.7
47,T48,T57,Scott Brown,66,11,333,3.3
48,T48,T46,Bud Cauley,61,11,416,2.6
49,T48,T46,Brian Gay,79,11,436,2.5
50,T48,T57,Jim Knous,55,11,247,4.5
51,T48,T46,Russell Knox,65,11,334,3.3
52,T48,T57,Matt Kuchar,65,11,342,3.2
53,T48,T46,Nate Lashley,44,11,220,5.0
54,T48,T46,Luke List,52,11,296,3.7
55,T48,T46,Ryan Moore,54,11,320,3.4
56,T48,T84,Sebastián Muñoz,58,11,277,4.0
57,T48,T46,Kevin Na,54,11,236,4.7
58,T48,T46,Carlos Ortiz,60,11,314,3.5
59,T48,T46,J.J. Spaun,68,11,315,3.5
60,T48,T57,Kevin Tway,62,11,309,3.6
61,T62,T57,Ryan Armour,66,10,358,2.8
62,T62,T57,Stewart Cink,33,10,154,6.5
63,T62,T57,Cameron Davis,54,10,267,3.7
64,T62,T105,Dylan Frittelli,55,10,299,3.3
65,T62,T57,Adam Hadwin,66,10,337,3.0
66,T62,T57,Tyrrell Hatton,46,10,192,5.2
67,T62,T57,Charles Howell III,64,10,304,3.3
68,T62,T57,Stephan Jaeger,59,10,296,3.4
69,T62,T57,Zach Johnson,50,10,311,3.2
70,T62,T57,Whee Kim,57,10,218,4.6
71,T62,T57,Si Woo Kim,65,10,322,3.1
72,T62,T57,Andrew Landry,56,10,298,3.4
73,T62,T123,Hank Lebioda,55,10,262,3.8
74,T62,T84,Peter Malnati,64,10,421,2.4
75,T62,T57,Phil Mickelson,41,10,214,4.7
76,T62,T57,Keith Mitchell,64,10,286,3.5
77,T62,T57,Seamus Power,58,10,320,3.1
78,T62,T57,Chez Reavie,67,10,291,3.4
79,T62,T57,Patrick Reed,53,10,272,3.7
80,T62,T57,Sam Ryder,52,10,305,3.3
81,T62,T105,Ollie Schniederjans,63,10,345,2.9
82,T62,T57,Ben Silverman,54,10,296,3.4
83,T62,T57,Webb Simpson,53,10,336,3.0
84,T62,T57,Cameron Smith,55,10,255,3.9
85,T62,T84,Adam Svensson,51,10,252,4.0
86,T62,T57,Vaughn Taylor,69,10,473,2.1
87,T62,T57,Justin Thomas,49,10,248,4.0
88,T62,T57,Jimmy Walker,61,10,332,3.0
89,T90,T84,Wyndham Clark,61,9,369,2.4
90,T90,T123,Roberto Díaz,51,9,239,3.8
91,T90,T84,Jason Dufner,56,9,248,3.6
92,T90,T84,Tony Finau,61,9,286,3.1
93,T90,T84,Joey Garber,44,9,174,5.2
94,T90,T84,Brice Garnett,63,9,252,3.6
95,T90,T84,Branden Grace,62,9,251,3.6
96,T90,T84,Cody Gribble,52,9,277,3.2
97,T90,T84,Chesson Hadley,58,9,308,2.9
98,T90,T84,Brian Harman,67,9,349,2.6
99,T90,T84,Billy Horschel,73,9,320,2.8
100,T90,T84,Martin Kaymer,38,9,251,3.6
101,T90,T84,Anirban Lahiri,54,9,312,2.9
102,T90,T84,Martin Laird,60,9,346,2.6
103,T90,T84,Marc Leishman,52,9,253,3.6
104,T90,T105,Curtis Luck,51,9,247,3.6
105,T90,T84,Hideki Matsuyama,59,9,314,2.9
106,T90,T105,Rory McIlroy,50,9,258,3.5
107,T90,T84,Xander Schauffele,55,9,246,3.7
108,T90,T84,John Senden,39,9,153,5.9
109,T90,T123,Henrik Stenson,46,9,226,4.0
110,T90,T105,Robert Streb,60,9,292,3.1
111,T90,T84,Jhonattan Vegas,60,9,309,2.9
112,T113,T105,Anders Albertson,48,8,233,3.4
113,T113,T105,Aaron Baddeley,51,8,308,2.6
114,T113,T105,Daniel Berger,48,8,293,2.7
115,T113,T105,Keegan Bradley,65,8,286,2.8
116,T113,T105,Bronson Burgoon,37,8,193,4.1
117,T113,T105,Rafa Cabrera Bello,57,8,275,2.9
118,T113,T123,John Chin,38,8,133,6.0
119,T113,T105,Austin Cook,50,8,256,3.1
120,T113,T147,J.J. Henry,42,8,165,4.8
121,T113,T105,Kyle Jones,49,8,237,3.4
122,T113,T171,Graeme McDowell,61,8,311,2.6
123,T113,T105,Alex Noren,49,8,217,3.7
124,T113,T147,José de Jesús Rodríguez,51,8,286,2.8
