,Total_3_Putts_-_5-10_RANK THIS WEEK,Total_3_Putts_-_5-10_RANK LAST WEEK,Total_3_Putts_-_5-10_PLAYER NAME,Total_3_Putts_-_5-10_ROUNDS,Total_3_Putts_-_5-10_TOTAL 3 PUTTS 5'-10',Total_3_Putts_-_5-10_TOTAL 3 PUTTS
0,1,1,"Ted Potter, Jr.",56,5,26
1,T2,T2,Danny Lee,66,3,39
2,T2,T2,Keith Mitchell,64,3,27
3,T2,T2,Adam Scott,41,3,17
4,T2,T5,Sepp Straka,48,3,22
5,T6,T5,Bronson Burgoon,37,2,21
6,T6,T5,Rafa Cabrera Bello,57,2,21
7,T6,T5,Bud Cauley,61,2,26
8,T6,T5,Cameron Champ,58,2,40
9,T6,T5,Joel Dahmen,78,2,33
10,T6,T5,Julián Etulain,55,2,22
11,T6,T5,Brian Gay,79,2,22
12,T6,T5,Emiliano Grillo,65,2,29
13,T6,T23,David Hearn,41,2,11
14,T6,T5,Sung Kang,67,2,35
15,T6,T5,Russell Knox,65,2,30
16,T6,T5,Anirban Lahiri,54,2,21
17,T6,T5,Curtis Luck,51,2,22
18,T6,T5,Trey Mullinax,67,2,36
19,T6,T5,Xander Schauffele,55,2,18
20,T6,T5,John Senden,39,2,20
21,T6,T5,Roger Sloan,62,2,26
22,T6,T5,J.J. Spaun,68,2,24
23,T24,T23,Byeong Hun An,54,1,18
24,T24,T23,Ryan Armour,66,1,33
25,T24,T23,Aaron Baddeley,51,1,16
26,T24,,Dominic Bozzelli,53,1,9
27,T24,T23,Sam Burns,66,1,17
28,T24,T23,Roberto Castro,54,1,25
29,T24,T23,Corey Conners,62,1,27
30,T24,T23,Austin Cook,50,1,17
31,T24,T23,Jason Day,45,1,12
32,T24,T23,Bryson DeChambeau,45,1,26
33,T24,T23,Jason Dufner,56,1,27
34,T24,T23,Tony Finau,61,1,15
35,T24,T23,Tommy Fleetwood,43,1,10
36,T24,,Joey Garber,44,1,14
37,T24,T23,Brice Garnett,63,1,16
38,T24,T23,Chesson Hadley,58,1,19
39,T24,T23,Tyrrell Hatton,46,1,14
40,T24,T23,Jim Herman,37,1,15
41,T24,T23,Kramer Hickok,59,1,28
42,T24,T23,Charley Hoffman,58,1,13
43,T24,T23,Billy Horschel,73,1,23
44,T24,T23,Sungjae Im,88,1,43
45,T24,T23,Stephan Jaeger,59,1,22
46,T24,,Dustin Johnson,47,1,11
47,T24,T23,Martin Kaymer,38,1,14
48,T24,T23,Michael Kim,51,1,20
49,T24,T23,Chris Kirk,47,1,20
50,T24,T23,Patton Kizzire,58,1,18
51,T24,T23,Jim Knous,55,1,24
52,T24,T23,Satoshi Kodaira,51,1,27
53,T24,T23,Brooks Koepka,49,1,20
54,T24,T23,Jason Kokrak,68,1,27
55,T24,T23,Kelly Kraft,67,1,27
56,T24,T23,Matt Kuchar,65,1,29
57,T24,T23,Scott Langley,60,1,15
58,T24,T23,Hank Lebioda,55,1,28
59,T24,T23,Marc Leishman,52,1,27
60,T24,T23,Luke List,52,1,30
61,T24,999,Shane Lowry,30,1,10
62,T24,T23,Peter Malnati,64,1,16
63,T24,T23,Troy Merritt,42,1,18
64,T24,T23,Phil Mickelson,41,1,15
65,T24,T23,Francesco Molinari,41,1,13
66,T24,T23,Kevin Na,54,1,16
67,T24,,Alex Noren,49,1,18
68,T24,T23,Louis Oosthuizen,43,1,8
69,T24,T23,C.T. Pan,64,1,17
70,T24,T23,Ian Poulter,49,1,15
71,T24,T23,Andrew Putnam,57,1,12
72,T24,T23,Jon Rahm,51,1,14
73,T24,T23,Chez Reavie,67,1,19
74,T24,T23,Seth Reeves,52,1,27
75,T24,T23,Patrick Rodgers,44,1,17
76,T24,T23,Sam Ryder,52,1,25
77,T24,T23,Ben Silverman,54,1,25
78,T24,T23,Webb Simpson,53,1,17
79,T24,T23,Brandt Snedeker,68,1,15
80,T24,T23,Shawn Stefani,57,1,29
81,T24,T23,Kevin Streelman,63,1,26
82,T24,T23,Brian Stuard,76,1,24
83,T24,T23,Adam Svensson,51,1,26
84,T24,T23,Harold Varner III,62,1,28
85,T24,T23,Nick Watney,67,1,24
86,T24,T23,Bubba Watson,47,1,33
87,T24,T23,Gary Woodland,63,1,28
88,T24,T23,Chase Wright,53,1,17
