,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,T1,Charley Hoffman,58,2,13
1,T1,T1,J.B. Holmes,54,2,22
2,T1,T1,Satoshi Kodaira,51,2,27
3,T1,T1,Denny McCarthy,63,2,18
4,T5,T5,Ryan Armour,66,1,33
5,T5,T5,Sangmoon Bae,42,1,24
6,T5,T5,Lucas Bjerregaard,37,1,16
7,T5,T5,Bud Cauley,61,1,26
8,T5,T5,Joey Garber,44,1,14
9,T5,T5,Lucas Glover,62,1,24
10,T5,T5,Bill Haas,58,1,23
11,T5,T5,John Huh,35,1,15
12,T5,T5,Sungjae Im,88,1,43
13,T5,T5,Zach Johnson,50,1,22
14,T5,T5,Kyle Jones,49,1,18
15,T5,T5,Sung Kang,67,1,35
16,T5,T5,Martin Kaymer,38,1,14
17,T5,T5,Jim Knous,55,1,24
18,T5,T5,Jason Kokrak,68,1,27
19,T5,T5,Matt Kuchar,65,1,29
20,T5,T5,Anirban Lahiri,54,1,21
21,T5,T5,Martin Laird,60,1,28
22,T5,T5,Luke List,52,1,30
23,T5,T5,Adam Long,52,1,24
24,T5,T5,Rory McIlroy,50,1,13
25,T5,T5,Troy Merritt,42,1,18
26,T5,T5,Trey Mullinax,67,1,36
27,T5,T5,Grayson Murray,36,1,21
28,T5,T5,Joaquin Niemann,68,1,21
29,T5,T5,Pat Perez,52,1,16
30,T5,T5,Alex Prugh,54,1,16
31,T5,T5,Chez Reavie,67,1,19
32,T5,T5,Patrick Reed,53,1,18
33,T5,T5,Seth Reeves,52,1,27
34,T5,T5,Xander Schauffele,55,1,18
35,T5,T5,Brady Schnell,38,1,9
36,T5,T5,Jordan Spieth,57,1,22
37,T5,T5,Henrik Stenson,46,1,17
38,T5,T5,Sepp Straka,48,1,22
39,T5,T5,Michael Thompson,56,1,22
40,T5,T5,D.J. Trahan,33,1,8
41,T5,T5,Danny Willett,47,1,27
42,T5,T5,Gary Woodland,63,1,28
43,T5,T5,Chase Wright,53,1,17
