,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,1,1,Sungjae Im,88,36,43
1,T2,T2,Cameron Champ,58,32,40
2,T2,T2,J.T. Poston,76,32,40
3,T4,T8,Keegan Bradley,65,31,37
4,T4,4,Danny Lee,66,31,39
5,T6,T5,Brandon Harkins,67,29,33
6,T6,T5,Bubba Watson,47,29,33
7,T8,T8,Tyler Duncan,66,27,30
8,T8,T8,Russell Henley,56,27,28
9,T8,7,Trey Mullinax,67,27,36
10,T8,T8,Scott Stallings,63,27,30
11,T12,T8,Joel Dahmen,78,26,33
12,T12,T15,Adam Hadwin,66,26,31
13,T12,T8,Sung Kang,67,26,35
14,T12,T8,Russell Knox,65,26,30
15,T12,T20,Martin Laird,60,26,28
16,T17,T15,Kyoung-Hoon Lee,72,25,30
17,T17,T15,Hideki Matsuyama,59,25,30
18,T19,T18,Matt Kuchar,65,24,29
19,T19,T18,Luke List,52,24,30
20,T19,T20,Scott Piercy,70,24,28
21,T22,T41,Anders Albertson,48,23,26
22,T22,T20,Corey Conners,62,23,27
23,T22,T20,Emiliano Grillo,65,23,29
24,T22,T55,Hank Lebioda,55,23,28
25,T22,T24,Nick Taylor,70,23,27
26,T27,T24,Ryan Blaum,67,22,26
27,T27,T24,Marc Leishman,52,22,27
28,T27,T41,Ryan Palmer,56,22,23
29,T27,T41,Adam Schenk,80,22,27
30,T27,T24,Shawn Stefani,57,22,29
31,T27,T24,Kevin Streelman,63,22,26
32,T27,T41,Peter Uihlein,65,22,24
33,T27,T30,Harold Varner III,62,22,28
34,T27,T30,Jimmy Walker,61,22,27
35,T27,T24,Gary Woodland,63,22,28
36,T37,T55,Ryan Armour,66,21,33
37,T37,T41,Bud Cauley,61,21,26
38,T37,T55,Dylan Frittelli,55,21,24
39,T37,T30,Mackenzie Hughes,58,21,23
40,T37,T30,Satoshi Kodaira,51,21,27
41,T37,T41,Kelly Kraft,67,21,27
42,T37,T30,Andrew Landry,56,21,24
43,T37,T30,Adam Long,52,21,24
44,T37,T30,Seamus Power,58,21,27
45,T37,T41,Seth Reeves,52,21,27
46,T37,T30,Rory Sabbatini,71,21,32
47,T37,T41,Ben Silverman,54,21,25
48,T37,T30,Roger Sloan,62,21,26
49,T37,T30,Jhonattan Vegas,60,21,26
50,T37,T55,Danny Willett,47,21,27
51,T37,T30,Aaron Wise,52,21,23
52,T53,T41,Jason Dufner,56,20,27
53,T53,T55,Bill Haas,58,20,23
54,T53,T41,Kramer Hickok,59,20,28
55,T53,T41,Tom Hoge,70,20,24
56,T53,T41,Billy Horschel,73,20,23
57,T53,T55,Stephan Jaeger,59,20,22
58,T53,T41,Jason Kokrak,68,20,27
