,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Graeme McDowell,16,41.2
1,2,2,Dominic Bozzelli,17,51.1
2,3,4,Justin Rose,11,67.3
3,4,6,Wyndham Clark,20,70.3
4,5,3,Denny McCarthy,20,72.3
5,6,8,Rickie Fowler,14,86.1
6,7,11,Harris English,21,88.4
7,8,7,Aaron Baddeley,15,89.0
8,9,9,Brian Gay,22,89.7
9,10,13,Peter Malnati,19,92.1
10,11,10,Sam Burns,22,93.9
11,12,14,Kevin Kisner,17,96.0
12,13,12,Justin Harding,9,97.6
13,14,16,Brandt Snedeker,18,103.3
14,15,5,Chase Wright,19,108.8
15,16,19,Vaughn Taylor,21,119.3
16,17,15,Ollie Schniederjans,22,120.7
17,18,22,Lucas Glover,17,124.1
18,19,18,Scott Langley,20,124.2
19,20,20,Andrew Putnam,17,125.9
20,21,24,Pat Perez,16,127.4
21,22,27,Ben Crane,13,127.8
22,23,23,Charley Hoffman,18,128.2
23,24,33,José de Jesús Rodríguez,17,129.8
24,25,25,Beau Hossler,20,132.3
25,26,17,Adam Schenk,24,137.9
26,27,26,Michael Thompson,17,142.8
27,28,36,Kyle Jones,19,147.6
28,T29,30,Billy Horschel,19,148.0
29,T29,28,Hunter Mahan,15,148.0
30,31,81,Webb Simpson,14,150.1
31,T32,29,Stewart Cink,12,150.8
32,T32,41,Nick Taylor,20,150.8
33,34,34,Kiradech Aphibarnrat,15,153.5
34,35,35,Sam Saunders,18,159.5
35,36,38,Martin Kaymer,11,160.8
36,37,39,Jordan Spieth,16,161.3
37,38,37,Ian Poulter,13,161.7
38,39,32,Jim Furyk,16,162.7
39,40,40,Max Homa,19,163.4
40,41,21,Dustin Johnson,12,165.9
41,42,44,Si Woo Kim,20,166.2
42,43,47,Matt Wallace,9,169.8
43,44,48,Sam Ryder,16,171.8
44,45,46,Charl Schwartzel,13,172.3
45,46,,Shane Lowry,10,172.7
46,47,42,Sebastián Muñoz,18,174.6
47,48,T50,C.T. Pan,19,175.4
48,49,T50,Xander Schauffele,15,176.4
49,T50,43,Brian Harman,22,177.3
50,T50,72,Rory McIlroy,13,177.3
51,52,55,Charles Howell III,19,177.8
52,53,53,Matt Jones,19,180.6
53,54,T58,Tony Finau,17,181.2
54,55,61,Sung Kang,20,181.8
55,56,56,Anirban Lahiri,17,183.5
56,57,60,Rory Sabbatini,19,183.7
57,58,57,Ryan Moore,16,184.1
58,59,,Martin Piller,10,184.2
59,60,76,Sungjae Im,26,184.6
60,61,T58,Patton Kizzire,18,184.9
61,62,69,Jonas Blixt,20,185.4
62,63,49,Johnson Wagner,14,186.1
63,64,62,Patrick Rodgers,14,186.5
64,65,67,Wes Roach,14,186.8
65,66,82,Brady Schnell,14,187.1
66,67,70,Brian Stuard,22,187.7
67,68,45,Ryan Armour,21,188.5
68,69,79,Danny Lee,20,189.6
69,70,64,Jason Day,14,191.3
70,71,77,Matt Every,12,191.4
71,72,65,Patrick Cantlay,14,192.2
72,73,54,Curtis Luck,17,192.9
73,74,117,Josh Teater,17,193.6
74,75,63,Carlos Ortiz,21,194.5
75,76,68,Ryan Blaum,21,194.7
76,77,71,Ernie Els,14,196.3
77,78,78,Tommy Fleetwood,11,198.8
78,79,80,D.A. Points,13,200.5
79,80,66,Martin Laird,18,201.3
80,81,83,Troy Merritt,12,202.0
81,82,52,Nate Lashley,13,204.2
82,83,31,Richy Werenski,20,204.3
83,84,74,Scott Piercy,19,204.5
84,85,87,Hudson Swafford,20,205.5
85,86,88,Bryson DeChambeau,13,205.8
86,87,89,Keith Mitchell,19,208.5
87,88,91,Cameron Davis,18,209.4
88,89,93,Nick Watney,20,209.6
89,90,73,Robert Streb,21,209.8
90,91,104,Henrik Stenson,12,212.7
91,92,90,Ryan Palmer,16,213.3
92,93,97,Chesson Hadley,20,215.7
93,94,100,Daniel Berger,14,216.8
94,95,99,John Huh,13,218.6
95,96,95,Abraham Ancer,20,218.7
96,97,98,Brooks Koepka,13,218.8
97,98,86,Sergio Garcia,11,220.8
98,99,106,Scott Brown,21,222.8
99,100,115,Cameron Tringale,15,223.3
100,101,108,Cameron Champ,19,225.1
101,102,85,Julián Etulain,17,226.3
102,103,109,J.J. Spaun,20,226.6
103,104,96,Chris Stroud,19,227.1
104,105,102,Cameron Smith,16,227.8
