,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Byeong Hun An,15,100.0,6.0
1,T1,T1,Patrick Cantlay,14,100.0,2.0
2,T1,T1,Paul Casey,15,100.0,1.0
3,T1,T1,Austin Cook,17,100.0,1.0
4,T1,T1,Jason Day,14,100.0,2.0
5,T1,T1,Bryson DeChambeau,13,100.0,4.0
6,T1,T1,Joey Garber,15,100.0,3.0
7,T1,T1,Talor Gooch,12,100.0,3.0
8,T1,T1,Jim Herman,16,100.0,2.0
9,T1,T1,Dustin Johnson,12,100.0,2.0
10,T1,T1,Kyle Jones,19,100.0,2.0
11,T1,T1,Brooks Koepka,13,100.0,5.0
12,T1,T1,Martin Laird,18,100.0,2.0
13,T1,T1,Hideki Matsuyama,15,100.0,5.0
14,T1,T1,Rory McIlroy,13,100.0,3.0
15,T1,T1,Seamus Power,21,100.0,3.0
16,T1,T1,Jon Rahm,14,100.0,2.0
17,T1,T1,Brady Schnell,14,100.0,2.0
18,T1,T1,Adam Scott,12,100.0,1.0
19,T1,T1,Sepp Straka,16,100.0,2.0
20,T1,T1,Adam Svensson,18,100.0,4.0
21,T1,999,Tyrone Van Aswegen,11,100.0,3.0
22,T1,T1,Harold Varner III,20,100.0,2.0
23,T1,T1,Danny Willett,15,100.0,3.0
24,T1,T1,Tiger Woods,8,100.0,2.0
25,26,25,Brian Stuard,22,91.7,11.0
26,27,26,Max Homa,19,88.9,8.0
27,T28,T27,Ryan Armour,21,87.5,7.0
28,T28,T27,Bud Cauley,19,87.5,7.0
29,T28,T27,Wyndham Clark,20,87.5,7.0
30,T31,T30,Sungjae Im,26,85.7,6.0
31,T31,T30,Anirban Lahiri,17,85.7,6.0
32,T31,T30,Gary Woodland,17,85.7,6.0
33,T34,T33,Sam Burns,22,83.3,5.0
34,T34,T33,Si Woo Kim,20,83.3,5.0
35,T34,T33,Marc Leishman,14,83.3,5.0
36,T34,T33,Denny McCarthy,20,83.3,5.0
37,T34,T38,Alex Noren,14,83.3,5.0
38,T34,T33,Webb Simpson,14,83.3,5.0
