,6-10_Final_Round_Performance_RANK THIS WEEK,6-10_Final_Round_Performance_RANK LAST WEEK,6-10_Final_Round_Performance_PLAYER NAME,6-10_Final_Round_Performance_EVENTS,6-10_Final_Round_Performance_% TIMES IMPROVED,6-10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Kiradech Aphibarnrat,15,100.0,2.0
1,T1,T1,Dominic Bozzelli,17,100.0,1.0
2,T1,T1,Patrick Cantlay,14,100.0,2.0
3,T1,T1,Paul Casey,15,100.0,1.0
4,T1,T1,Ben Crane,13,100.0,1.0
5,T1,T1,Jason Dufner,19,100.0,1.0
6,T1,T1,Sergio Garcia,11,100.0,2.0
7,T1,T1,Brice Garnett,21,100.0,1.0
8,T1,T1,Chesson Hadley,20,100.0,2.0
9,T1,T1,Zach Johnson,15,100.0,1.0
10,T1,T1,Dustin Johnson,12,100.0,3.0
11,T1,T1,Si Woo Kim,20,100.0,2.0
12,T1,T1,Patton Kizzire,18,100.0,1.0
13,T1,T1,Brooks Koepka,13,100.0,1.0
14,T1,T1,Kelly Kraft,23,100.0,1.0
15,T1,T1,Scott Langley,20,100.0,1.0
16,T1,T1,Danny Lee,20,100.0,1.0
17,T1,T1,Marc Leishman,14,100.0,2.0
18,T1,,Graeme McDowell,16,100.0,1.0
19,T1,T1,Rory McIlroy,13,100.0,1.0
20,T1,T1,Ryan Moore,16,100.0,2.0
21,T1,T1,Ryan Palmer,16,100.0,2.0
22,T1,T1,Pat Perez,16,100.0,1.0
23,T1,T1,J.T. Poston,22,100.0,1.0
24,T1,T1,Ian Poulter,13,100.0,1.0
25,T1,T1,Jon Rahm,14,100.0,3.0
26,T1,T1,Seth Reeves,18,100.0,1.0
27,T1,T1,Adam Scott,12,100.0,1.0
28,T1,T1,Brandt Snedeker,18,100.0,1.0
29,T1,T1,Jordan Spieth,16,100.0,1.0
30,T1,T1,Scott Stallings,20,100.0,1.0
31,T1,T1,Kevin Streelman,20,100.0,1.0
32,T1,T1,Justin Thomas,13,100.0,1.0
33,T1,T1,Matt Wallace,9,100.0,1.0
34,T35,T34,Jason Day,14,66.7,2.0
35,T35,T34,Jim Furyk,16,66.7,2.0
36,T35,T34,Emiliano Grillo,17,66.7,2.0
37,T35,T34,Charles Howell III,19,66.7,2.0
38,T39,T38,Abraham Ancer,20,50.0,1.0
39,T39,T38,Rafa Cabrera Bello,15,50.0,1.0
40,T39,T38,Tommy Fleetwood,11,50.0,1.0
41,T39,T38,Rickie Fowler,14,50.0,1.0
42,T39,T38,Talor Gooch,12,50.0,1.0
43,T39,T38,Sungjae Im,26,50.0,1.0
44,T39,T38,Matt Kuchar,16,50.0,1.0
45,T39,T38,Hank Lebioda,16,50.0,1.0
46,T39,T38,Luke List,16,50.0,1.0
47,T39,T38,Curtis Luck,17,50.0,1.0
48,T39,T38,Hideki Matsuyama,15,50.0,1.0
49,T39,T38,Troy Merritt,12,50.0,1.0
50,T39,T38,Patrick Rodgers,14,50.0,1.0
51,T39,T38,Justin Rose,11,50.0,1.0
52,T39,T38,Xander Schauffele,15,50.0,1.0
53,T39,T38,Adam Schenk,24,50.0,1.0
54,T39,T38,Brian Stuard,22,50.0,1.0
55,T39,T38,Michael Thompson,17,50.0,1.0
56,T39,T38,Nick Watney,20,50.0,1.0
57,T39,T38,Bubba Watson,13,50.0,1.0
58,T59,T58,Jonas Blixt,20,33.3,1.0
59,T59,T58,Keegan Bradley,18,33.3,1.0
60,T59,T58,Louis Oosthuizen,12,33.3,1.0
61,62,T58,Jonathan Byrd,13,25.0,1.0
62,T63,T62,Ryan Armour,21,0.0,
63,T63,T62,Ryan Blaum,21,0.0,
64,T63,T62,Roberto Castro,16,0.0,
65,T63,T62,Bud Cauley,19,0.0,
66,T63,T62,Cameron Champ,19,0.0,
67,T63,T62,Stewart Cink,12,0.0,
68,T63,T62,Austin Cook,17,0.0,
69,T63,T62,Roberto Díaz,16,0.0,
70,T63,T62,Joel Dahmen,22,0.0,
71,T63,T62,Matt Every,12,0.0,
72,T63,T62,Tony Finau,17,0.0,
73,T63,T62,Brian Gay,22,0.0,
74,T63,T62,Lucas Glover,17,0.0,
75,T63,T62,Bill Haas,18,0.0,
76,T63,T62,Adam Hadwin,18,0.0,
77,T63,T62,Justin Harding,9,0.0,
78,T63,T62,Brandon Harkins,21,0.0,
79,T63,T62,Brian Harman,22,0.0,
80,T63,T62,David Hearn,14,0.0,
81,T63,T62,Russell Henley,18,0.0,
82,T63,T62,Charley Hoffman,18,0.0,
