,Back_9_Lowest_Round_RANK THIS WEEK,Back_9_Lowest_Round_RANK LAST WEEK,Back_9_Lowest_Round_PLAYER NAME,Back_9_Lowest_Round_ROUNDS,Back_9_Lowest_Round_LOW RND
0,T1,T1,Russell Knox,65,29
1,T1,T1,Brooks Koepka,49,29
2,T1,T1,Peter Malnati,64,29
3,T1,T1,Denny McCarthy,63,29
4,T1,T1,Ryan Palmer,56,29
5,T1,T1,Jon Rahm,51,29
6,T1,T1,Patrick Rodgers,44,29
7,T8,T8,Byeong Hun An,54,30
8,T8,T8,Ryan Blaum,67,30
9,T8,T8,Rafa Cabrera Bello,57,30
10,T8,T8,Cameron Champ,58,30
11,T8,T8,Corey Conners,62,30
12,T8,T8,Tyler Duncan,66,30
13,T8,T8,Matt Every,38,30
14,T8,T8,Rickie Fowler,54,30
15,T8,T8,Emiliano Grillo,65,30
16,T8,T8,Adam Hadwin,66,30
17,T8,T8,Brandon Harkins,67,30
18,T8,T8,Brian Harman,67,30
19,T8,T8,Sung Kang,67,30
20,T8,T8,Kevin Kisner,65,30
21,T8,T8,Jason Kokrak,68,30
22,T8,T8,Kelly Kraft,67,30
23,T8,T8,Matt Kuchar,65,30
24,T8,T8,Luke List,52,30
25,T8,T8,Phil Mickelson,41,30
26,T8,T8,Pat Perez,52,30
27,T8,T8,Chez Reavie,67,30
28,T8,T8,Adam Scott,41,30
29,T8,T38,Ben Silverman,54,30
30,T8,T8,Webb Simpson,53,30
31,T8,T8,Brandt Snedeker,68,30
32,T8,T8,Shawn Stefani,57,30
33,T8,T8,Brian Stuard,76,30
34,T8,T8,Adam Svensson,51,30
35,T8,T8,Vaughn Taylor,69,30
36,T8,T8,Gary Woodland,63,30
37,T8,T8,Chase Wright,53,30
38,T39,T38,Anders Albertson,48,31
39,T39,T38,Abraham Ancer,69,31
40,T39,T38,Ryan Armour,66,31
41,T39,T38,Aaron Baddeley,51,31
42,T39,T38,Lucas Bjerregaard,37,31
43,T39,T38,Jonas Blixt,66,31
44,T39,T38,Dominic Bozzelli,53,31
45,T39,T38,Keegan Bradley,65,31
46,T39,T38,Sam Burns,66,31
47,T39,T38,Patrick Cantlay,49,31
48,T39,T38,Paul Casey,51,31
49,T39,T38,John Chin,38,31
50,T39,T38,Stewart Cink,33,31
51,T39,T38,Wyndham Clark,61,31
52,T39,T38,Joel Dahmen,78,31
53,T39,T38,Bryson DeChambeau,45,31
54,T39,T38,Jason Dufner,56,31
55,T39,T38,Ernie Els,43,31
56,T39,T38,Harris English,72,31
57,T39,T38,Jim Furyk,53,31
58,T39,T38,Brice Garnett,63,31
59,T39,T38,Brian Gay,79,31
60,T39,T38,Lucas Glover,62,31
61,T39,T38,Fabián Gómez,44,31
62,T39,T38,Talor Gooch,37,31
63,T39,T38,Cody Gribble,52,31
64,T39,T38,Justin Harding,31,31
65,T39,T38,David Hearn,41,31
66,T39,T38,Jim Herman,37,31
67,T39,T38,Charley Hoffman,58,31
68,T39,T38,Tom Hoge,70,31
69,T39,T38,Charles Howell III,64,31
70,T39,T38,Mackenzie Hughes,58,31
71,T39,T38,John Huh,35,31
72,T39,T38,Sungjae Im,88,31
73,T39,T38,Zach Johnson,50,31
74,T39,T38,Dustin Johnson,47,31
75,T39,T38,Kyle Jones,49,31
76,T39,T38,Si Woo Kim,65,31
77,T39,T38,Michael Kim,51,31
78,T39,T38,Patton Kizzire,58,31
79,T39,T38,Anirban Lahiri,54,31
80,T39,T38,Andrew Landry,56,31
81,T39,T125,Scott Langley,60,31
82,T39,T38,Hank Lebioda,55,31
83,T39,T125,Danny Lee,66,31
84,T39,T38,Kyoung-Hoon Lee,72,31
85,T39,T38,Haotong Li,32,31
86,T39,T38,Adam Long,52,31
87,T39,999,Shane Lowry,30,31
88,T39,T38,Hideki Matsuyama,59,31
89,T39,T38,Rory McIlroy,50,31
90,T39,T38,Troy Merritt,42,31
91,T39,T38,Keith Mitchell,64,31
92,T39,T38,Sebastián Muñoz,58,31
93,T39,T38,Trey Mullinax,67,31
94,T39,T38,Grayson Murray,36,31
95,T39,T38,Kevin Na,54,31
96,T39,T38,Joaquin Niemann,68,31
97,T39,T38,C.T. Pan,64,31
98,T39,T38,Scott Piercy,70,31
99,T39,999,Martin Piller,30,31
100,T39,T38,"Ted Potter, Jr.",56,31
101,T39,T38,Patrick Reed,53,31
102,T39,T38,Seth Reeves,52,31
103,T39,T38,Justin Rose,42,31
104,T39,T38,Sam Ryder,52,31
105,T39,T38,Rory Sabbatini,71,31
106,T39,T38,Xander Schauffele,55,31
107,T39,T38,Adam Schenk,80,31
108,T39,T38,Ollie Schniederjans,63,31
109,T39,T38,Roger Sloan,62,31
110,T39,T38,J.J. Spaun,68,31
111,T39,T38,Jordan Spieth,57,31
112,T39,T38,Scott Stallings,63,31
113,T39,T38,Sepp Straka,48,31
114,T39,T38,Kevin Streelman,63,31
115,T39,T38,Hudson Swafford,59,31
116,T39,T38,Justin Thomas,49,31
117,T39,T38,Chris Thompson,34,31
118,T39,T38,Michael Thompson,56,31
119,T39,T38,Peter Uihlein,65,31
120,T39,T38,Harold Varner III,62,31
121,T39,T38,Jhonattan Vegas,60,31
122,T39,T38,Jimmy Walker,61,31
123,T39,T38,Matt Wallace,31,31
124,T39,T38,Richy Werenski,63,31
125,T39,T38,Danny Willett,47,31
126,T39,T38,Aaron Wise,52,31
127,T39,T38,Tiger Woods,31,31
128,T129,T125,Kiradech Aphibarnrat,49,32
129,T129,T125,Daniel Berger,48,32
130,T129,T125,Scott Brown,66,32
131,T129,T125,Bronson Burgoon,37,32
132,T129,T196,Jonathan Byrd,43,32
133,T129,T125,Roberto Castro,54,32
134,T129,T125,Bud Cauley,61,32
135,T129,T125,Alex Cejka,41,32
136,T129,T125,Austin Cook,50,32
137,T129,T125,Roberto Díaz,51,32
138,T129,T125,Jason Day,45,32
139,T129,T125,Julián Etulain,55,32
140,T129,T125,Tony Finau,61,32
141,T129,T125,Matthew Fitzpatrick,42,32
142,T129,T125,Tommy Fleetwood,43,32
143,T129,T125,Dylan Frittelli,55,32
144,T129,T125,Joey Garber,44,32
145,T129,T125,Sergio Garcia,39,32
146,T129,T125,Branden Grace,62,32
147,T129,T125,Bill Haas,58,32
148,T129,T125,Chesson Hadley,58,32
149,T129,T125,James Hahn,34,32
150,T129,T125,Tyrrell Hatton,46,32
151,T129,T125,Russell Henley,56,32
152,T129,T125,Kramer Hickok,59,32
153,T129,T125,J.B. Holmes,54,32
154,T129,T125,Max Homa,61,32
155,T129,T125,Billy Horschel,73,32
156,T129,T125,Beau Hossler,66,32
157,T129,T125,Stephan Jaeger,59,32
158,T129,T125,Matt Jones,67,32
159,T129,T125,Martin Kaymer,38,32
160,T129,T125,Whee Kim,57,32
161,T129,T125,Chris Kirk,47,32
162,T129,T125,Jim Knous,55,32
163,T129,T125,Satoshi Kodaira,51,32
164,T129,T125,Martin Laird,60,32
165,T129,T125,Nate Lashley,44,32
166,T129,T125,Marc Leishman,52,32
167,T129,T125,Curtis Luck,51,32
168,T129,T125,Hunter Mahan,45,32
169,T129,T125,Graeme McDowell,61,32
170,T129,T125,Francesco Molinari,41,32
171,T129,T125,Ryan Moore,54,32
172,T129,T125,Alex Noren,49,32
173,T129,T125,Louis Oosthuizen,43,32
174,T129,T125,Carlos Ortiz,60,32
175,T129,T125,Rod Pampling,40,32
176,T129,T125,J.T. Poston,76,32
177,T129,T125,Ian Poulter,49,32
178,T129,T125,Seamus Power,58,32
179,T129,T125,Alex Prugh,54,32
180,T129,T125,Andrew Putnam,57,32
181,T129,T125,José de Jesús Rodríguez,51,32
182,T129,T125,Sam Saunders,53,32
183,T129,T125,Brady Schnell,38,32
184,T129,T125,Cameron Smith,55,32
185,T129,T125,Kyle Stanley,53,32
186,T129,T125,Brendan Steele,50,32
187,T129,T125,Robert Streb,60,32
188,T129,T125,Chris Stroud,54,32
189,T129,T125,Nick Taylor,70,32
190,T129,T125,Josh Teater,47,32
191,T129,T125,D.J. Trahan,33,32
192,T129,T125,Martin Trainer,51,32
193,T129,T125,Cameron Tringale,52,32
194,T129,T125,Kevin Tway,62,32
195,T129,T125,Johnson Wagner,45,32
196,T129,T125,Bubba Watson,47,32
197,T198,T196,Sangmoon Bae,42,33
198,T198,T196,Ben Crane,41,33
199,T198,T196,Cameron Davis,54,33
200,T198,T196,J.J. Henry,42,33
201,T198,T196,Freddie Jacobson,37,33
202,T198,T196,D.A. Points,33,33
203,T198,T196,Wes Roach,45,33
204,T198,T196,Charl Schwartzel,34,33
205,T198,T196,John Senden,39,33
206,T198,T196,Henrik Stenson,46,33
207,T198,999,Tyrone Van Aswegen,30,33
208,T198,T196,Nick Watney,67,33
