,Back_9_Par_4_Scoring_Average_RANK THIS WEEK,Back_9_Par_4_Scoring_Average_RANK LAST WEEK,Back_9_Par_4_Scoring_Average_PLAYER NAME,Back_9_Par_4_Scoring_Average_ROUNDS,Back_9_Par_4_Scoring_Average_AVG,Back_9_Par_4_Scoring_Average_TOTAL STROKES,Back_9_Par_4_Scoring_Average_TOTAL HOLES
0,T1,1,Brooks Koepka,49,3.94,907,230
1,T1,T5,Webb Simpson,53,3.94,1067,271
2,T3,T5,Paul Casey,51,3.95,951,241
3,T3,T5,Jason Day,45,3.95,809,205
4,T3,T5,Rickie Fowler,54,3.95,1122,284
5,T3,T2,Dustin Johnson,47,3.95,912,231
6,T3,T2,Matt Kuchar,65,3.95,1235,313
7,T8,T5,Dominic Bozzelli,53,3.96,1088,275
8,T8,T10,Patrick Cantlay,49,3.96,902,228
9,T8,T10,Justin Rose,42,3.96,785,198
10,T8,T10,Xander Schauffele,55,3.96,1084,274
11,T8,T10,Cameron Tringale,52,3.96,990,250
12,T8,T10,Jhonattan Vegas,60,3.96,1203,304
13,T8,T10,Gary Woodland,63,3.96,1256,317
14,T15,T22,Jim Furyk,53,3.97,1016,256
15,T15,T16,Jason Kokrak,68,3.97,1303,328
16,T15,T16,Nate Lashley,44,3.97,881,222
17,T15,T16,Chez Reavie,67,3.97,1252,315
18,T15,T16,Vaughn Taylor,69,3.97,1393,351
19,T15,T2,D.J. Trahan,33,3.97,635,160
20,T21,T22,Lucas Glover,62,3.98,1187,298
21,T21,T22,Russell Knox,65,3.98,1213,305
22,T21,T16,Scott Piercy,70,3.98,1435,361
23,T21,T22,Ian Poulter,49,3.98,907,228
24,T21,T16,Josh Teater,47,3.98,959,241
25,T26,T22,Jonas Blixt,66,3.99,1356,340
26,T26,T29,Joel Dahmen,78,3.99,1551,389
27,T26,T29,Si Woo Kim,65,3.99,1240,311
28,T26,T29,Phil Mickelson,41,3.99,770,193
29,T26,T29,Francesco Molinari,41,3.99,734,184
30,T26,T29,Brian Stuard,76,3.99,1508,378
31,T26,T29,Michael Thompson,56,3.99,1189,298
32,T33,T35,Abraham Ancer,69,4.0,1369,342
33,T33,T49,Ryan Armour,66,4.0,1400,350
34,T33,T35,Aaron Baddeley,51,4.0,1052,263
35,T33,T35,Rafa Cabrera Bello,57,4.0,1108,277
36,T33,T35,Tony Finau,61,4.0,1165,291
37,T33,T35,James Hahn,34,4.0,700,175
38,T33,T35,J.B. Holmes,54,4.0,968,242
39,T33,T35,Martin Laird,60,4.0,1181,295
40,T33,T35,Kyoung-Hoon Lee,72,4.0,1440,360
41,T33,T60,Rory McIlroy,50,4.0,967,242
42,T33,T35,Troy Merritt,42,4.0,836,209
43,T33,T35,Cameron Smith,55,4.0,1048,262
44,T33,T35,J.J. Spaun,68,4.0,1369,342
45,T33,T35,Kevin Streelman,63,4.0,1265,316
46,T33,T35,Nick Taylor,70,4.0,1379,345
47,T33,T49,Peter Uihlein,65,4.0,1317,329
48,T49,T49,Bud Cauley,61,4.01,1300,324
49,T49,T77,Ben Crane,41,4.01,883,220
50,T49,T22,Talor Gooch,37,4.01,797,199
51,T49,T49,David Hearn,41,4.01,766,191
52,T49,T49,Patton Kizzire,58,4.01,1208,301
53,T49,T49,Carlos Ortiz,60,4.01,1224,305
54,T49,T60,Ryan Palmer,56,4.01,1127,281
55,T49,T60,Alex Prugh,54,4.01,1046,261
56,T49,T49,Patrick Reed,53,4.01,1007,251
57,T49,T49,Sam Ryder,52,4.01,1062,265
58,T49,T49,Adam Scott,41,4.01,810,202
59,T49,T35,Ben Silverman,54,4.01,1162,290
60,T49,T60,Roger Sloan,62,4.01,1327,331
61,T49,T49,Justin Thomas,49,4.01,987,246
62,T63,T49,Daniel Berger,48,4.02,1060,264
63,T63,T60,Tyler Duncan,66,4.02,1371,341
64,T63,T60,Harris English,72,4.02,1498,373
65,T63,T60,Russell Henley,56,4.02,1109,276
66,T63,T60,John Huh,35,4.02,735,183
67,T63,T60,Sungjae Im,88,4.02,1771,441
68,T63,T60,Chris Kirk,47,4.02,948,236
69,T63,T60,Hunter Mahan,45,4.02,920,229
70,T63,T77,Sebastián Muñoz,58,4.02,1199,298
71,T63,T60,Pat Perez,52,4.02,1061,264
72,T63,T60,Rory Sabbatini,71,4.02,1422,354
73,T63,T60,Jordan Spieth,57,4.02,1163,289
74,T63,T22,Bubba Watson,47,4.02,836,208
75,T76,T77,Byeong Hun An,54,4.03,1077,267
76,T76,T77,Stewart Cink,33,4.03,697,173
77,T76,T77,Roberto Díaz,51,4.03,976,242
78,T76,T60,Dylan Frittelli,55,4.03,1111,276
79,T76,T77,Fabián Gómez,44,4.03,935,232
80,T76,T77,J.J. Henry,42,4.03,814,202
81,T76,T77,Charles Howell III,64,4.03,1311,325
82,T76,T77,Anirban Lahiri,54,4.03,1073,266
83,T76,T77,Hank Lebioda,55,4.03,1075,267
84,T76,T77,Luke List,52,4.03,1049,260
85,T76,T77,Peter Malnati,64,4.03,1287,319
86,T76,T60,Denny McCarthy,63,4.03,1256,312
87,T76,T77,Grayson Murray,36,4.03,734,182
88,T76,T77,Joaquin Niemann,68,4.03,1398,347
89,T76,T77,Louis Oosthuizen,43,4.03,725,180
90,T76,999,Martin Piller,30,4.03,629,156
91,T76,T77,Jon Rahm,51,4.03,903,224
92,T76,T97,José de Jesús Rodríguez,51,4.03,1083,269
93,T76,T115,Brandt Snedeker,68,4.03,1387,344
94,T76,T77,Shawn Stefani,57,4.03,1111,276
95,T76,T115,Sepp Straka,48,4.03,960,238
96,T76,T97,Harold Varner III,62,4.03,1279,317
97,T76,T60,Johnson Wagner,45,4.03,923,229
98,T99,T97,Jason Dufner,56,4.04,1167,289
99,T99,T97,Brice Garnett,63,4.04,1321,327
100,T99,T97,Tyrrell Hatton,46,4.04,873,216
101,T99,T97,Matt Jones,67,4.04,1329,329
102,T99,T115,Jim Knous,55,4.04,1074,266
103,T99,T97,Adam Long,52,4.04,1106,274
104,T99,999,Shane Lowry,30,4.04,549,136
105,T99,T97,Curtis Luck,51,4.04,974,241
106,T99,T97,Alex Noren,49,4.04,1003,248
107,T99,T97,Andrew Putnam,57,4.04,1118,277
108,T99,T97,Adam Schenk,80,4.04,1656,410
109,T99,T115,Ollie Schniederjans,63,4.04,1298,321
110,T99,T77,Chris Stroud,54,4.04,1035,256
111,T99,T97,Chase Wright,53,4.04,1099,272
112,T113,T115,Ryan Blaum,67,4.05,1332,329
113,T113,T97,Keegan Bradley,65,4.05,1231,304
114,T113,T115,Sam Burns,66,4.05,1382,341
115,T113,T136,Jonathan Byrd,43,4.05,878,217
116,T113,T97,Roberto Castro,54,4.05,1052,260
117,T113,T115,Cameron Champ,58,4.05,1227,303
118,T113,T97,Corey Conners,62,4.05,1254,310
119,T113,T77,Matt Every,38,4.05,737,182
120,T113,T115,Tommy Fleetwood,43,4.05,758,187
121,T113,T97,Brian Gay,79,4.05,1628,402
122,T113,T115,Emiliano Grillo,65,4.05,1346,332
123,T113,T136,Adam Hadwin,66,4.05,1323,327
124,T113,T115,Brandon Harkins,67,4.05,1339,331
125,T113,T97,Kramer Hickok,59,4.05,1250,309
126,T113,T115,Billy Horschel,73,4.05,1435,354
127,T113,T115,Beau Hossler,66,4.05,1389,343
128,T113,T115,Sung Kang,67,4.05,1382,341
129,T113,T115,Kevin Kisner,65,4.05,1141,282
130,T113,T136,Danny Lee,66,4.05,1392,344
131,T113,T115,Hideki Matsuyama,59,4.05,1182,292
132,T113,T160,Graeme McDowell,61,4.05,1231,304
133,T113,T115,C.T. Pan,64,4.05,1324,327
134,T113,T115,J.T. Poston,76,4.05,1553,383
135,T113,T136,Robert Streb,60,4.05,1188,293
136,T113,T115,Kevin Tway,62,4.05,1264,312
137,T113,T115,Jimmy Walker,61,4.05,1311,324
138,T113,T97,Aaron Wise,52,4.05,1064,263
139,T113,T115,Tiger Woods,31,4.05,534,132
140,T141,T136,Kiradech Aphibarnrat,49,4.06,982,242
141,T141,T115,Scott Brown,66,4.06,1347,332
142,T141,T77,John Chin,38,4.06,804,198
143,T141,T136,Wyndham Clark,61,4.06,1264,311
144,T141,T153,Austin Cook,50,4.06,978,241
145,T141,T136,Ernie Els,43,4.06,889,219
146,T141,T136,Max Homa,61,4.06,1255,309
147,T141,T136,Mackenzie Hughes,58,4.06,1164,287
148,T141,T136,Marc Leishman,52,4.06,1032,254
149,T141,T136,Keith Mitchell,64,4.06,1319,325
150,T141,T136,Wes Roach,45,4.06,918,226
151,T141,T136,Patrick Rodgers,44,4.06,926,228
152,T141,T136,Sam Saunders,53,4.06,1128,278
153,T141,T136,Brady Schnell,38,4.06,816,201
154,T141,T160,Henrik Stenson,46,4.06,803,198
155,T156,T153,Anders Albertson,48,4.07,984,242
156,T156,T153,Cameron Davis,54,4.07,1110,273
157,T156,T153,Matthew Fitzpatrick,42,4.07,839,206
158,T156,T153,Charley Hoffman,58,4.07,1136,279
159,T156,T153,Tom Hoge,70,4.07,1415,348
160,T156,T169,Zach Johnson,50,4.07,1104,271
161,T156,T153,Scott Langley,60,4.07,1261,310
162,T156,T160,Adam Svensson,51,4.07,1047,257
163,T156,T136,Richy Werenski,63,4.07,1311,322
164,T165,T160,Bryson DeChambeau,45,4.08,914,224
165,T165,T136,Julián Etulain,55,4.08,1072,263
166,T165,T160,Kyle Jones,49,4.08,999,245
167,T165,T160,Trey Mullinax,67,4.08,1357,333
168,T165,T160,Kevin Na,54,4.08,1057,259
169,T165,T160,Kyle Stanley,53,4.08,1011,248
170,T171,T160,Joey Garber,44,4.09,863,211
171,T171,T169,Bill Haas,58,4.09,1170,286
172,T171,T169,Chesson Hadley,58,4.09,1177,288
173,T171,T169,Justin Harding,31,4.09,532,130
174,T171,T177,Brian Harman,67,4.09,1424,348
175,T171,T177,Stephan Jaeger,59,4.09,1195,292
176,T171,T169,Scott Stallings,63,4.09,1232,301
177,T171,T169,Hudson Swafford,59,4.09,1255,307
178,T171,999,Tyrone Van Aswegen,30,4.09,646,158
179,T171,T169,Matt Wallace,31,4.09,614,150
180,T171,T177,Nick Watney,67,4.09,1339,327
181,T182,T177,Kelly Kraft,67,4.1,1364,333
182,T182,T177,Andrew Landry,56,4.1,1128,275
183,T182,T177,Ryan Moore,54,4.1,1147,280
184,T182,T169,Seth Reeves,52,4.1,1083,264
185,T182,T177,Brendan Steele,50,4.1,991,242
186,T182,T177,Martin Trainer,51,4.1,1086,265
187,T188,T186,Bronson Burgoon,37,4.11,805,196
188,T188,T186,Branden Grace,62,4.11,1155,281
189,T188,T186,Whee Kim,57,4.11,1154,281
190,T188,T186,Rod Pampling,40,4.11,818,199
191,T188,T190,Seamus Power,58,4.11,1176,286
192,T188,T190,Chris Thompson,34,4.11,732,178
193,T194,T190,"Ted Potter, Jr.",56,4.12,1177,286
194,T194,T190,Charl Schwartzel,34,4.12,675,164
195,T196,T194,Martin Kaymer,38,4.13,834,202
196,T196,T194,Haotong Li,32,4.13,595,144
197,T196,T200,Danny Willett,47,4.13,996,241
198,T199,199,Sangmoon Bae,42,4.14,870,210
199,T199,T196,Sergio Garcia,39,4.14,638,154
200,T199,T196,Jim Herman,37,4.14,820,198
201,T199,T196,John Senden,39,4.14,762,184
202,T203,T200,Lucas Bjerregaard,37,4.15,672,162
203,T203,T200,Cody Gribble,52,4.15,1055,254
204,205,T200,Michael Kim,51,4.16,1069,257
205,206,204,Satoshi Kodaira,51,4.18,1045,250
206,T207,T206,Alex Cejka,41,4.19,783,187
207,T207,205,D.A. Points,33,4.19,717,171
208,209,T206,Freddie Jacobson,37,4.2,761,181
