,Back_9_Round_4_Scoring_Average_RANK THIS WEEK,Back_9_Round_4_Scoring_Average_RANK LAST WEEK,Back_9_Round_4_Scoring_Average_PLAYER NAME,Back_9_Round_4_Scoring_Average_AVG,Back_9_Round_4_Scoring_Average_TOTAL STROKES,Back_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,T1,Justin Thomas,33.55,369,11
1,2,3,Gary Woodland,33.69,438,13
2,3,5,Ryan Palmer,33.7,337,10
3,4,4,Anders Albertson,33.8,169,5
4,5,T6,Webb Simpson,33.92,407,12
5,T6,T6,Talor Gooch,34.0,204,6
6,T6,T6,Jim Herman,34.0,68,2
7,T6,T1,Rod Pampling,34.0,102,3
8,T6,T6,Charl Schwartzel,34.0,136,4
9,10,10,Chase Wright,34.17,205,6
10,11,11,Troy Merritt,34.25,274,8
11,12,12,Jason Day,34.33,309,9
12,13,15,José de Jesús Rodríguez,34.38,275,8
13,14,14,Xander Schauffele,34.42,413,12
14,15,17,David Hearn,34.5,138,4
15,16,18,Byeong Hun An,34.55,380,11
16,17,19,Hudson Swafford,34.56,311,9
17,18,20,Patrick Rodgers,34.57,242,7
18,T19,T21,Patrick Cantlay,34.6,346,10
19,T19,T21,Paul Casey,34.6,346,10
20,T19,T36,Tyler Duncan,34.6,346,10
21,T19,T21,Brice Garnett,34.6,346,10
22,T19,T21,Justin Harding,34.6,173,5
23,T19,16,Brooks Koepka,34.6,346,10
24,T19,T21,Denny McCarthy,34.6,346,10
25,T19,T21,Kevin Na,34.6,346,10
26,T27,27,D.A. Points,34.67,104,3
27,T27,13,D.J. Trahan,34.67,208,6
28,T27,999,Tyrone Van Aswegen,34.67,104,3
29,30,28,Wyndham Clark,34.73,382,11
30,31,T36,Jim Furyk,34.8,348,10
31,T32,T30,Si Woo Kim,34.83,418,12
32,T32,T30,Seamus Power,34.83,209,6
33,T34,T32,Rafa Cabrera Bello,34.85,453,13
34,T34,T32,Chez Reavie,34.85,453,13
35,T36,T59,Jonathan Byrd,34.88,279,8
36,T36,T34,Brendan Steele,34.88,279,8
37,T38,T36,Kiradech Aphibarnrat,34.89,314,9
38,T38,T36,Aaron Wise,34.89,314,9
39,40,T68,Alex Noren,34.9,349,10
40,T41,T41,Bud Cauley,34.91,384,11
41,T41,T82,Rory McIlroy,34.91,384,11
42,T41,T41,Ryan Moore,34.91,384,11
43,44,66,Sungjae Im,34.94,559,16
44,T45,T43,Corey Conners,35.0,315,9
45,T45,T43,Matt Every,35.0,210,6
46,T45,40,Dylan Frittelli,35.0,385,11
47,T45,T43,Adam Long,35.0,210,6
48,T45,T43,Hunter Mahan,35.0,210,6
49,T45,T88,Sebastián Muñoz,35.0,350,10
50,T45,T34,Ben Silverman,35.0,315,9
51,T45,T43,Shawn Stefani,35.0,280,8
52,T45,29,Bubba Watson,35.0,315,9
53,54,49,Scott Piercy,35.07,526,15
54,T55,T50,Lucas Glover,35.08,456,13
55,T55,T43,Joaquin Niemann,35.08,456,13
56,T57,54,Dustin Johnson,35.09,386,11
57,T57,53,Sam Ryder,35.09,386,11
58,T59,T55,Anirban Lahiri,35.13,281,8
59,T59,T55,Rory Sabbatini,35.13,527,15
60,T59,T55,Adam Scott,35.13,281,8
61,T62,T72,Adam Hadwin,35.14,492,14
62,T62,T111,Wes Roach,35.14,246,7
63,T62,T59,Adam Svensson,35.14,246,7
64,T65,61,Sung Kang,35.15,457,13
65,T65,T50,Jimmy Walker,35.15,457,13
66,T67,T62,James Hahn,35.17,211,6
67,T67,T62,Chris Kirk,35.17,211,6
68,T67,T62,Haotong Li,35.17,211,6
69,70,65,Kevin Streelman,35.18,387,11
70,T71,T50,Matt Kuchar,35.21,493,14
71,T71,67,Hideki Matsuyama,35.21,493,14
72,T73,T68,Tom Hoge,35.22,317,9
73,T73,T68,Luke List,35.22,317,9
74,T73,T68,Carlos Ortiz,35.22,317,9
75,T76,T72,Charles Howell III,35.23,458,13
76,T76,T123,Danny Lee,35.23,458,13
77,T78,T74,Ernie Els,35.25,282,8
78,T78,T74,Billy Horschel,35.25,564,16
79,T78,999,Martin Piller,35.25,141,4
80,T78,T74,Brady Schnell,35.25,141,4
81,T82,T77,Ryan Blaum,35.27,388,11
82,T82,T77,Max Homa,35.27,388,11
83,T82,T77,Marc Leishman,35.27,388,11
84,T82,T77,Andrew Putnam,35.27,388,11
85,T82,T77,Brian Stuard,35.27,529,15
86,T82,T103,Kevin Tway,35.27,388,11
87,T88,T82,Aaron Baddeley,35.3,353,10
88,T88,T82,Julián Etulain,35.3,353,10
89,T88,T117,Zach Johnson,35.3,353,10
90,T88,T82,Jon Rahm,35.3,353,10
91,T88,T82,Ollie Schniederjans,35.3,353,10
92,T88,T128,Cameron Tringale,35.3,353,10
93,94,87,Joel Dahmen,35.31,565,16
94,T95,T88,Bryson DeChambeau,35.33,318,9
95,T95,T88,Kevin Kisner,35.33,424,12
96,T95,T88,Nate Lashley,35.33,318,9
97,T95,T88,Keith Mitchell,35.33,424,12
98,T95,T88,Tiger Woods,35.33,212,6
99,T100,T97,Abraham Ancer,35.36,495,14
100,T100,T97,Ryan Armour,35.36,389,11
101,T100,T97,Sam Burns,35.36,389,11
102,T100,T97,Cameron Smith,35.36,389,11
103,T100,T103,Peter Uihlein,35.36,389,11
104,T105,T101,Matt Jones,35.38,460,13
105,T105,T123,Graeme McDowell,35.38,460,13
106,T105,T101,Johnson Wagner,35.38,283,8
107,T108,T144,Daniel Berger,35.4,354,10
108,T108,T137,Joey Garber,35.4,177,5
109,T108,T103,Kramer Hickok,35.4,354,10
110,111,108,J.B. Holmes,35.43,248,7
111,T112,T55,Kelly Kraft,35.44,319,9
112,T112,109,Justin Rose,35.44,319,9
113,T112,T111,Henrik Stenson,35.44,319,9
114,115,T103,Brian Harman,35.45,390,11
115,116,110,Rickie Fowler,35.46,461,13
116,T117,T88,Scott Brown,35.5,355,10
117,T117,T103,Brian Gay,35.5,568,16
118,T117,T111,Patton Kizzire,35.5,355,10
119,T117,T120,Robert Streb,35.5,284,8
120,T117,T146,Josh Teater,35.5,213,6
121,T117,T111,Matt Wallace,35.5,213,6
122,T117,T111,Richy Werenski,35.5,355,10
123,T124,T88,Jonas Blixt,35.54,462,13
124,T124,116,Russell Knox,35.54,462,13
125,T126,T117,Tyrrell Hatton,35.56,320,9
126,T126,T117,Jason Kokrak,35.56,569,16
127,T128,T120,Phil Mickelson,35.57,249,7
128,T128,T120,Seth Reeves,35.57,249,7
129,130,T123,Jhonattan Vegas,35.58,427,12
130,131,126,Emiliano Grillo,35.6,534,15
131,132,127,Kyle Stanley,35.63,285,8
132,133,T128,Martin Trainer,35.67,214,6
133,T134,130,C.T. Pan,35.69,464,13
