,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Brooks Koepka,49,34.4,1445,42
1,2,6,Webb Simpson,53,34.5,1725,50
2,3,2,Rickie Fowler,54,34.57,1867,54
3,4,T4,Dustin Johnson,47,34.59,1522,44
4,5,3,Patrick Cantlay,49,34.61,1523,44
5,6,T4,Gary Woodland,63,34.63,2078,60
6,7,8,Matt Kuchar,65,34.64,2009,58
7,8,7,Jason Day,45,34.68,1387,40
8,9,18,Rory McIlroy,50,34.72,1597,46
9,10,9,D.J. Trahan,33,34.77,1078,31
10,11,10,Talor Gooch,37,34.78,1287,37
11,T12,T11,Xander Schauffele,55,34.83,1811,52
12,T12,T11,Justin Thomas,49,34.83,1602,46
13,14,13,Scott Piercy,70,34.88,2302,66
14,15,15,Jhonattan Vegas,60,34.9,2024,58
15,16,17,Si Woo Kim,65,34.92,2095,60
16,17,16,Denny McCarthy,63,34.95,2062,59
17,T18,33,Daniel Berger,48,34.98,1679,48
18,T18,T36,Jim Furyk,53,34.98,1679,48
19,T20,19,Lucas Glover,62,35.0,2030,58
20,T20,14,Bubba Watson,47,35.0,1400,40
21,T22,T20,Paul Casey,51,35.02,1646,47
22,T22,T20,Jon Rahm,51,35.02,1541,44
23,T24,T29,Jonas Blixt,66,35.03,2242,64
24,T24,T20,Bud Cauley,61,35.03,2137,61
25,T24,T24,Joel Dahmen,78,35.03,2592,74
26,T27,T20,Dominic Bozzelli,53,35.04,1787,51
27,T27,T26,Chris Kirk,47,35.04,1577,45
28,T27,T26,Vaughn Taylor,69,35.04,2348,67
29,T27,T26,Michael Thompson,56,35.04,1962,56
30,T31,T29,Russell Knox,65,35.05,2033,58
31,T31,T24,Nate Lashley,44,35.05,1472,42
32,T31,T29,Adam Scott,41,35.05,1367,39
33,34,32,Rory Sabbatini,71,35.06,2349,67
34,T35,34,Jason Kokrak,68,35.08,2245,64
35,T35,T39,J.J. Spaun,68,35.08,2245,64
36,T37,35,Abraham Ancer,69,35.09,2246,64
37,T37,T39,Nick Taylor,70,35.09,2316,66
38,39,49,Ryan Palmer,56,35.1,1825,52
39,40,T36,Jordan Spieth,57,35.11,1896,54
40,41,38,Ian Poulter,49,35.12,1475,42
41,42,T39,Justin Rose,42,35.13,1335,38
42,43,T54,Hank Lebioda,55,35.14,1792,51
43,T44,T45,Ryan Armour,66,35.15,2320,66
44,T44,T54,Sungjae Im,88,35.15,2953,84
45,46,42,Dylan Frittelli,55,35.17,1864,53
46,T47,T43,James Hahn,34,35.18,1196,34
47,T47,T43,Troy Merritt,42,35.18,1337,38
48,T49,T45,Tony Finau,61,35.2,1971,56
49,T49,T45,Sung Kang,67,35.2,2288,65
50,T49,59,Ben Silverman,54,35.2,1901,54
51,52,T68,Roger Sloan,62,35.21,2183,62
52,53,48,Chez Reavie,67,35.22,2113,60
53,T54,T50,Ryan Blaum,67,35.24,2220,63
54,T54,T50,Cameron Smith,55,35.24,1762,50
55,T56,T52,Charles Howell III,64,35.25,2150,61
56,T56,T52,Sam Ryder,52,35.25,1833,52
57,T58,T54,Kevin Kisner,65,35.26,1904,54
58,T58,T54,Kyoung-Hoon Lee,72,35.26,2398,68
59,T60,T79,Cameron Tringale,52,35.27,1693,48
60,T60,58,Tiger Woods,31,35.27,917,26
61,T62,T61,Peter Malnati,64,35.28,2117,60
62,T62,T85,Wes Roach,45,35.28,1517,43
63,T62,T68,Sam Saunders,53,35.28,1870,53
64,T65,T61,Matt Jones,67,35.3,2224,63
65,T65,T115,Graeme McDowell,61,35.3,2012,57
66,T65,T61,Kevin Streelman,63,35.3,2153,61
67,68,T61,Adam Schenk,80,35.31,2754,78
68,T69,65,Matt Every,38,35.32,1201,34
69,T69,T66,Hideki Matsuyama,59,35.32,1978,56
70,T69,T66,Brian Stuard,76,35.32,2543,72
