,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Justin Thomas,49,4.72,217,46
1,2,2,Gary Woodland,63,4.67,280,60
2,3,4,Tiger Woods,31,4.54,118,26
3,4,5,Bryson DeChambeau,45,4.45,187,42
4,T5,T6,Patrick Cantlay,49,4.43,195,44
5,T5,T6,Jason Day,45,4.43,177,40
6,T5,T6,Si Woo Kim,65,4.43,266,60
7,T5,3,Brooks Koepka,49,4.43,186,42
8,9,T27,Rory McIlroy,50,4.37,201,46
9,10,9,Aaron Wise,52,4.35,213,49
10,11,12,Dustin Johnson,47,4.32,190,44
11,12,11,Ryan Palmer,56,4.31,224,52
12,T13,10,Matt Every,38,4.29,146,34
13,T13,T16,Matt Kuchar,65,4.29,249,58
14,T15,T13,Cameron Champ,58,4.27,239,56
15,T15,T13,Jon Rahm,51,4.27,188,44
16,T15,T13,Xander Schauffele,55,4.27,222,52
17,T18,T16,Adam Scott,41,4.26,166,39
18,T18,T16,Jordan Spieth,57,4.26,230,54
19,20,21,Hideki Matsuyama,59,4.25,238,56
20,21,22,Andrew Putnam,57,4.23,220,52
21,T22,T16,Wyndham Clark,61,4.2,248,59
22,T22,24,Rickie Fowler,54,4.2,227,54
23,24,T25,Phil Mickelson,41,4.18,159,38
24,25,T27,Marc Leishman,52,4.17,200,48
25,26,T29,Justin Rose,42,4.16,158,38
26,27,T25,Talor Gooch,37,4.14,153,37
27,28,31,Troy Merritt,42,4.13,157,38
28,29,23,Dominic Bozzelli,53,4.12,210,51
29,30,T29,Scott Piercy,70,4.09,270,66
30,T31,32,Sungjae Im,88,4.08,343,84
31,T31,33,Jason Kokrak,68,4.08,261,64
32,T33,T34,Byeong Hun An,54,4.06,207,51
33,T33,T34,Hank Lebioda,55,4.06,207,51
34,35,37,Rory Sabbatini,71,4.04,271,67
35,36,38,Brandon Harkins,67,4.02,253,63
36,T37,T39,Rafa Cabrera Bello,57,4.0,216,54
37,T37,36,Bud Cauley,61,4.0,244,61
38,T37,T39,Sam Ryder,52,4.0,208,52
39,T40,T41,Keith Mitchell,64,3.98,243,61
40,T40,T41,Ian Poulter,49,3.98,167,42
41,T42,T43,Charles Howell III,64,3.97,242,61
42,T42,T16,D.J. Trahan,33,3.97,123,31
43,T44,T45,Justin Harding,31,3.96,95,24
44,T44,T45,Luke List,52,3.96,194,49
45,46,T47,Abraham Ancer,69,3.95,253,64
46,47,T43,Adam Hadwin,66,3.94,244,62
47,T48,T49,Joel Dahmen,78,3.93,291,74
48,T48,T49,Tony Finau,61,3.93,220,56
49,T48,T56,Sebastián Muñoz,58,3.93,220,56
50,T51,T47,Denny McCarthy,63,3.92,231,59
51,T51,T49,Nick Watney,67,3.92,247,63
52,53,53,Austin Cook,50,3.89,179,46
53,54,T56,Chez Reavie,67,3.88,233,60
54,T55,52,Cameron Davis,54,3.87,201,52
55,T55,T54,Sepp Straka,48,3.87,178,46
56,T55,59,Vaughn Taylor,69,3.87,259,67
57,T58,T60,Beau Hossler,66,3.86,255,66
58,T58,68,Danny Lee,66,3.86,247,64
59,T58,T73,Webb Simpson,53,3.86,193,50
60,T58,T60,Jhonattan Vegas,60,3.86,224,58
61,T62,62,Sung Kang,67,3.85,250,65
62,T62,T73,Cameron Tringale,52,3.85,185,48
63,T64,T63,Aaron Baddeley,51,3.84,196,51
64,T64,T63,Emiliano Grillo,65,3.84,238,62
65,T64,T63,Matt Jones,67,3.84,242,63
66,T64,T63,Cameron Smith,55,3.84,192,50
67,68,999,Martin Piller,30,3.83,115,30
68,T69,T70,Tyrrell Hatton,46,3.81,160,42
69,T69,T63,J.B. Holmes,54,3.81,179,47
70,T69,T54,Nate Lashley,44,3.81,160,42
71,T69,T70,Ryan Moore,54,3.81,206,54
72,T69,84,J.J. Spaun,68,3.81,244,64
73,T74,T73,Kiradech Aphibarnrat,49,3.8,175,46
74,T74,T73,Michael Thompson,56,3.8,213,56
75,T76,T77,Paul Casey,51,3.79,178,47
76,T76,T77,Lucas Glover,62,3.79,220,58
77,T76,T77,Patrick Reed,53,3.79,182,48
78,T76,T56,Johnson Wagner,45,3.79,163,43
79,T80,T81,Jonas Blixt,66,3.78,242,64
80,T80,69,Adam Schenk,80,3.78,295,78
81,T82,T87,Peter Malnati,64,3.77,226,60
82,T82,T87,Brandt Snedeker,68,3.77,245,65
83,T84,T85,Stewart Cink,33,3.76,124,33
84,T84,T85,Kyoung-Hoon Lee,72,3.76,256,68
85,T86,T77,Sergio Garcia,39,3.73,112,30
86,T86,T70,Scott Stallings,63,3.73,220,59
87,88,T93,Kevin Kisner,65,3.72,201,54
88,T89,112,Jonathan Byrd,43,3.71,152,41
89,T89,99,Corey Conners,62,3.71,215,58
90,T91,T87,Martin Laird,60,3.7,207,56
91,T91,T87,Trey Mullinax,67,3.7,233,63
92,T91,T102,Nick Taylor,70,3.7,244,66
93,T94,T93,Keegan Bradley,65,3.69,214,58
94,T94,T100,C.T. Pan,64,3.69,229,62
95,T94,T91,Ollie Schniederjans,63,3.69,225,61
96,T94,T93,Roger Sloan,62,3.69,229,62
97,T94,T81,Chase Wright,53,3.69,188,51
98,T99,T113,Curtis Luck,51,3.68,173,47
99,T99,T107,Graeme McDowell,61,3.68,210,57
100,T99,T91,Harold Varner III,62,3.68,221,60
101,T102,T104,Ryan Blaum,67,3.67,231,63
