,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Dominic Bozzelli,53,32.0,32.0,100
1,2,2,David Hearn,41,29.69,19.0,64
2,3,4,John Chin,38,27.69,18.0,65
3,4,6,Ryan Moore,54,27.42,34.0,124
4,5,7,Kevin Na,54,26.53,26.0,98
5,6,10,Andrew Putnam,57,25.56,23.0,90
6,7,11,Rory Sabbatini,71,25.5,38.0,149
7,8,5,Roberto Castro,54,25.23,28.0,111
8,9,13,Stewart Cink,33,25.0,14.0,56
9,10,8,Ryan Palmer,56,24.82,34.0,137
10,11,3,Chris Thompson,34,24.56,14.0,57
11,12,14,Tiger Woods,31,24.49,12.0,49
12,13,12,Corey Conners,62,24.09,33.0,137
13,14,9,Webb Simpson,53,24.03,31.0,129
14,15,16,Bryson DeChambeau,45,23.93,28.0,117
15,16,17,Ian Poulter,49,23.81,20.0,84
16,17,18,Phil Mickelson,41,23.75,19.0,80
17,18,21,Curtis Luck,51,23.71,23.0,97
18,19,19,Keith Mitchell,64,23.61,34.0,144
19,20,T22,Byeong Hun An,54,23.08,27.0,117
20,21,24,Jason Kokrak,68,22.98,37.0,161
21,T22,T25,Adam Scott,41,22.97,17.0,74
22,T22,T25,Brian Stuard,76,22.97,34.0,148
23,24,28,Chez Reavie,67,22.73,25.0,110
24,25,33,Hank Lebioda,55,22.69,27.0,119
25,26,29,Sam Ryder,52,22.61,26.0,115
26,27,999,Shane Lowry,30,22.58,14.0,62
27,28,T22,Scott Piercy,70,22.52,34.0,151
28,29,31,Hideki Matsuyama,59,22.5,27.0,120
29,30,32,C.T. Pan,64,22.47,20.0,89
30,31,30,Ryan Armour,66,22.42,37.0,165
31,32,34,Charley Hoffman,58,22.41,26.0,116
32,33,35,Patrick Rodgers,44,22.31,29.0,130
33,34,37,Kevin Kisner,65,22.14,31.0,140
34,35,T61,Lucas Bjerregaard,37,21.82,12.0,55
35,36,38,Michael Thompson,56,21.71,33.0,152
36,37,39,Cameron Smith,55,21.69,18.0,83
37,38,27,Chase Wright,53,21.49,26.0,121
38,T39,T41,Kyoung-Hoon Lee,72,21.48,32.0,149
39,T39,T41,Vaughn Taylor,69,21.48,32.0,149
40,41,43,Joel Dahmen,78,21.47,41.0,191
41,42,40,Anders Albertson,48,21.3,23.0,108
42,43,44,Tony Finau,61,21.15,22.0,104
43,44,47,Chris Kirk,47,20.95,22.0,105
44,45,48,Troy Merritt,42,20.88,19.0,91
45,46,T54,Roberto Díaz,51,20.79,21.0,101
46,47,141,Rory McIlroy,50,20.75,22.0,106
47,48,49,Charles Howell III,64,20.69,24.0,116
48,49,20,Peter Uihlein,65,20.66,25.0,121
49,50,50,Martin Kaymer,38,20.65,19.0,92
50,51,45,Keegan Bradley,65,20.47,26.0,127
51,52,52,Louis Oosthuizen,43,20.29,14.0,69
52,53,36,Whee Kim,57,20.22,18.0,89
53,T54,T54,Kiradech Aphibarnrat,49,20.0,16.0,80
54,T54,T61,Daniel Berger,48,20.0,24.0,120
55,T54,51,Sergio Garcia,39,20.0,15.0,75
56,T54,T54,Matt Kuchar,65,20.0,27.0,135
57,T54,67,Henrik Stenson,46,20.0,17.0,85
58,59,53,Scott Stallings,63,19.86,28.0,141
59,60,T79,Sebastián Muñoz,58,19.85,27.0,136
60,61,15,Justin Thomas,49,19.78,18.0,91
61,62,60,Sangmoon Bae,42,19.75,16.0,81
62,63,59,Jordan Spieth,57,19.71,27.0,137
63,64,65,Chris Stroud,54,19.67,24.0,122
64,65,87,Jim Furyk,53,19.66,23.0,117
65,66,113,Sepp Straka,48,19.57,18.0,92
66,67,46,Nate Lashley,44,19.54,17.0,87
67,68,T94,Dustin Johnson,47,19.42,20.0,103
68,69,68,Matt Wallace,31,19.4,13.0,67
69,70,66,Jonas Blixt,66,19.39,32.0,165
70,T71,T69,Sam Burns,66,19.35,36.0,186
71,T71,93,Brice Garnett,63,19.35,24.0,124
72,T71,T69,Patton Kizzire,58,19.35,24.0,124
73,74,63,Denny McCarthy,63,19.31,28.0,145
74,75,73,Jim Knous,55,19.27,21.0,109
75,76,58,Fabián Gómez,44,19.23,15.0,78
76,77,57,Bubba Watson,47,19.19,19.0,99
77,78,72,Russell Knox,65,18.98,26.0,137
78,79,77,Kelly Kraft,67,18.97,22.0,116
79,80,T102,Adam Schenk,80,18.91,38.0,201
80,81,99,Brian Harman,67,18.9,24.0,127
81,82,64,Cameron Tringale,52,18.87,20.0,106
82,83,T79,Hunter Mahan,45,18.8,22.0,117
83,84,T81,Matt Jones,67,18.79,28.0,149
84,85,84,Patrick Reed,53,18.68,17.0,91
85,86,83,Roger Sloan,62,18.67,31.0,166
86,T87,86,Ernie Els,43,18.64,11.0,59
87,T87,92,Cody Gribble,52,18.64,22.0,118
88,89,88,Sung Kang,67,18.62,27.0,145
89,90,89,Ryan Blaum,67,18.59,29.0,156
90,91,T74,Tom Hoge,70,18.52,25.0,135
91,92,T90,Danny Lee,66,18.47,29.0,157
92,93,T94,Tyrrell Hatton,46,18.39,16.0,87
93,94,97,Kevin Streelman,63,18.34,31.0,169
94,95,98,Cameron Champ,58,18.32,24.0,131
95,T96,T106,Alex Cejka,41,18.31,13.0,71
96,T96,T74,Tyler Duncan,66,18.31,26.0,142
97,98,T90,Joaquin Niemann,68,18.24,29.0,159
98,T99,78,Wyndham Clark,61,18.18,26.0,143
99,T99,100,Emiliano Grillo,65,18.18,24.0,132
100,T99,85,Harold Varner III,62,18.18,30.0,165
101,102,T81,Harris English,72,18.13,33.0,182
102,103,101,Jason Dufner,56,18.1,21.0,116
103,104,T102,Satoshi Kodaira,51,18.09,17.0,94
104,105,104,Rickie Fowler,54,18.05,24.0,133
105,106,132,Scott Brown,66,18.0,27.0,150
106,107,142,Nick Taylor,70,17.93,33.0,184
107,108,76,Jim Herman,37,17.86,15.0,84
108,109,71,Russell Henley,56,17.83,23.0,129
109,110,105,Chesson Hadley,58,17.78,24.0,135
110,111,108,John Huh,35,17.57,13.0,74
111,112,109,J.T. Poston,76,17.56,36.0,205
112,113,110,Aaron Baddeley,51,17.54,20.0,114
113,T114,T111,Max Homa,61,17.53,27.0,154
114,T114,T111,Jon Rahm,51,17.53,17.0,97
115,116,96,Johnson Wagner,45,17.48,18.0,103
116,117,130,Brandt Snedeker,68,17.36,21.0,121
117,118,115,Bronson Burgoon,37,17.07,14.0,82
118,119,116,Rafa Cabrera Bello,57,17.05,15.0,88
119,120,117,Adam Long,52,17.01,25.0,147
120,121,119,Gary Woodland,63,16.92,22.0,130
121,122,135,Richy Werenski,63,16.89,25.0,148
122,123,120,Justin Rose,42,16.88,13.0,77
123,124,T121,Xander Schauffele,55,16.82,18.0,107
124,125,T121,Seth Reeves,52,16.81,19.0,113
125,T126,T124,Abraham Ancer,69,16.67,24.0,144
126,T126,T124,Haotong Li,32,16.67,9.0,54
127,128,128,Patrick Cantlay,49,16.49,16.0,97
128,129,T143,Matt Every,38,16.44,12.0,73
129,130,114,J.J. Spaun,68,16.41,21.0,128
130,T131,T154,Brandon Harkins,67,16.22,24.0,148
131,T131,134,"Ted Potter, Jr.",56,16.22,18.0,111
132,133,127,Sungjae Im,88,16.11,34.0,211
133,134,129,Nick Watney,67,16.09,28.0,174
134,135,131,Talor Gooch,37,16.07,18.0,112
135,136,139,Billy Horschel,73,16.06,22.0,137
136,137,140,Jhonattan Vegas,60,16.0,24.0,150
137,T138,T143,Jason Day,45,15.94,11.0,69
138,T138,T106,J.B. Holmes,54,15.94,11.0,69
139,140,146,Michael Kim,51,15.84,16.0,101
140,T141,118,Austin Cook,50,15.79,18.0,114
141,T141,158,Mackenzie Hughes,58,15.79,21.0,133
142,143,145,Martin Laird,60,15.75,20.0,127
143,144,T147,Anirban Lahiri,54,15.74,17.0,108
144,145,T124,Josh Teater,47,15.73,14.0,89
145,146,133,Kevin Tway,62,15.67,21.0,134
146,147,163,Peter Malnati,64,15.61,27.0,173
147,148,161,Ben Silverman,54,15.6,22.0,141
148,T149,123,Julián Etulain,55,15.57,19.0,122
149,T149,164,Graeme McDowell,61,15.57,19.0,122
150,151,160,Bud Cauley,61,15.54,23.0,148
151,152,T150,Luke List,52,15.5,20.0,129
152,153,153,Beau Hossler,66,15.44,23.0,149
153,T154,T172,Zach Johnson,50,15.38,18.0,117
154,T154,T154,Pat Perez,52,15.38,12.0,78
155,T154,169,Adam Svensson,51,15.38,18.0,117
156,157,T150,Scott Langley,60,15.33,21.0,137
157,T158,T156,Matthew Fitzpatrick,42,15.29,13.0,85
158,T158,T156,Lucas Glover,62,15.29,26.0,170
159,160,159,Marc Leishman,52,15.22,14.0,92
160,161,T147,Adam Hadwin,66,15.13,18.0,119
161,162,999,Martin Piller,30,15.09,8.0,53
162,163,136,Kramer Hickok,59,15.04,17.0,113
163,T164,192,Joey Garber,44,15.0,12.0,80
164,T164,167,Alex Prugh,54,15.0,18.0,120
165,T164,162,Ollie Schniederjans,63,15.0,21.0,140
166,167,137,Brooks Koepka,49,14.81,12.0,81
167,168,165,Freddie Jacobson,37,14.75,9.0,61
168,169,186,Jonathan Byrd,43,14.67,11.0,75
169,170,179,Brian Gay,79,14.65,23.0,157
170,T171,166,Rod Pampling,40,14.47,11.0,76
171,T171,170,Brady Schnell,38,14.47,11.0,76
172,173,152,José de Jesús Rodríguez,51,14.41,16.0,111
173,174,174,Si Woo Kim,65,14.13,13.0,92
174,175,177,Grayson Murray,36,13.92,11.0,79
175,176,189,Kyle Jones,49,13.86,14.0,101
176,177,149,Jimmy Walker,61,13.79,16.0,116
177,178,168,Danny Willett,47,13.68,16.0,117
178,179,178,Seamus Power,58,13.61,20.0,147
179,180,182,Paul Casey,51,13.58,11.0,81
180,181,183,John Senden,39,13.43,9.0,67
181,182,T172,Hudson Swafford,59,13.42,20.0,149
182,T183,175,Martin Trainer,51,13.33,12.0,90
183,T183,171,Aaron Wise,52,13.33,12.0,90
184,185,185,James Hahn,34,13.21,7.0,53
185,186,187,Trey Mullinax,67,13.14,23.0,175
186,T187,184,Alex Noren,49,13.04,12.0,92
187,T187,190,Shawn Stefani,57,13.04,15.0,115
188,189,181,Cameron Davis,54,12.84,14.0,109
189,190,180,Carlos Ortiz,60,12.75,19.0,149
190,191,999,Tyrone Van Aswegen,30,12.73,7.0,55
191,192,191,Kyle Stanley,53,12.5,11.0,88
192,193,176,D.J. Trahan,33,12.31,8.0,65
193,194,202,Stephan Jaeger,59,12.3,15.0,122
194,195,206,Wes Roach,45,12.24,12.0,98
195,196,188,J.J. Henry,42,12.2,10.0,82
196,197,197,Bill Haas,58,12.06,17.0,141
197,198,193,Francesco Molinari,41,11.76,8.0,68
198,199,194,Tommy Fleetwood,43,11.59,8.0,69
199,200,195,Branden Grace,62,11.49,10.0,87
200,201,198,Robert Streb,60,11.45,15.0,131
201,202,196,Andrew Landry,56,11.29,14.0,124
202,203,T199,Sam Saunders,53,11.19,16.0,143
203,204,T199,Justin Harding,31,11.11,3.0,27
204,205,201,Brendan Steele,50,10.53,12.0,114
205,206,203,Dylan Frittelli,55,10.34,12.0,116
206,207,204,D.A. Points,33,8.89,4.0,45
207,208,205,Ben Crane,41,7.59,6.0,79
208,209,207,Charl Schwartzel,34,0.0,,37
