,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,2,Si Woo Kim,65,44.91,75,167
1,2,1,Justin Thomas,49,44.58,74,166
2,3,7,Rory McIlroy,50,42.27,82,194
3,4,3,Wyndham Clark,61,42.13,83,197
4,5,5,Gary Woodland,63,41.0,82,200
5,6,6,Grayson Murray,36,40.74,44,108
6,7,8,Troy Merritt,42,40.46,53,131
7,8,9,Jon Rahm,51,40.36,67,166
8,9,10,Adam Scott,41,40.19,43,107
9,10,14,Martin Kaymer,38,39.44,56,142
10,11,15,Xander Schauffele,55,39.18,67,171
11,12,4,Brooks Koepka,49,39.16,65,166
12,13,16,Byeong Hun An,54,38.86,75,193
13,14,11,Bud Cauley,61,38.67,87,225
14,15,13,Denny McCarthy,63,38.58,76,197
15,16,17,Paul Casey,51,38.41,63,164
16,17,20,Tiger Woods,31,38.24,39,102
17,18,21,Brandon Harkins,67,38.19,76,199
18,19,23,Rickie Fowler,54,37.69,75,199
19,20,12,Matt Every,38,37.5,42,112
20,21,24,Jason Kokrak,68,37.27,82,220
21,22,T28,Talor Gooch,37,37.21,48,129
22,23,25,Jhonattan Vegas,60,37.19,74,199
23,24,26,Patrick Rodgers,44,37.16,55,148
24,25,22,Adam Hadwin,66,37.13,75,202
25,26,27,Justin Rose,42,37.12,49,132
26,27,T28,Tyrrell Hatton,46,37.04,50,135
27,T28,19,Trey Mullinax,67,36.99,81,219
28,T28,30,Sam Ryder,52,36.99,64,173
29,30,31,Brendan Steele,50,36.96,51,138
30,31,33,Bryson DeChambeau,45,36.81,67,182
31,32,34,Luke List,52,36.65,70,191
32,33,32,Cody Gribble,52,36.6,56,153
33,34,35,Patrick Cantlay,49,36.54,57,156
34,35,41,Seamus Power,58,36.47,62,170
35,36,36,Matt Jones,67,36.45,74,203
36,37,18,D.J. Trahan,33,36.25,29,80
37,38,37,Ian Poulter,49,36.23,50,138
38,39,50,Sungjae Im,88,36.21,109,301
39,40,42,James Hahn,34,35.94,23,64
40,41,43,Lucas Glover,62,35.89,75,209
41,42,T44,Sebastián Muñoz,58,35.87,66,184
42,43,T47,Kevin Streelman,63,35.68,76,213
43,44,59,Webb Simpson,53,35.37,81,229
44,T45,51,Hideki Matsuyama,59,35.29,72,204
45,T45,66,Bubba Watson,47,35.29,66,187
46,47,T44,Seth Reeves,52,35.22,56,159
47,48,52,Jason Dufner,56,35.21,50,142
48,49,58,Danny Lee,66,35.11,79,225
49,50,65,Aaron Wise,52,35.03,69,197
50,51,57,Chris Kirk,47,34.97,50,143
51,52,49,Dustin Johnson,47,34.94,58,166
52,53,61,Rory Sabbatini,71,34.86,76,218
53,54,62,Martin Laird,60,34.84,77,221
54,55,T38,Austin Cook,50,34.75,49,141
55,56,54,Nick Watney,67,34.57,65,188
56,57,T47,Harris English,72,34.55,85,246
57,58,53,Scott Stallings,63,34.47,71,206
58,59,40,Ollie Schniederjans,63,34.44,62,180
59,60,67,Jason Day,45,34.4,43,125
60,61,68,Branden Grace,62,34.23,51,149
61,62,69,Abraham Ancer,69,34.16,69,202
62,63,70,Tommy Fleetwood,43,34.09,45,132
63,64,71,Aaron Baddeley,51,34.01,50,147
64,65,72,Charl Schwartzel,34,33.93,19,56
65,66,56,Nick Taylor,70,33.88,82,242
66,67,55,Hudson Swafford,59,33.86,64,189
67,68,46,Roberto Díaz,51,33.82,46,136
68,69,T38,Sepp Straka,48,33.77,51,151
69,70,75,Jordan Spieth,57,33.69,63,187
70,71,60,Jonas Blixt,66,33.65,71,211
71,72,76,Joel Dahmen,78,33.64,74,220
72,T73,T77,Ryan Blaum,67,33.62,79,235
73,T73,T77,Sung Kang,67,33.62,79,235
74,75,64,Sergio Garcia,39,33.57,48,143
75,76,74,Adam Svensson,51,33.56,49,146
76,77,79,Keith Mitchell,64,33.51,64,191
77,78,85,Matt Kuchar,65,33.5,69,206
78,79,80,Sam Burns,66,33.49,72,215
79,T80,T81,Tony Finau,61,33.33,63,189
80,T80,T81,Charley Hoffman,58,33.33,47,141
81,82,84,Louis Oosthuizen,43,33.02,35,106
82,83,86,Chase Wright,53,32.89,50,152
83,84,97,Dylan Frittelli,55,32.85,68,207
