,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Justin Thomas,49,30.69,124,404
1,2,2,Adam Scott,41,30.51,90,295
2,3,3,Justin Rose,42,27.93,100,358
3,4,4,Matt Every,38,27.19,90,331
4,5,5,Gary Woodland,63,26.87,147,547
5,6,14,Rory McIlroy,50,26.85,127,473
6,7,8,Hank Lebioda,55,26.68,139,521
7,8,6,Tiger Woods,31,26.64,77,289
8,9,7,Andrew Putnam,57,26.39,119,451
9,10,T11,Hideki Matsuyama,59,25.99,145,558
10,11,13,Troy Merritt,42,25.91,121,467
11,12,T11,Dustin Johnson,47,25.83,101,391
12,13,15,Bryson DeChambeau,45,25.64,130,507
13,14,16,Jon Rahm,51,25.6,106,414
14,15,17,Jordan Spieth,57,25.47,136,534
15,16,19,Cameron Champ,58,25.36,142,560
16,17,20,Peter Malnati,64,25.31,162,640
17,18,21,Jason Kokrak,68,25.18,172,683
18,19,9,Brooks Koepka,49,25.0,91,364
19,20,23,Jason Day,45,24.92,79,317
20,21,24,Si Woo Kim,65,24.9,121,486
21,22,25,Charles Howell III,64,24.86,137,551
22,23,26,Rickie Fowler,54,24.74,141,570
23,24,27,Ian Poulter,49,24.63,99,402
24,25,22,Adam Schenk,80,24.62,195,792
25,26,T29,Luke List,52,24.56,126,513
26,27,31,Patrick Rodgers,44,24.48,117,478
27,28,39,Matt Kuchar,65,24.47,163,666
28,29,28,Brandon Harkins,67,24.44,142,581
29,30,33,Sung Kang,67,24.38,167,685
30,31,34,Charley Hoffman,58,24.37,107,439
31,32,10,D.J. Trahan,33,24.31,53,218
32,33,T29,Sungjae Im,88,24.25,217,895
33,34,32,Nick Watney,67,24.21,153,632
34,35,38,Ollie Schniederjans,63,24.12,124,514
35,36,41,Michael Thompson,56,24.07,169,702
36,37,36,Brandt Snedeker,68,23.92,144,602
37,38,43,Ryan Moore,54,23.86,147,616
38,39,37,Scott Stallings,63,23.84,144,604
39,40,44,Sebastián Muñoz,58,23.72,120,506
40,41,40,Sepp Straka,48,23.7,96,405
41,42,42,Bubba Watson,47,23.61,102,432
42,43,48,Patrick Cantlay,49,23.6,97,411
43,44,35,Talor Gooch,37,23.58,91,386
44,45,50,Vaughn Taylor,69,23.49,187,796
45,46,51,Aaron Baddeley,51,23.44,109,465
46,T47,46,Corey Conners,62,23.41,140,598
47,T47,45,Aaron Wise,52,23.41,114,487
48,49,52,Xander Schauffele,55,23.36,100,428
49,50,53,Rory Sabbatini,71,23.34,162,694
50,51,49,Sergio Garcia,39,23.32,80,343
51,52,55,Marc Leishman,52,23.27,104,447
52,53,58,Sam Ryder,52,23.17,120,518
53,54,62,Adam Svensson,51,23.13,111,480
54,55,57,Wyndham Clark,61,23.11,125,541
55,56,54,Denny McCarthy,63,23.05,142,616
56,57,59,Dominic Bozzelli,53,23.02,93,404
57,58,61,Ryan Blaum,67,23.0,155,674
58,59,60,Julián Etulain,55,22.88,100,437
59,60,56,Bud Cauley,61,22.86,160,700
60,61,64,Emiliano Grillo,65,22.83,126,552
61,62,65,Paul Casey,51,22.8,96,421
62,63,66,Kevin Kisner,65,22.79,134,588
63,64,47,Nate Lashley,44,22.76,94,413
64,65,999,Shane Lowry,30,22.69,59,260
65,66,68,Keith Mitchell,64,22.66,121,534
66,67,69,Matt Jones,67,22.63,131,579
67,68,86,Webb Simpson,53,22.59,136,602
68,T69,72,Kevin Na,54,22.56,97,430
69,T69,79,José de Jesús Rodríguez,51,22.56,97,430
70,71,74,Ryan Palmer,56,22.54,112,497
71,72,67,Scott Piercy,70,22.49,152,676
72,73,71,Martin Laird,60,22.42,139,620
73,74,75,Kiradech Aphibarnrat,49,22.4,97,433
74,75,76,Richy Werenski,63,22.32,146,654
75,76,78,Sam Burns,66,22.27,149,669
76,77,85,Nick Taylor,70,22.25,166,746
77,78,83,Graeme McDowell,61,22.24,115,517
78,T79,77,Austin Cook,50,22.22,108,486
79,T79,T80,Martin Kaymer,38,22.22,98,441
80,T81,84,Cody Gribble,52,22.17,102,460
81,T81,73,Trey Mullinax,67,22.17,133,600
82,83,87,Tony Finau,61,22.06,103,467
83,84,90,Jonas Blixt,66,22.04,151,685
84,85,89,Byeong Hun An,54,22.03,100,454
85,T86,T91,Roberto Castro,54,22.02,122,554
86,T86,97,Danny Lee,66,22.02,142,645
87,88,70,Peter Uihlein,65,21.98,109,496
88,89,88,Adam Hadwin,66,21.97,136,619
89,90,93,Scott Brown,66,21.96,139,633
90,91,T91,Branden Grace,62,21.87,96,439
91,92,T94,Lucas Glover,62,21.84,159,728
92,93,63,Johnson Wagner,45,21.79,95,436
