,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Rafa Cabrera Bello,57,27.14,19,70
1,2,6,Dustin Johnson,47,26.92,21,78
2,3,4,Tommy Fleetwood,43,25.49,13,51
3,4,7,Luke List,52,25.32,20,79
4,5,T21,Talor Gooch,37,24.62,16,65
5,6,8,Patrick Cantlay,49,24.36,19,78
6,7,12,Jhonattan Vegas,60,23.91,22,92
7,8,3,Webb Simpson,53,23.75,19,80
8,9,13,Joel Dahmen,78,23.6,21,89
9,10,T10,Mackenzie Hughes,58,23.4,22,94
10,T11,9,Wyndham Clark,61,23.08,27,117
11,T11,5,Brooks Koepka,49,23.08,15,65
12,T11,15,Keith Mitchell,64,23.08,12,52
13,14,T35,Brandt Snedeker,68,23.0,23,100
14,15,19,Austin Cook,50,22.73,10,44
15,16,18,Gary Woodland,63,22.54,16,71
16,17,16,Ryan Palmer,56,22.41,13,58
17,18,2,Lucas Bjerregaard,37,21.62,8,37
18,T19,T21,Si Woo Kim,65,21.43,15,70
19,T19,26,Justin Thomas,49,21.43,15,70
20,21,14,J.B. Holmes,54,21.28,10,47
21,22,T24,Sebastián Muñoz,58,20.93,18,86
22,23,37,Danny Lee,66,20.91,23,110
23,T24,27,Xander Schauffele,55,20.75,11,53
24,T24,T41,J.J. Spaun,68,20.75,22,106
25,26,29,Patton Kizzire,58,20.63,13,63
26,27,T33,Marc Leishman,52,20.45,18,88
27,28,T35,Byeong Hun An,54,20.43,19,93
28,29,17,Chase Wright,53,20.41,10,49
29,T30,38,Chesson Hadley,58,20.34,12,59
30,T30,65,Sungjae Im,88,20.34,24,118
31,32,T10,Josh Teater,47,20.27,15,74
32,33,T75,Kevin Tway,62,20.18,23,114
33,34,31,Brandon Harkins,67,20.17,24,119
34,T35,T39,Tony Finau,61,20.0,20,100
35,T35,T49,Jim Knous,55,20.0,16,80
36,T35,T69,Roger Sloan,62,20.0,22,110
37,T35,T39,Brendan Steele,50,20.0,12,60
38,39,30,Hudson Swafford,59,19.8,20,101
39,40,T41,Abraham Ancer,69,19.78,18,91
40,41,45,Cameron Smith,55,19.64,11,56
41,42,28,Martin Laird,60,19.59,19,97
42,43,32,Seth Reeves,52,19.54,17,87
43,44,T46,Rickie Fowler,54,19.48,15,77
44,T45,51,Harris English,72,19.44,21,108
45,T45,T49,Jordan Spieth,57,19.44,21,108
46,47,54,Denny McCarthy,63,19.35,18,93
47,48,71,Nick Taylor,70,19.23,25,130
48,49,T56,Stephan Jaeger,59,19.19,19,99
49,T50,T56,Jason Day,45,19.05,8,42
50,T50,44,Trey Mullinax,67,19.05,24,126
51,52,T46,Adam Hadwin,66,18.89,17,90
52,T53,T60,Kiradech Aphibarnrat,49,18.75,12,64
53,T53,66,Daniel Berger,48,18.75,15,80
54,T53,T60,Hideki Matsuyama,59,18.75,18,96
55,T53,T60,Ian Poulter,49,18.75,9,48
56,T53,T60,Patrick Reed,53,18.75,15,80
57,T53,T60,Rory Sabbatini,71,18.75,21,112
58,59,67,Paul Casey,51,18.6,8,43
59,T60,T52,Matt Kuchar,65,18.57,13,70
60,T60,68,Kyoung-Hoon Lee,72,18.57,13,70
61,T60,43,Sepp Straka,48,18.57,13,70
62,63,T69,Charles Howell III,64,18.56,18,97
63,64,T46,Cameron Tringale,52,18.52,15,81
64,65,82,Scott Langley,60,18.48,17,92
65,66,74,Sam Burns,66,18.33,22,120
66,67,88,Hank Lebioda,55,18.31,13,71
67,68,59,Chris Stroud,54,18.28,17,93
68,T69,T52,Matt Every,38,18.18,6,33
69,T69,T75,Justin Harding,31,18.18,2,11
70,T69,T91,Nate Lashley,44,18.18,12,66
71,T72,77,Bryson DeChambeau,45,18.03,11,61
72,T72,20,Wes Roach,45,18.03,11,61
73,74,T33,Fabián Gómez,44,18.0,9,50
74,75,T78,Jason Kokrak,68,17.95,14,78
75,76,80,Tiger Woods,31,17.86,5,28
76,77,55,Curtis Luck,51,17.58,16,91
77,78,T24,Dominic Bozzelli,53,17.57,13,74
78,79,72,Sergio Garcia,39,17.46,11,63
79,T80,T83,Tyrrell Hatton,46,17.39,8,46
80,T80,T83,"Ted Potter, Jr.",56,17.39,12,69
81,82,58,Roberto Díaz,51,17.19,11,64
82,T83,85,Tom Hoge,70,17.14,18,105
83,T83,86,Satoshi Kodaira,51,17.14,12,70
84,T83,109,Adam Svensson,51,17.14,12,70
85,86,T106,Carlos Ortiz,60,17.11,13,76
86,87,89,Charley Hoffman,58,16.9,12,71
87,88,90,Sam Ryder,52,16.88,13,77
88,89,87,Peter Uihlein,65,16.87,14,83
89,T90,T78,Alex Cejka,41,16.67,7,42
90,T90,T91,Troy Merritt,42,16.67,8,48
91,T90,T91,D.A. Points,33,16.67,6,36
92,T93,T96,Kevin Na,54,16.39,10,61
93,T93,T96,J.T. Poston,76,16.39,20,122
94,95,98,Bronson Burgoon,37,16.33,8,49
95,96,T118,José de Jesús Rodríguez,51,16.28,14,86
96,97,73,Keegan Bradley,65,16.07,9,56
97,98,100,Beau Hossler,66,16.04,17,106
98,99,81,Joaquin Niemann,68,15.97,19,119
99,100,T102,Lucas Glover,62,15.91,14,88
100,101,104,Sung Kang,67,15.84,16,101
101,T102,105,Matt Jones,67,15.73,14,89
102,T102,T112,Richy Werenski,63,15.73,14,89
103,104,95,Anders Albertson,48,15.71,11,70
104,105,108,John Senden,39,15.69,8,51
105,106,124,Cameron Davis,54,15.48,13,84
106,T107,T110,Grayson Murray,36,15.38,10,65
