,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Patrick Cantlay,49,27.91,36,129
1,2,3,Jhonattan Vegas,60,25.42,45,177
2,3,2,Ryan Palmer,56,25.41,31,122
3,4,6,Cameron Davis,54,22.81,39,171
4,5,9,Abraham Ancer,69,21.48,29,135
5,6,4,Wyndham Clark,61,21.46,44,205
6,7,20,Dustin Johnson,47,21.38,31,145
7,8,7,Justin Thomas,49,21.32,29,136
8,9,21,Talor Gooch,37,21.01,25,119
9,10,12,Grayson Murray,36,20.97,26,124
10,11,17,J.B. Holmes,54,20.91,23,110
11,12,13,Rafa Cabrera Bello,57,20.87,24,115
12,13,19,Cameron Tringale,52,20.75,33,159
13,14,15,Marc Leishman,52,20.66,25,121
14,15,16,Si Woo Kim,65,20.61,27,131
15,16,18,Tommy Fleetwood,43,20.48,17,83
16,17,8,Brooks Koepka,49,20.35,23,113
17,18,10,Chris Stroud,54,20.27,30,148
18,19,T23,Nate Lashley,44,20.18,22,109
19,20,22,Bryson DeChambeau,45,20.17,24,119
20,T21,T23,Byeong Hun An,54,20.0,31,155
21,T21,5,Lucas Bjerregaard,37,20.0,15,75
22,T21,T23,Rory Sabbatini,71,20.0,36,180
23,24,26,Tony Finau,61,19.88,33,166
24,25,27,Keith Mitchell,64,19.84,25,126
25,26,28,Joel Dahmen,78,19.62,31,158
26,27,11,Josh Teater,47,19.17,23,120
27,28,31,Matt Jones,67,19.16,32,167
28,29,32,Max Homa,61,18.97,37,195
29,30,46,Kevin Tway,62,18.82,35,186
30,31,67,Brandt Snedeker,68,18.78,37,197
31,T32,T35,Jason Day,45,18.68,17,91
32,T32,45,Roger Sloan,62,18.68,34,182
33,34,T37,Ian Poulter,49,18.6,16,86
34,35,29,Aaron Wise,52,18.55,23,124
35,36,40,Brandon Harkins,67,18.43,40,217
36,37,41,Cameron Smith,55,18.33,22,120
37,38,30,Mackenzie Hughes,58,18.18,34,187
38,T39,42,Sam Burns,66,18.09,36,199
39,T39,34,Joaquin Niemann,68,18.09,34,188
40,T39,T35,Hudson Swafford,59,18.09,34,188
41,42,43,Tom Hoge,70,18.08,32,177
42,T43,39,Harris English,72,18.06,39,216
43,T43,T37,Webb Simpson,53,18.06,26,144
44,45,44,Luke List,52,18.02,31,172
45,46,T59,J.J. Spaun,68,18.01,29,161
46,47,48,Kevin Streelman,63,17.88,27,151
47,48,47,Adam Hadwin,66,17.86,25,140
48,49,50,Gary Woodland,63,17.81,26,146
49,50,51,Jordan Spieth,57,17.8,34,191
50,51,53,Kiradech Aphibarnrat,49,17.76,19,107
51,T52,14,Dominic Bozzelli,53,17.69,23,130
52,T52,54,José de Jesús Rodríguez,51,17.69,26,147
53,54,33,Seth Reeves,52,17.65,27,153
54,55,55,Rickie Fowler,54,17.61,25,142
55,56,52,Danny Lee,66,17.57,39,222
56,57,56,Hunter Mahan,45,17.54,20,114
57,58,57,Kevin Na,54,17.43,19,109
58,59,99,Sebastián Muñoz,58,17.42,27,155
59,T60,85,Sungjae Im,88,17.39,40,230
60,T60,T59,Hideki Matsuyama,59,17.39,24,138
61,62,T61,Patrick Reed,53,17.36,25,144
62,63,63,Ryan Moore,54,17.35,17,98
63,64,65,Tyrrell Hatton,46,17.28,14,81
64,65,66,Jon Rahm,51,17.27,19,110
65,66,68,Tiger Woods,31,17.19,11,64
66,67,49,Scott Piercy,70,17.12,25,146
67,T68,84,Nick Taylor,70,17.11,39,228
68,T68,70,Matt Wallace,31,17.11,13,76
69,70,71,Xander Schauffele,55,17.09,20,117
70,T71,T72,Sam Ryder,52,17.05,22,129
71,T71,83,Adam Svensson,51,17.05,22,129
72,73,74,Sung Kang,67,17.01,33,194
73,74,69,Trey Mullinax,67,16.88,40,237
74,75,77,Austin Cook,50,16.84,16,95
75,76,76,Denny McCarthy,63,16.77,26,155
76,77,80,J.T. Poston,76,16.75,35,209
77,T78,T72,Anders Albertson,48,16.67,23,138
78,T78,81,Patton Kizzire,58,16.67,22,132
79,T78,58,Curtis Luck,51,16.67,24,144
80,T78,75,Carlos Ortiz,60,16.67,31,186
81,82,101,Jim Knous,55,16.46,27,164
82,83,T61,Matt Kuchar,65,16.3,22,135
83,84,T86,Stewart Cink,33,16.09,14,87
84,T85,T89,Chesson Hadley,58,16.03,25,156
85,T85,T89,Chris Kirk,47,16.03,21,131
86,87,91,Cameron Champ,58,16.0,36,225
87,88,93,Satoshi Kodaira,51,15.93,18,113
88,89,64,Dylan Frittelli,55,15.82,28,177
89,90,T78,Chase Wright,53,15.79,18,114
90,91,108,Rory McIlroy,50,15.75,20,127
91,92,95,Jason Kokrak,68,15.73,28,178
92,93,82,Ollie Schniederjans,63,15.71,33,210
93,94,96,Lucas Glover,62,15.69,24,153
94,95,94,Sergio Garcia,39,15.65,18,115
95,96,131,Jonathan Byrd,43,15.57,19,122
96,97,999,Shane Lowry,30,15.48,13,84
97,98,T78,Roberto Díaz,51,15.38,18,117
98,99,103,Kyoung-Hoon Lee,72,15.33,23,150
99,T100,105,Paul Casey,51,15.22,14,92
100,T100,102,Stephan Jaeger,59,15.22,28,184
101,102,106,Aaron Baddeley,51,15.19,24,158
102,103,100,Bill Haas,58,15.06,25,166
103,T104,116,Scott Langley,60,15.03,23,153
104,T104,109,Phil Mickelson,41,15.03,23,153
105,106,88,Wes Roach,45,15.0,15,100
106,107,111,Daniel Berger,48,14.96,19,127
107,108,112,Adam Scott,41,14.89,14,94
108,T109,T86,Fabián Gómez,44,14.74,14,95
109,T109,T114,Chez Reavie,67,14.74,14,95
110,111,110,Sepp Straka,48,14.71,20,136
111,112,117,Charles Howell III,64,14.67,22,150
112,113,107,Martin Laird,60,14.59,27,185
113,T114,123,Scott Brown,66,14.55,24,165
114,T114,T114,Bud Cauley,61,14.55,24,165
115,116,118,Brian Stuard,76,14.53,26,179
116,117,143,Chris Thompson,34,14.41,16,111
117,T118,92,Matt Every,38,14.29,11,77
118,T118,T120,Brendan Steele,50,14.29,18,126
119,120,153,Danny Willett,47,14.19,22,155
120,121,124,Andrew Putnam,57,14.08,20,142
121,122,104,Keegan Bradley,65,14.05,17,121
122,T123,T97,Harold Varner III,62,14.04,25,178
123,T123,128,Richy Werenski,63,14.04,25,178
124,125,113,Brian Gay,79,14.01,22,157
125,126,125,John Senden,39,13.95,12,86
126,127,T154,Johnson Wagner,45,13.89,15,108
127,128,T120,Ben Silverman,54,13.85,18,130
128,129,126,Vaughn Taylor,69,13.79,24,174
129,130,127,Bronson Burgoon,37,13.68,13,95
130,131,119,Martin Trainer,51,13.56,24,177
131,132,129,Beau Hossler,66,13.54,26,192
132,133,134,Charley Hoffman,58,13.28,17,128
133,134,135,Patrick Rodgers,44,13.25,20,151
134,135,136,Haotong Li,32,13.16,10,76
135,136,138,Troy Merritt,42,12.99,10,77
136,137,T132,David Hearn,41,12.94,11,85
137,138,139,Emiliano Grillo,65,12.93,15,116
138,139,142,"Ted Potter, Jr.",56,12.84,19,148
139,140,130,Scott Stallings,63,12.82,25,195
140,141,145,Corey Conners,62,12.78,17,133
141,142,T168,Whee Kim,57,12.71,15,118
142,143,T132,Jim Herman,37,12.5,10,80
143,144,141,Shawn Stefani,57,12.41,18,145
144,145,144,Kramer Hickok,59,12.4,15,121
145,146,140,Adam Schenk,80,12.33,27,219
146,T147,148,Branden Grace,62,12.3,15,122
147,T147,T160,Russell Henley,56,12.3,15,122
148,T147,137,Jimmy Walker,61,12.3,23,187
149,150,T156,Peter Uihlein,65,12.29,22,179
150,151,150,Michael Thompson,56,12.23,17,139
151,T152,151,Jason Dufner,56,12.17,14,115
152,T152,158,Brice Garnett,63,12.17,14,115
153,T154,149,Julián Etulain,55,12.12,20,165
154,T154,152,Martin Kaymer,38,12.12,12,99
155,156,T154,Russell Knox,65,12.0,18,150
156,157,172,Jonas Blixt,66,11.96,22,184
157,158,T163,Tyler Duncan,66,11.94,16,134
158,159,159,Michael Kim,51,11.92,18,151
159,160,T160,D.A. Points,33,11.86,7,59
160,161,162,Ernie Els,43,11.83,11,93
161,T162,147,Alex Cejka,41,11.76,10,85
162,T162,T163,Matthew Fitzpatrick,42,11.76,10,85
163,T162,T163,Kevin Kisner,65,11.76,16,136
164,165,167,Justin Rose,42,11.58,11,95
165,T166,T168,Justin Harding,31,11.54,3,26
166,T166,T156,Kelly Kraft,67,11.54,21,182
167,168,T97,D.J. Trahan,33,11.49,10,87
168,T169,T185,Sangmoon Bae,42,11.46,11,96
169,T169,166,John Chin,38,11.46,11,96
170,171,178,Peter Malnati,64,11.35,26,229
171,172,146,Cody Gribble,52,11.31,19,168
172,173,183,Brian Harman,67,11.28,15,133
173,T174,173,Anirban Lahiri,54,11.27,16,142
174,T174,174,Bubba Watson,47,11.27,16,142
175,T176,175,Francesco Molinari,41,11.11,8,72
176,T176,999,Martin Piller,30,11.11,7,63
177,178,171,Sam Saunders,53,11.05,19,172
178,179,184,Joey Garber,44,11.0,11,100
179,180,187,Jim Furyk,53,10.99,10,91
180,T181,176,Pat Perez,52,10.98,9,82
181,T181,T190,Robert Streb,60,10.98,18,164
182,183,177,Hank Lebioda,55,10.95,15,137
183,184,200,Alex Noren,49,10.81,12,111
184,185,999,Tyrone Van Aswegen,30,10.67,8,75
185,186,180,C.T. Pan,64,10.64,15,141
186,187,T181,Alex Prugh,54,10.53,14,133
187,188,T181,Graeme McDowell,61,10.49,15,143
188,189,T185,Ryan Blaum,67,10.26,20,195
189,190,T190,Henrik Stenson,46,10.13,8,79
190,191,188,Freddie Jacobson,37,10.11,9,89
191,192,189,Andrew Landry,56,10.08,12,119
192,193,193,Nick Watney,67,10.0,17,170
193,194,179,Seamus Power,58,9.88,16,162
194,195,194,James Hahn,34,9.84,6,61
195,T196,T168,Ben Crane,41,9.78,9,92
196,T196,195,John Huh,35,9.78,9,92
197,198,196,Adam Long,52,9.7,13,134
198,199,197,Louis Oosthuizen,43,9.68,6,62
199,200,198,Kyle Jones,49,9.6,12,125
200,201,T190,Roberto Castro,54,9.52,12,126
201,202,201,Ryan Armour,66,9.3,12,129
202,203,205,J.J. Henry,42,9.28,9,97
203,204,199,Kyle Stanley,53,8.91,9,101
204,205,204,Billy Horschel,73,8.16,12,147
205,206,203,Rod Pampling,40,8.08,8,99
206,207,202,Brady Schnell,38,7.78,7,90
207,208,206,Zach Johnson,50,7.69,10,130
208,209,207,Charl Schwartzel,34,6.15,4,65
