,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Patrick Cantlay,49,2.25,200,89
1,2,3,Matt Kuchar,65,2.1,254,121
2,3,2,Dustin Johnson,47,2.04,192,94
3,4,4,Justin Thomas,49,2.0,228,114
4,5,7,Rory McIlroy,50,1.99,213,107
5,T6,T5,Brooks Koepka,49,1.81,195,108
6,T6,T17,Webb Simpson,53,1.81,199,110
7,8,T8,Xander Schauffele,55,1.8,230,128
8,T9,T10,Lucas Glover,62,1.77,225,127
9,T9,T10,Tiger Woods,31,1.77,122,69
10,11,T8,Scott Piercy,70,1.76,278,158
11,12,12,Charles Howell III,64,1.75,249,142
12,T13,T13,Si Woo Kim,65,1.73,271,157
13,T13,T13,Jon Rahm,51,1.73,195,113
14,T15,T15,Rickie Fowler,54,1.72,237,138
15,T15,T15,Gary Woodland,63,1.72,288,167
16,17,T17,Marc Leishman,52,1.69,208,123
17,T18,19,Hideki Matsuyama,59,1.68,240,143
18,T18,T5,D.J. Trahan,33,1.68,126,75
19,20,20,Aaron Baddeley,51,1.67,199,119
20,21,T21,Justin Rose,42,1.66,164,99
21,T22,23,Jason Day,45,1.65,183,111
22,T22,T21,Ryan Palmer,56,1.65,226,137
23,T24,T26,Jim Furyk,53,1.63,173,106
24,T24,T24,Troy Merritt,42,1.63,163,100
25,26,T26,Adam Scott,41,1.62,172,106
26,27,28,Bryson DeChambeau,45,1.61,191,119
27,28,T24,Bud Cauley,61,1.6,249,156
28,T29,T33,Sungjae Im,88,1.57,354,225
29,T29,T31,Rory Sabbatini,71,1.57,276,176
30,T31,30,Denny McCarthy,63,1.56,234,150
31,T31,T33,Andrew Putnam,57,1.56,221,142
32,33,T35,Jason Kokrak,68,1.55,265,171
33,T34,T31,Talor Gooch,37,1.54,156,101
34,T34,29,Nate Lashley,44,1.54,162,105
35,36,37,Tony Finau,61,1.53,228,149
36,T37,T38,Sam Ryder,52,1.52,216,142
37,T37,T38,Jordan Spieth,57,1.52,233,153
38,39,40,Paul Casey,51,1.51,190,126
39,T40,T35,Dominic Bozzelli,53,1.49,214,144
40,T40,T42,Matt Jones,67,1.49,249,167
41,T40,T42,Jhonattan Vegas,60,1.49,233,156
42,T43,T44,James Hahn,34,1.48,126,85
43,T43,56,Cameron Tringale,52,1.48,187,126
44,T43,T44,Nick Watney,67,1.48,253,171
45,T46,T46,Abraham Ancer,69,1.47,258,175
46,T46,T46,Tommy Fleetwood,43,1.47,131,89
47,T46,T46,Russell Knox,65,1.47,217,148
48,T46,T46,Vaughn Taylor,69,1.47,264,179
49,50,41,Aaron Wise,52,1.46,215,147
50,T51,51,Wyndham Clark,61,1.45,252,174
51,T51,T52,Ian Poulter,49,1.45,170,117
52,T51,T52,Chez Reavie,67,1.45,241,166
53,T51,T52,Michael Thompson,56,1.45,219,151
54,55,T52,Adam Schenk,80,1.44,304,211
55,56,57,Phil Mickelson,41,1.43,162,113
56,T57,T58,Sung Kang,67,1.42,258,182
57,T57,T78,Graeme McDowell,61,1.42,214,151
58,T57,T61,Kevin Tway,62,1.42,209,147
59,60,T46,Johnson Wagner,45,1.41,166,118
60,T61,T61,Matt Every,38,1.4,150,107
61,T61,T61,C.T. Pan,64,1.4,234,167
62,T63,T61,Corey Conners,62,1.39,218,157
63,T63,60,J.J. Spaun,68,1.39,245,176
64,T63,T66,Kevin Streelman,63,1.39,228,164
65,T66,T75,Jonas Blixt,66,1.38,248,180
66,T66,T84,Jonathan Byrd,43,1.38,156,113
67,T66,T69,Joel Dahmen,78,1.38,297,216
