,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Patrick Cantlay,14,1.82,80,44
1,2,3,Matt Kuchar,16,1.88,109,58
2,3,2,Dustin Johnson,12,1.93,85,44
3,4,5,Rory McIlroy,13,2.0,92,46
4,5,4,Lucas Glover,17,2.03,118,58
5,T6,6,Jim Furyk,16,2.04,98,48
6,T6,T10,Webb Simpson,14,2.04,102,50
7,8,7,Aaron Baddeley,15,2.08,106,51
8,9,8,Charles Howell III,19,2.11,129,61
9,10,9,Justin Thomas,13,2.13,98,46
10,11,T12,Russell Knox,18,2.16,125,58
11,12,T12,Brooks Koepka,13,2.17,91,42
12,13,T10,Bud Cauley,19,2.18,133,61
13,14,T14,Xander Schauffele,15,2.19,114,52
14,T15,T16,Ernie Els,14,2.22,91,41
15,T15,T16,Tommy Fleetwood,11,2.22,80,36
16,T17,T19,Rickie Fowler,14,2.24,121,54
17,T17,T19,James Hahn,10,2.24,76,34
18,T17,T16,Scott Piercy,19,2.24,148,66
19,20,21,Si Woo Kim,20,2.25,135,60
20,21,T35,Kevin Tway,19,2.26,131,58
21,T22,T22,Marc Leishman,14,2.27,109,48
22,T22,T22,Ryan Palmer,16,2.27,118,52
23,24,24,Vaughn Taylor,21,2.28,153,67
24,T25,T25,Justin Rose,11,2.29,87,38
25,T25,T14,D.J. Trahan,11,2.29,71,31
26,T25,T27,Nick Watney,20,2.29,144,63
27,28,T27,Jason Kokrak,17,2.3,147,64
28,29,T25,Corey Conners,20,2.33,135,58
29,T30,T31,Hideki Matsuyama,15,2.34,131,56
30,T30,29,Denny McCarthy,20,2.34,138,59
31,T30,T31,Jon Rahm,14,2.34,103,44
32,T30,T31,Rory Sabbatini,19,2.34,157,67
33,T30,T69,Henrik Stenson,12,2.34,89,38
34,T30,T31,Jhonattan Vegas,18,2.34,136,58
35,T36,T35,Andrew Putnam,17,2.35,122,52
36,T36,T35,Jordan Spieth,16,2.35,127,54
37,T36,T35,Tiger Woods,8,2.35,61,26
38,T39,T35,Roberto Castro,16,2.36,118,50
39,T39,30,Nate Lashley,13,2.36,99,42
40,T41,T61,Graeme McDowell,16,2.37,135,57
41,T41,T41,Adam Schenk,24,2.37,185,78
42,T43,T41,Bryson DeChambeau,13,2.38,100,42
43,T43,T41,Matt Jones,19,2.38,150,63
44,T43,T41,Charl Schwartzel,13,2.38,76,32
45,T43,T50,Harold Varner III,20,2.38,143,60
46,T47,T61,Harris English,21,2.39,167,70
47,T47,T45,Tony Finau,17,2.39,134,56
48,T47,T45,Troy Merritt,12,2.39,91,38
49,T47,T45,Kevin Streelman,20,2.39,146,61
50,T51,T50,Sungjae Im,26,2.4,202,84
51,T51,T50,Cameron Tringale,15,2.4,115,48
52,53,T50,Michael Thompson,17,2.41,135,56
53,T54,T45,Talor Gooch,12,2.43,90,37
54,T54,T45,Chase Wright,19,2.43,124,51
55,T56,T54,Russell Henley,18,2.44,127,52
56,T56,T59,Trey Mullinax,20,2.44,154,63
57,T56,56,C.T. Pan,19,2.44,151,62
58,T59,T57,Dominic Bozzelli,17,2.45,125,51
59,T59,T57,Gary Woodland,17,2.45,147,60
60,61,T59,Sam Ryder,16,2.46,128,52
61,T62,T61,Ryan Armour,21,2.47,163,66
62,T62,T61,Paul Casey,15,2.47,116,47
63,T64,T67,Sung Kang,20,2.49,162,65
64,T64,T67,Adam Scott,12,2.49,97,39
65,T64,T61,Shawn Stefani,19,2.49,132,53
66,T64,T84,Hudson Swafford,20,2.49,142,57
67,T68,T69,Abraham Ancer,20,2.5,160,64
68,T68,T69,Sam Burns,22,2.5,160,64
69,T68,T54,Cameron Davis,18,2.5,130,52
70,T68,T69,Sergio Garcia,11,2.5,75,30
71,T68,T69,Billy Horschel,19,2.5,165,66
72,T68,T69,Martin Laird,18,2.5,140,56
73,T68,T69,Phil Mickelson,13,2.5,95,38
74,T68,T69,Ian Poulter,13,2.5,105,42
75,T68,T69,Robert Streb,21,2.5,140,56
76,T68,T69,Brian Stuard,22,2.5,180,72
77,T78,T91,Keegan Bradley,18,2.52,146,58
78,T78,83,Chez Reavie,19,2.52,151,60
79,T78,T112,Brandt Snedeker,18,2.52,164,65
80,T81,T96,Scott Brown,21,2.53,157,62
81,T81,90,Brian Gay,22,2.53,190,75
82,T81,T84,Chris Kirk,17,2.53,114,45
83,T81,T84,Louis Oosthuizen,12,2.53,91,36
84,T81,999,Tyrone Van Aswegen,11,2.53,76,30
85,T86,T96,Jonathan Byrd,13,2.54,104,41
86,T86,T91,Wyndham Clark,20,2.54,150,59
87,T86,T88,Chesson Hadley,20,2.54,142,56
