,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Patrick Cantlay,49,11.24,89,792
1,2,3,Matt Kuchar,65,11.59,121,1044
2,3,2,Dustin Johnson,47,11.87,94,792
3,4,4,Lucas Glover,62,12.16,127,1044
4,5,6,Webb Simpson,53,12.22,110,900
5,6,5,Jim Furyk,53,12.27,106,864
6,7,11,Rory McIlroy,50,12.92,107,828
7,8,7,Charles Howell III,64,12.93,142,1098
8,9,T8,Aaron Baddeley,51,12.96,119,918
9,10,10,Scott Piercy,70,13.3,158,1188
10,11,T8,D.J. Trahan,33,13.44,75,558
11,12,12,Xander Schauffele,55,13.68,128,936
12,13,13,Tommy Fleetwood,43,13.73,89,648
13,14,T16,Justin Thomas,49,13.77,114,828
14,15,15,Ernie Els,43,13.82,102,738
15,T16,T16,James Hahn,34,13.89,85,612
16,T16,14,Nate Lashley,44,13.89,105,756
17,18,26,Kevin Tway,62,14.08,147,1044
18,19,18,Denny McCarthy,63,14.12,150,1062
19,20,20,Russell Knox,65,14.18,148,1044
20,21,21,Hideki Matsuyama,59,14.19,143,1008
21,22,22,Rickie Fowler,54,14.2,138,972
22,23,19,Bud Cauley,61,14.21,156,1098
23,24,23,Marc Leishman,52,14.24,123,864
24,25,24,Jon Rahm,51,14.27,113,792
25,26,25,Brooks Koepka,49,14.29,108,756
26,27,60,Henrik Stenson,46,14.33,98,684
27,28,28,Justin Rose,42,14.47,99,684
28,29,27,Ryan Armour,66,14.48,172,1188
29,30,29,Si Woo Kim,65,14.54,157,1080
30,T31,30,Brian Stuard,76,14.58,189,1296
31,T31,38,Cameron Tringale,52,14.58,126,864
32,33,31,Rory Sabbatini,71,14.59,176,1206
33,34,32,Troy Merritt,42,14.62,100,684
34,35,33,Ryan Palmer,56,14.64,137,936
35,36,63,Graeme McDowell,61,14.72,151,1026
36,T37,T34,Billy Horschel,73,14.73,175,1188
37,T37,T34,Matt Jones,67,14.73,167,1134
38,39,T36,Tiger Woods,31,14.74,69,468
39,40,T39,Tony Finau,61,14.78,149,1008
40,T41,64,Harris English,72,14.84,187,1260
41,T41,T41,Jason Kokrak,68,14.84,171,1152
42,T41,T41,Vaughn Taylor,69,14.84,179,1206
43,44,T39,Russell Henley,56,14.85,139,936
44,45,47,Sungjae Im,88,14.88,225,1512
45,T46,44,Paul Casey,51,14.89,126,846
46,T46,T51,Roberto Castro,54,14.89,134,900
47,T48,T48,Kevin Streelman,63,14.94,164,1098
48,T48,T48,Jhonattan Vegas,60,14.94,156,1044
49,50,50,C.T. Pan,64,14.96,167,1116
50,51,T51,Michael Thompson,56,14.98,151,1008
51,52,T36,Dylan Frittelli,55,14.99,143,954
52,53,T61,Harold Varner III,62,15.0,162,1080
53,54,53,Adam Schenk,80,15.03,211,1404
54,55,43,Corey Conners,62,15.04,157,1044
55,56,55,Nick Watney,67,15.08,171,1134
56,57,54,Adam Scott,41,15.1,106,702
57,T58,56,Talor Gooch,37,15.17,101,666
58,T58,T57,Andrew Putnam,57,15.17,142,936
59,T58,T57,Sam Ryder,52,15.17,142,936
60,61,59,Abraham Ancer,69,15.19,175,1152
61,T62,68,Wes Roach,45,15.25,118,774
62,T62,T45,Johnson Wagner,45,15.25,118,774
63,64,T45,J.J. Spaun,68,15.28,176,1152
64,65,77,Jonathan Byrd,43,15.31,113,738
65,66,65,Kevin Kisner,65,15.33,149,972
66,67,T66,Chez Reavie,67,15.37,166,1080
67,68,97,Brandt Snedeker,68,15.38,180,1170
68,69,69,Jason Day,45,15.42,111,720
69,70,70,Gary Woodland,63,15.46,167,1080
70,T71,74,Martin Laird,60,15.48,156,1008
71,T71,T72,Ian Poulter,49,15.48,117,756
72,T73,T72,Sergio Garcia,39,15.56,84,540
73,T73,T75,Sung Kang,67,15.56,182,1170
74,T73,T80,Peter Malnati,64,15.56,168,1080
