,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Patrick Cantlay,49,31.33
1,2,2,Bryson DeChambeau,45,31.25
2,3,3,Si Woo Kim,65,29.25
3,4,4,Keith Mitchell,64,28.74
4,5,8,Matt Jones,67,27.74
5,6,9,Ian Poulter,49,27.68
6,7,999,Martin Piller,30,27.59
7,8,10,Luke List,52,27.52
8,9,7,Bud Cauley,61,27.4
9,10,6,Ryan Palmer,56,27.34
10,11,12,Webb Simpson,53,27.18
11,12,5,Brooks Koepka,49,26.92
12,13,13,Francesco Molinari,41,26.88
13,14,14,Rory McIlroy,50,26.26
14,15,11,Scott Piercy,70,26.17
15,16,16,Jason Day,45,25.96
16,17,15,Matt Kuchar,65,25.64
17,18,19,Abraham Ancer,69,25.3
18,19,20,Brian Gay,79,25.0
19,20,21,Danny Lee,66,24.86
20,21,23,Ryan Moore,54,24.83
21,22,24,Kevin Kisner,65,24.82
22,23,25,Sam Ryder,52,24.81
23,24,26,D.A. Points,33,24.76
24,25,41,Aaron Wise,52,24.64
25,26,18,Josh Teater,47,24.58
26,27,43,Wyndham Clark,61,24.55
27,28,29,Charley Hoffman,58,24.52
28,29,28,Dylan Frittelli,55,24.43
29,30,27,Jimmy Walker,61,24.38
30,T31,48,Peter Malnati,64,24.36
31,T31,30,Chez Reavie,67,24.36
32,33,31,Phil Mickelson,41,24.3
33,34,33,Jon Rahm,51,24.27
34,35,34,Beau Hossler,66,24.24
35,36,37,Sung Kang,67,23.98
36,37,39,Rory Sabbatini,71,23.95
37,38,46,Cameron Tringale,52,23.93
38,39,38,Seth Reeves,52,23.87
39,40,22,Sepp Straka,48,23.78
40,41,T64,J.J. Spaun,68,23.75
41,T42,40,Cameron Davis,54,23.61
42,T42,42,Michael Thompson,56,23.61
43,44,44,Tyrrell Hatton,46,23.44
44,45,45,Gary Woodland,63,23.42
45,46,35,Nick Watney,67,23.31
46,47,T50,Matt Every,38,23.23
47,48,36,Justin Thomas,49,23.15
48,49,47,Cameron Smith,55,23.02
49,50,49,J.T. Poston,76,22.96
50,51,17,Talor Gooch,37,22.92
51,52,52,Charles Howell III,64,22.9
52,T53,55,Scott Brown,66,22.89
53,T53,T50,Adam Schenk,80,22.89
54,55,54,Troy Merritt,42,22.83
55,56,110,Jim Knous,55,22.76
56,57,56,Aaron Baddeley,51,22.73
57,58,T59,Pat Perez,52,22.54
58,59,61,Martin Kaymer,38,22.52
59,60,62,Matthew Fitzpatrick,42,22.5
60,61,63,Charl Schwartzel,34,22.47
61,62,T64,Jordan Spieth,57,22.45
62,63,T66,Jhonattan Vegas,60,22.38
63,64,68,Louis Oosthuizen,43,22.34
64,65,69,Jason Kokrak,68,22.29
65,66,74,Brendan Steele,50,22.07
66,67,72,Sungjae Im,88,22.02
67,68,73,Nate Lashley,44,22.0
68,69,T70,Dustin Johnson,47,21.98
69,T70,T70,Jonas Blixt,66,21.97
70,T70,75,Adam Hadwin,66,21.97
71,T72,77,Corey Conners,62,21.77
72,T72,57,Martin Laird,60,21.77
73,T72,T82,José de Jesús Rodríguez,51,21.77
74,75,T78,Brandt Snedeker,68,21.76
75,76,T66,Hank Lebioda,55,21.71
76,77,81,Xander Schauffele,55,21.67
77,78,95,Roger Sloan,62,21.65
78,79,86,Dominic Bozzelli,53,21.58
79,80,T78,John Chin,38,21.55
80,81,T59,Keegan Bradley,65,21.48
81,T82,T82,Sam Burns,66,21.43
82,T82,T82,Cameron Champ,58,21.43
83,84,53,Sergio Garcia,39,21.33
84,85,90,Sam Saunders,53,21.23
85,86,T87,Billy Horschel,73,21.21
86,87,80,Harris English,72,21.14
87,88,96,Whee Kim,57,21.08
88,89,91,Marc Leishman,52,21.05
89,90,T87,Kevin Tway,62,21.01
90,91,92,Stewart Cink,33,21.0
91,T92,T93,Ryan Blaum,67,20.86
92,T92,T93,Kyle Stanley,53,20.86
93,94,58,D.J. Trahan,33,20.83
94,95,76,Johnson Wagner,45,20.75
