,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Rory McIlroy,50,69.0,828,12
1,2,2,Paul Casey,51,70.5,846,12
2,3,3,Justin Thomas,49,75.3,828,11
3,4,5,James Hahn,34,76.5,612,8
4,5,6,Tommy Fleetwood,43,81.0,648,8
5,6,4,Brooks Koepka,49,84.0,756,9
6,7,7,Keith Mitchell,64,84.5,1098,13
7,8,9,Sam Burns,66,88.6,1152,13
8,9,8,Dylan Frittelli,55,95.4,954,10
9,10,10,Rickie Fowler,54,97.2,972,10
10,11,11,Kevin Na,54,98.0,882,9
11,12,14,Max Homa,61,106.2,1062,10
12,T13,13,Lucas Bjerregaard,37,108.0,540,5
13,T13,12,Cody Gribble,52,108.0,864,8
14,T13,T15,Marc Leishman,52,108.0,864,8
15,T13,T15,Grayson Murray,36,108.0,648,6
16,T13,999,Tyrone Van Aswegen,30,108.0,540,5
17,18,17,Luke List,52,110.3,882,8
18,19,18,Emiliano Grillo,65,111.6,1116,10
19,T20,T19,Jon Rahm,51,113.1,792,7
20,T20,T19,Patrick Rodgers,44,113.1,792,7
21,T22,T21,Troy Merritt,42,114.0,684,6
22,T22,T21,Justin Rose,42,114.0,684,6
23,24,23,Jhonattan Vegas,60,116.0,1044,9
24,T25,T24,Matthew Fitzpatrick,42,117.0,702,6
25,T25,T24,Adam Long,52,117.0,936,8
26,T25,T24,Sam Ryder,52,117.0,936,8
27,T25,T24,Xander Schauffele,55,117.0,936,8
28,T25,T24,Adam Scott,41,117.0,702,6
29,T25,T24,Tiger Woods,31,117.0,468,4
30,31,31,J.T. Poston,76,117.8,1296,11
31,T32,33,Jason Day,45,120.0,720,6
32,T32,43,Bubba Watson,47,120.0,720,6
33,T34,T35,Branden Grace,62,121.5,972,8
34,T34,T24,Seamus Power,58,121.5,972,8
35,36,T37,Kyle Stanley,53,123.4,864,7
36,T37,T39,Tony Finau,61,126.0,1008,8
37,T37,T39,Freddie Jacobson,37,126.0,630,5
38,T37,34,Adam Svensson,51,126.0,882,7
39,T37,T39,Matt Wallace,31,126.0,504,4
40,T41,32,Zach Johnson,50,128.6,900,7
41,T41,T37,Seth Reeves,52,128.6,900,7
42,43,T39,Carlos Ortiz,60,130.5,1044,8
43,T44,T45,Chris Kirk,47,135.0,810,6
44,T44,T45,Chez Reavie,67,135.0,1080,8
45,T44,T45,Gary Woodland,63,135.0,1080,8
46,47,99,Sungjae Im,88,137.5,1512,11
47,T48,T49,Rafa Cabrera Bello,57,138.9,972,7
48,T48,T49,Ryan Moore,54,138.9,972,7
49,50,79,Adam Hadwin,66,139.5,1116,8
50,51,44,Harris English,72,140.0,1260,9
51,T52,T71,Sangmoon Bae,42,144.0,720,5
52,T52,T53,Cameron Champ,58,144.0,1008,7
53,T52,T53,Justin Harding,31,144.0,432,3
54,T52,T66,Martin Laird,60,144.0,1008,7
55,T52,T53,Patrick Reed,53,144.0,864,6
56,57,59,Sung Kang,67,146.3,1170,8
57,58,52,Hudson Swafford,59,146.6,1026,7
58,T59,70,Joaquin Niemann,68,148.5,1188,8
59,T59,T53,Scott Piercy,70,148.5,1188,8
60,61,T49,Keegan Bradley,65,149.1,1044,7
61,T62,62,Pat Perez,52,150.0,900,6
62,T62,48,Webb Simpson,53,150.0,900,6
63,T62,T53,Chris Stroud,54,150.0,900,6
64,65,T53,Matt Every,38,153.0,612,4
65,66,80,Wes Roach,45,154.8,774,5
66,67,60,Adam Schenk,80,156.0,1404,9
67,68,68,Charles Howell III,64,156.9,1098,7
68,T69,69,Patrick Cantlay,49,158.4,792,5
69,T69,63,Fabián Gómez,44,158.4,792,5
70,71,61,Roger Sloan,62,159.4,1116,7
71,72,T71,Matt Jones,67,162.0,1134,7
72,T73,T64,Tyler Duncan,66,164.6,1152,7
73,T73,T64,Danny Lee,66,164.6,1152,7
