,Early_Par_5_Scoring_Average_RANK THIS WEEK,Early_Par_5_Scoring_Average_RANK LAST WEEK,Early_Par_5_Scoring_Average_PLAYER NAME,Early_Par_5_Scoring_Average_ROUNDS,Early_Par_5_Scoring_Average_AVG,Early_Par_5_Scoring_Average_TOTAL STROKES,Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Justin Thomas,49,4.33,325,75
1,2,2,Paul Casey,51,4.38,280,64
2,T3,T3,Jason Day,45,4.39,290,66
3,T3,T3,Keith Mitchell,64,4.39,435,99
4,5,T5,Matt Kuchar,65,4.41,397,90
5,T6,T5,Bryson DeChambeau,45,4.42,274,62
6,T6,T5,Adam Scott,41,4.42,252,57
7,8,T9,Rory McIlroy,50,4.43,226,51
8,9,8,Charles Howell III,64,4.44,444,100
9,T10,T13,Sungjae Im,88,4.45,587,132
10,T10,T9,Jhonattan Vegas,60,4.45,396,89
11,T10,T13,Bubba Watson,47,4.45,289,65
12,13,T11,Ian Poulter,49,4.46,241,54
13,14,T13,Troy Merritt,42,4.47,259,58
14,T15,T23,Kramer Hickok,59,4.48,466,104
15,T15,T11,D.J. Trahan,33,4.48,233,52
16,T17,T16,Cody Gribble,52,4.49,382,85
17,T17,T16,Emiliano Grillo,65,4.49,418,93
18,T19,T20,Hideki Matsuyama,59,4.5,468,104
19,T19,T16,Denny McCarthy,63,4.5,477,106
20,T19,T20,Jon Rahm,51,4.5,243,54
21,T19,T20,Seth Reeves,52,4.5,333,74
22,T19,T16,Nick Watney,67,4.5,526,117
23,T24,T23,Martin Kaymer,38,4.51,230,51
24,T24,T23,Si Woo Kim,65,4.51,523,116
25,T24,T23,Gary Woodland,63,4.51,397,88
26,T27,T27,Bronson Burgoon,37,4.52,312,69
27,T27,T27,Tony Finau,61,4.52,371,82
28,T27,T34,Brooks Koepka,49,4.52,289,64
29,T27,T34,Hank Lebioda,55,4.52,425,94
30,T27,T27,Marc Leishman,52,4.52,366,81
31,T27,T27,Sam Ryder,52,4.52,524,116
32,T27,T27,Michael Thompson,56,4.52,416,92
33,T27,T27,Tiger Woods,31,4.52,226,50
34,T35,T27,Bud Cauley,61,4.53,498,110
35,T35,T42,Adam Hadwin,66,4.53,526,116
36,T35,T47,Zach Johnson,50,4.53,390,86
37,T35,T34,Sung Kang,67,4.53,534,118
38,T35,T34,Luke List,52,4.53,394,87
39,T35,T34,Justin Rose,42,4.53,195,43
40,T35,T34,Xander Schauffele,55,4.53,358,79
41,T35,T34,Aaron Wise,52,4.53,426,94
42,T43,T42,Tommy Fleetwood,43,4.54,218,48
43,T43,T42,Rickie Fowler,54,4.54,363,80
44,T43,T42,Brian Gay,79,4.54,481,106
45,T43,T34,Talor Gooch,37,4.54,268,59
46,T43,T42,Matt Jones,67,4.54,468,103
47,T48,T47,Patrick Cantlay,49,4.55,282,62
48,T48,T56,Roberto Díaz,51,4.55,355,78
49,T48,T56,Julián Etulain,55,4.55,460,101
50,T48,T47,Dylan Frittelli,55,4.55,405,89
51,T48,T47,Martin Laird,60,4.55,441,97
52,T48,T51,Scott Piercy,70,4.55,500,110
53,T54,T51,Ryan Blaum,67,4.56,456,100
54,T54,T51,Sam Burns,66,4.56,492,108
55,T54,T51,Lucas Glover,62,4.56,401,88
56,T54,T56,Bill Haas,58,4.56,461,101
57,T54,T51,C.T. Pan,64,4.56,543,119
58,T59,T86,Sangmoon Bae,42,4.57,297,65
59,T59,T62,Harris English,72,4.57,581,127
60,T59,T56,Webb Simpson,53,4.57,338,74
61,T62,T62,Max Homa,61,4.58,536,117
62,T62,T74,Sebastián Muñoz,58,4.58,403,88
63,T62,T56,Adam Schenk,80,4.58,577,126
64,T62,T62,Roger Sloan,62,4.58,417,91
65,T62,T68,J.J. Spaun,68,4.58,504,110
66,T62,T62,Johnson Wagner,45,4.58,339,74
67,T68,T68,Byeong Hun An,54,4.59,441,96
68,T68,T74,Daniel Berger,48,4.59,340,74
69,T68,T86,Austin Cook,50,4.59,349,76
70,T68,T68,Cameron Davis,54,4.59,436,95
71,T68,T68,Chris Kirk,47,4.59,376,82
72,T68,T62,Nate Lashley,44,4.59,317,69
73,T68,T62,Trey Mullinax,67,4.59,509,111
74,T68,T74,Wes Roach,45,4.59,399,87
75,T68,T68,Kyle Stanley,53,4.59,441,96
76,T77,T86,Wyndham Clark,61,4.6,446,97
77,T77,T74,Corey Conners,62,4.6,483,105
78,T77,T74,Joel Dahmen,78,4.6,556,121
79,T77,T86,Jim Furyk,53,4.6,336,73
80,T77,T74,Sergio Garcia,39,4.6,193,42
81,T77,T74,Dustin Johnson,47,4.6,262,57
82,T77,T74,J.T. Poston,76,4.6,602,131
83,T77,T74,Patrick Reed,53,4.6,386,84
84,T77,T74,Jordan Spieth,57,4.6,373,81
85,T77,T74,Kevin Tway,62,4.6,437,95
86,T87,T95,Fabián Gómez,44,4.61,443,96
87,T87,T95,Stephan Jaeger,59,4.61,410,89
88,T87,T86,Andrew Putnam,57,4.61,401,87
89,T87,T106,José de Jesús Rodríguez,51,4.61,378,82
90,T87,T86,Ollie Schniederjans,63,4.61,521,113
91,T87,T95,Sepp Straka,48,4.61,286,62
92,T87,T86,Vaughn Taylor,69,4.61,498,108
93,T87,T86,Danny Willett,47,4.61,378,82
94,T87,T68,Chase Wright,53,4.61,350,76
95,T96,T95,Ryan Moore,54,4.62,471,102
96,T96,T95,Louis Oosthuizen,43,4.62,314,68
97,T96,T86,Carlos Ortiz,60,4.62,480,104
98,T96,T95,Seamus Power,58,4.62,457,99
99,T96,T74,Alex Prugh,54,4.62,393,85
100,T96,T106,Adam Svensson,51,4.62,388,84
101,T96,T95,Martin Trainer,51,4.62,374,81
102,T96,T95,Cameron Tringale,52,4.62,416,90
103,T96,T106,Richy Werenski,63,4.62,430,93
104,T105,T106,Kiradech Aphibarnrat,49,4.63,333,72
105,T105,T95,Keegan Bradley,65,4.63,495,107
106,T105,T106,Roberto Castro,54,4.63,421,91
107,T105,T114,Tom Hoge,70,4.63,500,108
108,T105,T106,Russell Knox,65,4.63,472,102
109,T105,T95,Graeme McDowell,61,4.63,477,103
110,T105,T106,Grayson Murray,36,4.63,347,75
111,T105,999,Martin Piller,30,4.63,241,52
112,T105,T122,Brandt Snedeker,68,4.63,537,116
113,T105,T95,Scott Stallings,63,4.63,570,123
114,T105,T114,Henrik Stenson,46,4.63,278,60
115,T105,T114,Nick Taylor,70,4.63,560,121
116,T117,T122,Scott Brown,66,4.64,497,107
117,T117,T114,James Hahn,34,4.64,343,74
118,T117,T122,Mackenzie Hughes,58,4.64,441,95
119,T117,T114,D.A. Points,33,4.64,320,69
120,T117,T114,Patrick Rodgers,44,4.64,390,84
121,T117,T114,Rory Sabbatini,71,4.64,524,113
122,T117,T114,Brendan Steele,50,4.64,473,102
123,T124,T122,Abraham Ancer,69,4.65,553,119
124,T124,T122,Rafa Cabrera Bello,57,4.65,456,98
125,T124,T122,Brice Garnett,63,4.65,525,113
126,T124,T122,Russell Henley,56,4.65,391,84
127,T124,T122,Kevin Kisner,65,4.65,446,96
128,T124,T122,Kevin Na,54,4.65,386,83
129,T124,T106,Sam Saunders,53,4.65,409,88
130,T124,T122,Kevin Streelman,63,4.65,521,112
131,T124,T134,Harold Varner III,62,4.65,470,101
132,T133,T134,Jim Knous,55,4.66,387,83
133,T133,T134,Ryan Palmer,56,4.66,480,103
134,T133,T122,Hudson Swafford,59,4.66,401,86
135,T136,T122,Jonas Blixt,66,4.67,542,116
136,T136,T138,Ernie Els,43,4.67,350,75
137,T136,T138,Matthew Fitzpatrick,42,4.67,397,85
138,T136,T138,Branden Grace,62,4.67,514,110
139,T136,T144,Brandon Harkins,67,4.67,588,126
140,T136,T138,Brian Harman,67,4.67,476,102
141,T136,T138,Chez Reavie,67,4.67,490,105
142,T136,T138,Jimmy Walker,61,4.67,467,100
143,T144,T144,Cameron Champ,58,4.68,393,84
144,T144,T144,Beau Hossler,66,4.68,599,128
145,T144,T144,Freddie Jacobson,37,4.68,304,65
146,T144,T134,Kelly Kraft,67,4.68,459,98
147,T144,T144,Peter Uihlein,65,4.68,534,114
148,T149,T144,Dominic Bozzelli,53,4.69,366,78
149,T149,T155,John Chin,38,4.69,366,78
150,T149,T152,Billy Horschel,73,4.69,460,98
151,T149,T155,Danny Lee,66,4.69,497,106
152,T149,T152,Adam Long,52,4.69,436,93
153,T149,T144,Alex Noren,49,4.69,380,81
154,T149,T152,Pat Perez,52,4.69,394,84
155,T149,T144,Brady Schnell,38,4.69,319,68
156,T157,T155,Anders Albertson,48,4.7,343,73
157,T157,T155,Justin Harding,31,4.7,235,50
158,T157,T155,Haotong Li,32,4.7,287,61
159,T157,T155,Peter Malnati,64,4.7,451,96
160,T157,T155,Cameron Smith,55,4.7,461,98
161,T157,T162,Robert Streb,60,4.7,451,96
162,T163,T162,Jason Dufner,56,4.71,433,92
163,T163,T162,Jason Kokrak,68,4.71,513,109
164,T163,T166,Curtis Luck,51,4.71,372,79
165,T163,T162,Hunter Mahan,45,4.71,443,94
166,T167,T166,Ben Crane,41,4.72,340,72
167,T167,T171,Joaquin Niemann,68,4.72,562,119
168,T169,T171,Ryan Armour,66,4.73,530,112
169,T169,T180,Jonathan Byrd,43,4.73,331,70
170,T169,T166,Tyrrell Hatton,46,4.73,388,82
171,T169,T166,David Hearn,41,4.73,303,64
172,T169,T166,John Senden,39,4.73,298,63
173,T174,T178,Tyler Duncan,66,4.74,536,113
174,T174,T171,Whee Kim,57,4.74,460,97
175,T174,T171,Andrew Landry,56,4.74,536,113
176,T174,T187,Ben Silverman,54,4.74,427,90
177,T178,T180,Alex Cejka,41,4.75,356,75
178,T178,T175,Joey Garber,44,4.75,271,57
179,T178,T178,Scott Langley,60,4.75,475,100
180,T178,T175,Brian Stuard,76,4.75,584,123
181,T182,T187,Matt Every,38,4.76,200,42
182,T182,T180,J.J. Henry,42,4.76,324,68
183,T182,T187,Chris Thompson,34,4.76,276,58
184,T185,T180,Charley Hoffman,58,4.77,429,90
185,T185,T180,Anirban Lahiri,54,4.77,420,88
186,T185,T180,Charl Schwartzel,34,4.77,272,57
187,T188,T187,Aaron Baddeley,51,4.78,416,87
188,T188,T187,Satoshi Kodaira,51,4.78,468,98
189,T188,T187,Kyoung-Hoon Lee,72,4.78,550,115
190,T191,T175,Lucas Bjerregaard,37,4.79,163,34
191,T191,T193,Stewart Cink,33,4.79,268,56
192,T191,T193,Chesson Hadley,58,4.79,460,96
193,T191,T180,Josh Teater,47,4.79,383,80
194,T195,198,Jim Herman,37,4.8,283,59
195,T195,T193,J.B. Holmes,54,4.8,384,80
196,T195,T196,Patton Kizzire,58,4.8,523,109
197,T198,T196,Kyle Jones,49,4.81,322,67
198,T198,999,Shane Lowry,30,4.81,154,32
199,200,199,Phil Mickelson,41,4.82,347,72
200,T201,T200,Francesco Molinari,41,4.83,251,52
201,T201,T200,"Ted Potter, Jr.",56,4.83,556,115
202,T203,999,Tyrone Van Aswegen,30,4.84,271,56
203,T203,203,Matt Wallace,31,4.84,242,50
204,T205,206,Rod Pampling,40,4.85,315,65
205,T205,T200,Shawn Stefani,57,4.85,378,78
206,207,204,Chris Stroud,54,4.87,482,99
207,208,205,John Huh,35,4.89,313,64
208,209,207,Michael Kim,51,4.96,461,93
