,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,4,Keegan Bradley,67.14,470,7
1,2,2,Matt Kuchar,67.44,607,9
2,3,1,Dustin Johnson,67.5,270,4
3,4,3,Brooks Koepka,67.8,339,5
4,5,5,Justin Thomas,68.14,477,7
5,6,6,Jordan Spieth,68.38,547,8
6,T7,7,Roberto Díaz,68.5,411,6
7,T7,T8,Jason Day,68.5,274,4
8,T7,T8,Jon Rahm,68.5,411,6
9,10,11,Kramer Hickok,68.71,481,7
10,11,12,Matt Jones,68.78,619,9
11,12,13,Andrew Putnam,68.83,413,6
12,13,10,Bud Cauley,68.88,551,8
13,T14,T14,Paul Casey,69.0,138,2
14,T14,T14,Emiliano Grillo,69.0,483,7
15,T14,T14,C.T. Pan,69.0,552,8
16,17,17,Jhonattan Vegas,69.1,691,10
17,18,47,Nick Taylor,69.11,622,9
18,19,18,Joel Dahmen,69.13,553,8
19,T20,T35,Daniel Berger,69.14,484,7
20,T20,19,Scott Stallings,69.14,484,7
21,22,T20,Trey Mullinax,69.2,692,10
22,23,T20,Keith Mitchell,69.22,623,9
23,T24,T22,Rafa Cabrera Bello,69.25,277,4
24,T24,T25,Martin Laird,69.25,554,8
25,T24,T22,D.J. Trahan,69.25,277,4
26,T27,T27,Ben Crane,69.29,485,7
27,T27,T25,Rickie Fowler,69.29,485,7
28,T27,T27,Jim Furyk,69.29,485,7
29,T30,T27,Billy Horschel,69.33,624,9
30,T30,T27,Hank Lebioda,69.33,416,6
31,T30,T22,Denny McCarthy,69.33,624,9
32,T33,31,Graeme McDowell,69.4,347,5
33,T33,80,Webb Simpson,69.4,347,5
34,T35,T32,J.T. Poston,69.44,625,9
35,T35,T32,J.J. Spaun,69.44,625,9
36,T37,T35,Tommy Fleetwood,69.5,417,6
37,T37,T55,Rory McIlroy,69.5,417,6
38,T37,T48,Cameron Tringale,69.5,417,6
39,T37,T35,Jimmy Walker,69.5,417,6
40,41,38,Ryan Palmer,69.57,487,7
41,T42,T39,Tony Finau,69.6,348,5
42,T42,T39,Marc Leishman,69.6,348,5
43,44,41,Russell Henley,69.63,557,8
44,45,42,Abraham Ancer,69.64,766,11
45,T46,T43,Kevin Kisner,69.67,418,6
46,T46,T43,Michael Thompson,69.67,418,6
47,T46,T43,Matt Wallace,69.67,209,3
48,49,T55,Adam Schenk,69.69,906,13
49,50,T32,Chris Stroud,69.7,697,10
50,51,46,Rory Sabbatini,69.73,767,11
51,52,T110,Jonathan Byrd,69.75,279,4
52,53,T55,Jonas Blixt,69.77,907,13
53,54,T55,Bill Haas,69.78,628,9
54,T55,T48,Phil Mickelson,69.8,349,5
55,T55,999,Martin Piller,69.8,349,5
56,57,51,Brian Stuard,69.82,768,11
57,T58,81,Scott Brown,69.83,838,12
58,T58,52,Nate Lashley,69.83,419,6
59,60,53,Adam Scott,69.86,489,7
60,61,92,David Hearn,69.88,559,8
61,62,54,Ryan Moore,69.89,629,9
62,T63,T55,Matthew Fitzpatrick,70.0,210,3
63,T63,T55,James Hahn,70.0,350,5
