,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Justin Thomas,49,68.3,1571,23
1,2,T9,Sungjae Im,88,68.88,2824,41
2,3,2,Charles Howell III,64,68.93,1999,29
3,T4,T3,Patrick Cantlay,49,69.0,1242,18
4,T4,T3,Paul Casey,51,69.0,1311,19
5,T4,T3,Jason Day,45,69.0,1242,18
6,T4,T7,Jim Furyk,53,69.0,1587,23
7,T4,T3,Lucas Glover,62,69.0,1725,25
8,9,T7,Keith Mitchell,64,69.1,2004,29
9,10,T9,Rickie Fowler,54,69.13,1659,24
10,11,T9,Dustin Johnson,47,69.18,1176,17
11,12,14,Matt Kuchar,65,69.19,1868,27
12,13,12,Troy Merritt,42,69.22,1246,18
13,14,19,Webb Simpson,53,69.28,1732,25
14,15,13,Bud Cauley,61,69.29,2356,34
15,16,15,Gary Woodland,63,69.37,1873,27
16,17,16,Adam Scott,41,69.38,1110,16
17,18,17,Tony Finau,61,69.4,1735,25
18,19,18,Jhonattan Vegas,60,69.41,1874,27
19,20,20,Martin Laird,60,69.48,2015,29
20,21,21,Denny McCarthy,63,69.56,2226,32
21,22,22,Michael Thompson,56,69.57,1948,28
22,23,24,Ryan Palmer,56,69.59,2227,32
23,24,T34,Rory McIlroy,50,69.6,1044,15
24,25,23,Scott Piercy,70,69.62,2367,34
25,T26,T37,Daniel Berger,48,69.63,1671,24
26,T26,36,Keegan Bradley,65,69.63,2228,32
27,T26,T25,Matt Jones,67,69.63,2089,30
28,T26,T39,Brooks Koepka,49,69.63,1323,19
29,T26,T25,Jon Rahm,51,69.63,1114,16
30,31,27,Tiger Woods,31,69.64,975,14
31,32,28,Xander Schauffele,55,69.65,1602,23
32,33,55,Jonathan Byrd,43,69.67,1463,21
33,34,30,Si Woo Kim,65,69.7,2300,33
34,35,31,Patrick Reed,53,69.71,1673,24
35,36,29,D.J. Trahan,33,69.73,1046,15
36,T37,33,Talor Gooch,37,69.74,1325,19
37,T37,32,Hideki Matsuyama,59,69.74,2162,31
38,39,T37,Kramer Hickok,59,69.78,2233,32
39,40,T34,Emiliano Grillo,65,69.79,1954,28
40,41,T39,Nick Watney,67,69.83,2444,35
41,42,T45,Austin Cook,50,69.87,1607,23
42,43,T45,Jonas Blixt,66,69.91,2447,35
43,44,42,Tommy Fleetwood,43,69.93,979,14
44,T45,T70,Sepp Straka,48,69.94,1259,18
45,T45,43,Kevin Streelman,63,69.94,2308,33
46,47,T45,Ben Crane,41,69.95,1539,22
47,T48,T45,Marc Leishman,52,70.0,1610,23
48,T48,T56,Cameron Tringale,52,70.0,1750,25
49,50,T45,Johnson Wagner,45,70.05,1541,22
50,T51,51,J.J. Spaun,68,70.06,2382,34
51,T51,T58,Harold Varner III,62,70.06,2172,31
52,53,53,Jordan Spieth,57,70.08,1682,24
53,54,54,C.T. Pan,64,70.09,2383,34
54,T55,52,Cameron Davis,54,70.1,2033,29
55,T55,50,Nate Lashley,44,70.1,1402,20
56,57,44,Aaron Wise,52,70.11,1963,28
57,58,41,Dominic Bozzelli,53,70.12,1753,25
58,59,T56,Tyrrell Hatton,46,70.13,1613,23
59,T60,T58,Kiradech Aphibarnrat,49,70.14,1543,22
60,T60,62,Ryan Armour,66,70.14,2455,35
61,T60,T90,Sangmoon Bae,42,70.14,1473,21
62,T60,T73,Scott Brown,66,70.14,2455,35
63,64,72,Dylan Frittelli,55,70.15,1894,27
64,65,61,Brian Stuard,76,70.16,2596,37
65,66,T70,Roger Sloan,62,70.18,1965,28
66,67,63,Russell Knox,65,70.19,2246,32
67,T68,T78,Hank Lebioda,55,70.21,2036,29
68,T68,T64,Rory Sabbatini,71,70.21,2317,33
69,T70,T66,Joel Dahmen,78,70.22,2598,37
70,T70,T66,Jason Kokrak,68,70.22,2247,32
71,T72,T68,Luke List,52,70.23,1826,26
72,T72,T68,Chez Reavie,67,70.23,2177,31
73,74,T76,Adam Schenk,80,70.24,2669,38
74,75,81,Graeme McDowell,61,70.25,2248,32
75,76,T76,Harris English,72,70.28,2811,40
76,T77,T73,Rafa Cabrera Bello,57,70.29,1968,28
77,T77,T122,Sebastián Muñoz,58,70.29,1968,28
78,T79,60,Russell Henley,56,70.3,1898,27
79,T79,T73,Bubba Watson,47,70.3,1406,20
80,T81,92,Tom Hoge,70,70.31,2250,32
81,T81,T96,Nick Taylor,70,70.31,2461,35
82,T83,T78,Andrew Putnam,57,70.32,1758,25
83,T83,112,Brandt Snedeker,68,70.32,2391,34
84,T83,T64,Chase Wright,53,70.32,1758,25
85,T86,80,Sung Kang,67,70.34,2462,35
86,T86,T82,Richy Werenski,63,70.34,2040,29
87,88,T82,Kevin Kisner,65,70.36,1970,28
88,89,84,Vaughn Taylor,69,70.39,2323,33
89,T90,85,Stewart Cink,33,70.41,1197,17
90,T90,132,Stephan Jaeger,59,70.41,1901,27
91,T90,95,Scott Langley,60,70.41,2253,32
92,T93,T87,Ryan Blaum,67,70.43,2113,30
93,T93,T87,James Hahn,34,70.43,1479,21
94,T93,T124,Ben Silverman,54,70.43,1972,28
95,T96,86,Alex Prugh,54,70.44,1761,25
96,T96,93,Adam Svensson,51,70.44,1761,25
97,98,119,Zach Johnson,50,70.46,1973,28
98,T99,100,Danny Lee,66,70.47,2396,34
99,T99,94,Ian Poulter,49,70.47,1198,17
100,101,T87,Julián Etulain,55,70.48,2044,29
101,102,T104,Joaquin Niemann,68,70.49,2608,37
102,103,T96,Chris Kirk,47,70.5,1692,24
103,T104,T98,Ernie Els,43,70.52,1481,21
104,T104,120,Danny Willett,47,70.52,1622,23
105,106,999,Martin Piller,30,70.53,1058,15
106,T107,T98,Fabián Gómez,44,70.54,1975,28
107,T107,101,Justin Rose,42,70.54,917,13
108,T109,102,Ryan Moore,54,70.55,2046,29
109,T109,T104,Jimmy Walker,61,70.55,2187,31
110,T111,103,Aaron Baddeley,51,70.56,1764,25
111,T111,T117,José de Jesús Rodríguez,51,70.56,1764,25
112,113,T90,Brian Gay,79,70.57,2470,35
113,114,106,Bryson DeChambeau,45,70.58,1341,19
114,115,T107,Byeong Hun An,54,70.59,2047,29
115,T116,109,Billy Horschel,73,70.6,2118,30
116,T116,T115,Peter Malnati,64,70.6,2118,30
117,118,T115,Brice Garnett,63,70.61,2330,33
118,119,111,J.T. Poston,76,70.63,2825,40
119,120,113,Sergio Garcia,39,70.69,919,13
120,121,T117,Patrick Rodgers,44,70.71,1697,24
121,122,110,Seth Reeves,52,70.73,1556,22
122,T123,121,Max Homa,61,70.75,2547,36
123,T123,T127,Robert Streb,60,70.75,1981,28
124,125,143,Adam Hadwin,66,70.76,2406,34
125,T126,T150,David Hearn,41,70.78,1274,18
126,T126,T124,Louis Oosthuizen,43,70.78,1274,18
127,T128,T127,Ollie Schniederjans,63,70.79,2336,33
128,T128,141,Peter Uihlein,65,70.79,2336,33
129,130,999,Shane Lowry,30,70.8,708,10
130,131,126,Carlos Ortiz,60,70.81,2195,31
131,132,T133,Sam Saunders,53,70.82,1983,28
132,T133,131,Abraham Ancer,69,70.83,2550,36
133,T133,T139,Wyndham Clark,61,70.83,2054,29
134,T133,T129,Curtis Luck,51,70.83,1629,23
135,T133,114,Shawn Stefani,57,70.83,1629,23
136,137,136,Corey Conners,62,70.84,2267,32
137,138,T133,Charley Hoffman,58,70.85,1842,26
138,139,135,Bronson Burgoon,37,70.86,1488,21
139,140,T137,Kevin Na,54,70.88,1772,25
140,T141,T137,Roberto Castro,54,70.89,1914,27
141,T141,T139,Jason Dufner,56,70.89,1985,28
142,T141,T163,Henrik Stenson,46,70.89,1276,18
143,144,T145,Kevin Tway,62,70.9,2127,30
144,145,T122,Anders Albertson,48,70.91,1560,22
145,146,142,Beau Hossler,66,70.92,2695,38
146,147,154,Mackenzie Hughes,58,70.93,1986,28
147,148,T129,Scott Stallings,63,70.94,2412,34
148,T149,T148,Brandon Harkins,67,70.97,2697,38
149,T149,T148,Trey Mullinax,67,70.97,2413,34
150,T149,144,Sam Ryder,52,70.97,2271,32
151,T152,153,Bill Haas,58,71.0,2201,31
152,T152,T145,Chesson Hadley,58,71.0,1988,28
153,T152,T145,Patton Kizzire,58,71.0,2343,33
154,T152,T155,Hudson Swafford,59,71.0,1846,26
155,T156,T159,Roberto Díaz,51,71.04,1634,23
156,T156,T157,Jim Knous,55,71.04,1847,26
157,158,T150,Kyoung-Hoon Lee,72,71.06,2416,34
158,159,152,Hunter Mahan,45,71.07,1919,27
159,160,T159,Seamus Power,58,71.1,2062,29
160,161,T155,John Senden,39,71.12,1209,17
161,162,T157,Martin Kaymer,38,71.13,1138,16
162,T163,181,Matt Every,38,71.15,925,13
163,T163,178,Wes Roach,45,71.15,1850,26
164,165,162,John Huh,35,71.16,1352,19
165,166,T159,Josh Teater,47,71.17,1708,24
166,167,T163,Sam Burns,66,71.18,2420,34
167,168,T165,Anirban Lahiri,54,71.19,1851,26
168,169,T167,Brady Schnell,38,71.2,1424,20
169,170,T167,Kyle Stanley,53,71.21,1994,28
170,171,T165,J.B. Holmes,54,71.23,1567,22
171,172,172,Brian Harman,67,71.25,2280,32
172,173,T169,John Chin,38,71.27,1568,22
173,174,T192,Joey Garber,44,71.28,1283,18
174,T175,173,Whee Kim,57,71.29,1996,28
175,T175,T169,Pat Perez,52,71.29,1711,24
176,177,171,Cameron Champ,58,71.3,1925,27
177,178,174,Branden Grace,62,71.34,2283,32
178,179,T175,Haotong Li,32,71.35,1213,17
179,T180,T187,Lucas Bjerregaard,37,71.36,785,11
180,T180,177,Matthew Fitzpatrick,42,71.36,1784,25
181,182,T175,Martin Trainer,51,71.38,1713,24
182,T183,180,Cameron Smith,55,71.41,2071,29
183,T183,179,Chris Stroud,54,71.41,2071,29
184,185,182,Phil Mickelson,41,71.43,1500,21
185,186,183,Andrew Landry,56,71.44,2286,32
186,187,185,Matt Wallace,31,71.53,1073,15
187,188,186,Adam Long,52,71.56,1932,27
188,189,T187,Justin Harding,31,71.6,1074,15
189,190,189,Brendan Steele,50,71.64,2006,28
190,191,191,Tyler Duncan,66,71.68,2437,34
191,T192,194,Alex Cejka,41,71.71,1506,21
192,T192,184,Kelly Kraft,67,71.71,2223,31
193,194,T196,Cody Gribble,52,71.74,1937,27
194,195,190,Francesco Molinari,41,71.75,1148,16
195,196,T192,Freddie Jacobson,37,71.8,1436,20
196,T197,195,J.J. Henry,42,71.81,1508,21
197,T197,T196,Alex Noren,49,71.81,1867,26
198,199,999,Tyrone Van Aswegen,30,71.88,1222,17
199,200,T196,Jim Herman,37,71.94,1295,18
200,201,199,Kyle Jones,49,72.0,1512,21
201,202,200,Grayson Murray,36,72.1,1514,21
202,203,206,Rod Pampling,40,72.3,1446,20
203,204,207,Chris Thompson,34,72.35,1230,17
204,205,201,Charl Schwartzel,34,72.5,1160,16
205,206,202,D.A. Points,33,72.53,1378,19
206,207,203,"Ted Potter, Jr.",56,72.59,2468,34
207,208,204,Michael Kim,51,72.73,1891,26
208,209,205,Satoshi Kodaira,51,72.82,2039,28
